Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,strain,age,Sex,diet,treatment,time,fraction,geo_loc_name,collection_date
SRR25893068,70304225,18649323914,132,7191,SRX21613413,GSM7757017,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785950,SAMN37260874,simple,10090,Mus musculus,GSM7757017,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13130, SC diet, vehicle, input",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893069,70729013,18743782145,132,7235,SRX21613413,GSM7757017,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785950,SAMN37260874,simple,10090,Mus musculus,GSM7757017,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13130, SC diet, vehicle, input",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,vehicle,2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893066,15375912,4088228232,132,1588,SRX21613414,GSM7757018,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785949,SAMN37260873,simple,10090,Mus musculus,GSM7757018,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13131, SC diet, vehicle, input",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,vehicle,2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893067,15492277,4115886566,132,1600,SRX21613414,GSM7757018,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785949,SAMN37260873,simple,10090,Mus musculus,GSM7757018,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13131, SC diet, vehicle, input",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,vehicle,2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893064,18177888,4905861519,134,2023,SRX21613415,GSM7757019,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785951,SAMN37260872,simple,10090,Mus musculus,GSM7757019,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13132, SC diet, vehicle, input",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,vehicle,2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893065,18308008,4936098131,134,2045,SRX21613415,GSM7757019,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785951,SAMN37260872,simple,10090,Mus musculus,GSM7757019,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13132, SC diet, vehicle, input",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,High-fat high-sugar (HFHS) diet,vehicle,2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893062,21833784,5527655275,126,2102,SRX21613416,GSM7757020,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785954,SAMN37260871,simple,10090,Mus musculus,GSM7757020,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13133, SC diet, CCK, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,High-fat high-sugar (HFHS) diet,vehicle,2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893063,22037344,5573189806,126,2122,SRX21613416,GSM7757020,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785954,SAMN37260871,simple,10090,Mus musculus,GSM7757020,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13133, SC diet, CCK, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,High-fat high-sugar (HFHS) diet,vehicle,2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893060,14074682,3653723700,129,1398,SRX21613417,GSM7757021,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785952,SAMN37260870,simple,10090,Mus musculus,GSM7757021,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13134, SC diet, CCK, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,High-fat high-sugar (HFHS) diet,vehicle,2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893061,14178484,3677164043,129,1409,SRX21613417,GSM7757021,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785952,SAMN37260870,simple,10090,Mus musculus,GSM7757021,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13134, SC diet, CCK, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,High-fat high-sugar (HFHS) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893058,8899167,2322124525,130,900,SRX21613418,GSM7757022,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785953,SAMN37260869,simple,10090,Mus musculus,GSM7757022,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13136, SC diet, CCK, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,High-fat high-sugar (HFHS) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893059,8972644,2338883579,130,908,SRX21613418,GSM7757022,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785953,SAMN37260869,simple,10090,Mus musculus,GSM7757022,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13136, SC diet, CCK, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,High-fat high-sugar (HFHS) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893056,68431319,17828545583,130,6887,SRX21613419,GSM7757023,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785955,SAMN37260868,simple,10090,Mus musculus,GSM7757023,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13137, SC diet, vehicle, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,High-fat high-sugar (HFHS) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893057,68952039,17946654587,130,6939,SRX21613419,GSM7757023,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785955,SAMN37260868,simple,10090,Mus musculus,GSM7757023,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13137, SC diet, vehicle, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,input,missing,missing
SRR25893054,13432668,3509905468,130,1344,SRX21613420,GSM7757024,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785956,SAMN37260867,simple,10090,Mus musculus,GSM7757024,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13138, SC diet, vehicle, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,input,missing,missing
SRR25893055,13552284,3537874134,130,1357,SRX21613420,GSM7757024,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785956,SAMN37260867,simple,10090,Mus musculus,GSM7757024,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13138, SC diet, vehicle, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,input,missing,missing
SRR25893052,16330226,4271004305,130,1638,SRX21613421,GSM7757025,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785957,SAMN37260866,simple,10090,Mus musculus,GSM7757025,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13139, SC diet, vehicle, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,input,missing,missing
SRR25893053,16451402,4298471896,130,1650,SRX21613421,GSM7757025,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785957,SAMN37260866,simple,10090,Mus musculus,GSM7757025,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13139, SC diet, vehicle, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,vehicle,2 hours post-injection,input,missing,missing
SRR25893050,18345012,4770307551,129,1822,SRX21613422,GSM7757026,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785958,SAMN37260865,simple,10090,Mus musculus,GSM7757026,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13140, SC diet, vehicle, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,vehicle,2 hours post-injection,input,missing,missing
SRR25893051,18471324,4798604612,129,1835,SRX21613422,GSM7757026,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785958,SAMN37260865,simple,10090,Mus musculus,GSM7757026,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC13140, SC diet, vehicle, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,vehicle,2 hours post-injection,input,missing,missing
SRR25893048,5295861,1017949036,96,401,SRX21613423,GSM7757027,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785961,SAMN37260864,simple,10090,Mus musculus,GSM7757027,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC14081, HFHS diet, vehicle, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,vehicle,2 hours post-injection,input,missing,missing
SRR25893049,5231978,1004807483,96,399,SRX21613423,GSM7757027,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785961,SAMN37260864,simple,10090,Mus musculus,GSM7757027,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC14081, HFHS diet, vehicle, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893046,4982340,957273189,96,383,SRX21613424,GSM7757028,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785959,SAMN37260863,simple,10090,Mus musculus,GSM7757028,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC14082, HFHS diet, vehicle, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893047,4916235,943988406,96,381,SRX21613424,GSM7757028,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785959,SAMN37260863,simple,10090,Mus musculus,GSM7757028,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC14082, HFHS diet, vehicle, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893044,5318695,1020401057,95,389,SRX21613425,GSM7757029,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785960,SAMN37260862,simple,10090,Mus musculus,GSM7757029,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC14083, HFHS diet, vehicle, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,vehicle,2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893045,5260398,1008339994,95,386,SRX21613425,GSM7757029,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785960,SAMN37260862,simple,10090,Mus musculus,GSM7757029,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC14083, HFHS diet, vehicle, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,vehicle,2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893042,6287271,1213134520,96,471,SRX21613426,GSM7757030,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785962,SAMN37260861,simple,10090,Mus musculus,GSM7757030,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC14084, HFHS diet, vehicle, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,vehicle,2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893043,6214254,1198203985,96,467,SRX21613426,GSM7757030,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785962,SAMN37260861,simple,10090,Mus musculus,GSM7757030,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC14084, HFHS diet, vehicle, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,Standard chow (SC) diet,vehicle,2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893040,4326169,829733364,95,327,SRX21613427,GSM7757031,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785963,SAMN37260860,simple,10090,Mus musculus,GSM7757031,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC14085, HFHS diet, CCK, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,High-fat high-sugar (HFHS) diet,vehicle,2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893041,4274306,819074140,95,325,SRX21613427,GSM7757031,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785963,SAMN37260860,simple,10090,Mus musculus,GSM7757031,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC14085, HFHS diet, CCK, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,High-fat high-sugar (HFHS) diet,vehicle,2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893038,4892894,939957923,96,358,SRX21613428,GSM7757032,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785965,SAMN37260859,simple,10090,Mus musculus,GSM7757032,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC14086, HFHS diet, CCK, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,High-fat high-sugar (HFHS) diet,vehicle,2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893039,4835531,928105632,95,355,SRX21613428,GSM7757032,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785965,SAMN37260859,simple,10090,Mus musculus,GSM7757032,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC14086, HFHS diet, CCK, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,High-fat high-sugar (HFHS) diet,vehicle,2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893036,16562120,3172047014,95,1222,SRX21613429,GSM7757033,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785966,SAMN37260858,simple,10090,Mus musculus,GSM7757033,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC14087, HFHS diet, CCK, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,High-fat high-sugar (HFHS) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893037,16350751,3128784717,95,1210,SRX21613429,GSM7757033,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785966,SAMN37260858,simple,10090,Mus musculus,GSM7757033,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC14087, HFHS diet, CCK, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,High-fat high-sugar (HFHS) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,immunoprecipitate (IP),missing,missing
SRR25893034,6201432,1190771656,96,454,SRX21613430,GSM7757034,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP458234,PRJNA1012492,1,"",SRS18785964,SAMN37260857,simple,10090,Mus musculus,GSM7757034,"Institute for Diabetes and Obesity, Helmholtz Zentrum München",SRA1704534,09,2023,Makar,Brain,"MUC14088, HFHS diet, CCK, IP",Brain,Brain,Neurons,C57BL/6JRj,4-6 months old,male,High-fat high-sugar (HFHS) diet,CCK (20 ug/kg BW; BW),2 hours post-injection,immunoprecipitate (IP),missing,missing
