Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,gender,tissue,cell type,genotype,GEO Accession
SRR11797927,23940515,2394051500,50,998,SRX8349582,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666202,SAMN14933608,simple,10090,Mus musculus,GSM4555992,GEO,SRA1075960,07,2020,Belle,MPP1,MPP1_Mysm1_Ko_4,MPP1,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Multipotent Progenitors 1 (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34+CD48-),Mysm1-KO (Tamoxifen-treated Mysm1fl/fl CreERT2 mice),GSM4555992
SRR11797928,47513831,4751383100,50,1988,SRX8349583,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666201,SAMN14933607,simple,10090,Mus musculus,GSM4555993,GEO,SRA1075960,07,2020,Belle,MPP1,MPP1_Mysm1_Het_1,MPP1,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Multipotent Progenitors 1 (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34+CD48-),Mysm1-Het (Tamoxifen-treated Mysm1+/fl CreERT2 mice),GSM4555993
SRR11797929,42850645,4285064500,50,1794,SRX8349584,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666203,SAMN14933606,simple,10090,Mus musculus,GSM4555994,GEO,SRA1075960,07,2020,Belle,MPP1,MPP1_Mysm1_Het_2_3,MPP1,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Multipotent Progenitors 1 (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34+CD48-),Mysm1-Het (Tamoxifen-treated Mysm1+/fl CreERT2 mice),GSM4555994
SRR11797930,31448647,3144864700,50,1310,SRX8349585,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666204,SAMN14933605,simple,10090,Mus musculus,GSM4555995,GEO,SRA1075960,07,2020,Belle,MPP1,MPP1_Mysm1_Het_4,MPP1,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Multipotent Progenitors 1 (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34+CD48-),Mysm1-Het (Tamoxifen-treated Mysm1+/fl CreERT2 mice),GSM4555995
SRR11797931,35935565,3593556500,50,1482,SRX8349586,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666205,SAMN14933628,simple,10090,Mus musculus,GSM4555996,GEO,SRA1075960,07,2020,Belle,MPP1,MPP1_Mysm1_Sham_2_3,MPP1,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Multipotent Progenitors 1 (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34+CD48-),Mysm1-WT (Corn oil treated control Mysm1 fl mice),GSM4555996
SRR11797932,38213848,3821384800,50,1581,SRX8349587,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666206,SAMN14933627,simple,10090,Mus musculus,GSM4555997,GEO,SRA1075960,07,2020,Belle,MPP1,MPP1_Mysm1_Sham_4,MPP1,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Multipotent Progenitors 1 (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34+CD48-),Mysm1-WT (Corn oil treated control Mysm1 fl mice),GSM4555997
SRR11797933,42487960,4248796000,50,1857,SRX8349588,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666207,SAMN14933626,simple,10090,Mus musculus,GSM4555998,GEO,SRA1075960,07,2020,Belle,MPP2,MPP2_Mysm1_Ko_1,MPP2,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Multipotent Progenitors 2 (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34+CD48+),Mysm1-KO (Tamoxifen-treated Mysm1fl/fl CreERT2 mice),GSM4555998
SRR11797934,44293073,4429307300,50,1946,SRX8349589,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666208,SAMN14933625,simple,10090,Mus musculus,GSM4555999,GEO,SRA1075960,07,2020,Belle,MPP2,MPP2_Mysm1_Ko_2_3,MPP2,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Multipotent Progenitors 2 (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34+CD48+),Mysm1-KO (Tamoxifen-treated Mysm1fl/fl CreERT2 mice),GSM4555999
SRR11797935,29484589,2948458900,50,1287,SRX8349590,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666209,SAMN14933624,simple,10090,Mus musculus,GSM4556000,GEO,SRA1075960,07,2020,Belle,MPP2,MPP2_Mysm1_Ko_4,MPP2,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Multipotent Progenitors 2 (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34+CD48+),Mysm1-KO (Tamoxifen-treated Mysm1fl/fl CreERT2 mice),GSM4556000
SRR11797936,40883712,4088371200,50,1791,SRX8349591,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666210,SAMN14933623,simple,10090,Mus musculus,GSM4556001,GEO,SRA1075960,07,2020,Belle,MPP2,MPP2_Mysm1_Het_1,MPP2,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Multipotent Progenitors 2 (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34+CD48+),Mysm1-Het (Tamoxifen-treated Mysm1+/fl CreERT2 mice),GSM4556001
SRR11797937,39020050,3902005000,50,1715,SRX8349592,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666211,SAMN14933622,simple,10090,Mus musculus,GSM4556002,GEO,SRA1075960,07,2020,Belle,MPP2,MPP2_Mysm1_Het_2_3,MPP2,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Multipotent Progenitors 2 (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34+CD48+),Mysm1-Het (Tamoxifen-treated Mysm1+/fl CreERT2 mice),GSM4556002
SRR11797938,42301134,4230113400,50,1850,SRX8349593,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666212,SAMN14933621,simple,10090,Mus musculus,GSM4556003,GEO,SRA1075960,07,2020,Belle,MPP2,MPP2_Mysm1_Het_4,MPP2,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Multipotent Progenitors 2 (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34+CD48+),Mysm1-Het (Tamoxifen-treated Mysm1+/fl CreERT2 mice),GSM4556003
SRR11797939,31386471,3138647100,50,1288,SRX8349594,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666214,SAMN14933620,simple,10090,Mus musculus,GSM4556004,GEO,SRA1075960,07,2020,Belle,MPP2,MPP2_Sham_2_3,MPP2,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Multipotent Progenitors 2 (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34+CD48+),Mysm1-WT (Corn oil treated control Mysm1 fl mice),GSM4556004
SRR11797940,25277453,2527745300,50,1040,SRX8349595,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261868,PRJNA633125,32641579,"",SRS6666213,SAMN14933619,simple,10090,Mus musculus,GSM4556005,GEO,SRA1075960,07,2020,Belle,MPP2,MPP2_Sham_4,MPP2,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Bone marrow,Multipotent Progenitors 2 (Bone marrow cells sorted by gates Lin-Sca1+cKit+CD150+Flt3-CD34+CD48+),Mysm1-WT (Corn oil treated control Mysm1 fl mice),GSM4556005
