Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,drug treatment,tissue,developmental stage,GEO Accession
SRR3199143,7607164,387965364,51,184,SRX1609177,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318699,SAMN04527059,simple,34765,Oikopleura dioica,GSM2078095,GEO,SRA364670,11,2019,Danks,Female animals,3 Total RNA DMSO 2,Female animals,DMSO,Whole animal,Day 6,GSM2078104
SRR3199144,7677928,391574328,51,187,SRX1609177,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318699,SAMN04527059,simple,34765,Oikopleura dioica,GSM2078095,GEO,SRA364670,11,2019,Danks,Female animals,3 Total RNA DMSO 2,Female animals,Torin 1,Whole animal,Day 6,GSM2078105
SRR3199145,6016581,306845631,51,137,SRX1609178,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318698,SAMN04527060,simple,34765,Oikopleura dioica,GSM2078096,GEO,SRA364670,11,2019,Danks,Female animals,4 Total RNA Torin 2,Female animals,DMSO,Whole animal,Day 6,GSM2078092
SRR3199146,6037191,307896741,51,138,SRX1609178,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318698,SAMN04527060,simple,34765,Oikopleura dioica,GSM2078096,GEO,SRA364670,11,2019,Danks,Female animals,4 Total RNA Torin 2,Female animals,Torin 1,Whole animal,Day 6,GSM2078093
SRR3199147,4224481,215448531,51,102,SRX1609178,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318698,SAMN04527060,simple,34765,Oikopleura dioica,GSM2078096,GEO,SRA364670,11,2019,Danks,Female animals,4 Total RNA Torin 2,Female animals,DMSO,Whole animal,Day 6,GSM2078095
SRR3199148,4250852,216793452,51,103,SRX1609178,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318698,SAMN04527060,simple,34765,Oikopleura dioica,GSM2078096,GEO,SRA364670,11,2019,Danks,Female animals,4 Total RNA Torin 2,Female animals,Torin 1,Whole animal,Day 6,GSM2078096
SRR3199149,42906847,2188249197,51,968,SRX1609179,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318697,SAMN04527061,simple,34765,Oikopleura dioica,GSM2078097,GEO,SRA364670,11,2019,Danks,Female animals,5 RPF DMSO 1,Female animals,DMSO,Whole animal,Day 6,GSM2078097
SRR3199150,42802752,2182940352,51,968,SRX1609179,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318697,SAMN04527061,simple,34765,Oikopleura dioica,GSM2078097,GEO,SRA364670,11,2019,Danks,Female animals,5 RPF DMSO 1,Female animals,Torin 1,Whole animal,Day 6,GSM2078098
SRR3199151,21886546,1116213846,51,527,SRX1609179,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318697,SAMN04527061,simple,34765,Oikopleura dioica,GSM2078097,GEO,SRA364670,11,2019,Danks,Female animals,5 RPF DMSO 1,Female animals,DMSO,Whole animal,Day 6,GSM2078099
SRR3199152,21898497,1116823347,51,530,SRX1609179,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318697,SAMN04527061,simple,34765,Oikopleura dioica,GSM2078097,GEO,SRA364670,11,2019,Danks,Female animals,5 RPF DMSO 1,Female animals,Torin 1,Whole animal,Day 6,GSM2078100
SRR3199153,18654657,951387507,51,421,SRX1609180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318696,SAMN04527062,simple,34765,Oikopleura dioica,GSM2078098,GEO,SRA364670,11,2019,Danks,Female animals,6 RPF Torin 1,Female animals,DMSO,Whole animal,Day 6,GSM2078101
SRR3199154,18699497,953674347,51,422,SRX1609180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318696,SAMN04527062,simple,34765,Oikopleura dioica,GSM2078098,GEO,SRA364670,11,2019,Danks,Female animals,6 RPF Torin 1,Female animals,Torin 1,Whole animal,Day 6,GSM2078103
SRR3199155,13142157,670250007,51,316,SRX1609180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318696,SAMN04527062,simple,34765,Oikopleura dioica,GSM2078098,GEO,SRA364670,11,2019,Danks,Female animals,6 RPF Torin 1,Female animals,DMSO,Whole animal,Day 6,GSM2078104
SRR3199156,13231977,674830827,51,319,SRX1609180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318696,SAMN04527062,simple,34765,Oikopleura dioica,GSM2078098,GEO,SRA364670,11,2019,Danks,Female animals,6 RPF Torin 1,Female animals,Torin 1,Whole animal,Day 6,GSM2078105
SRR3199157,18764132,956970732,51,425,SRX1609181,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318695,SAMN04527063,simple,34765,Oikopleura dioica,GSM2078099,GEO,SRA364670,11,2019,Danks,Female animals,7 RPF DMSO 2,Female animals,DMSO,Whole animal,Day 6,GSM2078092
SRR3199158,18774138,957481038,51,426,SRX1609181,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318695,SAMN04527063,simple,34765,Oikopleura dioica,GSM2078099,GEO,SRA364670,11,2019,Danks,Female animals,7 RPF DMSO 2,Female animals,Torin 1,Whole animal,Day 6,GSM2078093
SRR3199159,13303574,678482274,51,321,SRX1609181,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318695,SAMN04527063,simple,34765,Oikopleura dioica,GSM2078099,GEO,SRA364670,11,2019,Danks,Female animals,7 RPF DMSO 2,Female animals,DMSO,Whole animal,Day 6,GSM2078095
SRR3199160,13354354,681072054,51,323,SRX1609181,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318695,SAMN04527063,simple,34765,Oikopleura dioica,GSM2078099,GEO,SRA364670,11,2019,Danks,Female animals,7 RPF DMSO 2,Female animals,Torin 1,Whole animal,Day 6,GSM2078096
SRR3199161,17055621,869836671,51,386,SRX1609182,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318694,SAMN04527064,simple,34765,Oikopleura dioica,GSM2078100,GEO,SRA364670,11,2019,Danks,Female animals,8 RPF Torin 2,Female animals,DMSO,Whole animal,Day 6,GSM2078097
SRR3199162,17077465,870950715,51,387,SRX1609182,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318694,SAMN04527064,simple,34765,Oikopleura dioica,GSM2078100,GEO,SRA364670,11,2019,Danks,Female animals,8 RPF Torin 2,Female animals,Torin 1,Whole animal,Day 6,GSM2078098
SRR3199163,13109192,668568792,51,316,SRX1609182,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318694,SAMN04527064,simple,34765,Oikopleura dioica,GSM2078100,GEO,SRA364670,11,2019,Danks,Female animals,8 RPF Torin 2,Female animals,DMSO,Whole animal,Day 6,GSM2078099
SRR3199164,13154542,670881642,51,318,SRX1609182,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318694,SAMN04527064,simple,34765,Oikopleura dioica,GSM2078100,GEO,SRA364670,11,2019,Danks,Female animals,8 RPF Torin 2,Female animals,Torin 1,Whole animal,Day 6,GSM2078100
SRR3199165,13899083,708853233,51,315,SRX1609183,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318693,SAMN04527065,simple,34765,Oikopleura dioica,GSM2078101,GEO,SRA364670,11,2019,Danks,Female animals,9 Total RNA DMSO 3,Female animals,DMSO,Whole animal,Day 6,GSM2078101
SRR3199166,13961485,712035735,51,317,SRX1609183,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318693,SAMN04527065,simple,34765,Oikopleura dioica,GSM2078101,GEO,SRA364670,11,2019,Danks,Female animals,9 Total RNA DMSO 3,Female animals,Torin 1,Whole animal,Day 6,GSM2078103
SRR3199167,13038415,664959165,51,315,SRX1609183,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318693,SAMN04527065,simple,34765,Oikopleura dioica,GSM2078101,GEO,SRA364670,11,2019,Danks,Female animals,9 Total RNA DMSO 3,Female animals,DMSO,Whole animal,Day 6,GSM2078104
SRR3199168,13077226,666938526,51,316,SRX1609183,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318693,SAMN04527065,simple,34765,Oikopleura dioica,GSM2078101,GEO,SRA364670,11,2019,Danks,Female animals,9 Total RNA DMSO 3,Female animals,Torin 1,Whole animal,Day 6,GSM2078105
SRR3199169,13670509,697195959,51,310,SRX1609184,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318692,SAMN04527066,simple,34765,Oikopleura dioica,GSM2078103,GEO,SRA364670,11,2019,Danks,Female animals,10 Total RNA Torin 3,Female animals,DMSO,Whole animal,Day 6,GSM2078092
SRR3199170,13723196,699882996,51,312,SRX1609184,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318692,SAMN04527066,simple,34765,Oikopleura dioica,GSM2078103,GEO,SRA364670,11,2019,Danks,Female animals,10 Total RNA Torin 3,Female animals,Torin 1,Whole animal,Day 6,GSM2078093
SRR3199171,13003506,663178806,51,315,SRX1609184,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318692,SAMN04527066,simple,34765,Oikopleura dioica,GSM2078103,GEO,SRA364670,11,2019,Danks,Female animals,10 Total RNA Torin 3,Female animals,DMSO,Whole animal,Day 6,GSM2078095
SRR3199172,12919964,658918164,51,313,SRX1609184,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318692,SAMN04527066,simple,34765,Oikopleura dioica,GSM2078103,GEO,SRA364670,11,2019,Danks,Female animals,10 Total RNA Torin 3,Female animals,Torin 1,Whole animal,Day 6,GSM2078096
SRR3199173,18023800,919213800,51,409,SRX1609185,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318691,SAMN04527067,simple,34765,Oikopleura dioica,GSM2078104,GEO,SRA364670,11,2019,Danks,Female animals,11 RPF DMSO 3,Female animals,DMSO,Whole animal,Day 6,GSM2078097
SRR3199174,18054928,920801328,51,411,SRX1609185,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318691,SAMN04527067,simple,34765,Oikopleura dioica,GSM2078104,GEO,SRA364670,11,2019,Danks,Female animals,11 RPF DMSO 3,Female animals,Torin 1,Whole animal,Day 6,GSM2078098
SRR3199175,13194548,672921948,51,320,SRX1609185,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318691,SAMN04527067,simple,34765,Oikopleura dioica,GSM2078104,GEO,SRA364670,11,2019,Danks,Female animals,11 RPF DMSO 3,Female animals,DMSO,Whole animal,Day 6,GSM2078099
SRR3199176,13182117,672287967,51,320,SRX1609185,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318691,SAMN04527067,simple,34765,Oikopleura dioica,GSM2078104,GEO,SRA364670,11,2019,Danks,Female animals,11 RPF DMSO 3,Female animals,Torin 1,Whole animal,Day 6,GSM2078100
SRR3199177,14171244,722733444,51,321,SRX1609186,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318690,SAMN04527068,simple,34765,Oikopleura dioica,GSM2078105,GEO,SRA364670,11,2019,Danks,Female animals,12 RPF Torin 3,Female animals,DMSO,Whole animal,Day 6,GSM2078101
SRR3199178,14146698,721481598,51,321,SRX1609186,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318690,SAMN04527068,simple,34765,Oikopleura dioica,GSM2078105,GEO,SRA364670,11,2019,Danks,Female animals,12 RPF Torin 3,Female animals,Torin 1,Whole animal,Day 6,GSM2078103
SRR3199179,11653006,594303306,51,281,SRX1609186,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318690,SAMN04527068,simple,34765,Oikopleura dioica,GSM2078105,GEO,SRA364670,11,2019,Danks,Female animals,12 RPF Torin 3,Female animals,DMSO,Whole animal,Day 6,GSM2078104
SRR3199180,11525829,587817279,51,278,SRX1609186,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071049,PRJNA314019,31783727,"",SRS1318690,SAMN04527068,simple,34765,Oikopleura dioica,GSM2078105,GEO,SRA364670,11,2019,Danks,Female animals,12 RPF Torin 3,Female animals,Torin 1,Whole animal,Day 6,GSM2078105
