Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,molecule,strain,stress,chip antibody,genotype/variation,tissue,GEO Accession
SRR5933672,57074022,2796627078,49,1503,SRX3093812,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431142,SAMN07507515,simple,10090,Mus musculus,GSM2742554,GEO,SRA599211,08,2017,Zhou,mouse liver,m6A_seq_mouse_liver_normal_condition,mouse liver,,m6A-modified RNA,C57BL/6,normal,Anti-N6-methyladenosine (m6A) Antibody,,liver,GSM2742554
SRR5933673,47647686,2334736614,49,1163,SRX3093813,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431143,SAMN07507514,simple,10090,Mus musculus,GSM2742555,GEO,SRA599211,08,2017,Zhou,mouse liver,m6A_seq_mouse_liver_normal_condition_FTO_OE,mouse liver,,m6A-modified RNA,C57BL/6,normal,Anti-N6-methyladenosine (m6A) Antibody,FTO overexpression,liver,GSM2742555
SRR5933674,24240091,1187764459,49,647,SRX3093814,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431144,SAMN07507513,simple,10090,Mus musculus,GSM2742556,GEO,SRA599211,08,2017,Zhou,mouse liver,m6A_seq_mouse_liver_fasting_condition,mouse liver,,m6A-modified RNA,C57BL/6,fasting,Anti-N6-methyladenosine (m6A) Antibody,,liver,GSM2742556
SRR5933675,66594816,3263145984,49,1726,SRX3093815,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431145,SAMN07507512,simple,10090,Mus musculus,GSM2742557,GEO,SRA599211,08,2017,Zhou,mouse liver,m6A_seq_mouse_liver_fasting_condition_FTO_OE,mouse liver,,m6A-modified RNA,C57BL/6,fasting,Anti-N6-methyladenosine (m6A) Antibody,FTO overexpression,liver,GSM2742557
SRR5933676,51300662,2513732438,49,1307,SRX3093816,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431146,SAMN07507511,simple,10090,Mus musculus,GSM2742558,GEO,SRA599211,08,2017,Zhou,mouse liver,RNA_seq_mouse_liver_normal_condition,mouse liver,,total RNA,C57BL/6,normal,,,liver,GSM2742558
SRR5933677,42714635,2093017115,49,1212,SRX3093817,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431147,SAMN07507510,simple,10090,Mus musculus,GSM2742559,GEO,SRA599211,08,2017,Zhou,mouse liver,RNA_seq_mouse_liver_normal_condition_FTO_OE,mouse liver,,total RNA,C57BL/6,normal,,FTO overexpression,liver,GSM2742559
SRR5933678,54415731,2666370819,49,1376,SRX3093818,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431148,SAMN07507509,simple,10090,Mus musculus,GSM2742560,GEO,SRA599211,08,2017,Zhou,mouse liver,RNA_seq_mouse_liver_fasting_condition,mouse liver,,total RNA,C57BL/6,fasting,,,liver,GSM2742560
SRR5933679,40217296,1970647504,49,1132,SRX3093819,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431149,SAMN07507508,simple,10090,Mus musculus,GSM2742561,GEO,SRA599211,08,2017,Zhou,mouse liver,RNA_seq_mouse_liver_fasting_condition_FTO_OE,mouse liver,,total RNA,C57BL/6,fasting,,FTO overexpression,liver,GSM2742561
SRR5933680,42026803,2059313347,49,825,SRX3093820,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431150,SAMN07507507,simple,10090,Mus musculus,GSM2742562,GEO,SRA599211,08,2017,Zhou,mouse liver,m6A_seq_mouse_liver_normal_condition_rep2,mouse liver,,m6A-modified RNA,C57BL/6,normal,Anti-N6-methyladenosine (m6A) Antibody,,liver,GSM2742562
SRR5933681,36579798,1792410102,49,700,SRX3093821,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431152,SAMN07507506,simple,10090,Mus musculus,GSM2742563,GEO,SRA599211,08,2017,Zhou,mouse liver,m6A_seq_mouse_liver_normal_condition_FTO_OE_rep2,mouse liver,,m6A-modified RNA,C57BL/6,normal,Anti-N6-methyladenosine (m6A) Antibody,FTO overexpression,liver,GSM2742563
SRR5933682,39528206,1936882094,49,784,SRX3093822,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431151,SAMN07507505,simple,10090,Mus musculus,GSM2742564,GEO,SRA599211,08,2017,Zhou,mouse liver,m6A_seq_mouse_liver_fasting_condition_rep2,mouse liver,,m6A-modified RNA,C57BL/6,fasting,Anti-N6-methyladenosine (m6A) Antibody,,liver,GSM2742564
SRR5933683,51309324,2514156876,49,1251,SRX3093823,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431153,SAMN07507504,simple,10090,Mus musculus,GSM2742565,GEO,SRA599211,08,2017,Zhou,mouse liver,Ribo_seq_mouse_liver_normal_condition,mouse liver,,Ribo-associated RNA,C57BL/6,normal,,,liver,GSM2742565
SRR5933684,45884537,2248342313,49,1136,SRX3093824,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431154,SAMN07507503,simple,10090,Mus musculus,GSM2742566,GEO,SRA599211,08,2017,Zhou,mouse liver,Ribo_seq_mouse_liver_normal_condition_FTO_OE,mouse liver,,Ribo-associated RNA,C57BL/6,normal,,FTO overexpression,liver,GSM2742566
SRR5933685,60018119,2940887831,49,1609,SRX3093825,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431155,SAMN07507502,simple,10090,Mus musculus,GSM2742567,GEO,SRA599211,08,2017,Zhou,mouse liver,Ribo_seq_mouse_liver_fasting_condition,mouse liver,,Ribo-associated RNA,C57BL/6,fasting,,,liver,GSM2742567
SRR5933686,60283314,2953882386,49,1611,SRX3093826,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431156,SAMN07507526,simple,10090,Mus musculus,GSM2742568,GEO,SRA599211,08,2017,Zhou,mouse liver,Ribo_seq_mouse_liver_fasting_condition_FTO_OE,mouse liver,,Ribo-associated RNA,C57BL/6,fasting,,FTO overexpression,liver,GSM2742568
SRR5933687,48498466,2473421766,51,952,SRX3093827,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431157,SAMN07507530,simple,10090,Mus musculus,GSM2742569,GEO,SRA599211,08,2017,Zhou,mouse liver,Ribo_seq_mouse_liver_normal_condition_rep2,mouse liver,,Ribo-associated RNA,C57BL/6,normal,,,liver,GSM2742569
SRR5933688,26860146,1369867446,51,545,SRX3093828,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431158,SAMN07507528,simple,10090,Mus musculus,GSM2742570,GEO,SRA599211,08,2017,Zhou,mouse liver,Ribo_seq_mouse_liver_normal_condition_FTO_OE_rep2,mouse liver,,Ribo-associated RNA,C57BL/6,normal,,FTO overexpression,liver,GSM2742570
SRR5933689,53968954,2752416654,51,1017,SRX3093829,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431159,SAMN07507527,simple,10090,Mus musculus,GSM2742571,GEO,SRA599211,08,2017,Zhou,mouse liver,Ribo_seq_mouse_liver_fasting_condition_rep2,mouse liver,,Ribo-associated RNA,C57BL/6,fasting,,,liver,GSM2742571
SRR5933690,50483153,2574640803,51,954,SRX3093830,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431160,SAMN07507529,simple,10090,Mus musculus,GSM2742572,GEO,SRA599211,08,2017,Zhou,mouse liver,Ribo_seq_mouse_liver_fasting_condition_FTO_OE_rep2,mouse liver,,Ribo-associated RNA,C57BL/6,fasting,,FTO overexpression,liver,GSM2742572
