Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,breed,cultivar,ecotype,age,dev_stage,sex,tissue,biomaterial_provider,collected_by,collection_date,genotype,growth_protocol,phenotype,treatment,BioSampleModel
SRR7430917,109922673,5496133650,50,1703,SRX4301662,SJA72_MS_2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP151363,PRJNA477865,1,"",SRS3464260,SAMN09485633,simple,6239,Caenorhabditis elegans,SJA72,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-02-15,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA40,Unc,RNAi against unc-54 (BJA40),Model organism or animal
SRR7430916,22351723,1695838540,75,695,SRX4301663,SJA66_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464262,SAMN09485627,simple,6239,Caenorhabditis elegans,SJA66,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,84 hr,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-10,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,"twitching, <30% of adults with eggs",RNAi against unc-22 (BJA7),Model organism or animal
SRR7430915,9857637,686168138,69,287,SRX4301664,SJA66_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464262,SAMN09485627,simple,6239,Caenorhabditis elegans,SJA66,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,84 hr,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-10,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,"twitching, <30% of adults with eggs",RNAi against unc-22 (BJA7),Model organism or animal
SRR7430914,8207414,574518980,70,266,SRX4301665,SJA106_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464264,SAMN09485638,simple,6239,Caenorhabditis elegans,SJA106,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2854,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2,Grown at 16C on NGM+Carb+IPTG seeded with BJA77,Unc,RNAi against unc-15 (BJA77),Model organism or animal
SRR7430913,7573465,530142550,70,246,SRX4301666,SJA110_MS,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464263,SAMN09485642,simple,6239,Caenorhabditis elegans,SJA110,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,"Larval, up to L4",hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA151,Unc,RNAi against unc-54 (BJA151),Model organism or animal
SRR7430912,12181527,852706890,70,393,SRX4301667,SJA107_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464265,SAMN09485639,simple,6239,Caenorhabditis elegans,SJA107,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,"Larval, up to L4",hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA77,Unc,RNAi against unc-15 (BJA77),Model organism or animal
SRR7430911,106945888,5347294400,50,1663,SRX4301668,SJA70_MS_2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP151363,PRJNA477865,1,"",SRS3464266,SAMN09485631,simple,6239,Caenorhabditis elegans,SJA70,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-02-15,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,some twitches,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430910,1866314,93315700,50,43,SRX4301669,SJA72_MS_1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464260,SAMN09485633,simple,6239,Caenorhabditis elegans,SJA72,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-02-15,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA40,Unc,RNAi against unc-54 (BJA40),Model organism or animal
SRR7430909,2375984,118799200,50,54,SRX4301670,SJA71_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464267,SAMN09485632,simple,6239,Caenorhabditis elegans,SJA71,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-02-15,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA40,Unc,RNAi against unc-54 (BJA40),Model organism or animal
SRR7430908,1857123,92856150,50,42,SRX4301671,SJA72_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464260,SAMN09485633,simple,6239,Caenorhabditis elegans,SJA72,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-02-15,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA40,Unc,RNAi against unc-54 (BJA40),Model organism or animal
SRR7430907,7427518,519926260,70,238,SRX4301672,SJA112_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464268,SAMN09485644,simple,6239,Caenorhabditis elegans,SJA112,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2854,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2,Grown at 16C on NGM+Carb+IPTG seeded with BJA153,Unc,RNAi against unc-54 (BJA153),Model organism or animal
SRR7430906,8133423,610006725,75,265,SRX4301673,SJA71_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464267,SAMN09485632,simple,6239,Caenorhabditis elegans,SJA71,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-02-15,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA40,Unc,RNAi against unc-54 (BJA40),Model organism or animal
SRR7430905,9492032,664442240,70,312,SRX4301674,SJA108_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464269,SAMN09485640,simple,6239,Caenorhabditis elegans,SJA108,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA151,Unc,RNAi against unc-54 (BJA151),Model organism or animal
SRR7430904,26027649,1301382450,50,402,SRX4301675,SJA71_MS_2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP151363,PRJNA477865,1,"",SRS3464267,SAMN09485632,simple,6239,Caenorhabditis elegans,SJA71,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-02-15,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA40,Unc,RNAi against unc-54 (BJA40),Model organism or animal
SRR7430903,8425222,589765540,70,277,SRX4301676,SJA109_MS,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464270,SAMN09485641,simple,6239,Caenorhabditis elegans,SJA109,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2854,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2,Grown at 16C on NGM+Carb+IPTG seeded with BJA151,Unc,RNAi against unc-54 (BJA151),Model organism or animal
SRR7430902,7656593,535961510,70,245,SRX4301677,SJA108_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464269,SAMN09485640,simple,6239,Caenorhabditis elegans,SJA108,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA151,Unc,RNAi against unc-54 (BJA151),Model organism or animal
SRR7430901,9049844,633489080,70,297,SRX4301678,SJA109_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464270,SAMN09485641,simple,6239,Caenorhabditis elegans,SJA109,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2854,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2,Grown at 16C on NGM+Carb+IPTG seeded with BJA151,Unc,RNAi against unc-54 (BJA151),Model organism or animal
SRR7430900,7295962,510717340,70,235,SRX4301679,SJA104_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464271,SAMN09485636,simple,6239,Caenorhabditis elegans,SJA104,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,"Larval, up to L4",hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,some twitches,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430899,5867029,410692030,70,191,SRX4301680,SJA105_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464272,SAMN09485637,simple,6239,Caenorhabditis elegans,SJA105,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA77,Unc,RNAi against unc-15 (BJA77),Model organism or animal
SRR7430898,1778882,88944100,50,40,SRX4301681,SJA70_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464266,SAMN09485631,simple,6239,Caenorhabditis elegans,SJA70,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-02-15,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,some twitches,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430897,1820752,91037600,50,42,SRX4301682,SJA70_MS_1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464266,SAMN09485631,simple,6239,Caenorhabditis elegans,SJA70,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-02-15,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,some twitches,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430896,8577652,600435640,70,276,SRX4301683,SJA110_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464263,SAMN09485642,simple,6239,Caenorhabditis elegans,SJA110,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,"Larval, up to L4",hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA151,Unc,RNAi against unc-54 (BJA151),Model organism or animal
SRR7430895,5823358,407635060,70,192,SRX4301684,SJA111_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464261,SAMN09485643,simple,6239,Caenorhabditis elegans,SJA111,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA153,Unc,RNAi against unc-54 (BJA153),Model organism or animal
SRR7430894,1892820,94641000,50,42,SRX4301685,SJA69_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464273,SAMN09485630,simple,6239,Caenorhabditis elegans,SJA69,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-02-15,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,some twitches,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430893,2203345,110167250,50,51,SRX4301686,SJA69_MS_1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464273,SAMN09485630,simple,6239,Caenorhabditis elegans,SJA69,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-02-15,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,some twitches,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430892,80329166,4016458300,50,1248,SRX4301687,SJA69_MS_2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP151363,PRJNA477865,1,"",SRS3464273,SAMN09485630,simple,6239,Caenorhabditis elegans,SJA69,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-02-15,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,some twitches,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430891,6791186,509338950,75,223,SRX4301688,SJA69_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464273,SAMN09485630,simple,6239,Caenorhabditis elegans,SJA69,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-02-15,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,some twitches,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430890,9245291,644003120,69,273,SRX4301689,SJA67_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464274,SAMN09485628,simple,6239,Caenorhabditis elegans,SJA67,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,84 hr,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-10,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA40,"sluggish, <30% of adults with eggs",RNAi against unc-54 (BJA40),Model organism or animal
SRR7430889,36918461,2802795370,75,1144,SRX4301690,SJA67_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464274,SAMN09485628,simple,6239,Caenorhabditis elegans,SJA67,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,84 hr,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-10,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA40,"sluggish, <30% of adults with eggs",RNAi against unc-54 (BJA40),Model organism or animal
SRR7430888,7261361,492458818,67,205,SRX4301691,SJA68_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464275,SAMN09485629,simple,6239,Caenorhabditis elegans,SJA68,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,84 hr,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-10,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA77,"sluggish, about 20-30% of adults with eggs",RNAi against unc-15 (BJA77),Model organism or animal
SRR7430887,45809953,3478932689,75,1434,SRX4301692,SJA68_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464275,SAMN09485629,simple,6239,Caenorhabditis elegans,SJA68,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,84 hr,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-10,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA77,"sluggish, about 20-30% of adults with eggs",RNAi against unc-15 (BJA77),Model organism or animal
SRR7430886,8397296,587810720,70,271,SRX4301693,SJA113_MS,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464276,SAMN09485645,simple,6239,Caenorhabditis elegans,SJA113,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,"Larval, up to L4",hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA153,Unc,RNAi against unc-54 (BJA153),Model organism or animal
SRR7430885,7973238,558126660,70,257,SRX4301694,SJA102_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464277,SAMN09485634,simple,6239,Caenorhabditis elegans,SJA102,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,some twitches,RNAi against unc-22 (BJA7),Model organism or animal
