Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,fraction,geo_loc_name,collection_date
SRR24898186,55148,2922662,53,2,SRX20660357,GSM7473308,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957637,SAMN35715655,simple,10090,Mus musculus,GSM7473308,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, mES WT rep3",TC1,TC1,mouse embryonic stem cell,WT,no,total RNA,missing,missing
SRR24898185,1989231,142663674,71,97,SRX20660358,GSM7473309,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957639,SAMN35715654,simple,10090,Mus musculus,GSM7473309,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, mES Snord133 KO rep1",TC1,TC1,mouse embryonic stem cell,Snord133 knockout,no,total RNA,missing,missing
SRR24898184,5845703,446842454,76,292,SRX20660359,GSM7473310,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957642,SAMN35715653,simple,10090,Mus musculus,GSM7473310,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, mES Snord133 KO rep2",TC1,TC1,mouse embryonic stem cell,Snord133 knockout,no,total RNA,missing,missing
SRR24898183,5841190,450508247,77,293,SRX20660360,GSM7473311,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957627,SAMN35715652,simple,10090,Mus musculus,GSM7473311,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, mES Snord133 KO rep3",TC1,TC1,mouse embryonic stem cell,Snord133 knockout,no,total RNA,missing,missing
SRR24898182,2975656,223103263,74,143,SRX20660361,GSM7473312,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957631,SAMN35715651,simple,10090,Mus musculus,GSM7473312,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, EB WT rep1",TC1,TC1,mouse embryonic stem cell,WT,cardiomyocyte differentiation,total RNA,missing,missing
SRR24898181,4118582,316521790,76,200,SRX20660362,GSM7473313,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957633,SAMN35715650,simple,10090,Mus musculus,GSM7473313,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, EB WT rep2",TC1,TC1,mouse embryonic stem cell,WT,cardiomyocyte differentiation,total RNA,missing,missing
SRR24898180,4125398,322949539,78,202,SRX20660363,GSM7473314,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957629,SAMN35715649,simple,10090,Mus musculus,GSM7473314,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, EB WT rep3",TC1,TC1,mouse embryonic stem cell,WT,cardiomyocyte differentiation,total RNA,missing,missing
SRR24898179,1773246,119702007,67,82,SRX20660364,GSM7473315,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957630,SAMN35715648,simple,10090,Mus musculus,GSM7473315,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, EB Snord133 KO rep1",TC1,TC1,mouse embryonic stem cell,Snord133 knockout,cardiomyocyte differentiation,total RNA,missing,missing
SRR24898178,3517982,273490920,77,171,SRX20660365,GSM7473316,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957632,SAMN35715647,simple,10090,Mus musculus,GSM7473316,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, EB Snord133 KO rep2",TC1,TC1,mouse embryonic stem cell,Snord133 knockout,cardiomyocyte differentiation,total RNA,missing,missing
SRR24898177,3239059,245506776,75,156,SRX20660366,GSM7473317,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957641,SAMN35715646,simple,10090,Mus musculus,GSM7473317,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, EB SnordD133 KO rep3",TC1,TC1,mouse embryonic stem cell,Snord133 knockout,cardiomyocyte differentiation,total RNA,missing,missing
SRR24898176,2339805,169870524,72,112,SRX20660367,GSM7473318,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957636,SAMN35715645,simple,10090,Mus musculus,GSM7473318,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, CM WT rep1",TC1,TC1,mouse embryonic stem cell,WT,cardiomyocyte differentiation,total RNA,missing,missing
SRR24898175,210599,16470385,78,10,SRX20660368,GSM7473319,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957640,SAMN35715644,simple,10090,Mus musculus,GSM7473319,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, CM WT rep2",TC1,TC1,mouse embryonic stem cell,WT,cardiomyocyte differentiation,total RNA,missing,missing
SRR24898174,2512159,175143881,69,118,SRX20660369,GSM7473320,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957649,SAMN35715643,simple,10090,Mus musculus,GSM7473320,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, CM WT rep3",TC1,TC1,mouse embryonic stem cell,WT,cardiomyocyte differentiation,total RNA,missing,missing
SRR24898173,3094844,228537541,73,147,SRX20660370,GSM7473321,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957645,SAMN35715642,simple,10090,Mus musculus,GSM7473321,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, CM Snord133 KO rep1",TC1,TC1,mouse embryonic stem cell,Snord133 knockout,cardiomyocyte differentiation,total RNA,missing,missing
SRR24898172,2815579,204457897,72,133,SRX20660371,GSM7473322,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957643,SAMN35715641,simple,10090,Mus musculus,GSM7473322,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, CM Snord133 KO rep2",TC1,TC1,mouse embryonic stem cell,Snord133 knockout,cardiomyocyte differentiation,total RNA,missing,missing
SRR24898171,1542830,103814202,67,70,SRX20660372,GSM7473323,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957644,SAMN35715640,simple,10090,Mus musculus,GSM7473323,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,TC1,"total RNA seq, CM Snord133 KO rep3",TC1,TC1,mouse embryonic stem cell,Snord133 knockout,cardiomyocyte differentiation,total RNA,missing,missing
SRR24898170,2388113,102278120,42,39,SRX20660373,GSM7473324,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957653,SAMN35715639,simple,9606,Homo sapiens,GSM7473324,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"small RNA seq, HEK293 WT rep1",HEK293,HEK293,human embryonic kidney cells,WT,Oxidative stress,small RNA (15-50nt),missing,missing
SRR24898169,3482385,149198610,42,57,SRX20660374,GSM7473325,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957647,SAMN35715638,simple,9606,Homo sapiens,GSM7473325,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"small RNA seq, HEK293 WT rep2",HEK293,HEK293,human embryonic kidney cells,WT,Oxidative stress,small RNA (15-50nt),missing,missing
SRR24898168,4117064,164212000,39,63,SRX20660375,GSM7473326,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957655,SAMN35715637,simple,9606,Homo sapiens,GSM7473326,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"small RNA seq, HEK293 SNORD97/133 KO rep1",HEK293,HEK293,human embryonic kidney cells,SNORD97/133 double knockout,Oxidative stress,small RNA (15-50nt),missing,missing
SRR24898167,5296505,208721790,39,80,SRX20660376,GSM7473327,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957646,SAMN35715636,simple,9606,Homo sapiens,GSM7473327,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"small RNA seq, HEK293 SNORD97/133 KO rep2",HEK293,HEK293,human embryonic kidney cells,SNORD97/133 double knockout,Oxidative stress,small RNA (15-50nt),missing,missing
SRR24898166,5602762,222746960,39,85,SRX20660377,GSM7473328,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957648,SAMN35715635,simple,9606,Homo sapiens,GSM7473328,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"small RNA seq, HEK293 SNORD97 KO rep1",HEK293,HEK293,human embryonic kidney cells,SNORD97 knockout,Oxidative stress,small RNA (15-50nt),missing,missing
SRR24898165,2515404,101238869,40,39,SRX20660378,GSM7473329,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957652,SAMN35715634,simple,9606,Homo sapiens,GSM7473329,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"small RNA seq, HEK293 SNORD97 KO rep2",HEK293,HEK293,human embryonic kidney cells,SNORD97 knockout,Oxidative stress,small RNA (15-50nt),missing,missing
SRR24898164,3826719,145549429,38,56,SRX20660379,GSM7473330,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957650,SAMN35715633,simple,9606,Homo sapiens,GSM7473330,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"small RNA seq, HEK293 SNORD133 KO rep1",HEK293,HEK293,human embryonic kidney cells,SNORD133 knockout,Oxidative stress,small RNA (15-50nt),missing,missing
SRR24898163,4457335,169393299,38,65,SRX20660380,GSM7473331,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957651,SAMN35715632,simple,9606,Homo sapiens,GSM7473331,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"small RNA seq, HEK293 SNORD133 KO rep2",HEK293,HEK293,human embryonic kidney cells,SNORD133 knockout,Oxidative stress,small RNA (15-50nt),missing,missing
SRR24898162,2249607,97559385,43,38,SRX20660381,GSM7473332,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957654,SAMN35715631,simple,9606,Homo sapiens,GSM7473332,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"small RNA seq, HEK293 siCtrl rep1",HEK293,HEK293,human embryonic kidney cells,Ctrl,Oxidative stress,small RNA (15-50nt),missing,missing
SRR24898161,2097981,92834591,44,35,SRX20660382,GSM7473333,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957656,SAMN35715630,simple,9606,Homo sapiens,GSM7473333,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"small RNA seq, HEK293 siCtrl rep2",HEK293,HEK293,human embryonic kidney cells,Ctrl,Oxidative stress,small RNA (15-50nt),missing,missing
SRR24898160,3087431,121405044,39,47,SRX20660383,GSM7473334,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957662,SAMN35715629,simple,9606,Homo sapiens,GSM7473334,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"small RNA seq, HEK293 sFBL rep1_1",HEK293,HEK293,human embryonic kidney cells,FBL knockdown,Oxidative stress,small RNA (15-50nt),missing,missing
SRR24898159,4817948,188977124,39,73,SRX20660384,GSM7473335,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957657,SAMN35715628,simple,9606,Homo sapiens,GSM7473335,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"small RNA seq, HEK293 sFBL rep1_2",HEK293,HEK293,human embryonic kidney cells,FBL knockdown,Oxidative stress,small RNA (15-50nt),missing,missing
SRR24898158,2334861,86803179,37,34,SRX20660385,GSM7473336,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957658,SAMN35715627,simple,9606,Homo sapiens,GSM7473336,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"small RNA seq, HEK293 sFBL rep2_1",HEK293,HEK293,human embryonic kidney cells,FBL knockdown,Oxidative stress,small RNA (15-50nt),missing,missing
SRR24898157,3642262,133227206,36,52,SRX20660386,GSM7473337,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957659,SAMN35715626,simple,9606,Homo sapiens,GSM7473337,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"small RNA seq, HEK293 sFBL rep2_2",HEK293,HEK293,human embryonic kidney cells,FBL knockdown,Oxidative stress,small RNA (15-50nt),missing,missing
SRR24898156,25450554,887280236,34,931,SRX20660387,GSM7473338,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957660,SAMN35715625,simple,9606,Homo sapiens,GSM7473338,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"Riboseq, HEK293 WT rep1",HEK293,HEK293,human embryonic kidney cells,WT,Flash freezin in liquid nitrogen,,missing,missing
SRR24898155,9250391,289055118,31,329,SRX20660388,GSM7473339,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957661,SAMN35715624,simple,9606,Homo sapiens,GSM7473339,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"Riboseq, HEK293 WT rep2",HEK293,HEK293,human embryonic kidney cells,WT,Flash freezin in liquid nitrogen,,missing,missing
SRR24898154,17653499,560015364,31,631,SRX20660389,GSM7473340,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957663,SAMN35715623,simple,9606,Homo sapiens,GSM7473340,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"Riboseq, HEK293 SNORD97/SNORD133 KO rep1",HEK293,HEK293,human embryonic kidney cells,SNORD97/133 double knockout,Flash freezin in liquid nitrogen,,missing,missing
SRR24898153,11474292,369461387,32,413,SRX20660390,GSM7473341,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957664,SAMN35715622,simple,9606,Homo sapiens,GSM7473341,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"Riboseq, HEK293 SNORD97/SNORD133 KO rep2",HEK293,HEK293,human embryonic kidney cells,SNORD97/133 double knockout,Flash freezin in liquid nitrogen,,missing,missing
SRR24898152,14838929,474990722,32,538,SRX20660391,GSM7473342,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957665,SAMN35715621,simple,9606,Homo sapiens,GSM7473342,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"Riboseq, HEK293 SNORD97 KO rep1",HEK293,HEK293,human embryonic kidney cells,SNORD97 knockout,Flash freezin in liquid nitrogen,,missing,missing
SRR24898151,3423380,107255081,31,123,SRX20660392,GSM7473343,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957666,SAMN35715620,simple,9606,Homo sapiens,GSM7473343,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"Riboseq, HEK293 SNORD97 KO rep2",HEK293,HEK293,human embryonic kidney cells,SNORD97 knockout,Flash freezin in liquid nitrogen,,missing,missing
SRR24898150,10181218,313883723,30,365,SRX20660393,GSM7473344,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957672,SAMN35715619,simple,9606,Homo sapiens,GSM7473344,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"Riboseq, HEK293 SNORD133 KO rep1",HEK293,HEK293,human embryonic kidney cells,SNORD133 knockout,Flash freezin in liquid nitrogen,,missing,missing
SRR24898149,8101407,254160130,31,291,SRX20660394,GSM7473345,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP442897,PRJNA982760,1,"",SRS17957676,SAMN35715618,simple,9606,Homo sapiens,GSM7473345,"Minjie Zhang, Department of Bioinformatics, Tianjin Medical University",SRA1661366,09,2023,Makar,HEK293,"Riboseq, HEK293 SNORD133 KO rep2",HEK293,HEK293,human embryonic kidney cells,SNORD133 knockout,Flash freezin in liquid nitrogen,,missing,missing
