Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,passages,strain,treatment,GEO Accession
SRR7207274,60101162,3005058100,50,1828,SRX4116259,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331547,SAMN09238868,simple,9606,Homo sapiens,GSM3150286,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,TAM_NoG_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150286
SRR7207275,84170296,4208514800,50,2561,SRX4116260,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331548,SAMN09238867,simple,9606,Homo sapiens,GSM3150287,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,TAM_NoBCAA_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150287
SRR7207276,49004653,2450232650,50,1495,SRX4116261,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331549,SAMN09238866,simple,9606,Homo sapiens,GSM3150288,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,TAM_NoQ_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150288
SRR7207277,31621063,1612674213,51,1048,SRX4116262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331550,SAMN09238865,simple,9606,Homo sapiens,GSM3150289,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,EtOH_Ctrl_04hr.3,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150289
SRR7207278,36392781,1856031831,51,1174,SRX4116263,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331551,SAMN09238863,simple,9606,Homo sapiens,GSM3150290,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,EtOH_NoCys_04hr.3,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150290
SRR7207279,29671806,1513262106,51,948,SRX4116264,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331552,SAMN09238862,simple,9606,Homo sapiens,GSM3150291,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,EtOH_NoG_04hr.3,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150291
SRR7207280,35064499,1788289449,51,1126,SRX4116265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331553,SAMN09238861,simple,9606,Homo sapiens,GSM3150292,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,EtOH_NoBCAA_04hr.3,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150292
SRR7207281,34076350,1737893850,51,1128,SRX4116266,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331554,SAMN09238860,simple,9606,Homo sapiens,GSM3150293,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,TAM_Ctrl_04hr.3,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150293
SRR7207282,36245543,1848522693,51,1197,SRX4116267,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331555,SAMN09238859,simple,9606,Homo sapiens,GSM3150294,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,TAM_NoCys_04hr.3,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150294
SRR7207283,38238485,1950162735,51,1246,SRX4116268,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331556,SAMN09238858,simple,9606,Homo sapiens,GSM3150295,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,TAM_NoG_04hr.3,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150295
SRR7207284,29557035,1507408785,51,1003,SRX4116269,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331557,SAMN09238856,simple,9606,Homo sapiens,GSM3150296,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,TAM_NoBCAA_04hr.3,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150296
SRR7207285,35614496,1780724800,50,1063,SRX4116270,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331558,SAMN09238855,simple,9606,Homo sapiens,GSM3150297,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_EtOH_NoQ_30min.1,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150297
SRR7207286,33965692,1698284600,50,964,SRX4116271,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331559,SAMN09238854,simple,9606,Homo sapiens,GSM3150298,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_TAM_NoQ_30min.1,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150298
SRR7207287,30657260,1532863000,50,930,SRX4116272,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331560,SAMN09238852,simple,9606,Homo sapiens,GSM3150299,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_EtOH_Ctrl_04hr.1,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150299
SRR7207288,41008082,2050404100,50,1221,SRX4116273,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331561,SAMN09238851,simple,9606,Homo sapiens,GSM3150300,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_EtOH_NoQ_4hr.1,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150300
SRR7207289,30886861,1544343050,50,890,SRX4116274,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331562,SAMN09238850,simple,9606,Homo sapiens,GSM3150301,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_TAM_Ctrl_04hr.1,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150301
SRR7207290,28663416,1433170800,50,813,SRX4116275,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331563,SAMN09238849,simple,9606,Homo sapiens,GSM3150302,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_TAM_NoQ_4hr.1,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150302
SRR7207291,30588288,1529414400,50,869,SRX4116276,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331564,SAMN09238848,simple,9606,Homo sapiens,GSM3150303,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_TAM_Torin_4hr.1,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150303
SRR7207292,35457945,1772897250,50,1212,SRX4116277,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331565,SAMN09238846,simple,9606,Homo sapiens,GSM3150304,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_EtOH_Ctrl_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150304
SRR7207293,42406898,2120344900,50,1440,SRX4116278,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331566,SAMN09238909,simple,9606,Homo sapiens,GSM3150305,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_EtOH_NoCys_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150305
SRR7207294,35796455,1789822750,50,1193,SRX4116279,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331567,SAMN09238908,simple,9606,Homo sapiens,GSM3150306,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_EtOH_NoG_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150306
SRR7207295,42107324,2105366200,50,1416,SRX4116280,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331568,SAMN09238906,simple,9606,Homo sapiens,GSM3150307,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_EtOH_NoBCAA_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150307
SRR7207296,39194573,1959728650,50,1328,SRX4116281,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331570,SAMN09238905,simple,9606,Homo sapiens,GSM3150308,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_EtOH_NoQ_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150308
SRR7207297,44351973,2217598650,50,1470,SRX4116282,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331571,SAMN09238904,simple,9606,Homo sapiens,GSM3150309,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_TAM_Ctrl_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150309
SRR7207298,43411599,2170579950,50,1424,SRX4116283,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331569,SAMN09238902,simple,9606,Homo sapiens,GSM3150310,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_TAM_NoCys_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150310
SRR7207299,35718581,1785929050,50,1153,SRX4116285,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331574,SAMN09238901,simple,9606,Homo sapiens,GSM3150311,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_TAM_NoG_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150311
SRR7207300,17374597,868729850,50,571,SRX4116286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331573,SAMN09238900,simple,9606,Homo sapiens,GSM3150312,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_TAM_NoBCAA_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150312
SRR7207302,55943133,2797156650,50,1836,SRX4116287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331575,SAMN09238899,simple,9606,Homo sapiens,GSM3150313,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_TAM_NoQ_04hr.2,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150313
SRR7207303,23315445,1165772250,50,650,SRX4116288,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331576,SAMN09238897,simple,9606,Homo sapiens,GSM3150314,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_EtOH_Ctrl_04hr.3,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150314
SRR7207304,22455687,1122784350,50,616,SRX4116289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331577,SAMN09238896,simple,9606,Homo sapiens,GSM3150315,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_EtOH_NoG_04hr.3,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150315
SRR7207305,29011281,1450564050,50,792,SRX4116290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331578,SAMN09238894,simple,9606,Homo sapiens,GSM3150316,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_EtOH_NoCys_04hr.3,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150316
SRR7207306,25505727,1275286350,50,698,SRX4116291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331579,SAMN09238893,simple,9606,Homo sapiens,GSM3150317,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_EtOH_NoBCAA_04hr.3,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Ethanol,GSM3150317
SRR7207307,21474776,1073738800,50,628,SRX4116292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331580,SAMN09238892,simple,9606,Homo sapiens,GSM3150318,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_TAM_Ctrl_04hr.3,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150318
SRR7207308,20882013,1044100650,50,601,SRX4116293,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331581,SAMN09238890,simple,9606,Homo sapiens,GSM3150319,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_TAM_NoG_04hr.3,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150319
SRR7207309,34397908,1719895400,50,982,SRX4116294,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331582,SAMN09238889,simple,9606,Homo sapiens,GSM3150320,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_TAM_NoCys_04hr.3,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150320
SRR7207310,37764551,1888227550,50,1075,SRX4116295,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148767,PRJNA472636,30089253,"",SRS3331584,SAMN09238888,simple,9606,Homo sapiens,GSM3150321,GEO,SRA709715,07,2018,Gameiro,Breast epithelial cell,RNA_TAM_NoBCAA_04hr.3,Breast epithelial cell,MCF10A-ER-Src,04-10,ER-Src expressing,Tamoxifen,GSM3150321
