Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,clip antibody,treatment,phenotype
SRR17454402,45264191,2715851460,60,828,SRX13625592,GSM5773516,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353657,PRJNA794846,35961752,"",SRS11513520,SAMN24659854,simple,9606,Homo sapiens,GSM5773516,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,hESCs shNT_RP_rep2,Embryonic stem cells,hESC H9 (Wa-09),,RNA,shNT
SRR17454401,48808068,2928484080,60,868,SRX13625593,GSM5773517,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353657,PRJNA794846,35961752,"",SRS11513521,SAMN24659853,simple,9606,Homo sapiens,GSM5773517,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,hESCs shNT_RP_rep3,Embryonic stem cells,hESC H9 (Wa-09),,RNA,shNT
SRR17454400,33829468,2029768080,60,616,SRX13625594,GSM5773518,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353657,PRJNA794846,35961752,"",SRS11513522,SAMN24659852,simple,9606,Homo sapiens,GSM5773518,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,hESCs shNT_RP_rep4,Embryonic stem cells,hESC H9 (Wa-09),,RNA,shNT
SRR17454399,41291246,2477474760,60,756,SRX13625595,GSM5773519,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353657,PRJNA794846,35961752,"",SRS11513523,SAMN24659851,simple,9606,Homo sapiens,GSM5773519,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,hESCs shDAP5_RP_rep1,Embryonic stem cells,hESC H9 (Wa-09),,RNA,shDAP5
SRR17454398,42812386,2568743160,60,775,SRX13625596,GSM5773520,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353657,PRJNA794846,35961752,"",SRS11513524,SAMN24659850,simple,9606,Homo sapiens,GSM5773520,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,hESCs shDAP5_RP_rep2,Embryonic stem cells,hESC H9 (Wa-09),,RNA,shDAP5
SRR17454397,81853176,4911190560,60,1467,SRX13625597,GSM5773521,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353657,PRJNA794846,35961752,"",SRS11513525,SAMN24659849,simple,9606,Homo sapiens,GSM5773521,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,hESCs shDAP5_RP_rep3,Embryonic stem cells,hESC H9 (Wa-09),,RNA,shDAP5
SRR17454396,34522109,2071326540,60,622,SRX13625598,GSM5773522,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353657,PRJNA794846,35961752,"",SRS11513526,SAMN24659848,simple,9606,Homo sapiens,GSM5773522,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,hESCs shDAP5_RP_rep4,Embryonic stem cells,hESC H9 (Wa-09),,RNA,shDAP5
SRR17454395,9587800,524989491,54,173,SRX13625599,GSM5773523,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353657,PRJNA794846,35961752,"",SRS11513527,SAMN24659847,simple,9606,Homo sapiens,GSM5773523,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,hESCs shNT_total_rep1,Embryonic stem cells,hESC H9 (Wa-09),,RNA,shNT
SRR17454394,10445800,573707364,54,190,SRX13625600,GSM5773524,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353657,PRJNA794846,35961752,"",SRS11513528,SAMN24659846,simple,9606,Homo sapiens,GSM5773524,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,hESCs shNT_total_rep2,Embryonic stem cells,hESC H9 (Wa-09),,RNA,shNT
SRR17454393,10301594,564157596,54,188,SRX13625601,GSM5773525,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353657,PRJNA794846,35961752,"",SRS11513529,SAMN24659845,simple,9606,Homo sapiens,GSM5773525,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,hESCs shNT_total_rep3,Embryonic stem cells,hESC H9 (Wa-09),,RNA,shNT
SRR17454392,13170227,720672204,54,238,SRX13625602,GSM5773526,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353657,PRJNA794846,35961752,"",SRS11513530,SAMN24659844,simple,9606,Homo sapiens,GSM5773526,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,hESCs shNT_total_rep4,Embryonic stem cells,hESC H9 (Wa-09),,RNA,shNT
SRR17454391,9390935,511114719,54,167,SRX13625603,GSM5773527,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353657,PRJNA794846,35961752,"",SRS11513531,SAMN24659843,simple,9606,Homo sapiens,GSM5773527,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,hESCs shDAP5_total_rep1,Embryonic stem cells,hESC H9 (Wa-09),,RNA,shDAP5
SRR17454390,12128579,663531996,54,219,SRX13625604,GSM5773528,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353657,PRJNA794846,35961752,"",SRS11513532,SAMN24659842,simple,9606,Homo sapiens,GSM5773528,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,hESCs shDAP5_total_rep2,Embryonic stem cells,hESC H9 (Wa-09),,RNA,shDAP5
SRR17454389,11645130,636444675,54,210,SRX13625605,GSM5773529,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353657,PRJNA794846,35961752,"",SRS11513533,SAMN24659841,simple,9606,Homo sapiens,GSM5773529,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,hESCs shDAP5_total_rep3,Embryonic stem cells,hESC H9 (Wa-09),,RNA,shDAP5
SRR17454388,11212775,602161410,53,196,SRX13625606,GSM5773530,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353657,PRJNA794846,35961752,"",SRS11513534,SAMN24659840,simple,9606,Homo sapiens,GSM5773530,"Molecular Genetics, The Weizmann Institute",SRA1352672,07,2022,David,Embryonic stem cells,hESCs shDAP5_total_rep4,Embryonic stem cells,hESC H9 (Wa-09),,RNA,shDAP5
