Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,assay types,cultivar,dev_stage,geo_loc_name,tissue,BioSampleModel,replicate,ecotype,library number
SRR11944047,4834854,763906932,158,297,SRX8488235,CIMBL147_P5-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787810,SAMN15153616,simple,4577,Zea mays,CIMBL147_P5-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL147,V7,China: Hainan,leaf,Plant,,,P5-1
SRR11944046,3721503,587997474,158,227,SRX8488236,CIMBL148_P1-3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787811,SAMN15153617,simple,4577,Zea mays,CIMBL148_P1-3,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL148,V7,China: Hainan,leaf,Plant,,,P1-3
SRR11944045,4300589,679493062,158,255,SRX8488237,CIMBL148_P6-3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787812,SAMN15153618,simple,4577,Zea mays,CIMBL148_P6-3,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL148,V7,China: Hainan,leaf,Plant,,,P6-3
SRR11944044,3388770,535425660,158,201,SRX8488238,CIMBL148_P7-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787813,SAMN15153619,simple,4577,Zea mays,CIMBL148_P7-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL148,V7,China: Hainan,leaf,Plant,,,P7-1
SRR11944043,4651558,734946164,158,284,SRX8488239,CIMBL151_P3-3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787814,SAMN15153620,simple,4577,Zea mays,CIMBL151_P3-3,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL151,V7,China: Hainan,leaf,Plant,,,P3-3
SRR11944042,5316974,840081892,158,331,SRX8488240,CIMBL152_P2-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787815,SAMN15153621,simple,4577,Zea mays,CIMBL152_P2-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL152,V7,China: Hainan,leaf,Plant,,,P2-1
SRR11944041,5179184,818311072,158,310,SRX8488241,CIMBL17_P4-3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787816,SAMN15153622,simple,4577,Zea mays,CIMBL17_P4-3,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL17,V7,China: Hainan,leaf,Plant,,,P4-3
SRR11944040,4020580,635251640,158,242,SRX8488242,CIMBL1_H1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787817,SAMN15153623,simple,4577,Zea mays,CIMBL1_H1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL1,V7,China: Hainan,leaf,Plant,,,H1
SRR11944039,2139998,338119684,158,129,SRX8488243,CIMBL20_H1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787818,SAMN15153624,simple,4577,Zea mays,CIMBL20_H1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL20,V7,China: Hainan,leaf,Plant,,,H1
SRR11944038,4981404,787061832,158,313,SRX8488244,CIMBL24_P2-2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787819,SAMN15153625,simple,4577,Zea mays,CIMBL24_P2-2,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL24,V7,China: Hainan,leaf,Plant,,,P2-2
SRR11944037,6252005,987816790,158,392,SRX8488245,BRA1_1P-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787820,SAMN15153518,simple,4577,Zea mays,BRA1_1P-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,B73,2 weeks,China: Wuhan,seedling above ground,Plant,,,1P-1
SRR11944036,4981196,787028968,158,313,SRX8488246,CIMBL33_P2-2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787821,SAMN15153626,simple,4577,Zea mays,CIMBL33_P2-2,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL33,V7,China: Hainan,leaf,Plant,,,P2-2
SRR11944035,5180189,818469862,158,318,SRX8488247,CIMBL37_P6-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787822,SAMN15153627,simple,4577,Zea mays,CIMBL37_P6-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL37,V7,China: Hainan,leaf,Plant,,,P6-1
SRR11944034,4038380,638064040,158,249,SRX8488248,CIMBL3_P1-3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787823,SAMN15153628,simple,4577,Zea mays,CIMBL3_P1-3,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL3,V7,China: Hainan,leaf,Plant,,,P1-3
SRR11944033,4674735,738608130,158,281,SRX8488249,CIMBL40_H1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787824,SAMN15153629,simple,4577,Zea mays,CIMBL40_H1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL40,V7,China: Hainan,leaf,Plant,,,H1
SRR11944032,7859401,1241785358,158,487,SRX8488250,CIMBL42_P5-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787825,SAMN15153630,simple,4577,Zea mays,CIMBL42_P5-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL42,V7,China: Hainan,leaf,Plant,,,P5-1
SRR11944031,4989127,788282066,158,314,SRX8488251,CIMBL43_P3-2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787826,SAMN15153631,simple,4577,Zea mays,CIMBL43_P3-2,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL43,V7,China: Hainan,leaf,Plant,,,P3-2
SRR11944030,2950595,466194010,158,175,SRX8488252,CIMBL43_P6-3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787827,SAMN15153632,simple,4577,Zea mays,CIMBL43_P6-3,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL43,V7,China: Hainan,leaf,Plant,,,P6-3
SRR11944029,4785961,756181838,158,291,SRX8488253,CIMBL48_P5-3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787828,SAMN15153633,simple,4577,Zea mays,CIMBL48_P5-3,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL48,V7,China: Hainan,leaf,Plant,,,P5-3
SRR11944028,8327982,1315821156,158,502,SRX8488254,CIMBL52_P1-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787829,SAMN15153634,simple,4577,Zea mays,CIMBL52_P1-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL52,V7,China: Hainan,leaf,Plant,,,P1-1
SRR11944027,14152256,2236056448,158,834,SRX8488255,CIMBL52_P6-3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787830,SAMN15153635,simple,4577,Zea mays,CIMBL52_P6-3,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL52,V7,China: Hainan,leaf,Plant,,,P6-3
SRR11944026,5894427,931319466,158,358,SRX8488256,BRA1_2P-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787831,SAMN15153519,simple,4577,Zea mays,BRA1_2P-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,B73,2 weeks,China: Wuhan,seedling above ground,Plant,technical replicate 2 = BRA1_1P-1,,2P-1
SRR11944025,13124615,2073689170,158,771,SRX8488257,CIMBL52_P7-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787832,SAMN15153636,simple,4577,Zea mays,CIMBL52_P7-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL52,V7,China: Hainan,leaf,Plant,,,P7-1
SRR11944024,7357096,1162421168,158,449,SRX8488258,CIMBL53_P3-3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787833,SAMN15153637,simple,4577,Zea mays,CIMBL53_P3-3,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL53,V7,China: Hainan,leaf,Plant,,,P3-3
SRR11944023,7208697,1138974126,158,439,SRX8488259,CIMBL55_P5-3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787834,SAMN15153638,simple,4577,Zea mays,CIMBL55_P5-3,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL55,V7,China: Hainan,leaf,Plant,,,P5-3
SRR11944022,4506619,712045802,158,273,SRX8488260,CIMBL59_P5-3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787835,SAMN15153639,simple,4577,Zea mays,CIMBL59_P5-3,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL59,V7,China: Hainan,leaf,Plant,,,P5-3
SRR11944021,5612156,886720648,158,341,SRX8488261,CIMBL65_P2-3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787836,SAMN15153640,simple,4577,Zea mays,CIMBL65_P2-3,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL65,V7,China: Hainan,leaf,Plant,,,P2-3
SRR11944020,3642020,575439160,158,226,SRX8488262,CIMBL66_P1-2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787837,SAMN15153641,simple,4577,Zea mays,CIMBL66_P1-2,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL66,V7,China: Hainan,leaf,Plant,,,P1-2
SRR11944019,8071293,1275264294,158,487,SRX8488263,CIMBL68_H1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787838,SAMN15153642,simple,4577,Zea mays,CIMBL68_H1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL68,V7,China: Hainan,leaf,Plant,,,H1
SRR11944018,3851825,608588350,158,240,SRX8488264,CIMBL70_P1-2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787839,SAMN15153643,simple,4577,Zea mays,CIMBL70_P1-2,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL70,V7,China: Hainan,leaf,Plant,,,P1-2
SRR11944017,5251910,829801780,158,325,SRX8488265,CIMBL74_1P-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787840,SAMN15153644,simple,4577,Zea mays,CIMBL74_1P-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL74,V7,China: Hainan,leaf,Plant,,,1P-1
SRR11944016,5083587,803206746,158,305,SRX8488266,CIMBL74_2P-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787841,SAMN15153645,simple,4577,Zea mays,CIMBL74_2P-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL74,V7,China: Hainan,leaf,Plant,,,2P-1
SRR11944015,5643102,891858593,158,341,SRX8488267,BRA1_3P-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787842,SAMN15153520,simple,4577,Zea mays,BRA1_3P-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,B73,2 weeks,China: Wuhan,seedling above ground,Plant,technical replicate 3 = BRA1_1P-1,,3P-1
SRR11944014,6835763,1080050554,158,411,SRX8488268,CIMBL77_H1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787843,SAMN15153646,simple,4577,Zea mays,CIMBL77_H1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL77,V7,China: Hainan,leaf,Plant,,,H1
SRR11944013,4919759,777321922,158,313,SRX8488269,CIMBL7_P5-2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787844,SAMN15153647,simple,4577,Zea mays,CIMBL7_P5-2,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL7,V7,China: Hainan,leaf,Plant,,,P5-2
SRR11944012,3847437,607895046,158,234,SRX8488270,CIMBL83_P3-3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787845,SAMN15153648,simple,4577,Zea mays,CIMBL83_P3-3,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL83,V7,China: Hainan,leaf,Plant,,,P3-3
SRR11944011,7045771,1113231818,158,420,SRX8488271,CIMBL86_P4-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787846,SAMN15153649,simple,4577,Zea mays,CIMBL86_P4-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL86,V7,China: Hainan,leaf,Plant,,,P4-1
SRR11944010,8728314,1379073612,158,544,SRX8488272,CIMBL88_1P-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787847,SAMN15153650,simple,4577,Zea mays,CIMBL88_1P-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL88,V7,China: Hainan,leaf,Plant,,,1P-1
SRR11944009,8500528,1343083424,158,513,SRX8488273,CIMBL88_2P-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787848,SAMN15153651,simple,4577,Zea mays,CIMBL88_2P-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL88,V7,China: Hainan,leaf,Plant,,,2P-1
SRR11944008,6172768,975297344,158,366,SRX8488274,CIMBL8_P4-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787849,SAMN15153652,simple,4577,Zea mays,CIMBL8_P4-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL8,V7,China: Hainan,leaf,Plant,,,P4-1
SRR11944007,7790936,1230967888,158,483,SRX8488275,CIMBL91_P4-2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787850,SAMN15153653,simple,4577,Zea mays,CIMBL91_P4-2,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL91,V7,China: Hainan,leaf,Plant,,,P4-2
SRR11944006,4579207,723514706,158,283,SRX8488276,CIMBL92_P2-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787851,SAMN15153654,simple,4577,Zea mays,CIMBL92_P2-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL92,V7,China: Hainan,leaf,Plant,,,P2-1
SRR11944005,3174647,501594226,158,196,SRX8488277,CIMBL94_P1-2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787852,SAMN15153655,simple,4577,Zea mays,CIMBL94_P1-2,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CIMBL94,V7,China: Hainan,leaf,Plant,,,P1-2
SRR11944004,5870835,927591930,158,367,SRX8488278,BRA2_1P-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787853,SAMN15153521,simple,4577,Zea mays,BRA2_1P-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,B73,2 weeks,China: Wuhan,seedling above ground,Plant,technical replicate = BRA1_1P-1,,1P-1
SRR11944003,10309912,1628966096,158,630,SRX8488279,CML121_P5-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787854,SAMN15153656,simple,4577,Zea mays,CML121_P5-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CML121,V7,China: Hainan,leaf,Plant,,,P5-1
SRR11944002,4744475,749627050,158,296,SRX8488280,CML122_P2-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787855,SAMN15153657,simple,4577,Zea mays,CML122_P2-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CML122,V7,China: Hainan,leaf,Plant,,,P2-1
SRR11944001,9469010,1496103580,158,578,SRX8488281,CML139_P3-3,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787856,SAMN15153658,simple,4577,Zea mays,CML139_P3-3,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CML139,V7,China: Hainan,leaf,Plant,,,P3-3
SRR11944000,6178822,976253876,158,379,SRX8488282,CML163_P5-1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787857,SAMN15153659,simple,4577,Zea mays,CML163_P5-1,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CML163,V7,China: Hainan,leaf,Plant,,,P5-1
SRR11943999,4159754,657241132,158,257,SRX8488283,CML166_P1-2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP266320,PRJNA637713,1,"",SRS6787858,SAMN15153660,simple,4577,Zea mays,CML166_P1-2,Huazhong Agricultural University,SRA1084273,04,2021,Makar,"","",3'Ribo-seq,CML166,V7,China: Hainan,leaf,Plant,,,P1-2
