Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,ecotype,age,dev_stage,geo_loc_name,tissue,sample_type,temp,treatment,Replica,BioSampleModel
SRR12266968,51670217,3720255624,72,1332,SRX8772038,ControlET30_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042501,SAMN15581836,simple,3702,Arabidopsis thaliana,ControlET30_TR_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of control  seedlings at 30mins-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,30 minutes control,1,Plant
SRR12266967,46177233,3324760776,72,1188,SRX8772039,ControlET30_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042502,SAMN15581837,simple,3702,Arabidopsis thaliana,ControlET30_TR_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of control  seedlings at 30mins-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,30 minutes control,2,Plant
SRR12266966,40359554,2905887888,72,998,SRX8772040,ControlET4_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042503,SAMN15581838,simple,3702,Arabidopsis thaliana,ControlET4_FP_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  control seedlings at 4hs-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22C,4 hours control,1,Plant
SRR12266965,31078528,2237654016,72,767,SRX8772041,ControlET4_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042504,SAMN15581839,simple,3702,Arabidopsis thaliana,ControlET4_FP_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  control seedlings at 4hs-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22C,4 hours control,2,Plant
SRR12266964,46020629,3313485288,72,1146,SRX8772042,ControlET4_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042505,SAMN15581840,simple,3702,Arabidopsis thaliana,ControlET4_TR_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of control  seedlings at 4hs-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,4 hours control,1,Plant
SRR12266963,34319536,2471006592,72,871,SRX8772043,ControlET4_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042506,SAMN15581841,simple,3702,Arabidopsis thaliana,ControlET4_TR_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of control  seedlings at 4hs-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,4 hours control,2,Plant
SRR12266962,31439346,2263632912,72,829,SRX8772044,ET0H_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042507,SAMN15581842,simple,3702,Arabidopsis thaliana,ET0H_FP_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  ethylene treated seedlings at 0h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22C,0 hours ethylene treatment,1,Plant
SRR12266961,108811702,7834442544,72,2859,SRX8772045,ET0H_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042508,SAMN15581843,simple,3702,Arabidopsis thaliana,ET0H_FP_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  ethylene treated seedlings at 0h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22C,0 hours ethylene treatment,2,Plant
SRR12266960,100188255,7213554360,72,2590,SRX8772046,ET0H_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042509,SAMN15581844,simple,3702,Arabidopsis thaliana,ET0H_TR_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of ethylene  treated seedlings at 0h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,0 hours ethylene treatment,1,Plant
SRR12266959,101456184,7304845248,72,2640,SRX8772047,ET0H_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042510,SAMN15581845,simple,3702,Arabidopsis thaliana,ET0H_TR_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of ethylene  treated seedlings at 0h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,0 hours ethylene treatment,2,Plant
SRR12266958,86580764,6233815008,72,2235,SRX8772048,ControlETOH_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042511,SAMN15581819,simple,3702,Arabidopsis thaliana,ControlETOH_TR_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of control  seedlings at 0h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,0 hours control,2,Plant
SRR12266957,34940464,2515713408,72,956,SRX8772049,ET12_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042512,SAMN15581846,simple,3702,Arabidopsis thaliana,ET12_FP_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  ethylene treated seedlings at 12h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22C,12 hours ethylene treatment,1,Plant
SRR12266956,48690000,3505680000,72,1311,SRX8772050,ET12_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042513,SAMN15581847,simple,3702,Arabidopsis thaliana,ET12_FP_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  ethylene treated seedlings at 12h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22C,12 hours ethylene treatment,2,Plant
SRR12266955,9809234,706264848,72,260,SRX8772051,ET15_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042514,SAMN15581848,simple,3702,Arabidopsis thaliana,ET15_FP_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  ethylene treated seedlings at 15mins_Rep 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22C,15 minutes ethylene treatment,1,Plant
SRR12266954,5573420,401286240,72,160,SRX8772052,ET15_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042515,SAMN15581849,simple,3702,Arabidopsis thaliana,ET15_FP_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  ethylene treated seedlings at 15mins_Rep 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22 C,15 minutes ethylene treatment,2,Plant
SRR12266953,41682845,3001164840,72,1114,SRX8772053,ET15_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042516,SAMN15581850,simple,3702,Arabidopsis thaliana,ET15_TR_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of ethylene  treated seedlings at 15mins-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22 C,15 minutes ethylene treatment,1,Plant
SRR12266952,35740228,2573296416,72,935,SRX8772054,ET15_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042517,SAMN15581851,simple,3702,Arabidopsis thaliana,ET15_TR_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of ethylene  treated seedlings at 15mins-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22 C,15 minutes ethylene treatment,2,Plant
SRR12266951,42198667,3038304024,72,1086,SRX8772055,ET1_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042518,SAMN15581852,simple,3702,Arabidopsis thaliana,ET1_FP_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  ethylene treated seedlings at 1h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22 C,1 hour ethylene treatment,1,Plant
SRR12266950,33417180,2406036960,72,1510,SRX8772056,ET1_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042519,SAMN15581853,simple,3702,Arabidopsis thaliana,ET1_FP_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  ethylene treated seedlings at 1h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22 C,1 hour ethylene treatment,2,Plant
SRR12266949,39716643,3018464868,76,1127,SRX8772057,ET1_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042520,SAMN15581854,simple,3702,Arabidopsis thaliana,ET1_TR_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of ethylene  treated seedlings at 1h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22 C,1 hour ethylene treatment,1,Plant
SRR12266948,76328788,5495672736,72,1932,SRX8772058,ET1_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042521,SAMN15581855,simple,3702,Arabidopsis thaliana,ET1_TR_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of ethylene  treated seedlings at 1h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22 C,1 hour ethylene treatment,2,Plant
SRR12266947,39938957,2875604904,72,1073,SRX8772059,ControlET12_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042522,SAMN15581820,simple,3702,Arabidopsis thaliana,ControlET12_FP_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  control seedlings at 12h ethylene-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22C,12 hours control,1,Plant
SRR12266946,58081024,4181833728,72,1576,SRX8772060,ET24_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042523,SAMN15581856,simple,3702,Arabidopsis thaliana,ET24_FP_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  ethylene treated seedlings at 24h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22 C,24 hours ethylene treatment,1,Plant
SRR12266945,61819485,4451002920,72,1649,SRX8772061,ET24_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042524,SAMN15581857,simple,3702,Arabidopsis thaliana,ET24_FP_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  ethylene treated seedlings at 24h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22 C,24 hours ethylene treatment,2,Plant
SRR12266944,30739700,2213258400,72,808,SRX8772062,ET24_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042525,SAMN15581858,simple,3702,Arabidopsis thaliana,ET24_TR_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of ethylene  treated seedlings at 24h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22 C,24 hours ethylene treatment,1,Plant
SRR12266943,50025036,3601802592,72,1312,SRX8772063,ET24_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042526,SAMN15581859,simple,3702,Arabidopsis thaliana,ET24_TR_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",TotalRNA samples of ethylene  treated seedlings at 24h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22 C,24 hours ethylene treatment,2,Plant
SRR12266942,26731878,1924695216,72,696,SRX8772064,ET30_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042527,SAMN15581860,simple,3702,Arabidopsis thaliana,ET30_FP_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  ethylene treated seedlings at 30mins-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22 C,30 minutes ethylene treatment,1,Plant
SRR12266941,42929541,3090926952,72,1111,SRX8772065,ET30_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042528,SAMN15581861,simple,3702,Arabidopsis thaliana,ET30_FP_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  ethylene treated seedlings at 30mins-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22 C,30 minutes ethylene treatment,2,Plant
SRR12266940,42424507,3054564504,72,1111,SRX8772066,ET30_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042529,SAMN15581862,simple,3702,Arabidopsis thaliana,ET30_TR_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of ethylene  treated seedlings at 30mins-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22 C,30 minutes ethylene treatment,1,Plant
SRR12266939,41870969,3014709768,72,1075,SRX8772067,ET30_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042530,SAMN15581863,simple,3702,Arabidopsis thaliana,ET30_TR_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of ethylene  treated seedlings at 30mins-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22 C,30 minutes ethylene treatment,2,Plant
SRR12266938,32722297,2356005384,72,815,SRX8772068,ET4_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042531,SAMN15581864,simple,3702,Arabidopsis thaliana,ET4_FP_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  ethylene treated seedlings at 4hs-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22 C,4 hours ethylene treatment,1,Plant
SRR12266937,40756356,2934457632,72,1010,SRX8772069,ET4_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042532,SAMN15581865,simple,3702,Arabidopsis thaliana,ET4_FP_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  ethylene treated seedlings at 4hs-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22 C,4 hours ethylene treatment,2,Plant
SRR12266936,69397776,4996639872,72,1859,SRX8772070,ControlET12_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042533,SAMN15581821,simple,3702,Arabidopsis thaliana,ControlET12_FP_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Ribo footprint samples of  control seedlings at 12h ethylene-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprints,22C,12 hours control,2,Plant
SRR12266935,40622249,2924801928,72,1012,SRX8772071,ET4_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042534,SAMN15581866,simple,3702,Arabidopsis thaliana,ET4_TR_r1T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of ethylene  treated seedlings at 4hs-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22 C,4 hours ethylene treatment,1,Plant
SRR12266934,40047492,2883419424,72,996,SRX8772072,ET4_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042535,SAMN15581867,simple,3702,Arabidopsis thaliana,ET4_TR_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of ethylene  treated seedlings at 4hs-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22 C,4 hours ethylene treatment,2,Plant
SRR12266933,34518564,2485336608,72,943,SRX8772073,ControlET12_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP272573,PRJNA647327,1,"",SRS7042536,SAMN15581822,simple,3702,Arabidopsis thaliana,ControlET12_TR_r2T,North Carolina State University,SRA1100826,08,2020,Makar,"",Total RNA samples of control  seedlings at 12h ethylene-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,12 hours control,2,Plant
