Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,shRNA,treatment,GEO Accession
SRR13036610,19498935,1469995361,75,554,SRX9486672,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709253,SAMN16769021,simple,9606,Homo sapiens,GSM4904509,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh2 200 DOX R2 RNA-Seq,LNCaP cell line,METTL3 shRNA 2,200 ng/ml doxycycline 96 hours,GSM4904509
SRR13036611,35939823,1984845631,55,743,SRX9486673,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709251,SAMN16769020,simple,9606,Homo sapiens,GSM4904510,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh2 200 DOX R3 RNA-Seq,LNCaP cell line,METTL3 shRNA 2,200 ng/ml doxycycline 96 hours,GSM4904510
SRR13036612,36158800,2714064994,75,1045,SRX9486674,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709254,SAMN16769019,simple,9606,Homo sapiens,GSM4904511,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh2 200 DOX R4 RNA-Seq,LNCaP cell line,METTL3 shRNA 2,200 ng/ml doxycycline 96 hours,GSM4904511
SRR13036613,23273915,1369943179,58,660,SRX9486675,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709252,SAMN16769048,simple,9606,Homo sapiens,GSM4904512,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh1 0 DOX R1 Ribo-Seq,LNCaP cell line,METTL3 shRNA 1,untreated,GSM4904512
SRR13036614,59758697,3520989333,58,1693,SRX9486676,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709255,SAMN16769047,simple,9606,Homo sapiens,GSM4904513,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh1 0 DOX R2 Ribo-Seq,LNCaP cell line,METTL3 shRNA 1,untreated,GSM4904513
SRR13036615,74155910,4352666473,58,2098,SRX9486677,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709257,SAMN16769046,simple,9606,Homo sapiens,GSM4904514,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh1 200 DOX R1 Ribo-Seq,LNCaP cell line,METTL3 shRNA 1,200 ng/ml doxycycline 96 hours,GSM4904514
SRR13036616,49110278,2995980299,61,1438,SRX9486678,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709256,SAMN16769045,simple,9606,Homo sapiens,GSM4904515,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh1 200 DOX R2 Ribo-Seq,LNCaP cell line,METTL3 shRNA 1,200 ng/ml doxycycline 96 hours,GSM4904515
SRR13036617,27197511,1651303916,60,795,SRX9486679,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709259,SAMN16769044,simple,9606,Homo sapiens,GSM4904516,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh1 200 DOX R3 Ribo-Seq,LNCaP cell line,METTL3 shRNA 1,200 ng/ml doxycycline 96 hours,GSM4904516
SRR13036618,53651940,3252629039,60,1564,SRX9486680,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709258,SAMN16769043,simple,9606,Homo sapiens,GSM4904517,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh2 0 DOX R1 Ribo-Seq,LNCaP cell line,METTL3 shRNA 2,untreated,GSM4904517
SRR13036619,53297533,3131487234,58,1512,SRX9486681,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709261,SAMN16769042,simple,9606,Homo sapiens,GSM4904518,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh2 0 DOX R3 Ribo-Seq,LNCaP cell line,METTL3 shRNA 2,untreated,GSM4904518
SRR13036620,41842775,2675734017,63,1281,SRX9486682,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709260,SAMN16769041,simple,9606,Homo sapiens,GSM4904519,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh2 200 DOX R1 Ribo-Seq,LNCaP cell line,METTL3 shRNA 2,200 ng/ml doxycycline 96 hours,GSM4904519
SRR13036621,42126656,2693148466,63,1289,SRX9486683,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709263,SAMN16769040,simple,9606,Homo sapiens,GSM4904520,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh2 200 DOX R2 Ribo-Seq,LNCaP cell line,METTL3 shRNA 2,200 ng/ml doxycycline 96 hours,GSM4904520
SRR13036622,55860551,3317845349,59,1598,SRX9486684,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP292228,PRJNA676161,34088870,"",SRS7709262,SAMN16769039,simple,9606,Homo sapiens,GSM4904521,GEO,SRA1157685,06,2021,Cotter,LNCaP cell line,LNCaP METTL3 sh2 200 DOX R3 Ribo-Seq,LNCaP cell line,METTL3 shRNA 2,200 ng/ml doxycycline 96 hours,GSM4904521
