Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,time,feeding,lysis buffer drugs,GEO Accession
SRR8557430,13428327,671416350,50,346,SRX5359114,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349756,SAMN10910445,simple,10090,Mus musculus,GSM3597553,GEO,SRA848180,03,2020,Gobet,Liver,03_ZT4_2_ST_S5,Liver,C57BL/6,Liver,ZT04,Ad Libitum,CHX-,GSM3597551
SRR8557431,13066133,653306650,50,333,SRX5359115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349757,SAMN10910444,simple,10090,Mus musculus,GSM3597554,GEO,SRA848180,03,2020,Gobet,Liver,04_ZT12_1_AL_S7,Liver,C57BL/6,Liver,ZT04,Fasted,CHX+,GSM3597552
SRR8557432,13590884,679544200,50,344,SRX5359115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349757,SAMN10910444,simple,10090,Mus musculus,GSM3597554,GEO,SRA848180,03,2020,Gobet,Liver,04_ZT12_1_AL_S7,Liver,C57BL/6,Liver,ZT04,Fasted,CHX-,GSM3597553
SRR8557433,13295814,664790700,50,338,SRX5359115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349757,SAMN10910444,simple,10090,Mus musculus,GSM3597554,GEO,SRA848180,03,2020,Gobet,Liver,04_ZT12_1_AL_S7,Liver,C57BL/6,Liver,ZT12,Ad Libitum,CHX+,GSM3597554
SRR8557434,12999809,649990450,50,332,SRX5359115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349757,SAMN10910444,simple,10090,Mus musculus,GSM3597554,GEO,SRA848180,03,2020,Gobet,Liver,04_ZT12_1_AL_S7,Liver,C57BL/6,Liver,ZT12,Ad Libitum,CHX-,GSM3597555
SRR8557435,14648268,732413400,50,369,SRX5359116,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349758,SAMN10910443,simple,10090,Mus musculus,GSM3597555,GEO,SRA848180,03,2020,Gobet,Liver,05_ZT12_2_AL_S8,Liver,C57BL/6,Liver,ZT12,Fasted,CHX+,GSM3597556
SRR8557436,15215439,760771950,50,381,SRX5359116,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349758,SAMN10910443,simple,10090,Mus musculus,GSM3597555,GEO,SRA848180,03,2020,Gobet,Liver,05_ZT12_2_AL_S8,Liver,C57BL/6,Liver,ZT12,Fasted,CHX-,GSM3597557
SRR8557437,14881174,744058700,50,374,SRX5359116,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349758,SAMN10910443,simple,10090,Mus musculus,GSM3597555,GEO,SRA848180,03,2020,Gobet,Liver,05_ZT12_2_AL_S8,Liver,C57BL/6,Liver,ZT18,Ad Libitum,CHX+,GSM3597558
SRR8557438,14568857,728442850,50,368,SRX5359116,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349758,SAMN10910443,simple,10090,Mus musculus,GSM3597555,GEO,SRA848180,03,2020,Gobet,Liver,05_ZT12_2_AL_S8,Liver,C57BL/6,Liver,ZT18,Ad Libitum,CHX-,GSM3597559
SRR8557439,11962358,598117900,50,306,SRX5359117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349759,SAMN10910442,simple,10090,Mus musculus,GSM3597556,GEO,SRA848180,03,2020,Gobet,Liver,06_ZT12_1_ST_S9,Liver,C57BL/6,Liver,ZT18,Fasted,CHX+,GSM3597560
SRR8557440,12445083,622254150,50,316,SRX5359117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349759,SAMN10910442,simple,10090,Mus musculus,GSM3597556,GEO,SRA848180,03,2020,Gobet,Liver,06_ZT12_1_ST_S9,Liver,C57BL/6,Liver,ZT18,Fasted,CHX-,GSM3597561
SRR8557441,12169721,608486050,50,311,SRX5359117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349759,SAMN10910442,simple,10090,Mus musculus,GSM3597556,GEO,SRA848180,03,2020,Gobet,Liver,06_ZT12_1_ST_S9,Liver,C57BL/6,Liver,ZT04,Ad Libitum,CHX-,GSM3597551
SRR8557442,11901122,595056100,50,305,SRX5359117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349759,SAMN10910442,simple,10090,Mus musculus,GSM3597556,GEO,SRA848180,03,2020,Gobet,Liver,06_ZT12_1_ST_S9,Liver,C57BL/6,Liver,ZT04,Fasted,CHX+,GSM3597552
SRR8557443,13972567,698628350,50,354,SRX5359118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349760,SAMN10910441,simple,10090,Mus musculus,GSM3597557,GEO,SRA848180,03,2020,Gobet,Liver,07_ZT12_2_ST_S10,Liver,C57BL/6,Liver,ZT04,Fasted,CHX-,GSM3597553
SRR8557444,14522563,726128150,50,365,SRX5359118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349760,SAMN10910441,simple,10090,Mus musculus,GSM3597557,GEO,SRA848180,03,2020,Gobet,Liver,07_ZT12_2_ST_S10,Liver,C57BL/6,Liver,ZT12,Ad Libitum,CHX+,GSM3597554
SRR8557445,14221070,711053500,50,360,SRX5359118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349760,SAMN10910441,simple,10090,Mus musculus,GSM3597557,GEO,SRA848180,03,2020,Gobet,Liver,07_ZT12_2_ST_S10,Liver,C57BL/6,Liver,ZT12,Ad Libitum,CHX-,GSM3597555
SRR8557446,13887371,694368550,50,352,SRX5359118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349760,SAMN10910441,simple,10090,Mus musculus,GSM3597557,GEO,SRA848180,03,2020,Gobet,Liver,07_ZT12_2_ST_S10,Liver,C57BL/6,Liver,ZT12,Fasted,CHX+,GSM3597556
SRR8557447,15461677,773083850,50,390,SRX5359119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349761,SAMN10910440,simple,10090,Mus musculus,GSM3597558,GEO,SRA848180,03,2020,Gobet,Liver,08_ZT18_1_AL_S11,Liver,C57BL/6,Liver,ZT12,Fasted,CHX-,GSM3597557
SRR8557448,16092980,804649000,50,404,SRX5359119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349761,SAMN10910440,simple,10090,Mus musculus,GSM3597558,GEO,SRA848180,03,2020,Gobet,Liver,08_ZT18_1_AL_S11,Liver,C57BL/6,Liver,ZT18,Ad Libitum,CHX+,GSM3597558
SRR8557449,15725347,786267350,50,396,SRX5359119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349761,SAMN10910440,simple,10090,Mus musculus,GSM3597558,GEO,SRA848180,03,2020,Gobet,Liver,08_ZT18_1_AL_S11,Liver,C57BL/6,Liver,ZT18,Ad Libitum,CHX-,GSM3597559
SRR8557450,15393483,769674150,50,390,SRX5359119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349761,SAMN10910440,simple,10090,Mus musculus,GSM3597558,GEO,SRA848180,03,2020,Gobet,Liver,08_ZT18_1_AL_S11,Liver,C57BL/6,Liver,ZT18,Fasted,CHX+,GSM3597560
SRR8557451,12633479,631673950,50,321,SRX5359120,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349762,SAMN10910439,simple,10090,Mus musculus,GSM3597559,GEO,SRA848180,03,2020,Gobet,Liver,09_ZT18_2_AL_S2,Liver,C57BL/6,Liver,ZT18,Fasted,CHX-,GSM3597561
SRR8557452,13113322,655666100,50,331,SRX5359120,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349762,SAMN10910439,simple,10090,Mus musculus,GSM3597559,GEO,SRA848180,03,2020,Gobet,Liver,09_ZT18_2_AL_S2,Liver,C57BL/6,Liver,ZT04,Ad Libitum,CHX-,GSM3597551
SRR8557453,12832755,641637750,50,326,SRX5359120,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349762,SAMN10910439,simple,10090,Mus musculus,GSM3597559,GEO,SRA848180,03,2020,Gobet,Liver,09_ZT18_2_AL_S2,Liver,C57BL/6,Liver,ZT04,Fasted,CHX+,GSM3597552
SRR8557454,12566301,628315050,50,320,SRX5359120,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349762,SAMN10910439,simple,10090,Mus musculus,GSM3597559,GEO,SRA848180,03,2020,Gobet,Liver,09_ZT18_2_AL_S2,Liver,C57BL/6,Liver,ZT04,Fasted,CHX-,GSM3597553
SRR8557455,13154830,657741500,50,334,SRX5359121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349763,SAMN10910438,simple,10090,Mus musculus,GSM3597560,GEO,SRA848180,03,2020,Gobet,Liver,10_ZT18_1_ST_S4,Liver,C57BL/6,Liver,ZT12,Ad Libitum,CHX+,GSM3597554
SRR8557456,13697411,684870550,50,345,SRX5359121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349763,SAMN10910438,simple,10090,Mus musculus,GSM3597560,GEO,SRA848180,03,2020,Gobet,Liver,10_ZT18_1_ST_S4,Liver,C57BL/6,Liver,ZT12,Ad Libitum,CHX-,GSM3597555
SRR8557457,13388230,669411500,50,339,SRX5359121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349763,SAMN10910438,simple,10090,Mus musculus,GSM3597560,GEO,SRA848180,03,2020,Gobet,Liver,10_ZT18_1_ST_S4,Liver,C57BL/6,Liver,ZT12,Fasted,CHX+,GSM3597556
SRR8557458,13103803,655190150,50,333,SRX5359121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349763,SAMN10910438,simple,10090,Mus musculus,GSM3597560,GEO,SRA848180,03,2020,Gobet,Liver,10_ZT18_1_ST_S4,Liver,C57BL/6,Liver,ZT12,Fasted,CHX-,GSM3597557
SRR8557459,12668967,633448350,50,322,SRX5359122,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349764,SAMN10910437,simple,10090,Mus musculus,GSM3597561,GEO,SRA848180,03,2020,Gobet,Liver,11_ZT18_2_ST_S6,Liver,C57BL/6,Liver,ZT18,Ad Libitum,CHX+,GSM3597558
SRR8557460,13127336,656366800,50,332,SRX5359122,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349764,SAMN10910437,simple,10090,Mus musculus,GSM3597561,GEO,SRA848180,03,2020,Gobet,Liver,11_ZT18_2_ST_S6,Liver,C57BL/6,Liver,ZT18,Ad Libitum,CHX-,GSM3597559
SRR8557461,12867569,643378450,50,327,SRX5359122,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349764,SAMN10910437,simple,10090,Mus musculus,GSM3597561,GEO,SRA848180,03,2020,Gobet,Liver,11_ZT18_2_ST_S6,Liver,C57BL/6,Liver,ZT18,Fasted,CHX+,GSM3597560
SRR8557462,12591343,629567150,50,321,SRX5359122,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185485,PRJNA521742,32295881,"",SRS4349764,SAMN10910437,simple,10090,Mus musculus,GSM3597561,GEO,SRA848180,03,2020,Gobet,Liver,11_ZT18_2_ST_S6,Liver,C57BL/6,Liver,ZT18,Fasted,CHX-,GSM3597561
