Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,Stage,strain,GEO Accession
SRR1378560,157247848,7862392400,50,5320,SRX590172,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634424,SAMN02850772,simple,5833,Plasmodium falciparum,GSM1410296,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,ribosome_footprints_1,P. falciparum parasites,Rings,W2,GSM1410291
SRR2014726,87431452,4459004052,51,2897,SRX590172,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634424,SAMN02850772,simple,5833,Plasmodium falciparum,GSM1410296,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,ribosome_footprints_1,P. falciparum parasites,Early Trophozoites,W2,GSM1410292
SRR1378561,128881071,6444053550,50,4322,SRX590173,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634425,SAMN02850774,simple,5833,Plasmodium falciparum,GSM1410297,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,ribosome_footprints_2,P. falciparum parasites,Late Trophozoites,W2,GSM1410293
SRR2014727,91352543,4658979693,51,3032,SRX590173,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634425,SAMN02850774,simple,5833,Plasmodium falciparum,GSM1410297,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,ribosome_footprints_2,P. falciparum parasites,Schizonts,W2,GSM1410294
SRR1378562,187293966,9443772429,50,5291,SRX590174,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634426,SAMN02850780,simple,5833,Plasmodium falciparum,GSM1410298,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,ribosome_footprints_3,P. falciparum parasites,Merozoites,W2,GSM1410295
SRR2014728,92086051,4696388601,51,3086,SRX590174,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634426,SAMN02850780,simple,5833,Plasmodium falciparum,GSM1410298,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,ribosome_footprints_3,P. falciparum parasites,Rings,W2,GSM1410296
SRR1378563,62888377,3207307227,51,2128,SRX590175,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634427,SAMN02850775,simple,5833,Plasmodium falciparum,GSM1410299,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,ribosome_footprints_4,P. falciparum parasites,Early Trophozoites,W2,GSM1410297
SRR2014729,105623746,5386811046,51,3377,SRX590175,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634427,SAMN02850775,simple,5833,Plasmodium falciparum,GSM1410299,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,ribosome_footprints_4,P. falciparum parasites,Late Trophozoites,W2,GSM1410298
SRR1378564,155108981,10857628670,70,6336,SRX590176,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634428,SAMN02850776,simple,5833,Plasmodium falciparum,GSM1410300,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,ribosome_footprints_5,P. falciparum parasites,Schizonts,W2,GSM1410299
SRR2014730,56820161,2897828211,51,1553,SRX590176,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP043116,PRJNA252511,25493618,"",SRS634428,SAMN02850776,simple,5833,Plasmodium falciparum,GSM1410300,GEO,SRA170053,05,2015,Caro,P. falciparum parasites,ribosome_footprints_5,P. falciparum parasites,Merozoites,W2,GSM1410300
