Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,cell line/type,genotype/treatment,molecule subtype,cell type,genotype/variation,GEO Accession
SRR14714417,48717180,4140960300,85,1861,SRX11051750,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322410,PRJNA734658,34782646,"",SRS9119669,SAMN19516450,simple,10090,Mus musculus,GSM5354288,GEO,SRA1239866,11,2021,Gu,MEF eIF3 associated ribo-seq Control,MEF_cells_eIF3-seq_Control,MEF eIF3 associated ribo-seq Control,C57BL/6J,Mouse embryonic fibroblasts,Control,Ribosome associated RNA,,,GSM5354288
SRR14714418,39530893,3360125905,85,1498,SRX11051751,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322410,PRJNA734658,34782646,"",SRS9119670,SAMN19516449,simple,10090,Mus musculus,GSM5354289,GEO,SRA1239866,11,2021,Gu,MEF eIF3 associated ribo-seq Control,MEF_cells_eIF3-seq_eIF4A1_KD,MEF eIF3 associated ribo-seq Control,C57BL/6J,Mouse embryonic fibroblasts,Control,Ribosome associated RNA,,,GSM5354289
SRR14714419,42897719,3646306115,85,1651,SRX11051752,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322410,PRJNA734658,34782646,"",SRS9119671,SAMN19516448,simple,10090,Mus musculus,GSM5354290,GEO,SRA1239866,11,2021,Gu,MEF 40S ribo-seq Control,MEF_cells_40S-seq_Control,MEF 40S ribo-seq Control,C57BL/6J,Mouse embryonic fibroblasts,Control,Ribosome associated RNA,,,GSM5354290
SRR14714420,45917201,3902962085,85,1749,SRX11051753,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322410,PRJNA734658,34782646,"",SRS9119672,SAMN19516447,simple,10090,Mus musculus,GSM5354291,GEO,SRA1239866,11,2021,Gu,MEF 40S ribo-seq eIF4A1 knockdown,MEF_cells_40S-seq_eIF4A1_KD,MEF 40S ribo-seq eIF4A1 knockdown,C57BL/6J,Mouse embryonic fibroblasts,eIF4A1 knockdown,Ribosome associated RNA,,,GSM5354291
SRR14714421,34432274,2892311016,84,1265,SRX11051754,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322410,PRJNA734658,34782646,"",SRS9119673,SAMN19516446,simple,9606,Homo sapiens,GSM5354292,GEO,SRA1239866,11,2021,Gu,HEK293 80S ribosome-seq Control,HEK393_cells_80S-seq_Control,HEK293 80S ribosome-seq Control,,HEK293,Control,Ribosome associated RNA,,,GSM5354292
SRR14714422,58748800,4934899200,84,2176,SRX11051755,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322410,PRJNA734658,34782646,"",SRS9119674,SAMN19516445,simple,9606,Homo sapiens,GSM5354293,GEO,SRA1239866,11,2021,Gu,HEK293 80S ribosome-seq eIF4A1 knockdown,HEK393_cells_80S-seq_eIF4A1_KD,HEK293 80S ribosome-seq eIF4A1 knockdown,,HEK293,eIF4A1 knockdown,Ribosome associated RNA,,,GSM5354293
SRR14714423,50815273,4268482932,84,1889,SRX11051756,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322410,PRJNA734658,34782646,"",SRS9119675,SAMN19516444,simple,9606,Homo sapiens,GSM5354294,GEO,SRA1239866,11,2021,Gu,HEK293 eIF3 associated ribo-seq Control,HEK393_cells_eIF3-seq_Control,HEK293 eIF3 associated ribo-seq Control,,HEK293,Control,Ribosome associated RNA,,,GSM5354294
SRR14714424,42207133,3545399172,84,1588,SRX11051757,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322410,PRJNA734658,34782646,"",SRS9119676,SAMN19516443,simple,9606,Homo sapiens,GSM5354295,GEO,SRA1239866,11,2021,Gu,HEK293 eIF3 associated ribo-seq Control,HEK393_cells_eIF3-seq_eIF4A1_KD,HEK293 eIF3 associated ribo-seq Control,,HEK293,Control,Ribosome associated RNA,,,GSM5354295
SRR14714425,62997957,5291828388,84,2342,SRX11051758,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322410,PRJNA734658,34782646,"",SRS9119677,SAMN19516442,simple,9606,Homo sapiens,GSM5354296,GEO,SRA1239866,11,2021,Gu,HEK293 40S ribo-seq Control,HEK393_cells_40S-seq_Control,HEK293 40S ribo-seq Control,,HEK293,Control,Ribosome associated RNA,,,GSM5354296
SRR14714426,40333916,3388048944,84,1519,SRX11051759,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322410,PRJNA734658,34782646,"",SRS9119678,SAMN19516461,simple,9606,Homo sapiens,GSM5354297,GEO,SRA1239866,11,2021,Gu,HEK293 40S ribo-seq eIF4A1 knockdown,HEK393_cells_40S-seq_eIF4A1_KD,HEK293 40S ribo-seq eIF4A1 knockdown,,HEK293,eIF4A1 knockdown,Ribosome associated RNA,,,GSM5354297
SRR16077415,22103262,1878777270,85,878,SRX12363908,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322410,PRJNA734658,34782646,"",SRS10335275,SAMN21845645,simple,10090,Mus musculus,GSM5597396,GEO,SRA1239866,11,2021,Gu,Mouse embryonic fibroblasts,MEF_cells_Ribo-seq_Control_for_DHX29_KO,Mouse embryonic fibroblasts,C57BL/6J,,,,Mouse embryonic fibroblasts,control,GSM5597396
SRR16077416,20287963,1724476855,85,807,SRX12363909,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP322410,PRJNA734658,34782646,"",SRS10335276,SAMN21845646,simple,10090,Mus musculus,GSM5597397,GEO,SRA1239866,11,2021,Gu,Mouse embryonic fibroblasts,MEF_cells_Ribo-seq_DHX29_KO,Mouse embryonic fibroblasts,C57BL/6J,,,,Mouse embryonic fibroblasts,DHX29 knockout,GSM5597397
