Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,experiment,actd treatment,shRNA knockdown,GEO Accession
SRR7535571,24150049,1786061238,73,667,SRX4403388,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557862,SAMN09688266,simple,9606,Homo sapiens,GSM3290694,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-3-A0h,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-3,0h,ShML3-3,GSM3290694
SRR7535572,24401501,1805787184,74,672,SRX4403389,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557863,SAMN09688265,simple,9606,Homo sapiens,GSM3290695,GEO,SRA741727,09,2018,Choe,HeLa cells,HeLa-A2h,HeLa cells,HeLa,cervical cancer cells,HeLa parental cells,2h,control,GSM3290695
SRR7535573,23426724,1733517741,74,646,SRX4403390,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557864,SAMN09688264,simple,9606,Homo sapiens,GSM3290696,GEO,SRA741727,09,2018,Choe,HeLa cells,ShGFP-A2h,HeLa cells,HeLa,cervical cancer cells,HeLa ShGFP control,2h,ShGFP,GSM3290696
SRR7535574,24101066,1783299801,73,664,SRX4403391,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557865,SAMN09688263,simple,9606,Homo sapiens,GSM3290697,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-2-A2h,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-2,2h,ShML3-2,GSM3290697
SRR7535575,22694305,1678278060,73,635,SRX4403392,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557866,SAMN09688262,simple,9606,Homo sapiens,GSM3290698,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-3-A2h,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-3,2h,ShML3-3,GSM3290698
SRR7535576,25269184,1870442907,74,695,SRX4403393,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557867,SAMN09688261,simple,9606,Homo sapiens,GSM3290699,GEO,SRA741727,09,2018,Choe,HeLa cells,HeLa-A4h,HeLa cells,HeLa,cervical cancer cells,HeLa parental cells,4h,control,GSM3290699
SRR7535577,23920335,1770174696,74,661,SRX4403394,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557869,SAMN09688260,simple,9606,Homo sapiens,GSM3290700,GEO,SRA741727,09,2018,Choe,HeLa cells,ShGFP-A4h,HeLa cells,HeLa,cervical cancer cells,HeLa ShGFP control,4h,ShGFP,GSM3290700
SRR7535578,24900394,1842526043,74,690,SRX4403395,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557868,SAMN09688259,simple,9606,Homo sapiens,GSM3290701,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-2-A4h,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-2,4h,ShML3-2,GSM3290701
SRR7535579,24918318,1843870815,74,689,SRX4403396,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557870,SAMN09688258,simple,9606,Homo sapiens,GSM3290702,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-3-A4h,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-3,4h,ShML3-3,GSM3290702
SRR7535580,26819084,1984923623,74,743,SRX4403397,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557871,SAMN09688257,simple,9606,Homo sapiens,GSM3290703,GEO,SRA741727,09,2018,Choe,HeLa cells,HeLa-A6h,HeLa cells,HeLa,cervical cancer cells,HeLa parental cells,6h,control,GSM3290703
SRR7535581,25945064,1920380844,74,716,SRX4403398,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557872,SAMN09688256,simple,9606,Homo sapiens,GSM3290704,GEO,SRA741727,09,2018,Choe,HeLa cells,ShGFP-A6h,HeLa cells,HeLa,cervical cancer cells,HeLa ShGFP control,6h,ShGFP,GSM3290704
SRR7535582,27120356,2007329911,74,748,SRX4403399,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557873,SAMN09688255,simple,9606,Homo sapiens,GSM3290705,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-2-A6h,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-2,6h,ShML3-2,GSM3290705
SRR7535583,26693780,1975748693,74,738,SRX4403400,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557874,SAMN09688254,simple,9606,Homo sapiens,GSM3290706,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-3-A6h,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-3,6h,ShML3-3,GSM3290706
SRR7535584,23240187,1719893479,74,622,SRX4403401,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557876,SAMN09688253,simple,9606,Homo sapiens,GSM3290707,GEO,SRA741727,09,2018,Choe,HeLa cells,HeLa-B0h,HeLa cells,HeLa,cervical cancer cells,HeLa parental cells,0h,control,GSM3290707
SRR7535585,22102171,1634348413,73,603,SRX4403402,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557875,SAMN09688252,simple,9606,Homo sapiens,GSM3290708,GEO,SRA741727,09,2018,Choe,HeLa cells,ShGFP-B0h,HeLa cells,HeLa,cervical cancer cells,HeLa ShGFP control,0h,ShGFP,GSM3290708
SRR7535586,23161323,1714274537,74,619,SRX4403403,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557902,SAMN09688239,simple,9606,Homo sapiens,GSM3290709,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-2-B0h,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-2,0h,ShML3-2,GSM3290709
SRR7535587,24214520,1791845251,74,650,SRX4403404,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557877,SAMN09688306,simple,9606,Homo sapiens,GSM3290710,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-3-B0h,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-3,0h,ShML3-3,GSM3290710
SRR7535588,25013044,1851919264,74,669,SRX4403405,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557878,SAMN09688305,simple,9606,Homo sapiens,GSM3290711,GEO,SRA741727,09,2018,Choe,HeLa cells,HeLa-B2h,HeLa cells,HeLa,cervical cancer cells,HeLa parental cells,2h,control,GSM3290711
SRR7535589,23946652,1772871232,74,641,SRX4403406,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557879,SAMN09688304,simple,9606,Homo sapiens,GSM3290712,GEO,SRA741727,09,2018,Choe,HeLa cells,ShGFP-B2h,HeLa cells,HeLa,cervical cancer cells,HeLa ShGFP control,2h,ShGFP,GSM3290712
SRR7535590,23936639,1771934480,74,640,SRX4403407,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557880,SAMN09688303,simple,9606,Homo sapiens,GSM3290713,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-2-B2h,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-2,2h,ShML3-2,GSM3290713
SRR7535591,23384199,1730249416,73,633,SRX4403408,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557882,SAMN09688302,simple,9606,Homo sapiens,GSM3290714,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-3-B2h,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-3,2h,ShML3-3,GSM3290714
SRR7535592,25031512,1853525298,74,669,SRX4403409,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557881,SAMN09688301,simple,9606,Homo sapiens,GSM3290715,GEO,SRA741727,09,2018,Choe,HeLa cells,HeLa-B4h,HeLa cells,HeLa,cervical cancer cells,HeLa parental cells,4h,control,GSM3290715
SRR7535593,24186559,1790559073,74,649,SRX4403410,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557883,SAMN09688300,simple,9606,Homo sapiens,GSM3290716,GEO,SRA741727,09,2018,Choe,HeLa cells,ShGFP-B4h,HeLa cells,HeLa,cervical cancer cells,HeLa ShGFP control,4h,ShGFP,GSM3290716
SRR7535594,24829868,1838139887,74,668,SRX4403411,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557884,SAMN09688299,simple,9606,Homo sapiens,GSM3290717,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-2-B4h,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-2,4h,ShML3-2,GSM3290717
SRR7535595,24647461,1824662317,74,661,SRX4403412,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557885,SAMN09688298,simple,9606,Homo sapiens,GSM3290718,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-3-B4h,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-3,4h,ShML3-3,GSM3290718
SRR7535596,26513740,1963067998,74,713,SRX4403413,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557886,SAMN09688297,simple,9606,Homo sapiens,GSM3290719,GEO,SRA741727,09,2018,Choe,HeLa cells,HeLa-B6h,HeLa cells,HeLa,cervical cancer cells,HeLa parental cells,6h,control,GSM3290719
SRR7535597,26436934,1957504859,74,709,SRX4403414,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557887,SAMN09688296,simple,9606,Homo sapiens,GSM3290720,GEO,SRA741727,09,2018,Choe,HeLa cells,ShGFP-B6h,HeLa cells,HeLa,cervical cancer cells,HeLa ShGFP control,6h,ShGFP,GSM3290720
SRR7535598,26256011,1944129099,74,704,SRX4403415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557888,SAMN09688295,simple,9606,Homo sapiens,GSM3290721,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-2-B6h,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-2,6h,ShML3-2,GSM3290721
SRR7535599,27004029,1999517582,74,725,SRX4403416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557889,SAMN09688294,simple,9606,Homo sapiens,GSM3290722,GEO,SRA741727,09,2018,Choe,HeLa cells,ShML3-3-B6h,HeLa cells,HeLa,cervical cancer cells,HeLa ShMETTL3 shRNA-3,6h,ShML3-3,GSM3290722
SRR7535600,29736268,2230220100,75,779,SRX4403417,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557890,SAMN09688293,simple,9606,Homo sapiens,GSM3290723,GEO,SRA741727,09,2018,Choe,Patient sample,lungcancer1-Input,Patient sample,,lung cancer,Tumor sample,,,GSM3290723
SRR7535601,20727070,1554530250,75,545,SRX4403418,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557891,SAMN09688292,simple,9606,Homo sapiens,GSM3290724,GEO,SRA741727,09,2018,Choe,Patient sample,lungcancer1-m6A-IP1,Patient sample,,lung cancer,Tumor sample,,,GSM3290724
SRR7535602,30658408,2299380600,75,804,SRX4403419,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557892,SAMN09688291,simple,9606,Homo sapiens,GSM3290725,GEO,SRA741727,09,2018,Choe,Patient sample,lungcancer1-m6A-IP2,Patient sample,,lung cancer,Tumor sample,,,GSM3290725
SRR7535603,41440813,3108060975,75,1105,SRX4403420,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557893,SAMN09688290,simple,9606,Homo sapiens,GSM3290726,GEO,SRA741727,09,2018,Choe,Patient sample,lungcancer2-Input,Patient sample,,lung cancer,Tumor sample,,,GSM3290726
SRR7535604,54695508,4102163100,75,1480,SRX4403421,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557894,SAMN09688289,simple,9606,Homo sapiens,GSM3290727,GEO,SRA741727,09,2018,Choe,Patient sample,lungcancer2-m6A-IP1,Patient sample,,lung cancer,Tumor sample,,,GSM3290727
SRR7535605,37843785,2838283875,75,1026,SRX4403422,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557895,SAMN09688288,simple,9606,Homo sapiens,GSM3290728,GEO,SRA741727,09,2018,Choe,Patient sample,lungcancer2-m6A-IP2,Patient sample,,lung cancer,Tumor sample,,,GSM3290728
SRR7535606,28771618,2157871350,75,772,SRX4403423,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557896,SAMN09688287,simple,9606,Homo sapiens,GSM3290729,GEO,SRA741727,09,2018,Choe,Patient sample,lungcancer3-Input,Patient sample,,lung cancer,Tumor sample,,,GSM3290729
SRR7535607,38084821,2856361575,75,1026,SRX4403424,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557897,SAMN09688286,simple,9606,Homo sapiens,GSM3290730,GEO,SRA741727,09,2018,Choe,Patient sample,lungcancer3-m6A-IP1,Patient sample,,lung cancer,Tumor sample,,,GSM3290730
SRR7535608,38241487,2868111525,75,1032,SRX4403425,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557898,SAMN09688285,simple,9606,Homo sapiens,GSM3290731,GEO,SRA741727,09,2018,Choe,Patient sample,lungcancer3-m6A-IP2,Patient sample,,lung cancer,Tumor sample,,,GSM3290731
SRR7535609,12854660,964099500,75,344,SRX4403426,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557899,SAMN09688284,simple,9606,Homo sapiens,GSM3290732,GEO,SRA741727,09,2018,Choe,Patient sample,lungcancer4-Input,Patient sample,,lung cancer,Tumor sample,,,GSM3290732
SRR7535610,15272595,1145444625,75,433,SRX4403427,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557900,SAMN09688283,simple,9606,Homo sapiens,GSM3290733,GEO,SRA741727,09,2018,Choe,Patient sample,lungcancer4-m6A-IP1,Patient sample,,lung cancer,Tumor sample,,,GSM3290733
SRR7535611,15313060,1148479500,75,413,SRX4403428,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP154311,PRJNA481680,30232453,"",SRS3557901,SAMN09688282,simple,9606,Homo sapiens,GSM3290734,GEO,SRA741727,09,2018,Choe,Patient sample,lungcancer4-m6A-IP2,Patient sample,,lung cancer,Tumor sample,,,GSM3290734
