Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,treatment,substrain,GEO Accession
SRR3147135,76618103,3816784683,49,1492,SRX1562752,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP069339,PRJNA311041,28139975,"",SRS1277304,SAMN04458001,simple,562,Escherichia coli,GSM2055272,GEO,SRA348058,01,2017,Burkhardt,bacteria,DMS-seq 37°C in vivo dusB-M3:2 mutant,bacteria,K-12,NA,MG1655,GSM2055285
SRR3147136,70893595,3523284973,49,1364,SRX1562753,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP069339,PRJNA311041,28139975,"",SRS1277303,SAMN04458002,simple,562,Escherichia coli,GSM2055273,GEO,SRA348058,01,2017,Burkhardt,bacteria,DMS-seq 37°C in vivo ∆gcvB,bacteria,MG1655 [p-CTRL],1mM IPTG,,GSM2462933
SRR4368650,77678123,3859205582,49,1490,SRX1562754,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP069339,PRJNA311041,28139975,"",SRS1277302,SAMN04457996,simple,562,Escherichia coli,GSM2055274,GEO,SRA348058,01,2017,Burkhardt,bacteria,DMS-seq 37°C in vivo ∆gcvB+ksg,bacteria,MG1655 [p-CUA],1mM IPTG,,GSM2462934
SRR4368655,49992109,2549597559,51,897,SRX1562754,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP069339,PRJNA311041,28139975,"",SRS1277302,SAMN04457996,simple,562,Escherichia coli,GSM2055274,GEO,SRA348058,01,2017,Burkhardt,bacteria,DMS-seq 37°C in vivo ∆gcvB+ksg,bacteria,MG1655 [p-CUG],1mM IPTG,,GSM2462935
SRR3147148,6439576,209592176,32,152,SRX1562765,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069339,PRJNA311041,28139975,"",SRS1277291,SAMN04458013,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2055285,GEO,SRA348058,01,2017,Burkhardt,bacteria,DMS-seq 37°C 16S rRNA,bacteria,MG1655 [p-CTRL],1mM IPTG,,GSM2462936
SRR5186136,61670104,3145175304,51,1066,SRX2502104,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP069339,PRJNA311041,28139975,"",SRS1928104,SAMN06240270,simple,562,Escherichia coli,GSM2462933,GEO,SRA348058,01,2017,Burkhardt,bacteria,ribosome profiling 37°C in WT with control plasmid,bacteria,MG1655 [p-CUA],1mM IPTG,,GSM2462937
SRR5186137,68702208,3503812608,51,1180,SRX2502105,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP069339,PRJNA311041,28139975,"",SRS1928105,SAMN06240269,simple,562,Escherichia coli,GSM2462934,GEO,SRA348058,01,2017,Burkhardt,bacteria,ribosome profiling 37°C in WT with plasmid expressing mini-ORF CUA,bacteria,MG1655 [p-CUG],1mM IPTG,,GSM2462938
SRR5186138,43070262,2196583362,51,740,SRX2502106,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP069339,PRJNA311041,28139975,"",SRS1928106,SAMN06240268,simple,562,Escherichia coli,GSM2462935,GEO,SRA348058,01,2017,Burkhardt,bacteria,ribosome profiling 37°C in WT with plasmid expressing mini-ORF CUG,bacteria,K-12,NA,MG1655,GSM2055244
SRR5186139,66880376,3410899176,51,1084,SRX2502107,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP069339,PRJNA311041,28139975,"",SRS1928107,SAMN06240267,simple,562,Escherichia coli,GSM2462936,GEO,SRA348058,01,2017,Burkhardt,bacteria,mRNA-seq 37°C in WT with control plasmid,bacteria,K-12,NA,MG1655,GSM2055255
SRR5186140,55995467,2855768817,51,917,SRX2502108,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP069339,PRJNA311041,28139975,"",SRS1928108,SAMN06240266,simple,562,Escherichia coli,GSM2462937,GEO,SRA348058,01,2017,Burkhardt,bacteria,mRNA-seq 37°C in WT with plasmid expressing mini-ORF CUA,bacteria,K-12,NA,MG1655,GSM2055260
SRR5186141,49850237,2542362087,51,801,SRX2502109,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP069339,PRJNA311041,28139975,"",SRS1928109,SAMN06240271,simple,562,Escherichia coli,GSM2462938,GEO,SRA348058,01,2017,Burkhardt,bacteria,mRNA-seq 37°C in WT with plasmid expressing mini-ORF CUG,bacteria,K-12,NA,MG1655,GSM2055261
