Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,GEO Accession
SRR17101467,5586064,837909600,75,300,SRX13289136,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201863,SAMN23572460,simple,10090,Mus musculus,GSM5712599,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,neg_Dsi_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712607
SRR17101468,5455613,818341950,75,289,SRX13289136,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201863,SAMN23572460,simple,10090,Mus musculus,GSM5712599,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,neg_Dsi_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712608
SRR17101469,5804121,870618150,75,305,SRX13289137,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201864,SAMN23572461,simple,10090,Mus musculus,GSM5712600,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi1_rep1,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712609
SRR17101470,6072626,910893900,75,321,SRX13289137,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201864,SAMN23572461,simple,10090,Mus musculus,GSM5712600,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi1_rep1,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712597
SRR17101471,6283234,942485100,75,338,SRX13289137,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201864,SAMN23572461,simple,10090,Mus musculus,GSM5712600,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi1_rep1,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712598
SRR17101472,6112168,916825200,75,324,SRX13289137,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201864,SAMN23572461,simple,10090,Mus musculus,GSM5712600,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi1_rep1,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712599
SRR17101473,5848719,877307850,75,306,SRX13289138,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201865,SAMN23572462,simple,10090,Mus musculus,GSM5712601,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi1_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712600
SRR17101474,6144844,921726600,75,323,SRX13289138,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201865,SAMN23572462,simple,10090,Mus musculus,GSM5712601,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi1_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712601
SRR17101475,6319678,947951700,75,339,SRX13289138,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201865,SAMN23572462,simple,10090,Mus musculus,GSM5712601,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi1_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712602
SRR17101476,6178577,926786550,75,326,SRX13289138,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201865,SAMN23572462,simple,10090,Mus musculus,GSM5712601,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi1_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712603
SRR17101477,4949112,742366800,75,260,SRX13289139,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201866,SAMN23572463,simple,10090,Mus musculus,GSM5712602,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi1_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712604
SRR17101478,5229169,784375350,75,275,SRX13289139,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201866,SAMN23572463,simple,10090,Mus musculus,GSM5712602,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi1_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712605
SRR17101479,5360177,804026550,75,287,SRX13289139,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201866,SAMN23572463,simple,10090,Mus musculus,GSM5712602,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi1_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712606
SRR17101480,5249016,787352400,75,278,SRX13289139,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201866,SAMN23572463,simple,10090,Mus musculus,GSM5712602,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi1_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712607
SRR17101481,4911686,736752900,75,258,SRX13289140,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201867,SAMN23572464,simple,10090,Mus musculus,GSM5712603,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi2_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712608
SRR17101482,5151187,772678050,75,272,SRX13289140,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201867,SAMN23572464,simple,10090,Mus musculus,GSM5712603,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi2_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712609
SRR17101483,5317492,797623800,75,286,SRX13289140,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201867,SAMN23572464,simple,10090,Mus musculus,GSM5712603,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi2_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712597
SRR17101484,5181798,777269700,75,275,SRX13289140,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201867,SAMN23572464,simple,10090,Mus musculus,GSM5712603,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi2_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712598
SRR17101485,6046347,906952050,75,321,SRX13289141,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201869,SAMN23572465,simple,10090,Mus musculus,GSM5712604,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi2_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712599
SRR17101486,6354851,953227650,75,338,SRX13289141,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201869,SAMN23572465,simple,10090,Mus musculus,GSM5712604,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi2_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712600
SRR17101487,6528796,979319400,75,354,SRX13289141,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201869,SAMN23572465,simple,10090,Mus musculus,GSM5712604,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi2_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712601
SRR17101488,6391906,958785900,75,342,SRX13289141,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201869,SAMN23572465,simple,10090,Mus musculus,GSM5712604,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,Igf2bp2_Dsi2_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712602
SRR17101489,5244120,786618000,75,276,SRX13289142,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201868,SAMN23572466,simple,10090,Mus musculus,GSM5712605,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi1_rep1,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712603
SRR17101490,5486007,822901050,75,291,SRX13289142,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201868,SAMN23572466,simple,10090,Mus musculus,GSM5712605,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi1_rep1,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712604
SRR17101491,5665405,849810750,75,306,SRX13289142,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201868,SAMN23572466,simple,10090,Mus musculus,GSM5712605,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi1_rep1,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712605
SRR17101492,5528279,829241850,75,294,SRX13289142,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201868,SAMN23572466,simple,10090,Mus musculus,GSM5712605,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi1_rep1,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712606
SRR17101493,5429694,814454100,75,287,SRX13289143,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201870,SAMN23572467,simple,10090,Mus musculus,GSM5712606,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi1_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712607
SRR17101494,5693874,854081100,75,303,SRX13289143,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201870,SAMN23572467,simple,10090,Mus musculus,GSM5712606,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi1_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712608
SRR17101495,5860510,879076500,75,317,SRX13289143,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201870,SAMN23572467,simple,10090,Mus musculus,GSM5712606,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi1_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712609
SRR17101496,5735232,860284800,75,306,SRX13289143,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201870,SAMN23572467,simple,10090,Mus musculus,GSM5712606,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi1_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712597
SRR17101497,4448355,667253250,75,232,SRX13289144,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201871,SAMN23572468,simple,10090,Mus musculus,GSM5712607,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi1_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712598
SRR17101498,4678361,701754150,75,245,SRX13289144,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201871,SAMN23572468,simple,10090,Mus musculus,GSM5712607,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi1_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712599
SRR17101499,4818124,722718600,75,257,SRX13289144,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201871,SAMN23572468,simple,10090,Mus musculus,GSM5712607,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi1_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712600
SRR17101500,4701562,705234300,75,247,SRX13289144,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201871,SAMN23572468,simple,10090,Mus musculus,GSM5712607,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi1_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712601
SRR17101501,5885156,882773400,75,323,SRX13289145,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201872,SAMN23572469,simple,10090,Mus musculus,GSM5712608,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi2_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712602
SRR17101502,6187276,928091400,75,342,SRX13289145,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201872,SAMN23572469,simple,10090,Mus musculus,GSM5712608,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi2_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712603
SRR17101503,6356712,953506800,75,358,SRX13289145,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201872,SAMN23572469,simple,10090,Mus musculus,GSM5712608,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi2_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712604
SRR17101504,6220027,933004050,75,346,SRX13289145,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201872,SAMN23572469,simple,10090,Mus musculus,GSM5712608,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi2_rep2,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712605
SRR17101505,5161585,774237750,75,270,SRX13289146,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201873,SAMN23572470,simple,10090,Mus musculus,GSM5712609,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi2_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712606
SRR17101506,5432759,814913850,75,286,SRX13289146,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201873,SAMN23572470,simple,10090,Mus musculus,GSM5712609,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi2_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712607
SRR17101507,5586601,837990150,75,299,SRX13289146,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201873,SAMN23572470,simple,10090,Mus musculus,GSM5712609,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi2_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712608
SRR17101508,5459250,818887500,75,288,SRX13289146,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP348958,PRJNA785633,35036870,"",SRS11201873,SAMN23572470,simple,10090,Mus musculus,GSM5712609,GEO,SRA1337741,12,2021,Alvarez-Dominguez,scWAT_d6,lncRAP2_Dsi2_rep3,scWAT_d6,C57BL/6J,subcutaneous (inguinal) white adipose tissue,d4-->d6,GSM5712609
