Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genetic background,cell treatment,assay type,cell lysis conditions,GEO Accession
SRR9659381,89903380,4585072380,51,1736,SRX6420396,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077331,SAMN12236595,simple,10090,Mus musculus,GSM3933423,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_CHX5,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-Avi,none,CRAC (long protocol),RIPA,GSM3933424
SRR9659382,102972546,5251599846,51,2115,SRX6420396,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077331,SAMN12236595,simple,10090,Mus musculus,GSM3933423,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_CHX5,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-Avi,none,CRAC (long protocol),RIPA,GSM3933425
SRR9659383,127206883,6487551033,51,2455,SRX6420397,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077332,SAMN12236594,simple,10090,Mus musculus,GSM3933424,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_1,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-Avi,none,CRAC (short protocol),RIPA,GSM3933426
SRR9659384,114729931,5851226481,51,2171,SRX6420398,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077333,SAMN12236593,simple,10090,Mus musculus,GSM3933425,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_2,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-Avi,none,CRAC (short protocol),TN150+NP40,GSM3933427
SRR9659385,167770290,8556284790,51,3579,SRX6420399,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077334,SAMN12236592,simple,10090,Mus musculus,GSM3933426,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_3,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-Avi,none,CRAC (long protocol),RIPA,GSM3933428
SRR9659386,16822963,857971113,51,313,SRX6420400,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077335,SAMN12236591,simple,10090,Mus musculus,GSM3933427,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_4,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-Avi,none,CRAC (long protocol),RIPA,GSM3933429
SRR9659387,48630509,2480155959,51,942,SRX6420401,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077336,SAMN12236590,simple,10090,Mus musculus,GSM3933428,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_HAR30,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-Avi,none,CRAC (short protocol),TN150+NP40,GSM3933430
SRR9659388,51248700,2613683700,51,1065,SRX6420401,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077336,SAMN12236590,simple,10090,Mus musculus,GSM3933428,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_HAR30,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-Avi,none,CRAC (short protocol),TN150+NP40,GSM3933431
SRR9659389,47233546,2408910846,51,911,SRX6420402,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077337,SAMN12236589,simple,10090,Mus musculus,GSM3933429,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_HAR5,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-AviAven-/-,none,CRAC (short protocol),RIPA,GSM3933432
SRR9659390,49799320,2539765320,51,1025,SRX6420402,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077337,SAMN12236589,simple,10090,Mus musculus,GSM3933429,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_HAR5,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-AviAven-/-,none,CRAC (long protocol),RIPA,GSM3933433
SRR9659391,27137441,1384009491,51,514,SRX6420403,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077338,SAMN12236588,simple,10090,Mus musculus,GSM3933430,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_5,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-AviAven-/-,none,CRAC (short protocol),TN150+NP40,GSM3933434
SRR9659392,30015705,1530800955,51,572,SRX6420404,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077339,SAMN12236587,simple,10090,Mus musculus,GSM3933431,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_6,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-AviAven-/-,none,CRAC (short protocol),RIPA,GSM3933435
SRR9659393,26780032,1365781632,51,577,SRX6420405,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077340,SAMN12236586,simple,10090,Mus musculus,GSM3933432,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_Aven_KO_4F_1,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-AviAven-/-,none,CRAC (long protocol),RIPA,GSM3933436
SRR9659394,14819317,755785167,51,271,SRX6420406,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077341,SAMN12236585,simple,10090,Mus musculus,GSM3933433,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_Aven_KO_4F_3,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-AviAven-/-,none,CRAC (short protocol),TN150+NP40,GSM3933437
SRR9659395,78795732,4018582332,51,1471,SRX6420407,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077342,SAMN12236621,simple,10090,Mus musculus,GSM3933434,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_Aven_KO_4F_2,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-AviFocad-/-,none,CRAC (short protocol),TN150+NP40,GSM3933438
SRR9659396,41476272,2115289872,51,877,SRX6420408,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077343,SAMN12236620,simple,10090,Mus musculus,GSM3933435,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_Aven_KO_6G_1,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-AviFocad-/-,none,CRAC (short protocol),TN150+NP40,GSM3933439
SRR9659397,8425400,429695400,51,155,SRX6420409,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077344,SAMN12236619,simple,10090,Mus musculus,GSM3933436,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_Aven_KO_6G_3,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Xrn13xFLAG-Avi/3xFLAG-Avi,none,CRAC (long protocol),RIPA,GSM3933440
SRR9659398,25480925,1299527175,51,474,SRX6420410,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077345,SAMN12236613,simple,10090,Mus musculus,GSM3933437,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_Aven_KO_6G_2,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Xrn13xFLAG-Avi/3xFLAG-Avi,none,CRAC (short protocol),RIPA,GSM3933441
SRR9659399,11542470,588665970,51,227,SRX6420411,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077346,SAMN12236618,simple,10090,Mus musculus,GSM3933438,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_Focad_KO_2F_1,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Xrn13xFLAG-Avi/3xFLAG-Avi,none,CRAC (short protocol),TN150+NP40,GSM3933442
SRR9659400,17126143,873433293,51,340,SRX6420412,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077347,SAMN12236617,simple,10090,Mus musculus,GSM3933439,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Skiv2l_Focad_KO_4B_1,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Xrn13xFLAG-Avi/3xFLAG-Avi,none,CRAC (short protocol),TN150+NP40,GSM3933443
SRR9659401,122682369,6256800819,51,2582,SRX6420413,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077348,SAMN12236616,simple,10090,Mus musculus,GSM3933440,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Xrn1_1,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Xrn13xFLAG-Avi/3xFLAG-Avi,none,CRAC (short protocol),TN150+NP40,GSM3933444
SRR9659402,124362487,6342486837,51,2349,SRX6420414,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077349,SAMN12236615,simple,10090,Mus musculus,GSM3933441,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Xrn1_2,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-Avi,none,RNA-seq,Agilent Absolutely RNA Miniprep Kit,GSM3933445
SRR9659403,95723521,4881899571,51,1744,SRX6420415,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077350,SAMN12236614,simple,10090,Mus musculus,GSM3933442,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Xrn1_3,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-Avi,none,RNA-seq (batch 3),Agilent Absolutely RNA Miniprep Kit,GSM3933446
SRR9659404,49653900,2532348900,51,923,SRX6420416,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077351,SAMN12236612,simple,10090,Mus musculus,GSM3933443,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Xrn1_4,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-AviAven-/-,none,RNA-seq (batch 3),Agilent Absolutely RNA Miniprep Kit,GSM3933447
SRR9659405,35207676,1795591476,51,654,SRX6420417,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077352,SAMN12236584,simple,10090,Mus musculus,GSM3933444,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,CRAC_Xrn1_5,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-AviAven-/-,none,RNA-seq (batch 3),Agilent Absolutely RNA Miniprep Kit,GSM3933448
SRR9659406,17849494,910324194,51,305,SRX6420418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077353,SAMN12236583,simple,10090,Mus musculus,GSM3933445,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,RNAseq_ 3xFLAG-Avi-Skiv2l_rep3,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/- Skiv2lfl/fl,none,RNA-seq (batch 3),Agilent Absolutely RNA Miniprep Kit,GSM3933449
SRR9659407,17683048,901835448,51,300,SRX6420418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077353,SAMN12236583,simple,10090,Mus musculus,GSM3933445,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,RNAseq_ 3xFLAG-Avi-Skiv2l_rep3,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/- Skiv2lfl/fl,0.1uM 4OHT for 2 days,RNA-seq (batch 3),Agilent Absolutely RNA Miniprep Kit,GSM3933450
SRR9659408,17438880,889382880,51,297,SRX6420418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077353,SAMN12236583,simple,10090,Mus musculus,GSM3933445,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,RNAseq_ 3xFLAG-Avi-Skiv2l_rep3,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/- Skiv2lfl/fl,0.1uM 4OHT for 4 days,RNA-seq (batch 3),Agilent Absolutely RNA Miniprep Kit,GSM3933451
SRR9659409,17135999,873935949,51,294,SRX6420419,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077354,SAMN12236582,simple,10090,Mus musculus,GSM3933446,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,RNAseq_ 3xFLAG-Avi-Skiv2l_rep4,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/- Skiv2lfl/fl,none,RNA-seq (batch 3),Agilent Absolutely RNA Miniprep Kit,GSM3933452
SRR9659410,16994374,866713074,51,289,SRX6420419,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077354,SAMN12236582,simple,10090,Mus musculus,GSM3933446,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,RNAseq_ 3xFLAG-Avi-Skiv2l_rep4,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/- Skiv2lfl/fl,0.1uM 4OHT for 2 days,RNA-seq (batch 3),Agilent Absolutely RNA Miniprep Kit,GSM3933453
SRR9659411,16763796,854953596,51,287,SRX6420419,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077354,SAMN12236582,simple,10090,Mus musculus,GSM3933446,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,RNAseq_ 3xFLAG-Avi-Skiv2l_rep4,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/- Skiv2lfl/fl,0.1uM 4OHT for 4 days,RNA-seq (batch 3),Agilent Absolutely RNA Miniprep Kit,GSM3933454
SRR9659412,17862555,910990305,51,306,SRX6420420,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077355,SAMN12236581,simple,10090,Mus musculus,GSM3933447,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,RNAseq_ 3xFLAG-Avi-Skiv2l_deltaAven_4H_rep2,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-Avi Skiv2lfl/flAven-/-,none,RNA-seq (batch 3),Agilent Absolutely RNA Miniprep Kit,GSM3933455
SRR9659413,17717450,903589950,51,301,SRX6420420,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077355,SAMN12236581,simple,10090,Mus musculus,GSM3933447,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,RNAseq_ 3xFLAG-Avi-Skiv2l_deltaAven_4H_rep2,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-Avi Skiv2lfl/flAven-/-,0.1uM 4OHT for 2 days,RNA-seq (batch 3),Agilent Absolutely RNA Miniprep Kit,GSM3933456
SRR9659414,17471090,891025590,51,298,SRX6420420,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077355,SAMN12236581,simple,10090,Mus musculus,GSM3933447,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,RNAseq_ 3xFLAG-Avi-Skiv2l_deltaAven_4H_rep2,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-Avi Skiv2lfl/flAven-/-,0.1uM 4OHT for 4 days,RNA-seq (batch 3),Agilent Absolutely RNA Miniprep Kit,GSM3933457
SRR9659415,17258916,880204716,51,298,SRX6420421,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077356,SAMN12236580,simple,10090,Mus musculus,GSM3933448,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,RNAseq_ 3xFLAG-Avi-Skiv2l_deltaAven_6G_rep2,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-Avi Skiv2lfl/flAven-/-,none,RNA-seq (batch 3),Agilent Absolutely RNA Miniprep Kit,GSM3933458
SRR9659416,17126316,873442116,51,293,SRX6420421,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP213860,PRJNA553494,32048998,"",SRS5077356,SAMN12236580,simple,10090,Mus musculus,GSM3933448,GEO,SRA918882,02,2020,Tuck,mouse embryonic stem cell,RNAseq_ 3xFLAG-Avi-Skiv2l_deltaAven_6G_rep2,mouse embryonic stem cell,mouse embryonic stem cell,Rosa26Cre-ERT2/BirA-V6 Skiv2l3xFLAG-Avi/3xFLAG-Avi Skiv2lfl/flAven-/-,0.1uM 4OHT for 2 days,RNA-seq (batch 3),Agilent Absolutely RNA Miniprep Kit,GSM3933459
