Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,replicate,batch,geo_loc_name,collection_date,time
SRR19574048,21948454,6628433108,151,1889,SRX15625952,GSM6216012,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326077,SAMN28903580,simple,9606,Homo sapiens,GSM6216012,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Legionella dotA 4hr 2,HEK293-FcgR,HEK293-FcgR,Legionella delta-dotA,2,2,missing,missing,4hr
SRR19574047,31280766,9446791332,151,2683,SRX15625953,GSM6216013,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326078,SAMN28903579,simple,9606,Homo sapiens,GSM6216013,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Legionella dotA 4hr 1,HEK293-FcgR,HEK293-FcgR,Legionella delta-dotA,1,2,missing,missing,4hr
SRR19574046,27924901,8433320102,151,2419,SRX15625954,GSM6216014,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326079,SAMN28903578,simple,9606,Homo sapiens,GSM6216014,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Legionella dotA 8hr 2,HEK293-FcgR,HEK293-FcgR,Legionella delta-dotA,2,2,missing,missing,8hr
SRR19574045,25640599,7743460898,151,2209,SRX15625955,GSM6216015,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326080,SAMN28903577,simple,9606,Homo sapiens,GSM6216015,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Legionella dotA 8hr 1,HEK293-FcgR,HEK293-FcgR,Legionella delta-dotA,1,2,missing,missing,8hr
SRR19574044,23912814,7221669828,151,2065,SRX15625956,GSM6216016,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326081,SAMN28903576,simple,9606,Homo sapiens,GSM6216016,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Uninfected 2,HEK293-FcgR,HEK293-FcgR,Uninfected,2,2,missing,missing,
SRR19574043,22000689,6644208078,151,1904,SRX15625957,GSM6216017,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326082,SAMN28903575,simple,9606,Homo sapiens,GSM6216017,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Uninfected 1,HEK293-FcgR,HEK293-FcgR,Uninfected,1,2,missing,missing,
SRR19574042,21942757,6626712614,151,1898,SRX15625958,GSM6216018,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326083,SAMN28903574,simple,9606,Homo sapiens,GSM6216018,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Legionella WT 1hr 2,HEK293-FcgR,HEK293-FcgR,Legionella WT,2,2,missing,missing,1hr
SRR19574041,14912984,4503721168,151,1292,SRX15625959,GSM6216019,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326084,SAMN28903573,simple,9606,Homo sapiens,GSM6216019,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Legionella WT 1hr 1,HEK293-FcgR,HEK293-FcgR,Legionella WT,1,2,missing,missing,1hr
SRR19574040,25631743,7740786386,151,2201,SRX15625960,GSM6216020,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326086,SAMN28903572,simple,9606,Homo sapiens,GSM6216020,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Legionella WT 2hr 2,HEK293-FcgR,HEK293-FcgR,Legionella WT,2,2,missing,missing,2hr
SRR19574039,21940687,6626087474,151,1892,SRX15625961,GSM6216021,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326085,SAMN28903571,simple,9606,Homo sapiens,GSM6216021,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Legionella WT 2hr 1,HEK293-FcgR,HEK293-FcgR,Legionella WT,1,2,missing,missing,2hr
SRR19574038,22108132,6676655864,151,1897,SRX15625962,GSM6216022,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326087,SAMN28903570,simple,9606,Homo sapiens,GSM6216022,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Legionella WT 4hr 2,HEK293-FcgR,HEK293-FcgR,Legionella WT,2,2,missing,missing,4hr
SRR19574037,20222671,6107246642,151,1739,SRX15625963,GSM6216023,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326088,SAMN28903569,simple,9606,Homo sapiens,GSM6216023,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Legionella WT 4hr 1,HEK293-FcgR,HEK293-FcgR,Legionella WT,1,2,missing,missing,4hr
SRR19574036,19486966,5885063732,151,1703,SRX15625964,GSM6216024,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326089,SAMN28903568,simple,9606,Homo sapiens,GSM6216024,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Legionella WT 8hr 2,HEK293-FcgR,HEK293-FcgR,Legionella WT,2,2,missing,missing,8hr
SRR19574035,20873569,6303817838,151,1808,SRX15625965,GSM6216025,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326090,SAMN28903567,simple,9606,Homo sapiens,GSM6216025,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Legionella WT 8hr 1,HEK293-FcgR,HEK293-FcgR,Legionella WT,1,2,missing,missing,8hr
