Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cultivar,line,tissue,experiment type,molecule subtype,GEO Accession
SRR8763274,2443075,124596825,51,58,SRX5554178,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518074,SAMN11191733,simple,4081,Solanum lycopersicum,GSM3682209,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TRACONHAIRYROOTT6A [A17_TRAP],7 days-old seedling shoot apical meristem,Solanum pennellii LA0716,35S:His6:FLAG-GFP-AtRPL18-1,7 days-old seedling shoot apical meristem,Random primed libraries,polyA RNA,GSM3682218
SRR8763275,5100256,255012800,50,109,SRX5554179,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518073,SAMN11191732,simple,4081,Solanum lycopersicum,GSM3682210,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TOTSUBHAIRYROOTT6A [A18_TOTAL],7 days-old seedling shoot apical meristem,Solanum pennellii LA0716,35S:His6:FLAG-GFP-AtRPL18-1,7 days-old seedling shoot apical meristem,Random primed libraries,TRAP RNA,GSM3682219
SRR8763276,331414,16902114,51,7,SRX5554179,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518073,SAMN11191732,simple,4081,Solanum lycopersicum,GSM3682210,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TOTSUBHAIRYROOTT6A [A18_TOTAL],7 days-old seedling 1 cm roots tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling 1 cm roots tips,Random primed libraries,polyA RNA,GSM3682220
SRR8763277,411014,20961714,51,8,SRX5554179,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518073,SAMN11191732,simple,4081,Solanum lycopersicum,GSM3682210,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TOTSUBHAIRYROOTT6A [A18_TOTAL],7 days-old seedling 1 cm roots tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling 1 cm roots tips,Random primed libraries,TRAP RNA,GSM3682221
SRR8763278,4383608,223564008,51,96,SRX5554179,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518073,SAMN11191732,simple,4081,Solanum lycopersicum,GSM3682210,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TOTSUBHAIRYROOTT6A [A18_TOTAL],7 days-old seedling 1 cm roots tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling 1 cm roots tips,Random primed libraries,polyA RNA,GSM3682222
SRR8763279,4265765,217554015,51,99,SRX5554179,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518073,SAMN11191732,simple,4081,Solanum lycopersicum,GSM3682210,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TOTSUBHAIRYROOTT6A [A18_TOTAL],7 days-old seedling 1 cm roots tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling 1 cm roots tips,Random primed libraries,TRAP RNA,GSM3682223
SRR8763280,472727,23636350,50,10,SRX5554180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518075,SAMN11191731,simple,4081,Solanum lycopersicum,GSM3682211,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TRASUBHAIRYROOTT6A [A18_TRAP],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR6,hairy root culture 1cm root tips,Random primed libraries,polyA RNA,GSM3682224
SRR8763281,4747802,242137902,51,101,SRX5554180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518075,SAMN11191731,simple,4081,Solanum lycopersicum,GSM3682211,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TRASUBHAIRYROOTT6A [A18_TRAP],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR6,hairy root culture 1cm root tips,Random primed libraries,TRAP RNA,GSM3682225
SRR8763282,4631638,236213538,51,97,SRX5554180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518075,SAMN11191731,simple,4081,Solanum lycopersicum,GSM3682211,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TRASUBHAIRYROOTT6A [A18_TRAP],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR6,hairy root culture 1cm root tips,Random primed libraries,polyA RNA,GSM3682226
SRR8763283,1255620,64036620,51,23,SRX5554180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518075,SAMN11191731,simple,4081,Solanum lycopersicum,GSM3682211,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TRASUBHAIRYROOTT6A [A18_TRAP],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR6,hairy root culture 1cm root tips,Random primed libraries,TRAP RNA,GSM3682227
SRR8763284,475537,24252387,51,10,SRX5554180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518075,SAMN11191731,simple,4081,Solanum lycopersicum,GSM3682211,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TRASUBHAIRYROOTT6A [A18_TRAP],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR2,hairy root culture 1cm root tips,Random primed libraries,polyA RNA,GSM3682228
SRR8763285,423686,21607986,51,10,SRX5554180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518075,SAMN11191731,simple,4081,Solanum lycopersicum,GSM3682211,GEO,SRA863775,09,2019,Reynoso,hairy root culture 1cm root tips,TRASUBHAIRYROOTT6A [A18_TRAP],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR2,hairy root culture 1cm root tips,Random primed libraries,TRAP RNA,GSM3682229
SRR8763286,1074098,53704900,50,23,SRX5554181,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518076,SAMN11191730,simple,4081,Solanum lycopersicum,GSM3682212,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TOTCONSLSHOOTB [B01_TOTAL],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR2,hairy root culture 1cm root tips,Random primed libraries,polyA RNA,GSM3682230
SRR8763287,769359,39237309,51,16,SRX5554181,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518076,SAMN11191730,simple,4081,Solanum lycopersicum,GSM3682212,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TOTCONSLSHOOTB [B01_TOTAL],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR2,hairy root culture 1cm root tips,Random primed libraries,TRAP RNA,GSM3682231
SRR8763288,929926,47426226,51,19,SRX5554181,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518076,SAMN11191730,simple,4081,Solanum lycopersicum,GSM3682212,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TOTCONSLSHOOTB [B01_TOTAL],7 days-old seedling shoot apical meristem,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling shoot apical meristem,Random primed libraries,polyA RNA,GSM3682232
SRR8763289,3426497,174751347,51,75,SRX5554181,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518076,SAMN11191730,simple,4081,Solanum lycopersicum,GSM3682212,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TOTCONSLSHOOTB [B01_TOTAL],7 days-old seedling shoot apical meristem,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling shoot apical meristem,Random primed libraries,TRAP RNA,GSM3682233
SRR8763290,3350720,170886720,51,78,SRX5554181,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518076,SAMN11191730,simple,4081,Solanum lycopersicum,GSM3682212,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TOTCONSLSHOOTB [B01_TOTAL],7 days-old seedling shoot apical meristem,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling shoot apical meristem,Random primed libraries,polyA RNA,GSM3682234
SRR8763291,2253909,112695450,50,49,SRX5554182,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518077,SAMN11191729,simple,4081,Solanum lycopersicum,GSM3682213,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TRACONSLSHOOTB [B01_TRAP],7 days-old seedling shoot apical meristem,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling shoot apical meristem,Random primed libraries,TRAP RNA,GSM3682235
SRR8763292,5177384,264046584,51,110,SRX5554182,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518077,SAMN11191729,simple,4081,Solanum lycopersicum,GSM3682213,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TRACONSLSHOOTB [B01_TRAP],7 days-old seedling shoot apical meristem,Solanum pennellii LA0716,35S:His6:FLAG-GFP-AtRPL18-1,7 days-old seedling shoot apical meristem,Random primed libraries,TRAP RNA,GSM3682236
SRR8763293,5111464,260684664,51,107,SRX5554182,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518077,SAMN11191729,simple,4081,Solanum lycopersicum,GSM3682213,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TRACONSLSHOOTB [B01_TRAP],7 days-old seedling shoot apical meristem,Solanum pennellii LA0716,35S:His6:FLAG-GFP-AtRPL18-1,7 days-old seedling shoot apical meristem,Random primed libraries,polyA RNA,GSM3682237
SRR8763294,6500543,331527693,51,122,SRX5554182,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518077,SAMN11191729,simple,4081,Solanum lycopersicum,GSM3682213,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TRACONSLSHOOTB [B01_TRAP],7 days-old seedling shoot apical meristem,Solanum pennellii LA0716,35S:His6:FLAG-GFP-AtRPL18-1,7 days-old seedling shoot apical meristem,Random primed libraries,TRAP RNA,GSM3682238
SRR8763295,2314130,118020630,51,50,SRX5554182,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518077,SAMN11191729,simple,4081,Solanum lycopersicum,GSM3682213,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TRACONSLSHOOTB [B01_TRAP],7 days-old seedling 1 cm roots tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling 1 cm roots tips,Random primed libraries,polyA RNA,GSM3682239
SRR8763296,2005970,102304470,51,48,SRX5554182,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518077,SAMN11191729,simple,4081,Solanum lycopersicum,GSM3682213,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TRACONSLSHOOTB [B01_TRAP],7 days-old seedling 1 cm roots tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling 1 cm roots tips,Random primed libraries,TRAP RNA,GSM3682240
SRR8763297,5290999,264549950,50,113,SRX5554183,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518078,SAMN11191728,simple,4081,Solanum lycopersicum,GSM3682214,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TOTSUBSLSHOOTB [B02_TOTAL],7 days-old seedling 1 cm roots tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling 1 cm roots tips,Random primed libraries,polyA RNA,GSM3682241
SRR8763298,1075763,54863913,51,23,SRX5554183,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518078,SAMN11191728,simple,4081,Solanum lycopersicum,GSM3682214,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TOTSUBSLSHOOTB [B02_TOTAL],7 days-old seedling 1 cm roots tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling 1 cm roots tips,Random primed libraries,TRAP RNA,GSM3682242
SRR8763299,1278758,65216658,51,26,SRX5554183,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518078,SAMN11191728,simple,4081,Solanum lycopersicum,GSM3682214,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TOTSUBSLSHOOTB [B02_TOTAL],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR6,hairy root culture 1cm root tips,Random primed libraries,TRAP RNA,GSM3682243
SRR8763300,4710404,240230604,51,103,SRX5554183,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518078,SAMN11191728,simple,4081,Solanum lycopersicum,GSM3682214,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TOTSUBSLSHOOTB [B02_TOTAL],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR6,hairy root culture 1cm root tips,Random primed libraries,polyA RNA,GSM3682244
SRR8763301,4575358,233343258,51,106,SRX5554183,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518078,SAMN11191728,simple,4081,Solanum lycopersicum,GSM3682214,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TOTSUBSLSHOOTB [B02_TOTAL],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR6,hairy root culture 1cm root tips,Random primed libraries,TRAP RNA,GSM3682245
SRR8763302,2182809,109140450,50,47,SRX5554184,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518079,SAMN11191727,simple,4081,Solanum lycopersicum,GSM3682215,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TRASUBSLSHOOTB [B02_TRAP],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR6,hairy root culture 1cm root tips,Random primed libraries,polyA RNA,GSM3682246
SRR8763303,1364133,69570783,51,29,SRX5554184,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518079,SAMN11191727,simple,4081,Solanum lycopersicum,GSM3682215,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TRASUBSLSHOOTB [B02_TRAP],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR4,hairy root culture 1cm root tips,Random primed libraries,TRAP RNA,GSM3682247
SRR8763304,1437391,73306941,51,30,SRX5554184,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518079,SAMN11191727,simple,4081,Solanum lycopersicum,GSM3682215,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TRASUBSLSHOOTB [B02_TRAP],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR4,hairy root culture 1cm root tips,Random primed libraries,polyA RNA,GSM3682248
SRR8763305,2996063,152799213,51,58,SRX5554184,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518079,SAMN11191727,simple,4081,Solanum lycopersicum,GSM3682215,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TRASUBSLSHOOTB [B02_TRAP],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR4,hairy root culture 1cm root tips,Random primed libraries,TRAP RNA,GSM3682249
SRR8763306,2126553,108454203,51,47,SRX5554184,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518079,SAMN11191727,simple,4081,Solanum lycopersicum,GSM3682215,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TRASUBSLSHOOTB [B02_TRAP],hairy root culture 1cm root tips,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-HR4,hairy root culture 1cm root tips,Random primed libraries,polyA RNA,GSM3682250
SRR8763307,1813021,92464071,51,43,SRX5554184,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518079,SAMN11191727,simple,4081,Solanum lycopersicum,GSM3682215,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TRASUBSLSHOOTB [B02_TRAP],7 days-old seedling shoot apical meristem,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling shoot apical meristem,Random primed libraries,polyA RNA,GSM3682251
SRR8763308,903268,45163400,50,19,SRX5554185,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP189094,PRJNA528488,31604238,"",SRS4518081,SAMN11191726,simple,28526,Solanum pennellii,GSM3682216,GEO,SRA863775,09,2019,Reynoso,7 days-old seedling shoot apical meristem,TOTCONSPSHOOTB [B03_TOTAL],7 days-old seedling shoot apical meristem,Solanum lycopersicum cv. M82,35S:His6:FLAG-GFP-AtRPL18-5,7 days-old seedling shoot apical meristem,Random primed libraries,TRAP RNA,GSM3682252
