Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment,GEO Accession
SRR8449575,105106917,5360452767,51,1765,SRX5256553,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258059,SAMN10760874,simple,9606,Homo sapiens,GSM3566406,GEO,SRA835486,07,2019,Martinez,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3_Ribo_LoRes_rep1,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3,Human Cervix Adenocarcinoma,,GSM3566406
SRR8449576,41675034,2125426734,51,744,SRX5256554,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258060,SAMN10760873,simple,9606,Homo sapiens,GSM3566407,GEO,SRA835486,07,2019,Martinez,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3_Ribo_LoRes_rep2,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3,Human Cervix Adenocarcinoma,,GSM3566407
SRR8449578,115337841,5882229891,51,1981,SRX5256555,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258061,SAMN10760871,simple,9606,Homo sapiens,GSM3566409,GEO,SRA835486,07,2019,Martinez,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3_Ribo_HiRes_rep2,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3,Human Cervix Adenocarcinoma,,GSM3566409
SRR8449579,38090984,1942640184,51,615,SRX5256556,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258062,SAMN10760870,simple,9606,Homo sapiens,GSM3566410,GEO,SRA835486,07,2019,Martinez,K562 (Human Chronic Myelogenous Leukemia),K562_Ribo_HiRes_rep1,K562 (Human Chronic Myelogenous Leukemia),K562,Human Chronic Myelogenous Leukemia,,GSM3566410
SRR8449580,39566395,2017886145,51,635,SRX5256557,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258063,SAMN10760869,simple,9606,Homo sapiens,GSM3566411,GEO,SRA835486,07,2019,Martinez,K562 (Human Chronic Myelogenous Leukemia),K562_Ribo_HiRes_rep2,K562 (Human Chronic Myelogenous Leukemia),K562,Human Chronic Myelogenous Leukemia,,GSM3566411
SRR8449581,94649973,4827148623,51,1582,SRX5256558,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258064,SAMN10760868,simple,9606,Homo sapiens,GSM3566412,GEO,SRA835486,07,2019,Martinez,K562 (Human Chronic Myelogenous Leukemia),K562_Ribo_HiRes_rep3,K562 (Human Chronic Myelogenous Leukemia),K562,Human Chronic Myelogenous Leukemia,,GSM3566412
SRR8449582,83858292,4276772892,51,1454,SRX5256559,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258065,SAMN10760867,simple,9606,Homo sapiens,GSM3566413,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_Harr_rep1,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,Harringtonine,GSM3566413
SRR8449583,73790160,3763298160,51,1289,SRX5256560,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258066,SAMN10760866,simple,9606,Homo sapiens,GSM3566414,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_LTM_rep1,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,Lactimidomycin,GSM3566414
SRR8449584,69066957,3522414807,51,1224,SRX5256561,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258067,SAMN10760865,simple,9606,Homo sapiens,GSM3566415,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_LTM_rep2,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,Lactimidomycin,GSM3566415
SRR8449585,63451120,3236007120,51,1051,SRX5256562,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258068,SAMN10760864,simple,9606,Homo sapiens,GSM3566416,GEO,SRA835486,07,2019,Martinez,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3_Harr_rep1,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3,Human Cervix Adenocarcinoma,Harringtonine,GSM3566416
SRR8449586,30773830,1569465330,51,550,SRX5256563,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258069,SAMN10760896,simple,9606,Homo sapiens,GSM3566417,GEO,SRA835486,07,2019,Martinez,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3_Harr_rep2,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3,Human Cervix Adenocarcinoma,Harringtonine,GSM3566417
SRR8449587,52724497,2688949347,51,881,SRX5256564,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258070,SAMN10760895,simple,9606,Homo sapiens,GSM3566418,GEO,SRA835486,07,2019,Martinez,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3_LTM_rep1,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3,Human Cervix Adenocarcinoma,Lactimidomycin,GSM3566418
SRR8449588,53634786,2735374086,51,970,SRX5256565,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258071,SAMN10760894,simple,9606,Homo sapiens,GSM3566419,GEO,SRA835486,07,2019,Martinez,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3_LTM_rep2,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3,Human Cervix Adenocarcinoma,Lactimidomycin,GSM3566419
SRR8449589,37008268,1887421668,51,595,SRX5256566,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258072,SAMN10760893,simple,9606,Homo sapiens,GSM3566420,GEO,SRA835486,07,2019,Martinez,K562 (Human Chronic Myelogenous Leukemia),K562_Harr_rep1,K562 (Human Chronic Myelogenous Leukemia),K562,Human Chronic Myelogenous Leukemia,Harringtonine,GSM3566420
SRR8449590,71394678,3641128578,51,1181,SRX5256567,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258073,SAMN10760892,simple,9606,Homo sapiens,GSM3566421,GEO,SRA835486,07,2019,Martinez,K562 (Human Chronic Myelogenous Leukemia),K562_Harr_rep2,K562 (Human Chronic Myelogenous Leukemia),K562,Human Chronic Myelogenous Leukemia,Harringtonine,GSM3566421
SRR8449591,94316249,4810128699,51,1494,SRX5256568,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258074,SAMN10760891,simple,9606,Homo sapiens,GSM3566422,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_TotRNA_DMSO_rep1,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,DMSO,GSM3566422
SRR8449592,46598238,2376510138,51,785,SRX5256569,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258075,SAMN10760890,simple,9606,Homo sapiens,GSM3566423,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_TotRNA_DMSO_rep2,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,DMSO,GSM3566423
SRR8449593,83834256,4275547056,51,1330,SRX5256570,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258076,SAMN10760889,simple,9606,Homo sapiens,GSM3566424,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_TotRNA_TM_rep1,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,Tunicamycin,GSM3566424
SRR8449594,49346329,2516662779,51,829,SRX5256571,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258077,SAMN10760888,simple,9606,Homo sapiens,GSM3566425,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_TotRNA_TM_rep2,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,Tunicamycin,GSM3566425
SRR8449595,89314009,4555014459,51,1417,SRX5256572,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258078,SAMN10760887,simple,9606,Homo sapiens,GSM3566426,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_TotRNA_TG_rep1,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,Thapsigargin,GSM3566426
SRR8449596,47932160,2444540160,51,802,SRX5256573,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258079,SAMN10760886,simple,9606,Homo sapiens,GSM3566427,GEO,SRA835486,07,2019,Martinez,HEK293T (Human Embryonic Kidney),293T_TotRNA_TG_rep2,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,Thapsigargin,GSM3566427
SRR8449597,44636823,11159205750,125,3824,SRX5256574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258080,SAMN10760885,simple,9606,Homo sapiens,GSM3566428,GEO,SRA835486,07,2019,Martinez,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3_TotalRNA,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3,Human Cervix Adenocarcinoma,,GSM3566428
SRR8449598,85825065,21456266250,125,7241,SRX5256574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258080,SAMN10760885,simple,9606,Homo sapiens,GSM3566428,GEO,SRA835486,07,2019,Martinez,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3_TotalRNA,K562 (Human Chronic Myelogenous Leukemia),K562,Human Chronic Myelogenous Leukemia,,GSM3566429
SRR8449599,45961228,11490307000,125,3921,SRX5256574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258080,SAMN10760885,simple,9606,Homo sapiens,GSM3566428,GEO,SRA835486,07,2019,Martinez,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3_TotalRNA,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3,Human Cervix Adenocarcinoma,,GSM3566408
SRR8449600,68059083,17014770750,125,5820,SRX5256574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP179798,PRJNA515538,31819274,"",SRS4258080,SAMN10760885,simple,9606,Homo sapiens,GSM3566428,GEO,SRA835486,07,2019,Martinez,HeLa-S3 (Human Cervix Adenocarcinoma),HeLa-S3_TotalRNA,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,,GSM3566397
SRR8449601,35201194,10560358200,150,4543,SRX5256575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP179798,PRJNA515538,31819274,"",SRS4258081,SAMN10760884,simple,9606,Homo sapiens,GSM3566429,GEO,SRA835486,07,2019,Martinez,K562 (Human Chronic Myelogenous Leukemia),K562_TotalRNA,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,,GSM3566398
SRR8449602,40943188,12282956400,150,5267,SRX5256575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP179798,PRJNA515538,31819274,"",SRS4258081,SAMN10760884,simple,9606,Homo sapiens,GSM3566429,GEO,SRA835486,07,2019,Martinez,K562 (Human Chronic Myelogenous Leukemia),K562_TotalRNA,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,,GSM3566399
SRR8449603,37708011,11312403300,150,4797,SRX5256575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP179798,PRJNA515538,31819274,"",SRS4258081,SAMN10760884,simple,9606,Homo sapiens,GSM3566429,GEO,SRA835486,07,2019,Martinez,K562 (Human Chronic Myelogenous Leukemia),K562_TotalRNA,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,DMSO,GSM3566400
SRR8449604,44428611,13328583300,150,5697,SRX5256575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP179798,PRJNA515538,31819274,"",SRS4258081,SAMN10760884,simple,9606,Homo sapiens,GSM3566429,GEO,SRA835486,07,2019,Martinez,K562 (Human Chronic Myelogenous Leukemia),K562_TotalRNA,HEK293T (Human Embryonic Kidney),HEK293T,Human Embryonic Kidney,DMSO,GSM3566401
