Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,antibody,GEO Accession
SRR7959285,43912002,11065824504,126,3529,SRX4792939,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872125,SAMN10171330,simple,9606,Homo sapiens,GSM3415496,GEO,SRA595098,11,2018,Arango,HeLa cells,HeLa_Input rep 2,HeLa cells,,WT,None,GSM3415500
SRR7959286,56520789,14243238828,126,4711,SRX4792940,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872126,SAMN10171329,simple,9606,Homo sapiens,GSM3415497,GEO,SRA595098,11,2018,Arango,HeLa cells,HeLa_ac4C_RIP rep 2,HeLa cells,,WT,None,GSM3415501
SRR7959287,49172774,12391539048,126,3972,SRX4792941,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872127,SAMN10171328,simple,9606,Homo sapiens,GSM3415498,GEO,SRA595098,11,2018,Arango,HeLa cells,NAT10_Input rep 2,HeLa cells,,WT,None,GSM3415502
SRR7959288,40385232,10177078464,126,3354,SRX4792942,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872128,SAMN10171327,simple,9606,Homo sapiens,GSM3415499,GEO,SRA595098,11,2018,Arango,HeLa cells,NAT10_ac4C_RIP rep 2,HeLa cells,,WT,None,GSM3415503
SRR7959289,35690843,8994092436,126,3345,SRX4792943,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872129,SAMN10171326,simple,9606,Homo sapiens,GSM3415500,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Wt_Rep1_T0,HeLa cells,,WT,None,GSM3415504
SRR7959290,96876972,24412996944,126,7993,SRX4792944,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872130,SAMN10171325,simple,9606,Homo sapiens,GSM3415501,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Wt_Rep1_T2,HeLa cells,,WT,None,GSM3415505
SRR7959291,36676532,9242486064,126,3412,SRX4792945,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872131,SAMN10171324,simple,9606,Homo sapiens,GSM3415502,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Wt_Rep1_T4,HeLa cells,,WT,None,GSM3415506
SRR7959292,41599608,10483101216,126,3894,SRX4792946,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872132,SAMN10171323,simple,9606,Homo sapiens,GSM3415503,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Wt_Rep1_T8,HeLa cells,,WT,None,GSM3415507
SRR7959293,44213713,11141855676,126,4233,SRX4792947,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872133,SAMN10171322,simple,9606,Homo sapiens,GSM3415504,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Wt_Rep1_T16,HeLa cells,,WT,None,GSM3415508
SRR7959294,42396702,10683968904,126,3986,SRX4792948,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872134,SAMN10171321,simple,9606,Homo sapiens,GSM3415505,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Wt_Rep2_T0,HeLa cells,,WT,None,GSM3415509
SRR7959295,31227621,7869360492,126,2835,SRX4792949,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872135,SAMN10171320,simple,9606,Homo sapiens,GSM3415506,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Wt_Rep2_T2,HeLa cells,,NAT10-/-,None,GSM3415510
SRR7959296,31414224,7916384448,126,2863,SRX4792950,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872136,SAMN10171319,simple,9606,Homo sapiens,GSM3415507,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Wt_Rep2_T4,HeLa cells,,NAT10-/-,None,GSM3415511
SRR7959297,32112956,8092464912,126,2977,SRX4792951,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872137,SAMN10171318,simple,9606,Homo sapiens,GSM3415508,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Wt_Rep2_T8,HeLa cells,,NAT10-/-,None,GSM3415512
SRR7959298,30736899,7745698548,126,2839,SRX4792952,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872138,SAMN10171317,simple,9606,Homo sapiens,GSM3415509,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Wt_Rep2_T16,HeLa cells,,NAT10-/-,None,GSM3415513
SRR7959299,35554540,8959744080,126,3343,SRX4792953,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872139,SAMN10171316,simple,9606,Homo sapiens,GSM3415510,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Nat10_KO1_0hr,HeLa cells,,NAT10-/-,None,GSM3415514
SRR7959300,39376598,9922902696,126,3676,SRX4792954,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872140,SAMN10171315,simple,9606,Homo sapiens,GSM3415511,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Nat10_KO1_2hr,HeLa cells,,NAT10-/-,None,GSM3415515
SRR7959301,38675648,9746263296,126,3601,SRX4792955,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872141,SAMN10171314,simple,9606,Homo sapiens,GSM3415512,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Nat10_KO1_4hr,HeLa cells,,NAT10-/-,None,GSM3415516
SRR7959302,35786239,9018132228,126,3335,SRX4792956,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872142,SAMN10171313,simple,9606,Homo sapiens,GSM3415513,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Nat10_KO1_8hr,HeLa cells,,NAT10-/-,None,GSM3415517
SRR7959303,40990089,10329502428,126,3794,SRX4792957,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872143,SAMN10171312,simple,9606,Homo sapiens,GSM3415514,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Nat10_KO1_16hr,HeLa cells,,NAT10-/-,None,GSM3415518
SRR7959304,29427376,7415698752,126,2721,SRX4792958,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872144,SAMN10171311,simple,9606,Homo sapiens,GSM3415515,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Nat10_KO2_0hr,HeLa cells,,NAT10-/-,None,GSM3415519
SRR7959305,39855309,10043537868,126,3623,SRX4792959,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872145,SAMN10171310,simple,9606,Homo sapiens,GSM3415516,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Nat10_KO2_2hr,"HeLa cells, total RNA",HeLa cells,NAT10-/-,,GSM2724023
SRR7959306,35804632,9022767264,126,3256,SRX4792960,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872146,SAMN10171309,simple,9606,Homo sapiens,GSM3415517,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Nat10_KO2_4hr,"HeLa cells, total RNA",HeLa cells,NAT10-/-,,GSM2724024
SRR7959307,40151419,10118157588,126,3742,SRX4792961,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872147,SAMN10171308,simple,9606,Homo sapiens,GSM3415518,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Nat10_KO2_8hr,"HeLa cells, total RNA",HeLa cells,WT,,GSM2724025
SRR7959308,39635147,9988057044,126,3708,SRX4792962,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP114504,PRJNA396698,30449621,"",SRS3872148,SAMN10171307,simple,9606,Homo sapiens,GSM3415519,GEO,SRA595098,11,2018,Arango,HeLa cells,BRICseq_Nat10_KO2_16hr,"HeLa cells, total RNA",HeLa cells,WT,,GSM2724026
