Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,GEO Accession
SRR6234828,51358301,2619273351,51,858,SRX3343233,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644386,SAMN07947868,simple,4932,Saccharomyces cerevisiae,GSM2836142,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin15_2minCHX_2minBiotin_pulldown,S288C,srp72::SRP72-AID-HA::LEU2 his3::pSEC63-BirA-mVenus-UBC6tailachor:OsTIR1-V5::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836149
SRR6234829,34789247,1774251597,51,566,SRX3343233,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644386,SAMN07947868,simple,4932,Saccharomyces cerevisiae,GSM2836142,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin15_2minCHX_2minBiotin_pulldown,S288C,srp72::SRP72-AID-HA::LEU2 his3::pSEC63-BirA-mVenus-UBC6tailachor:OsTIR1-V5::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836150
SRR6234830,53878441,2747800491,51,900,SRX3343234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644389,SAMN07947867,simple,4932,Saccharomyces cerevisiae,GSM2836143,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin30_2minCHX_2minBiotin_input,S288C,srp72::SRP72-AID-HA::LEU2 his3::pSEC63-BirA-mVenus-UBC6tailachor:OsTIR1-V5::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836151
SRR6234831,57010852,2907553452,51,955,SRX3343234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644389,SAMN07947867,simple,4932,Saccharomyces cerevisiae,GSM2836143,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin30_2minCHX_2minBiotin_input,S288C,srp72::SRP72-AID-HA::LEU2 his3::pSEC63-BirA-mVenus-UBC6tailachor:OsTIR1-V5::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836152
SRR6234832,81305887,4146600237,51,1332,SRX3343234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644389,SAMN07947867,simple,4932,Saccharomyces cerevisiae,GSM2836143,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin30_2minCHX_2minBiotin_input,S288C,srp72::SRP72-AID-HA::LEU2 his3::pSEC63-BirA-mVenus-UBC6tailachor:OsTIR1-V5::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836153
SRR6234833,94275348,4808042748,51,1575,SRX3343235,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644388,SAMN07947866,simple,4932,Saccharomyces cerevisiae,GSM2836144,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin30_2minCHX_2minBiotin_pulldown,S288C,srp72::SRP72-AID-HA::LEU2 his3::pSEC63-BirA-mVenus-UBC6tailachor:OsTIR1-V5::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836154
SRR6234834,100855192,5143614792,51,1692,SRX3343235,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644388,SAMN07947866,simple,4932,Saccharomyces cerevisiae,GSM2836144,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin30_2minCHX_2minBiotin_pulldown,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836155
SRR6234835,68201269,3478264719,51,1118,SRX3343235,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644388,SAMN07947866,simple,4932,Saccharomyces cerevisiae,GSM2836144,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin30_2minCHX_2minBiotin_pulldown,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836156
SRR6234836,23765932,1212062532,51,395,SRX3343236,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644390,SAMN07947865,simple,4932,Saccharomyces cerevisiae,GSM2836145,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin60_2minCHX_2minBiotin_input,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836157
SRR6234837,25153134,1282809834,51,422,SRX3343236,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644390,SAMN07947865,simple,4932,Saccharomyces cerevisiae,GSM2836145,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin60_2minCHX_2minBiotin_input,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836158
SRR6234838,35817613,1826698263,51,587,SRX3343236,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644390,SAMN07947865,simple,4932,Saccharomyces cerevisiae,GSM2836145,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin60_2minCHX_2minBiotin_input,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836159
SRR6234839,45328944,2311776144,51,765,SRX3343237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644391,SAMN07947864,simple,4932,Saccharomyces cerevisiae,GSM2836146,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin60_2minCHX_2minBiotin_pulldown,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836160
SRR6234840,48635120,2480391120,51,819,SRX3343237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644391,SAMN07947864,simple,4932,Saccharomyces cerevisiae,GSM2836146,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin60_2minCHX_2minBiotin_pulldown,W303,"srp72::SRP72-AID-HA:OsTIR1::LEU2 tom20::TOM20-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2-3,112/leu2-3,112 trp1-1 /can1-100 ura3-1 ade2-1 his3-11,15",GSM2836161
SRR6234841,32867818,1676258718,51,541,SRX3343237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644391,SAMN07947864,simple,4932,Saccharomyces cerevisiae,GSM2836146,GEO,SRA626254,01,2018,Costa,S288C,sec63BirA_srp72-AID_auxin60_2minCHX_2minBiotin_pulldown,W303,"srp72::SRP72-AID-HA:OsTIR1::LEU2 tom20::TOM20-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2-3,112/leu2-3,112 trp1-1 /can1-100 ura3-1 ade2-1 his3-11,15",GSM2836162
SRR6234842,21888663,1094433150,50,374,SRX3343238,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644428,SAMN07947863,simple,4932,Saccharomyces cerevisiae,GSM2836147,GEO,SRA626254,01,2018,Costa,S288C,BirAubc6_srp72-AID_auxin0_2minCHX_2minBiotin_input,W303,"srp72::SRP72-AID-HA:OsTIR1::LEU2 tom20::TOM20-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2-3,112/leu2-3,112 trp1-1 /can1-100 ura3-1 ade2-1 his3-11,15",GSM2836163
SRR6234843,77880081,3894004050,50,1672,SRX3343238,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644428,SAMN07947863,simple,4932,Saccharomyces cerevisiae,GSM2836147,GEO,SRA626254,01,2018,Costa,S288C,BirAubc6_srp72-AID_auxin0_2minCHX_2minBiotin_input,W303,"srp72::SRP72-AID-HA:OsTIR1::LEU2 tom20::TOM20-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2-3,112/leu2-3,112 trp1-1 /can1-100 ura3-1 ade2-1 his3-11,15",GSM2836164
SRR6234844,79242238,3962111900,50,1708,SRX3343238,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644428,SAMN07947863,simple,4932,Saccharomyces cerevisiae,GSM2836147,GEO,SRA626254,01,2018,Costa,S288C,BirAubc6_srp72-AID_auxin0_2minCHX_2minBiotin_input,S288C,srp72::srp72-AID-HA::LEU2 om45::OM45-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836165
SRR6234845,32582927,1629146350,50,571,SRX3343239,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644392,SAMN07947862,simple,4932,Saccharomyces cerevisiae,GSM2836148,GEO,SRA626254,01,2018,Costa,S288C,BirAubc6_srp72-AID_auxin0_2minCHX_2minBiotin_pulldown,S288C,srp72::srp72-AID-HA::LEU2 om45::OM45-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836166
SRR6234846,106985813,5349290650,50,2297,SRX3343239,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644392,SAMN07947862,simple,4932,Saccharomyces cerevisiae,GSM2836148,GEO,SRA626254,01,2018,Costa,S288C,BirAubc6_srp72-AID_auxin0_2minCHX_2minBiotin_pulldown,S288C,srp72::srp72-AID-HA::LEU2 om45::OM45-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836167
SRR6234847,109779518,5488975900,50,2368,SRX3343239,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644392,SAMN07947862,simple,4932,Saccharomyces cerevisiae,GSM2836148,GEO,SRA626254,01,2018,Costa,S288C,BirAubc6_srp72-AID_auxin0_2minCHX_2minBiotin_pulldown,S288C,srp72::srp72-AID-HA::LEU2 om45::OM45-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836168
SRR6234848,32930878,1646543900,50,587,SRX3343240,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644393,SAMN07947861,simple,4932,Saccharomyces cerevisiae,GSM2836149,GEO,SRA626254,01,2018,Costa,S288C,BirAubc6_srp72-AID_auxin15_2minCHX_2minBiotin_input,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836139
SRR6234849,24490585,1224529250,50,534,SRX3343240,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644393,SAMN07947861,simple,4932,Saccharomyces cerevisiae,GSM2836149,GEO,SRA626254,01,2018,Costa,S288C,BirAubc6_srp72-AID_auxin15_2minCHX_2minBiotin_input,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836140
SRR6234850,25182434,1259121700,50,552,SRX3343240,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644393,SAMN07947861,simple,4932,Saccharomyces cerevisiae,GSM2836149,GEO,SRA626254,01,2018,Costa,S288C,BirAubc6_srp72-AID_auxin15_2minCHX_2minBiotin_input,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836141
SRR6234851,33059899,1652994950,50,589,SRX3343241,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644394,SAMN07947860,simple,4932,Saccharomyces cerevisiae,GSM2836150,GEO,SRA626254,01,2018,Costa,S288C,BirAubc6_srp72-AID_auxin15_2minCHX_2minBiotin_pulldown,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836142
SRR6234852,28743901,1437195050,50,625,SRX3343241,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644394,SAMN07947860,simple,4932,Saccharomyces cerevisiae,GSM2836150,GEO,SRA626254,01,2018,Costa,S288C,BirAubc6_srp72-AID_auxin15_2minCHX_2minBiotin_pulldown,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836143
SRR6234853,29582194,1479109700,50,647,SRX3343241,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644394,SAMN07947860,simple,4932,Saccharomyces cerevisiae,GSM2836150,GEO,SRA626254,01,2018,Costa,S288C,BirAubc6_srp72-AID_auxin15_2minCHX_2minBiotin_pulldown,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836144
SRR6234854,23868962,1193448100,50,434,SRX3343242,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644395,SAMN07947859,simple,4932,Saccharomyces cerevisiae,GSM2836151,GEO,SRA626254,01,2018,Costa,S288C,BirAubc6_srp72-AID_auxin30_2minCHX_2minBiotin_input,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836145
SRR6234855,23637271,1181863550,50,513,SRX3343242,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644395,SAMN07947859,simple,4932,Saccharomyces cerevisiae,GSM2836151,GEO,SRA626254,01,2018,Costa,S288C,BirAubc6_srp72-AID_auxin30_2minCHX_2minBiotin_input,S288C,srp72::srp72-AID-HA::LEU2 sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI his3::OsTIR1-V5::URA3 leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836146
SRR6234856,24347493,1217374650,50,531,SRX3343242,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP122927,PRJNA416316,29348368,"",SRS2644395,SAMN07947859,simple,4932,Saccharomyces cerevisiae,GSM2836151,GEO,SRA626254,01,2018,Costa,S288C,BirAubc6_srp72-AID_auxin30_2minCHX_2minBiotin_input,S288C,srp72::SRP72-AID-HA::LEU2 his3::pSEC63-BirA-mVenus-UBC6tailachor:OsTIR1-V5::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2-delta-0 met15-delta-0 ura3-delta-0,GSM2836147
