Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,dev_stage,sex,tissue,sample_type,BioSampleModel
SRR18488804,8719096,1307864400,0,406,SRX14620359,Ribo-seqJK30,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP365987,PRJNA819566,1,"",SRS12387639,SAMN26935164,simple,6239,Caenorhabditis elegans,SJK30,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 4009,L4,hermaphrodite,Whole animal,15-18nt Ribo-seq,Model organism or animal
SRR18488803,17706613,2655991950,0,831,SRX14620360,Ribo-seqJK31,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP365987,PRJNA819566,1,"",SRS12387641,SAMN26935165,simple,6239,Caenorhabditis elegans,SJK31,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 4010,L4,hermaphrodite,Whole animal,15-18nt Ribo-seq,Model organism or animal
SRR18488802,52124003,15637200900,150,5479,SRX14620361,RNAseqAC5,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP365987,PRJNA819566,1,"",SRS12387642,SAMN26935148,simple,6239,Caenorhabditis elegans,sAC5,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 2102,L4,hermaphrodite,Whole animal,RNA-seq,Model organism or animal
SRR18488801,10209901,1531485150,0,485,SRX14620362,Ribo-seqJK32,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP365987,PRJNA819566,1,"",SRS12387643,SAMN26935166,simple,6239,Caenorhabditis elegans,SJK32,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 4011,L4,hermaphrodite,Whole animal,15-18nt Ribo-seq,Model organism or animal
SRR18488800,55937270,8390590500,0,2752,SRX14620363,Ribo-seqJK37,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP365987,PRJNA819566,1,"",SRS12387644,SAMN26935167,simple,6239,Caenorhabditis elegans,SJK37,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 4009,L4,hermaphrodite,Whole animal,28-30nt Ribo-seq,Model organism or animal
SRR18488799,24480652,3672097800,0,1184,SRX14620364,Ribo-seqJK38,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP365987,PRJNA819566,1,"",SRS12387645,SAMN26935168,simple,6239,Caenorhabditis elegans,SJK38,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 4010,L4,hermaphrodite,Whole animal,28-30nt Ribo-seq,Model organism or animal
SRR18488798,19104554,2865683100,0,948,SRX14620365,Ribo-seqJK39,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP365987,PRJNA819566,1,"",SRS12387646,SAMN26935169,simple,6239,Caenorhabditis elegans,SJK39,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 4011,L4,hermaphrodite,Whole animal,28-30nt Ribo-seq,Model organism or animal
SRR18488797,52745183,15823554900,150,5522,SRX14620366,RNAseqAC6,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP365987,PRJNA819566,1,"",SRS12387648,SAMN26935149,simple,6239,Caenorhabditis elegans,sAC6,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 0639,L4,hermaphrodite,Whole animal,RNA-seq(rep of sAC3),Model organism or animal
SRR18488796,52334414,15700324200,150,5440,SRX14620367,RNAseqAC7,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP365987,PRJNA819566,1,"",SRS12387647,SAMN26935150,simple,6239,Caenorhabditis elegans,sAC7,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 0027,L4,hermaphrodite,Whole animal,RNA-seq(rep of sAC4),Model organism or animal
SRR18488795,52567370,15770211000,150,5433,SRX14620368,RNAseqAC8,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP365987,PRJNA819566,1,"",SRS12387649,SAMN26935151,simple,6239,Caenorhabditis elegans,sAC8,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 2102,L4,hermaphrodite,Whole animal,RNA-seq(rep of sAC5),Model organism or animal
SRR18488794,43862111,6579316650,0,2091,SRX14620369,Ribo-seqES6,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP365987,PRJNA819566,1,"",SRS12387651,SAMN26935152,simple,6239,Caenorhabditis elegans,sES6,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 0043,L4,hermaphrodite,Whole animal,15-18 Ribo-seq,Model organism or animal
SRR18488793,43705832,6555874800,0,2088,SRX14620370,Ribo-seqES7,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP365987,PRJNA819566,1,"",SRS12387650,SAMN26935153,simple,6239,Caenorhabditis elegans,sES7,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",WJA 5106,L4,hermaphrodite,Whole animal,15-18 Ribo-seq,Model organism or animal
SRR18488792,11875767,902558292,76,303,SRX14620371,3'RACEsJA209,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP365987,PRJNA819566,1,"",SRS12387652,SAMN26935154,simple,6239,Caenorhabditis elegans,SJA209_Lig,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",PD 1748,L4,hermaphrodite,Whole animal,3 OH 3 RACE,Model organism or animal
SRR18488791,10654048,809707648,76,271,SRX14620372,3'RACEsJA209PNK,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP365987,PRJNA819566,1,"",SRS12387653,SAMN26935155,simple,6239,Caenorhabditis elegans,SJA209_Lig_PNK,"University of California, Santa Cruz",SRA1392062,07,2022,Makar,"","",PD 1748,L4,hermaphrodite,Whole animal,3 OH+ 3 P 3 RACE,Model organism or animal
