Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,treatment,ph,time point,replicate,GEO Accession
SRR1654860,11109583,1133177466,51,679,SRX761385,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745919,SAMN03198916,simple,5476,Candida albicans,GSM1547911,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Acetic acid treatment",RYY028,"Yeast cell culture, Acetic acid treatment",SC5314,Acetic acid (IC15),5.5,T2 (28h),C,GSM1547911
SRR1654861,14435237,1472394174,51,878,SRX761386,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745920,SAMN03198928,simple,5476,Candida albicans,GSM1547912,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, pH control",RYY029,"Yeast cell culture, pH control",SC5314,HCl,5.5,T3 (52h),C,GSM1547912
SRR1654862,12708764,1296293928,51,774,SRX761387,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745921,SAMN03198927,simple,5476,Candida albicans,GSM1547913,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Propionic acid treatment",RYY031,"Yeast cell culture, Propionic acid treatment",SC5314,Propionic acid (IC50),5.5,T2 (28h),C,GSM1547913
SRR1654863,11796241,1203216582,51,718,SRX761388,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745922,SAMN03198922,simple,5476,Candida albicans,GSM1547914,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Butyric acid treatment",RYY032,"Yeast cell culture, Butyric acid treatment",SC5314,Butyric acid (IC50),5.5,T3 (52h),C,GSM1547914
SRR1654864,13944914,1422381228,51,852,SRX761389,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745923,SAMN03198945,simple,5476,Candida albicans,GSM1547915,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Butyric acid treatment",RYY034,"Yeast cell culture, Butyric acid treatment",SC5314,Butyric acid (IC50),5.5,T2 (28h),C,GSM1547915
SRR1654865,12611378,1286360556,51,767,SRX761390,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745924,SAMN03198938,simple,5476,Candida albicans,GSM1547916,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Acetic acid treatment",RYY036,"Yeast cell culture, Acetic acid treatment",SC5314,Acetic acid (IC15),5.5,T3 (52h),C,GSM1547916
SRR1654866,12741466,1299629532,51,787,SRX761391,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745925,SAMN03198940,simple,5476,Candida albicans,GSM1547917,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Propionic acid treatment",RYY038,"Yeast cell culture, Propionic acid treatment",SC5314,Propionic acid (IC50),5.5,T3 (52h),C,GSM1547917
SRR1654867,13357396,1362454392,51,819,SRX761392,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745926,SAMN03198924,simple,5476,Candida albicans,GSM1547918,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, pH control",RYY041,"Yeast cell culture, pH control",SC5314,HCl,5.5,T2 (28h),C,GSM1547918
SRR1654868,14278765,1456434030,51,878,SRX761393,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745927,SAMN03198905,simple,5476,Candida albicans,GSM1547919,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Lactic acid treatment",RYY042,"Yeast cell culture, Lactic acid treatment",SC5314,Lactic acid (IC50),5.5,T3 (52h),C,GSM1547919
SRR1654869,13728300,1400286600,51,842,SRX761394,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745928,SAMN03198923,simple,5476,Candida albicans,GSM1547920,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, untreated control",RYY043,"Yeast cell culture, untreated control",SC5314,None,5.8,T3 (52h),C,GSM1547920
SRR1654870,14888339,1518610578,51,910,SRX761395,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745932,SAMN03198903,simple,5476,Candida albicans,GSM1547921,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, untreated control",RYY046,"Yeast cell culture, untreated control",SC5314,None,5.8,T2 (28h),C,GSM1547921
SRR1654871,12927333,1318587966,51,802,SRX761396,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745929,SAMN03198930,simple,5476,Candida albicans,GSM1547922,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Lactic acid treatment",RYY047,"Yeast cell culture, Lactic acid treatment",SC5314,Lactic acid (IC50),5.5,T2 (28h),C,GSM1547922
SRR1654872,12162191,1240543482,51,746,SRX761397,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745930,SAMN03198934,simple,5476,Candida albicans,GSM1547923,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, untreated control",RYY049,"Yeast cell culture, untreated control",SC5314,None,5.8,T3 (52h),D,GSM1547923
SRR1654873,13293132,1355899464,51,821,SRX761398,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745931,SAMN03198901,simple,5476,Candida albicans,GSM1547924,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Propionic acid treatment",RYY053,"Yeast cell culture, Propionic acid treatment",SC5314,Propionic acid (IC50),5.5,T2 (28h),D,GSM1547924
SRR1654874,11741225,1197604950,51,722,SRX761399,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745933,SAMN03198936,simple,5476,Candida albicans,GSM1547925,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Butyric acid treatment",RYY054,"Yeast cell culture, Butyric acid treatment",SC5314,Butyric acid (IC50),5.5,T3 (52h),D,GSM1547925
SRR1654875,15074547,1537603794,51,922,SRX761400,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745934,SAMN03198913,simple,5476,Candida albicans,GSM1547926,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Lactic acid treatment",RYY056,"Yeast cell culture, Lactic acid treatment",SC5314,Lactic acid (IC50),5.5,T2 (28h),D,GSM1547926
SRR1654876,15104630,1540672260,51,928,SRX761401,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745936,SAMN03198902,simple,5476,Candida albicans,GSM1547927,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Lactic acid treatment",RYY058,"Yeast cell culture, Lactic acid treatment",SC5314,Lactic acid (IC50),5.5,T3 (52h),D,GSM1547927
SRR1654877,12257811,1250296722,51,750,SRX761402,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745935,SAMN03198926,simple,5476,Candida albicans,GSM1547928,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, pH control",RYY059,"Yeast cell culture, pH control",SC5314,HCl,5.5,T3 (52h),D,GSM1547928
SRR1654878,13672937,1394639574,51,834,SRX761403,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745938,SAMN03198904,simple,5476,Candida albicans,GSM1547929,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, untreated control",RYY060,"Yeast cell culture, untreated control",SC5314,None,5.8,T2 (28h),D,GSM1547929
SRR1654879,14442045,1473088590,51,898,SRX761404,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745937,SAMN03198931,simple,5476,Candida albicans,GSM1547930,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, pH control",RYY062,"Yeast cell culture, pH control",SC5314,HCl,5.5,T2 (28h),D,GSM1547930
SRR1654880,12675540,1292905080,51,792,SRX761405,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745939,SAMN03198919,simple,5476,Candida albicans,GSM1547931,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Acetic acid treatment",RYY064,"Yeast cell culture, Acetic acid treatment",SC5314,Acetic acid (IC15),5.5,T3 (52h),D,GSM1547931
SRR1654881,12801801,1305783702,51,798,SRX761406,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745940,SAMN03198914,simple,5476,Candida albicans,GSM1547932,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Butyric acid treatment",RYY066,"Yeast cell culture, Butyric acid treatment",SC5314,Butyric acid (IC50),5.5,T2 (28h),D,GSM1547932
SRR1654882,13086464,1334819328,51,815,SRX761407,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745941,SAMN03198915,simple,5476,Candida albicans,GSM1547933,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Acetic acid treatment",RYY067,"Yeast cell culture, Acetic acid treatment",SC5314,Acetic acid (IC15),5.5,T2 (28h),D,GSM1547933
SRR1654883,12457254,1270639908,51,777,SRX761408,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745942,SAMN03198925,simple,5476,Candida albicans,GSM1547934,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Propionic acid treatment",RYY068,"Yeast cell culture, Propionic acid treatment",SC5314,Propionic acid (IC50),5.5,T3 (52h),D,GSM1547934
SRR1654884,11208907,1143308514,51,686,SRX761409,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745943,SAMN03198947,simple,5476,Candida albicans,GSM1547935,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Acetic acid treatment",RYY073,"Yeast cell culture, Acetic acid treatment",SC5314,Acetic acid (IC15),5.5,T2 (28h),F,GSM1547935
SRR1654885,14153956,1443703512,51,864,SRX761410,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745944,SAMN03198909,simple,5476,Candida albicans,GSM1547936,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Propionic acid treatment",RYY074,"Yeast cell culture, Propionic acid treatment",SC5314,Propionic acid (IC50),5.5,T3 (52h),F,GSM1547936
SRR1654886,12558900,1281007800,51,760,SRX761411,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745945,SAMN03198942,simple,5476,Candida albicans,GSM1547937,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Lactic acid treatment",RYY075,"Yeast cell culture, Lactic acid treatment",SC5314,Lactic acid (IC50),5.5,T3 (52h),F,GSM1547937
SRR1654887,13235668,1350038136,51,808,SRX761412,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745946,SAMN03198910,simple,5476,Candida albicans,GSM1547938,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Lactic acid treatment",RYY078,"Yeast cell culture, Lactic acid treatment",SC5314,Lactic acid (IC50),5.5,T2 (28h),F,GSM1547938
SRR1654888,11448933,1167791166,51,692,SRX761413,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745947,SAMN03198917,simple,5476,Candida albicans,GSM1547939,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, untreated control",RYY081,"Yeast cell culture, untreated control",SC5314,None,5.8,T3 (52h),F,GSM1547939
SRR1654889,11567675,1179902850,51,704,SRX761414,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745948,SAMN03198943,simple,5476,Candida albicans,GSM1547940,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Propionic acid treatment",RYY083,"Yeast cell culture, Propionic acid treatment",SC5314,Propionic acid (IC50),5.5,T2 (28h),F,GSM1547940
SRR1654890,13439514,1370830428,51,828,SRX761415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745949,SAMN03198932,simple,5476,Candida albicans,GSM1547941,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Butyric acid treatment",RYY085,"Yeast cell culture, Butyric acid treatment",SC5314,Butyric acid (IC50),5.5,T2 (28h),F,GSM1547941
SRR1654891,15477295,1578684090,51,949,SRX761416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745950,SAMN03198933,simple,5476,Candida albicans,GSM1547942,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Acetic acid treatment",RYY087,"Yeast cell culture, Acetic acid treatment",SC5314,Acetic acid (IC15),5.5,T3 (52h),F,GSM1547942
SRR1654892,11143567,1136643834,51,680,SRX761417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745953,SAMN03198937,simple,5476,Candida albicans,GSM1547943,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, untreated control",RYY088,"Yeast cell culture, untreated control",SC5314,None,5.8,T2 (28h),F,GSM1547943
SRR1654893,12520111,1277051322,51,762,SRX761418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745951,SAMN03198939,simple,5476,Candida albicans,GSM1547944,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, pH control",RYY092,"Yeast cell culture, pH control",SC5314,HCl,5.5,T2 (28h),F,GSM1547944
SRR1654894,13078710,1334028420,51,802,SRX761419,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745952,SAMN03198935,simple,5476,Candida albicans,GSM1547945,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Butyric acid treatment",RYY093,"Yeast cell culture, Butyric acid treatment",SC5314,Butyric acid (IC50),5.5,T3 (52h),F,GSM1547945
SRR1654895,13512162,1378240524,51,836,SRX761420,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745955,SAMN03198929,simple,5476,Candida albicans,GSM1547946,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Lactic acid treatment",RYY095,"Yeast cell culture, Lactic acid treatment",SC5314,Lactic acid (IC50),5.5,T4 (76h),F,GSM1547946
SRR1654896,13588642,1386041484,51,829,SRX761421,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS745954,SAMN03198912,simple,5476,Candida albicans,GSM1547947,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, pH control",RYY096,"Yeast cell culture, pH control",SC5314,HCl,5.5,T3 (52h),F,GSM1547947
SRR944219,12272997,1251845694,51,708,SRX328642,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS464776,SAMN02296758,simple,5476,Candida albicans,GSM1197130,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, untreated control",RYY001,"Yeast cell culture, untreated control",SC5314,None,5.8,T1 (4h),B,GSM1197130
SRR944220,12897156,1315509912,51,744,SRX328643,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS464777,SAMN02296759,simple,5476,Candida albicans,GSM1197131,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, pH control",RYY002,"Yeast cell culture, pH control",SC5314,HCl,5.5,T4 (76h),B,GSM1197131
SRR944221,11142221,1136506542,51,647,SRX328644,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS464778,SAMN02296760,simple,5476,Candida albicans,GSM1197132,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Propionic acid treatment",RYY003,"Yeast cell culture, Propionic acid treatment",SC5314,Propionic acid (IC50),5.5,T4 (76h),B,GSM1197132
SRR944222,10620129,1083253158,51,614,SRX328645,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS464779,SAMN02296762,simple,5476,Candida albicans,GSM1197133,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Butyric acid treatment",RYY004,"Yeast cell culture, Butyric acid treatment",SC5314,Butyric acid (IC50),5.5,T1 (4h),B,GSM1197133
SRR944223,11453710,1168278420,51,661,SRX328646,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS464780,SAMN02296761,simple,5476,Candida albicans,GSM1197134,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Lactic acid treatment",RYY005,"Yeast cell culture, Lactic acid treatment",SC5314,Lactic acid (IC50),5.5,T4 (76h),B,GSM1197134
SRR944224,11205966,1143008532,51,647,SRX328647,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS464781,SAMN02296757,simple,5476,Candida albicans,GSM1197135,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Acetic acid treatment",RYY006,"Yeast cell culture, Acetic acid treatment",SC5314,Acetic acid (IC15),5.5,T1 (4h),B,GSM1197135
SRR944225,13165358,1342866516,51,765,SRX328648,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS464782,SAMN02296764,simple,5476,Candida albicans,GSM1197136,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Butyric acid treatment",RYY007,"Yeast cell culture, Butyric acid treatment",SC5314,Butyric acid (IC50),5.5,T4 (76h),B,GSM1197136
SRR944226,11056545,1127767590,51,641,SRX328649,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP028297,PRJNA213618,25636313,"",SRS464783,SAMN02296763,simple,5476,Candida albicans,GSM1197137,GEO,SRA096182,01,2015,Cottier,"Yeast cell culture, Lactic acid treatment",RYY008,"Yeast cell culture, Lactic acid treatment",SC5314,Lactic acid (IC50),5.5,T1 (4h),B,GSM1197137
