Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,developmental stage,genotype,growth condition,organism part,sample name,strain,substrain,Experimental Factor: compound,Experimental Factor: dose
ERR10313832,8718648,742405582,48,294,ERX9848729,tetracycline-3_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530610,SAMEA111436936,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436936,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tetracycline-3,2022-10-15,2022-10-15,SAMEA111436936,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tetracycline-3,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tetracycline-3,K-12,MG1655,tetracycline,1
ERR10313833,8964268,763329200,48,302,ERX9848729,tetracycline-3_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530610,SAMEA111436936,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436936,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tetracycline-3,2022-10-15,2022-10-15,SAMEA111436937,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tylosin-1,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tylosin-1,K-12,MG1655,tylosin,400
ERR10313834,7769078,659501006,48,216,ERX9848730,tylosin-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530611,SAMEA111436937,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436937,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tylosin-1,2022-10-15,2022-10-15,SAMEA111436938,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tylosin-2,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tylosin-2,K-12,MG1655,tylosin,400
ERR10313835,7594972,644715915,48,211,ERX9848730,tylosin-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530611,SAMEA111436937,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436937,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tylosin-1,2022-10-15,2022-10-15,SAMEA111436939,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tylosin-3,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tylosin-3,K-12,MG1655,tylosin,400
ERR10313836,7668517,650938087,48,213,ERX9848730,tylosin-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530611,SAMEA111436937,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436937,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tylosin-1,2022-10-15,2022-10-15,SAMEA111436940,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:untreated-1,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:untreated-1,K-12,MG1655,none,
ERR10313837,7688019,652592818,48,214,ERX9848730,tylosin-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530611,SAMEA111436937,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436937,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tylosin-1,2022-10-15,2022-10-15,SAMEA111436941,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:untreated-2,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:untreated-2,K-12,MG1655,none,
ERR10313838,4582931,390074993,48,137,ERX9848731,tylosin-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530612,SAMEA111436938,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436938,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tylosin-2,2022-10-15,2022-10-15,SAMEA111436934,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tetracycline-1,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tetracycline-1,K-12,MG1655,tetracycline,1
ERR10313839,4544376,386815938,48,136,ERX9848731,tylosin-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530612,SAMEA111436938,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436938,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tylosin-2,2022-10-15,2022-10-15,SAMEA111436935,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tetracycline-2,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tetracycline-2,K-12,MG1655,tetracycline,1
ERR10313840,4590726,390738273,48,137,ERX9848731,tylosin-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530612,SAMEA111436938,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436938,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tylosin-2,2022-10-15,2022-10-15,SAMEA111436936,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tetracycline-3,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tetracycline-3,K-12,MG1655,tetracycline,1
ERR10313841,4633701,394410351,48,138,ERX9848731,tylosin-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530612,SAMEA111436938,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436938,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tylosin-2,2022-10-15,2022-10-15,SAMEA111436937,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tylosin-1,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tylosin-1,K-12,MG1655,tylosin,400
ERR10313842,8355611,711001277,48,283,ERX9848732,tylosin-3_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530613,SAMEA111436939,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436939,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tylosin-3,2022-10-15,2022-10-15,SAMEA111436938,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tylosin-2,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tylosin-2,K-12,MG1655,tylosin,400
ERR10313843,8907486,757985667,48,300,ERX9848732,tylosin-3_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530613,SAMEA111436939,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436939,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tylosin-3,2022-10-15,2022-10-15,SAMEA111436939,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tylosin-3,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tylosin-3,K-12,MG1655,tylosin,400
ERR10313844,8316568,707706094,48,283,ERX9848732,tylosin-3_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530613,SAMEA111436939,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436939,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tylosin-3,2022-10-15,2022-10-15,SAMEA111436940,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:untreated-1,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:untreated-1,K-12,MG1655,none,
ERR10313845,8658730,736813855,48,292,ERX9848732,tylosin-3_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530613,SAMEA111436939,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436939,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",tylosin-3,2022-10-15,2022-10-15,SAMEA111436941,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:untreated-2,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:untreated-2,K-12,MG1655,none,
ERR10313846,7642883,650144358,48,227,ERX9848733,untreated-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530614,SAMEA111436940,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436940,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",untreated-1,2022-10-15,2022-10-15,SAMEA111436934,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tetracycline-1,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tetracycline-1,K-12,MG1655,tetracycline,1
ERR10313847,7539914,641339558,48,224,ERX9848733,untreated-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530614,SAMEA111436940,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436940,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",untreated-1,2022-10-15,2022-10-15,SAMEA111436935,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tetracycline-2,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tetracycline-2,K-12,MG1655,tetracycline,1
ERR10313848,7471028,635535119,48,222,ERX9848733,untreated-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530614,SAMEA111436940,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436940,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",untreated-1,2022-10-15,2022-10-15,SAMEA111436936,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tetracycline-3,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tetracycline-3,K-12,MG1655,tetracycline,1
ERR10313849,7551081,642284337,48,225,ERX9848733,untreated-1_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530614,SAMEA111436940,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436940,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",untreated-1,2022-10-15,2022-10-15,SAMEA111436937,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tylosin-1,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tylosin-1,K-12,MG1655,tylosin,400
ERR10313850,11800934,1004587289,48,393,ERX9848734,untreated-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530615,SAMEA111436941,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436941,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",untreated-2,2022-10-15,2022-10-15,SAMEA111436938,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tylosin-2,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tylosin-2,K-12,MG1655,tylosin,400
ERR10313851,11466228,976082326,48,384,ERX9848734,untreated-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530615,SAMEA111436941,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436941,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",untreated-2,2022-10-15,2022-10-15,SAMEA111436939,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:tylosin-3,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:tylosin-3,K-12,MG1655,tylosin,400
ERR10313852,12192696,1037944269,48,406,ERX9848734,untreated-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530615,SAMEA111436941,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436941,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",untreated-2,2022-10-15,2022-10-15,SAMEA111436940,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:untreated-1,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:untreated-1,K-12,MG1655,none,
ERR10313853,11406455,971017156,48,383,ERX9848734,untreated-2_p,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP141457,PRJEB56508,1,"",ERS13530615,SAMEA111436941,simple,511145,Escherichia coli str. K-12 substr. MG1655,SAMEA111436941,The Wadsworth Center/NYSDOH,ERA18513638,10,2022,Makar,"",untreated-2,2022-10-15,2022-10-15,SAMEA111436941,The Wadsworth Center/NYSDOH,The Wadsworth Center/NYSDOH,2022-10-15T00:26:26Z,2022-10-15T00:26:26Z,public,E-MTAB-12242:untreated-2,ArrayExpress,exponential phase,wild type genotype,LB medium,whole organism,E-MTAB-12242:untreated-2,K-12,MG1655,none,
