Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain/background,genotype,age,tissue,cell line,shRNA,subcellular fraction,biomaterial provider,sex,clip antibody,GEO Accession
SRR533619,16466452,823322600,50,472,SRX174022,GSM981187: brainWT3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353220,SAMN01103299,simple,10090,Mus musculus,GSM981187,GEO,SRA056973,08,2012,Wang,"whole brain, WT",brainWT3,"whole heart, Mbnl1 KO",129/SvJ,Mbnl1 knockout,16 weeks,whole heart,,,,,,,GSM981190
SRR533620,12459003,622950150,50,249,SRX174023,GSM981188: brainWT4,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353221,SAMN01103300,simple,10090,Mus musculus,GSM981188,GEO,SRA056973,08,2012,Wang,"whole brain, WT",brainWT4,"whole heart, Mbnl1 KO",129/SvJ,Mbnl1 knockout,16 weeks,whole heart,,,,,,,GSM981191
SRR533621,15259755,762987750,50,379,SRX174024,GSM981189: brainWT5,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353222,SAMN01103301,simple,10090,Mus musculus,GSM981189,GEO,SRA056973,08,2012,Wang,"whole brain, WT",brainWT5,"whole heart, Mbnl1 KO",129/SvJ,Mbnl1 knockout,16 weeks,whole heart,,,,,,,GSM981192
SRR533622,14242938,712146900,50,307,SRX174025,GSM981190: heartKOa,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353223,SAMN01103302,simple,10090,Mus musculus,GSM981190,GEO,SRA056973,08,2012,Wang,"whole heart, Mbnl1 KO",heartKOa,"whole heart, Mbnl1 KO",129/SvJ,Mbnl1 knockout,16 weeks,whole heart,,,,,,,GSM981193
SRR533623,13159419,657970950,50,270,SRX174026,GSM981191: heartKOb,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353224,SAMN01103303,simple,10090,Mus musculus,GSM981191,GEO,SRA056973,08,2012,Wang,"whole heart, Mbnl1 KO",heartKOb,"whole heart, Mbnl1 KO",129/SvJ,Mbnl1 knockout,16 weeks,whole heart,,,,,,,GSM981194
SRR533624,13379187,668959350,50,293,SRX174027,GSM981192: heartKOc,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353225,SAMN01103304,simple,10090,Mus musculus,GSM981192,GEO,SRA056973,08,2012,Wang,"whole heart, Mbnl1 KO",heartKOc,"whole heart, WT",129/SvJ,wildtype,16 weeks,whole heart,,,,,,,GSM981195
SRR533625,10092421,504621050,50,223,SRX174028,GSM981193: heartKOd,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353226,SAMN01103305,simple,10090,Mus musculus,GSM981193,GEO,SRA056973,08,2012,Wang,"whole heart, Mbnl1 KO",heartKOd,"whole heart, WT",129/SvJ,wildtype,16 weeks,whole heart,,,,,,,GSM981196
SRR533626,16224009,811200450,50,475,SRX174029,GSM981194: heartKOe,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353227,SAMN01103306,simple,10090,Mus musculus,GSM981194,GEO,SRA056973,08,2012,Wang,"whole heart, Mbnl1 KO",heartKOe,"whole heart, WT",129/SvJ,wildtype,16 weeks,whole heart,,,,,,,GSM981197
SRR533627,13107864,655393200,50,301,SRX174030,GSM981195: heartWT1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353228,SAMN01103307,simple,10090,Mus musculus,GSM981195,GEO,SRA056973,08,2012,Wang,"whole heart, WT",heartWT1,"whole heart, WT",129/SvJ,wildtype,16 weeks,whole heart,,,,,,,GSM981198
SRR533628,15545243,777262150,50,455,SRX174031,GSM981196: heartWT2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353229,SAMN01103308,simple,10090,Mus musculus,GSM981196,GEO,SRA056973,08,2012,Wang,"whole heart, WT",heartWT2,"whole heart, WT",129/SvJ,wildtype,16 weeks,whole heart,,,,,,,GSM981199
SRR533629,13955243,697762150,50,327,SRX174031,GSM981196: heartWT2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353229,SAMN01103308,simple,10090,Mus musculus,GSM981196,GEO,SRA056973,08,2012,Wang,"whole heart, WT",heartWT2,"vastus lateralis, Mbnl1 KO",129/SvJ,Mbnl1 knockout,16 weeks,skeletal muscle (vastus lateralis),,,,,,,GSM981200
SRR533630,15629927,781496350,50,494,SRX174032,GSM981197: heartWT3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353230,SAMN01103309,simple,10090,Mus musculus,GSM981197,GEO,SRA056973,08,2012,Wang,"whole heart, WT",heartWT3,"vastus lateralis, Mbnl1 KO",129/SvJ,Mbnl1 knockout,16 weeks,skeletal muscle (vastus lateralis),,,,,,,GSM981201
SRR533631,12351921,617596050,50,283,SRX174032,GSM981197: heartWT3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353230,SAMN01103309,simple,10090,Mus musculus,GSM981197,GEO,SRA056973,08,2012,Wang,"whole heart, WT",heartWT3,"vastus lateralis, Mbnl1 KO",129/SvJ,Mbnl1 knockout,16 weeks,skeletal muscle (vastus lateralis),,,,,,,GSM981202
SRR533632,13563047,678152350,50,337,SRX174033,GSM981198: heartWT4,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353231,SAMN01103310,simple,10090,Mus musculus,GSM981198,GEO,SRA056973,08,2012,Wang,"whole heart, WT",heartWT4,"vastus lateralis, Mbnl1 KO",129/SvJ,Mbnl1 knockout,16 weeks,skeletal muscle (vastus lateralis),,,,,,,GSM981203
SRR533633,9681738,484086900,50,264,SRX174034,GSM981199: heartWT5,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353232,SAMN01103311,simple,10090,Mus musculus,GSM981199,GEO,SRA056973,08,2012,Wang,"whole heart, WT",heartWT5,"vastus lateralis, Mbnl1 KO",129/SvJ,Mbnl1 knockout,16 weeks,skeletal muscle (vastus lateralis),,,,,,,GSM981204
SRR533634,10241578,512078900,50,251,SRX174035,GSM981200: muscleKOa,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353233,SAMN01103312,simple,10090,Mus musculus,GSM981200,GEO,SRA056973,08,2012,Wang,"vastus lateralis, Mbnl1 KO",muscleKOa,"vastus lateralis, WT",129/SvJ,wildtype,16 weeks,skeletal muscle (vastus lateralis),,,,,,,GSM981205
SRR533635,9628148,481407400,50,241,SRX174036,GSM981201: muscleKOb,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353234,SAMN01103313,simple,10090,Mus musculus,GSM981201,GEO,SRA056973,08,2012,Wang,"vastus lateralis, Mbnl1 KO",muscleKOb,"vastus lateralis, WT",129/SvJ,wildtype,16 weeks,skeletal muscle (vastus lateralis),,,,,,,GSM981206
SRR533636,12825305,641265250,50,264,SRX174037,GSM981202: muscleKOc,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353235,SAMN01103314,simple,10090,Mus musculus,GSM981202,GEO,SRA056973,08,2012,Wang,"vastus lateralis, Mbnl1 KO",muscleKOc,"vastus lateralis, WT",129/SvJ,wildtype,16 weeks,skeletal muscle (vastus lateralis),,,,,,,GSM981207
SRR533637,16988600,849430000,50,472,SRX174038,GSM981203: muscleKOd,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353236,SAMN01103315,simple,10090,Mus musculus,GSM981203,GEO,SRA056973,08,2012,Wang,"vastus lateralis, Mbnl1 KO",muscleKOd,"vastus lateralis, WT",129/SvJ,wildtype,16 weeks,skeletal muscle (vastus lateralis),,,,,,,GSM981208
SRR533638,10746995,537349750,50,189,SRX174039,GSM981204: muscleKOe,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353237,SAMN01103316,simple,10090,Mus musculus,GSM981204,GEO,SRA056973,08,2012,Wang,"vastus lateralis, Mbnl1 KO",muscleKOe,"vastus lateralis, WT",129/SvJ,wildtype,16 weeks,skeletal muscle (vastus lateralis),,,,,,,GSM981209
SRR533639,10982672,549133600,50,276,SRX174040,GSM981205: muscleWT1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353238,SAMN01103317,simple,10090,Mus musculus,GSM981205,GEO,SRA056973,08,2012,Wang,"vastus lateralis, WT",muscleWT1,"C2C12 mouse myoblast, control",,,,,C2C12,control,,,,,GSM981210
SRR533640,10753425,537671250,50,281,SRX174041,GSM981206: muscleWT2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353239,SAMN01103318,simple,10090,Mus musculus,GSM981206,GEO,SRA056973,08,2012,Wang,"vastus lateralis, WT",muscleWT2,"C2C12 mouse myoblast, Mbnl1 depleted",,,,,C2C12,Mbnl1,,,,,GSM981211
SRR533641,9635391,481769550,50,225,SRX174042,GSM981207: muscleWT3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353240,SAMN01103319,simple,10090,Mus musculus,GSM981207,GEO,SRA056973,08,2012,Wang,"vastus lateralis, WT",muscleWT3,"C2C12 mouse myoblast, Mbnl2 depleted",,,,,C2C12,Mbnl2,,,,,GSM981212
SRR533642,10314063,515703150,50,256,SRX174043,GSM981208: muscleWT4,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353241,SAMN01103320,simple,10090,Mus musculus,GSM981208,GEO,SRA056973,08,2012,Wang,"vastus lateralis, WT",muscleWT4,"C2C12 mouse myoblast, Mbnl1 and Mbnl2 depleted",,,,,C2C12,"Mbnl1, Mbnl2",,,,,GSM981213
SRR533643,10121091,506054550,50,240,SRX174044,GSM981209: muscleWT5,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP014709,PRJNA172014,22901804,"",SRS353242,SAMN01103321,simple,10090,Mus musculus,GSM981209,GEO,SRA056973,08,2012,Wang,"vastus lateralis, WT",muscleWT5,"C2C12 mouse myoblast, control, cytosolic fraction",,,,,C2C12,control,cytosolic,,,,GSM981214
SRR533644,34984510,2518884720,36,1394,SRX174045,GSM981210: C2C12-control,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP014709,PRJNA172014,22901804,"",SRS353243,SAMN01103322,simple,10090,Mus musculus,GSM981210,GEO,SRA056973,07,2015,Wang,"C2C12 mouse myoblast, control",C2C12-control,"C2C12 mouse myoblast, control, membrane fraction",,,,,C2C12,control,membrane,,,,GSM981215
SRR533645,33538248,2414753856,36,1336,SRX174046,GSM981211: C2C12-shMbnl1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP014709,PRJNA172014,22901804,"",SRS353244,SAMN01103323,simple,10090,Mus musculus,GSM981211,GEO,SRA056973,07,2015,Wang,"C2C12 mouse myoblast, Mbnl1 depleted",C2C12-shMbnl1,"C2C12 mouse myoblast, control, insoluble fraction",,,,,C2C12,control,insoluble,,,,GSM981216
SRR533646,33764346,2431032912,36,1315,SRX174047,GSM981212: C2C12-shMbnl2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP014709,PRJNA172014,22901804,"",SRS353245,SAMN01103324,simple,10090,Mus musculus,GSM981212,GEO,SRA056973,07,2015,Wang,"C2C12 mouse myoblast, Mbnl2 depleted",C2C12-shMbnl2,"C2C12 mouse myoblast, Mbnl1 and Mbnl2 depleted, cytosolic fraction",,,,,C2C12,"Mbnl1, Mbnl2",cytosolic,,,,GSM981217
SRR533647,31247610,2249827920,36,1205,SRX174048,GSM981213: C2C12-shMbnl12,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP014709,PRJNA172014,22901804,"",SRS353246,SAMN01103325,simple,10090,Mus musculus,GSM981213,GEO,SRA056973,07,2015,Wang,"C2C12 mouse myoblast, Mbnl1 and Mbnl2 depleted",C2C12-shMbnl12,"C2C12 mouse myoblast, Mbnl1 and Mbnl2 depleted, membrane fraction",,,,,C2C12,"Mbnl1, Mbnl2",membrane,,,,GSM981218
SRR533648,19514173,2224615722,57,1483,SRX174049,GSM981214: C2C12-control-cyto,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP014709,PRJNA172014,22901804,"",SRS353247,SAMN01103326,simple,10090,Mus musculus,GSM981214,GEO,SRA056973,07,2015,Wang,"C2C12 mouse myoblast, control, cytosolic fraction",C2C12-control-cyto,"C2C12 mouse myoblast, Mbnl1 and Mbnl2 depleted, insoluble fraction",,,,,C2C12,"Mbnl1, Mbnl2",insoluble,,,,GSM981219
SRR533649,29389081,3350355234,57,2205,SRX174050,GSM981215: C2C12-control-mem,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP014709,PRJNA172014,22901804,"",SRS353248,SAMN01103327,simple,10090,Mus musculus,GSM981215,GEO,SRA056973,07,2015,Wang,"C2C12 mouse myoblast, control, membrane fraction",C2C12-control-mem,"Drosophila S-2R+ cell, control, cytosolic fraction",,,,,S-2R+,,cytosolic,,,,GSM981220
SRR533650,24533119,2796775566,57,1844,SRX174051,GSM981216: C2C12-control-ins,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP014709,PRJNA172014,22901804,"",SRS353249,SAMN01103328,simple,10090,Mus musculus,GSM981216,GEO,SRA056973,07,2015,Wang,"C2C12 mouse myoblast, control, insoluble fraction",C2C12-control-ins,"Drosophila S-2R+ cell, control, membrane fraction",,,,,S-2R+,,membrane,,,,GSM981221
SRR533651,11158229,1272038106,57,857,SRX174052,GSM981217: C2C12-shMbnl12-cyto,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP014709,PRJNA172014,22901804,"",SRS353250,SAMN01103329,simple,10090,Mus musculus,GSM981217,GEO,SRA056973,07,2015,Wang,"C2C12 mouse myoblast, Mbnl1 and Mbnl2 depleted, cytosolic fraction",C2C12-shMbnl12-cyto,"Drosophila S-2R+ cell, control, insoluble fraction",,,,,S-2R+,,insoluble,,,,GSM981222
SRR533652,15638411,1782778854,57,1190,SRX174053,GSM981218: C2C12-shMbnl12-mem,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP014709,PRJNA172014,22901804,"",SRS353251,SAMN01103330,simple,10090,Mus musculus,GSM981218,GEO,SRA056973,07,2015,Wang,"C2C12 mouse myoblast, Mbnl1 and Mbnl2 depleted, membrane fraction",C2C12-shMbnl12-mem,"Drosophila S-2R+ cell, Mbnl depleted, cytosolic fraction",,,,,S-2R+,,cytosolic,,,,GSM981223
SRR533653,16424770,1872423780,57,1250,SRX174054,GSM981219: C2C12-shMbnl12-ins,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP014709,PRJNA172014,22901804,"",SRS353252,SAMN01103331,simple,10090,Mus musculus,GSM981219,GEO,SRA056973,07,2015,Wang,"C2C12 mouse myoblast, Mbnl1 and Mbnl2 depleted, insoluble fraction",C2C12-shMbnl12-ins,"Drosophila S-2R+ cell, Mbnl depleted, membrane fraction",,,,,S-2R+,,membrane,,,,GSM981224
SRR533654,76049577,7604957700,50,4442,SRX174055,GSM981220: S2-control-cyto,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP014709,PRJNA172014,22901804,"",SRS353253,SAMN01103332,simple,7227,Drosophila melanogaster,GSM981220,GEO,SRA056973,08,2012,Wang,"Drosophila S-2R+ cell, control, cytosolic fraction",S2-control-cyto,"Drosophila S-2R+ cell, Mbnl depleted, insoluble fraction",,,,,S-2R+,,insoluble,,,,GSM981225
SRR533655,84129194,8412919400,50,4950,SRX174056,GSM981221: S2-control-mem,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP014709,PRJNA172014,22901804,"",SRS353254,SAMN01103333,simple,7227,Drosophila melanogaster,GSM981221,GEO,SRA056973,08,2012,Wang,"Drosophila S-2R+ cell, control, membrane fraction",S2-control-mem,"whole brain, WT, Mbnl CLIP",C56BL/6,wildtype,16 weeks,whole brain,,,,The Mbnl antibody was provided by Tom Cooper from Baylor College of Medicine.,male,Mbnl polyclonal,GSM981226
SRR533656,96359688,9635968800,50,5609,SRX174057,GSM981222: S2-control-ins,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP014709,PRJNA172014,22901804,"",SRS353255,SAMN01103334,simple,7227,Drosophila melanogaster,GSM981222,GEO,SRA056973,08,2012,Wang,"Drosophila S-2R+ cell, control, insoluble fraction",S2-control-ins,"whole brain, WT, Mbnl CLIP",129/SvJ,wildtype,16 weeks,whole brain,,,,The Mbnl antibody was provided by Tom Cooper from Baylor College of Medicine.,male,Mbnl polyclonal,GSM981227
SRR533657,70019657,7001965700,50,4082,SRX174058,GSM981223: S2-dsMbl-cyto,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP014709,PRJNA172014,22901804,"",SRS353256,SAMN01103335,simple,7227,Drosophila melanogaster,GSM981223,GEO,SRA056973,08,2012,Wang,"Drosophila S-2R+ cell, Mbnl depleted, cytosolic fraction",S2-dsMbl-cyto,"whole heart, WT, Mbnl CLIP",C56BL/6,wildtype,16 weeks,whole heart,,,,The Mbnl antibody was provided by Tom Cooper from Baylor College of Medicine.,male,Mbnl polyclonal,GSM981228
SRR533658,82212630,8221263000,50,4830,SRX174059,GSM981224: S2-dsMbl-mem,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP014709,PRJNA172014,22901804,"",SRS353257,SAMN01103336,simple,7227,Drosophila melanogaster,GSM981224,GEO,SRA056973,08,2012,Wang,"Drosophila S-2R+ cell, Mbnl depleted, membrane fraction",S2-dsMbl-mem,"vastus lateralis, WT, Mbnl CLIP",C56BL/6,wildtype,16 weeks,skeletal muscle (vastus lateralis),,,,The Mbnl antibody was provided by Tom Cooper from Baylor College of Medicine.,male,Mbnl polyclonal,GSM981229
SRR533659,91336411,9133641100,50,5341,SRX174060,GSM981225: S2-dsMbl-ins,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP014709,PRJNA172014,22901804,"",SRS353258,SAMN01103337,simple,7227,Drosophila melanogaster,GSM981225,GEO,SRA056973,08,2012,Wang,"Drosophila S-2R+ cell, Mbnl depleted, insoluble fraction",S2-dsMbl-ins,"C2C12 mouse myoblast, Mbnl CLIP",,,,,C2C12,,,The Mbnl antibody was provided by Tom Cooper from Baylor College of Medicine.,,Mbnl polyclonal,GSM981230
SRR533660,11271618,394506630,35,200,SRX174061,GSM981226: CLIP-B6Brain,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP014709,PRJNA172014,22901804,"",SRS353259,SAMN01103338,simple,10090,Mus musculus,GSM981226,GEO,SRA056973,07,2015,Wang,"whole brain, WT, Mbnl CLIP",CLIP-B6Brain,"C2C12 mouse myoblast, control, ribosomal fraction",,,,,C2C12,control,ribosomes,,,,GSM981231
