Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,Stage,manipulation,rna population,library type,GEO Accession
SRR13679779,13626072,545042880,40,196,SRX10069179,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230907,SAMN17860319,simple,8355,Xenopus laevis,GSM5074337,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_water_RiboZeroGold_RNA_seq,HeLa cells,cell line,N/A,transfected with siRNAs targeting PABPC1 and PABPC4 for 72h,cytoplasmic RNA,ribo-seq matched RNA-seq,GSM5074347
SRR13679790,19124853,764994120,40,491,SRX10069180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230908,SAMN17860484,simple,9606,Homo sapiens,GSM5074346,GEO,SRA1194491,07,2021,Xiang,HeLa cells,HeLa_siPABPC4_72h_RNA_seq,HeLa cells,cell line,N/A,transfected with non-targeting siRNAs for 48h,cytoplasmic RNA,ribo-seq matched RNA-seq,GSM5074348
SRR13679791,18826253,753050120,40,468,SRX10069181,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230909,SAMN17860483,simple,9606,Homo sapiens,GSM5074347,GEO,SRA1194491,07,2021,Xiang,HeLa cells,HeLa_siPABPC1&4_72h_RNA_seq,HeLa cells,cell line,N/A,transfected with siRNAs targeting PABPC1 and PABPC4 for 48h,cytoplasmic RNA,ribo-seq matched RNA-seq,GSM5074349
SRR13679792,23202899,928115960,40,364,SRX10069182,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230910,SAMN17860482,simple,9606,Homo sapiens,GSM5074348,GEO,SRA1194491,07,2021,Xiang,HeLa cells,HeLa_siControl_48h_NEBNext_RNA_seq,"HCT116 cells, OsTIR1 knock-in, AID-tagged PABPC1",cell line,N/A,no IAA,cytoplasmic RNA,ribo-seq matched RNA-seq,GSM5074350
SRR13679793,22844933,913797320,40,360,SRX10069183,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230911,SAMN17860481,simple,9606,Homo sapiens,GSM5074349,GEO,SRA1194491,07,2021,Xiang,HeLa cells,HeLa_siPABPC1&4_48h_NEBNext_RNA_seq,"HCT116 cells, OsTIR1 knock-in, AID-tagged PABPC1",cell line,N/A,IAA for 0.5 h,cytoplasmic RNA,ribo-seq matched RNA-seq,GSM5074351
SRR13679794,15248517,762425850,50,290,SRX10069184,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230912,SAMN17860480,simple,9606,Homo sapiens,GSM5074350,GEO,SRA1194491,07,2021,Xiang,"HCT116 cells, OsTIR1 knock-in, AID-tagged PABPC1",HCT116_OsTIR1_PABPC1_AID_minus_IAA_RNA_seq,"HCT116 cells, OsTIR1 knock-in, AID-tagged PABPC1",cell line,N/A,IAA for 1 h,cytoplasmic RNA,ribo-seq matched RNA-seq,GSM5074352
SRR13679795,15909532,795476600,50,304,SRX10069185,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230913,SAMN17860479,simple,9606,Homo sapiens,GSM5074351,GEO,SRA1194491,07,2021,Xiang,"HCT116 cells, OsTIR1 knock-in, AID-tagged PABPC1",HCT116_OsTIR1_PABPC1_AID_plus_IAA_30m_RNA_seq,"HCT116 cells, OsTIR1 knock-in, AID-tagged PABPC1",cell line,N/A,IAA for 3 h,cytoplasmic RNA,ribo-seq matched RNA-seq,GSM5074353
SRR13679796,14173406,708670300,50,268,SRX10069186,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230914,SAMN17860478,simple,9606,Homo sapiens,GSM5074352,GEO,SRA1194491,07,2021,Xiang,"HCT116 cells, OsTIR1 knock-in, AID-tagged PABPC1",HCT116_OsTIR1_PABPC1_AID_plus_IAA_1h_RNA_seq,Xenopus laevis stage VI oocyte,oocyte,VI,water-injected,cytoplasmic RNA,ribo-seq (ribosome footprint profiling),GSM5074354
SRR13679797,16310338,815516900,50,307,SRX10069187,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230915,SAMN17860477,simple,9606,Homo sapiens,GSM5074353,GEO,SRA1194491,07,2021,Xiang,"HCT116 cells, OsTIR1 knock-in, AID-tagged PABPC1",HCT116_OsTIR1_PABPC1_AID_plus_IAA_3h_RNA_seq,Xenopus laevis stage VI oocyte,oocyte,VI,eGFP-expressed,cytoplasmic RNA,ribo-seq (ribosome footprint profiling),GSM5074355
SRR13679798,14312560,572502400,40,202,SRX10069188,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230916,SAMN17860476,simple,8355,Xenopus laevis,GSM5074354,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_water_ribo_seq,Xenopus laevis stage VI oocyte,oocyte,VI,PABPC1-overexpressed,cytoplasmic RNA,ribo-seq (ribosome footprint profiling),GSM5074356
SRR13679799,13028991,521159640,40,185,SRX10069189,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230917,SAMN17860475,simple,8355,Xenopus laevis,GSM5074355,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_eGFP_ribo_seq,Xenopus laevis stage VI oocyte,oocyte,VI,ePAB-overexpressed,cytoplasmic RNA,ribo-seq (ribosome footprint profiling),GSM5074357
SRR13679800,13702809,548112360,40,193,SRX10069190,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230918,SAMN17860474,simple,8355,Xenopus laevis,GSM5074356,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_PABPC1_ribo_seq,Xenopus laevis stage VI oocyte,oocyte,VI,eGFP-expressed,cytoplasmic RNA,ribo-seq (ribosome footprint profiling),GSM5074358
SRR13679801,13889323,555572920,40,194,SRX10069191,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230920,SAMN17860473,simple,8355,Xenopus laevis,GSM5074357,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_ePAB_ribo_seq,Xenopus laevis stage VI oocyte,oocyte,VI,ePAB-overexpressed,cytoplasmic RNA,ribo-seq (ribosome footprint profiling),GSM5074359
SRR13679802,22652605,906104200,40,354,SRX10069192,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230919,SAMN17860472,simple,8355,Xenopus laevis,GSM5074358,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_eGFP_no_rRNA_depeletion_ribo_seq,HeLa cells,cell line,N/A,transfected with non-targeting siRNAs for 72h,cytoplasmic RNA,ribo-seq (ribosome footprint profiling),GSM5074360
SRR13679803,86519583,3460783320,40,1329,SRX10069192,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230919,SAMN17860472,simple,8355,Xenopus laevis,GSM5074358,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_eGFP_no_rRNA_depeletion_ribo_seq,HeLa cells,cell line,N/A,transfected with siRNAs targeting PABPC1 for 72h,cytoplasmic RNA,ribo-seq (ribosome footprint profiling),GSM5074361
SRR13679804,19792134,791685360,40,309,SRX10069193,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230922,SAMN17860382,simple,8355,Xenopus laevis,GSM5074359,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_ePAB_no_rRNA_depeletion_ribo_seq,HeLa cells,cell line,N/A,transfected with siRNAs targeting PABPC4 for 72h,cytoplasmic RNA,ribo-seq (ribosome footprint profiling),GSM5074362
SRR13679805,13363854,534554160,40,208,SRX10069193,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230922,SAMN17860382,simple,8355,Xenopus laevis,GSM5074359,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_ePAB_no_rRNA_depeletion_ribo_seq,HeLa cells,cell line,N/A,transfected with siRNAs targeting PABPC1 and PABPC4 for 72h,cytoplasmic RNA,ribo-seq (ribosome footprint profiling),GSM5074363
SRR13679806,25626530,1025061200,40,629,SRX10069194,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230923,SAMN17860381,simple,9606,Homo sapiens,GSM5074360,GEO,SRA1194491,07,2021,Xiang,HeLa cells,HeLa_siControl_72h_ribo_seq,HeLa cells,cell line,N/A,transfected with non-targeting siRNAs for 48h,cytoplasmic RNA,ribo-seq (ribosome footprint profiling),GSM5074364
SRR13679807,20731271,829250840,40,516,SRX10069195,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230921,SAMN17860380,simple,9606,Homo sapiens,GSM5074361,GEO,SRA1194491,07,2021,Xiang,HeLa cells,HeLa_siPABPC1_72h_ribo_seq,HeLa cells,cell line,N/A,transfected with siRNAs targeting PABPC1 and PABPC4 for 48h,cytoplasmic RNA,ribo-seq (ribosome footprint profiling),GSM5074365
SRR13679808,20497153,819886120,40,525,SRX10069196,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230924,SAMN17860379,simple,9606,Homo sapiens,GSM5074362,GEO,SRA1194491,07,2021,Xiang,HeLa cells,HeLa_siPABPC4_72h_ribo_seq,"HCT116 cells, OsTIR1 knock-in, AID-tagged PABPC1",cell line,N/A,no IAA,cytoplasmic RNA,ribo-seq (ribosome footprint profiling),GSM5074366
SRR13679809,14284354,571374160,40,355,SRX10069197,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230925,SAMN17860378,simple,9606,Homo sapiens,GSM5074363,GEO,SRA1194491,07,2021,Xiang,HeLa cells,HeLa_siPABPC1&4_72h_ribo_seq,"HCT116 cells, OsTIR1 knock-in, AID-tagged PABPC1",cell line,N/A,IAA for 0.5 h,cytoplasmic RNA,ribo-seq (ribosome footprint profiling),GSM5074367
SRR13679810,19005103,760204120,40,301,SRX10069198,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230927,SAMN17860377,simple,9606,Homo sapiens,GSM5074364,GEO,SRA1194491,07,2021,Xiang,HeLa cells,HeLa_siPABPC4_48h_ribo_seq_with_mito_ribosomes,"HCT116 cells, OsTIR1 knock-in, AID-tagged PABPC1",cell line,N/A,IAA for 1 h,cytoplasmic RNA,ribo-seq (ribosome footprint profiling),GSM5074368
SRR13679811,17260338,690413520,40,273,SRX10069199,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230926,SAMN17860376,simple,9606,Homo sapiens,GSM5074365,GEO,SRA1194491,07,2021,Xiang,HeLa cells,HeLa_siPABPC1&4_48h_ribo_seq_with_mito_ribosomes,"HCT116 cells, OsTIR1 knock-in, AID-tagged PABPC1",cell line,N/A,IAA for 3 h,cytoplasmic RNA,ribo-seq (ribosome footprint profiling),GSM5074369
SRR13679812,15848576,792428800,50,307,SRX10069200,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230928,SAMN17860375,simple,9606,Homo sapiens,GSM5074366,GEO,SRA1194491,07,2021,Xiang,"HCT116 cells, OsTIR1 knock-in, AID-tagged PABPC1",HCT116_OsTIR1_PABPC1_AID_minus_IAA_ribo_seq,Xenopus laevis stage VI oocyte,oocyte,VI,water-injected,cytoplasmic RNA,TAIL-seq,GSM5074370
SRR13679813,14937499,746874950,50,326,SRX10069201,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230929,SAMN17860374,simple,9606,Homo sapiens,GSM5074367,GEO,SRA1194491,07,2021,Xiang,"HCT116 cells, OsTIR1 knock-in, AID-tagged PABPC1",HCT116_OsTIR1_PABPC1_AID_plus_IAA_30m_ribo_seq,Xenopus laevis stage VI oocyte,oocyte,VI,eGFP-expressed,cytoplasmic RNA,TAIL-seq,GSM5074371
SRR13679814,15993724,799686200,50,309,SRX10069202,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230930,SAMN17860373,simple,9606,Homo sapiens,GSM5074368,GEO,SRA1194491,07,2021,Xiang,"HCT116 cells, OsTIR1 knock-in, AID-tagged PABPC1",HCT116_OsTIR1_PABPC1_AID_plus_IAA_1h_ribo_seq,Xenopus laevis stage VI oocyte,oocyte,VI,PABPC1-overexpressed,cytoplasmic RNA,TAIL-seq,GSM5074372
SRR13679815,13733303,686665150,50,266,SRX10069203,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230932,SAMN17860372,simple,9606,Homo sapiens,GSM5074369,GEO,SRA1194491,07,2021,Xiang,"HCT116 cells, OsTIR1 knock-in, AID-tagged PABPC1",HCT116_OsTIR1_PABPC1_AID_plus_IAA_3h_ribo_seq,Xenopus laevis stage VI oocyte,oocyte,VI,ePAB-overexpressed,cytoplasmic RNA,TAIL-seq,GSM5074373
SRR13679816,15156153,4546845900,50,1848,SRX10069204,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230933,SAMN17860371,simple,8355,Xenopus laevis,GSM5074370,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_water_TAIL_seq,Xenopus laevis stage VI oocyte,oocyte,VI,express eGFP and RPL3-HA,"cytoplasmic RNA, HA IP input",PAL-seq v3,GSM5074374
SRR13679817,9331838,2799551400,50,1136,SRX10069205,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230934,SAMN17860370,simple,8355,Xenopus laevis,GSM5074371,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_eGFP_TAIL_seq,Xenopus laevis stage VI oocyte,oocyte,VI,express eGFP and RPL3-HA,"cytoplasmic RNA, HA IP flowthrough",PAL-seq v3,GSM5074375
SRR13679818,9809670,2942901000,50,1222,SRX10069206,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230931,SAMN17860459,simple,8355,Xenopus laevis,GSM5074372,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_PABPC1_TAIL_seq,Xenopus laevis stage VI oocyte,oocyte,VI,express eGFP and RPL3-HA,"cytoplasmic RNA, HA IP eluate (beads)",PAL-seq v3,GSM5074376
SRR13679819,15135694,4540708200,50,1861,SRX10069207,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230935,SAMN17860392,simple,8355,Xenopus laevis,GSM5074373,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_ePAB_TAIL_seq,Xenopus laevis stage VI oocyte,oocyte,VI,express ePAB and RPL3-HA,"cytoplasmic RNA, HA IP input",PAL-seq v3,GSM5074377
SRR13679820,19338845,5801653500,40,2676,SRX10069208,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230937,SAMN17860369,simple,8355,Xenopus laevis,GSM5074374,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_eGFP_RPL3_HA_PALTRAP_input,Xenopus laevis stage VI oocyte,oocyte,VI,express ePAB and RPL3-HA,"cytoplasmic RNA, HA IP flowthrough",PAL-seq v3,GSM5074378
SRR13679821,13247622,3974286600,40,1868,SRX10069208,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230937,SAMN17860369,simple,8355,Xenopus laevis,GSM5074374,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_eGFP_RPL3_HA_PALTRAP_input,Xenopus laevis stage VI oocyte,oocyte,VI,express ePAB and RPL3-HA,"cytoplasmic RNA, HA IP eluate (beads)",PAL-seq v3,GSM5074379
SRR13679822,14386702,4316010600,40,2033,SRX10069209,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230938,SAMN17860368,simple,8355,Xenopus laevis,GSM5074375,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_eGFP_RPL3_HA_PALTRAP_flowthrough,Xenopus laevis stage VI oocyte,oocyte,VI,express eGFP and eGFP-HA,"cytoplasmic RNA, HA IP input",PAL-seq v3,GSM5074380
SRR13679823,10556944,3167083200,40,1435,SRX10069210,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230936,SAMN17860461,simple,8355,Xenopus laevis,GSM5074376,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_eGFP_RPL3_HA_PALTRAP_eluate,Xenopus laevis stage VI oocyte,oocyte,VI,express eGFP and eGFP-HA,"cytoplasmic RNA, HA IP eluate (beads)",PAL-seq v3,GSM5074381
SRR13679824,8352981,2505894300,40,1144,SRX10069210,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230936,SAMN17860461,simple,8355,Xenopus laevis,GSM5074376,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_eGFP_RPL3_HA_PALTRAP_eluate,HeLa cells,cell line,N/A,transfected with non-targeting siRNAs for 72h,cytoplasmic RNA,TAIL-seq,GSM5074382
SRR13679825,14066648,4219994400,40,1923,SRX10069211,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230939,SAMN17860460,simple,8355,Xenopus laevis,GSM5074377,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_ePAB_RPL3_HA_PALTRAP_input,HeLa cells,cell line,N/A,transfected with siRNAs targeting PABPC1 for 72h,cytoplasmic RNA,TAIL-seq,GSM5074383
SRR13679826,8186338,2455901400,40,1147,SRX10069211,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP305686,PRJNA701262,34213414,"",SRS8230939,SAMN17860460,simple,8355,Xenopus laevis,GSM5074377,GEO,SRA1194491,07,2021,Xiang,Xenopus laevis stage VI oocyte,frog_oocyte_ePAB_RPL3_HA_PALTRAP_input,HeLa cells,cell line,N/A,transfected with siRNAs targeting PABPC4 for 72h,cytoplasmic RNA,TAIL-seq,GSM5074384
