Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,passage,rna type,GEO Accession
SRR8310196,78058509,5854388175,75,2200,SRX5124100,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137414,SAMN10574481,simple,9606,Homo sapiens,GSM3507221,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,healthy individual-1 rep2 Ribo-seq,Skin fibroblasts,9,Ribosomal profiling,GSM3507221
SRR8310197,85502113,6412658475,75,2380,SRX5124101,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137415,SAMN10574480,simple,9606,Homo sapiens,GSM3507222,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,healthy individual-1 rep3 Ribo-seq,Skin fibroblasts,9,Ribosomal profiling,GSM3507222
SRR8310198,71389844,5354238300,75,2000,SRX5124102,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137416,SAMN10574479,simple,9606,Homo sapiens,GSM3507223,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,patient rep1 Ribo-seq,Skin fibroblasts,6,Ribosomal profiling,GSM3507223
SRR8310199,65123339,4884250425,75,1787,SRX5124103,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137417,SAMN10574494,simple,9606,Homo sapiens,GSM3507224,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,patient rep2 Ribo-seq,Skin fibroblasts,6,Ribosomal profiling,GSM3507224
SRR8310200,56103407,4207755525,75,1531,SRX5124104,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137418,SAMN10574493,simple,9606,Homo sapiens,GSM3507225,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,patient rep3 Ribo-seq,Skin fibroblasts,6,Ribosomal profiling,GSM3507225
SRR8310201,83839256,6287944200,75,2596,SRX5124105,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137419,SAMN10574492,simple,9606,Homo sapiens,GSM3507226,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,healthy individual-2 rep2 Ribo-seq,Skin fibroblasts,5,Ribosomal profiling,GSM3507226
SRR8310202,59399409,4454955675,75,1825,SRX5124106,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137420,SAMN10574523,simple,9606,Homo sapiens,GSM3507227,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,healthy individual-2 rep3 Ribo-seq,Skin fibroblasts,5,Ribosomal profiling,GSM3507227
SRR8310203,85028216,6377116200,75,2628,SRX5124107,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137421,SAMN10574522,simple,9606,Homo sapiens,GSM3507228,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,patient rep4 Ribo-seq,Skin fibroblasts,7,Ribosomal profiling,GSM3507228
SRR8310204,60811836,4560887700,75,1813,SRX5124108,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137422,SAMN10574521,simple,9606,Homo sapiens,GSM3507229,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,patient rep5 Ribo-seq,Skin fibroblasts,7,Ribosomal profiling,GSM3507229
SRR8310205,55472833,4160462475,75,1681,SRX5124109,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173240,PRJNA509230,30707697,"",SRS4137423,SAMN10574520,simple,9606,Homo sapiens,GSM3507230,GEO,SRA822727,01,2019,O'Connell,Skin fibroblasts,patient rep6 Ribo-seq,Skin fibroblasts,7,Ribosomal profiling,GSM3507230
