Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,age,dev_stage,sex,tissue,biomaterial_provider,isolation_source,sample_type,BioSampleModel
SRR9596302,51849358,2696166616,52,851,SRX6362017,Somata_Monosome_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023968,SAMN12135215,simple,10116,Rattus norvegicus,Somata_Monosome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 somata,E.M. Schuman,Somata,Monosome,Model organism or animal
SRR9596301,62358018,3242616936,52,994,SRX6362018,Neuropil_Total_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023967,SAMN12135214,simple,10116,Rattus norvegicus,Neuropil_Total,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 neuropil,E.M. Schuman,Neuropil,TotalFootprint,Model organism or animal
SRR9596299,31248323,1624912796,52,491,SRX6362019,Hippocampus_Monosome_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023969,SAMN12135217,simple,10116,Rattus norvegicus,Hippocampus_Monosome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,hippocampus,E.M. Schuman,Hippocampus,Monosome,Model organism or animal
SRR9596298,34966211,1818242972,52,543,SRX6362020,Hippocampus_Monosome_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023969,SAMN12135217,simple,10116,Rattus norvegicus,Hippocampus_Monosome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,hippocampus,E.M. Schuman,Hippocampus,Monosome,Model organism or animal
SRR9596297,37610890,1955766280,52,589,SRX6362021,Hippocampus_Monosome_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023969,SAMN12135217,simple,10116,Rattus norvegicus,Hippocampus_Monosome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,hippocampus,E.M. Schuman,Hippocampus,Monosome,Model organism or animal
SRR9596300,44614079,2319932108,52,724,SRX6362022,Somata_Polysome_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023970,SAMN12135216,simple,10116,Rattus norvegicus,Somata_Polysome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 somata,E.M. Schuman,Somata,Polysome,Model organism or animal
SRR9596296,48842936,2539832672,52,789,SRX6362023,Somata_Polysome_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023970,SAMN12135216,simple,10116,Rattus norvegicus,Somata_Polysome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 somata,E.M. Schuman,Somata,Polysome,Model organism or animal
SRR9596295,50903508,2646982416,52,841,SRX6362024,Somata_Polysome_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023970,SAMN12135216,simple,10116,Rattus norvegicus,Somata_Polysome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 somata,E.M. Schuman,Somata,Polysome,Model organism or animal
SRR9596294,50803609,2641787668,52,825,SRX6362025,Somata_Monosome_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023968,SAMN12135215,simple,10116,Rattus norvegicus,Somata_Monosome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 somata,E.M. Schuman,Somata,Monosome,Model organism or animal
SRR9596293,53007899,2756410748,52,852,SRX6362026,Somata_Monosome_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023968,SAMN12135215,simple,10116,Rattus norvegicus,Somata_Monosome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,CA1 somata,E.M. Schuman,Somata,Monosome,Model organism or animal
SRR9596292,39777825,5133846940,129,1850,SRX6362027,Wfs1Cre_RiboTag_somata_Input_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023971,SAMN12135223,simple,10090,Mus musculus,Wfs1Cre_RiboTag_somata_Input,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Wfs1Cre::RiboTag,8 weeks,adult,male,CA1 somata,E.M. Schuman,Somata,Input,Model organism or animal
SRR9596291,41166235,5297383934,128,1925,SRX6362028,Wfs1Cre_RiboTag_somata_Input_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023971,SAMN12135223,simple,10090,Mus musculus,Wfs1Cre_RiboTag_somata_Input,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Wfs1Cre::RiboTag,8 weeks,adult,male,CA1 somata,E.M. Schuman,Somata,Input,Model organism or animal
SRR9596290,38114489,2896701164,76,922,SRX6362029,Camk2Cre_RiboTag_hippocampus_IP_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023964,SAMN12135224,simple,10090,Mus musculus,Camk2Cre_RiboTag_hippocampus_IP,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Camk2Cre::RiboTag,8 weeks,adult,male,hippocampus,E.M. Schuman,Hippocampus,IP,Model organism or animal
SRR9596289,35964079,2733270004,76,896,SRX6362030,Camk2Cre_RiboTag_hippocampus_IP_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023964,SAMN12135224,simple,10090,Mus musculus,Camk2Cre_RiboTag_hippocampus_IP,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Camk2Cre::RiboTag,8 weeks,adult,male,hippocampus,E.M. Schuman,Hippocampus,IP,Model organism or animal
SRR9596288,37219715,2828698340,76,905,SRX6362031,Camk2Cre_RiboTag_hippocampus_IP_04,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023964,SAMN12135224,simple,10090,Mus musculus,Camk2Cre_RiboTag_hippocampus_IP,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Camk2Cre::RiboTag,8 weeks,adult,male,hippocampus,E.M. Schuman,Hippocampus,IP,Model organism or animal
SRR9596287,33686315,2560159940,76,819,SRX6362032,Camk2Cre_RiboTag_hippocampus_IP_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023964,SAMN12135224,simple,10090,Mus musculus,Camk2Cre_RiboTag_hippocampus_IP,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Camk2Cre::RiboTag,8 weeks,adult,male,hippocampus,E.M. Schuman,Hippocampus,IP,Model organism or animal
SRR9596286,36770723,1912077596,52,575,SRX6362033,Hippocampus_Polysome_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023960,SAMN12135218,simple,10116,Rattus norvegicus,Hippocampus_Polysome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,hippocampus,E.M. Schuman,Hippocampus,Polysome,Model organism or animal
SRR9596285,39430295,2050375340,52,617,SRX6362034,Hippocampus_Polysome_01,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023960,SAMN12135218,simple,10116,Rattus norvegicus,Hippocampus_Polysome,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",Ribosome profiling,CD (Sprague Dawley) IGS Rat,4 weeks,adult,male,hippocampus,E.M. Schuman,Hippocampus,Polysome,Model organism or animal
SRR9596284,42337201,3217627276,76,1023,SRX6362035,Camk2Cre_RiboTag_hippocampus_Input_03,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023963,SAMN12135225,simple,10090,Mus musculus,Camk2Cre_RiboTag_hippocampus_Input,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Camk2Cre::RiboTag,8 weeks,adult,male,hippocampus,E.M. Schuman,Hippocampus,Input,Model organism or animal
SRR9596283,41238275,3134108900,76,1005,SRX6362036,Camk2Cre_RiboTag_hippocampus_Input_02,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP211959,PRJNA550323,32001627,"",SRS5023963,SAMN12135225,simple,10090,Mus musculus,Camk2Cre_RiboTag_hippocampus_Input,Max-Planck Institute for Brain Research,SRA913562,02,2020,Biever,"",mRNA-seq,Camk2Cre::RiboTag,8 weeks,adult,male,hippocampus,E.M. Schuman,Hippocampus,Input,Model organism or animal
