Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,cellular state,molecule subtype,GEO Accession
SRR6441601,18596022,929801100,50,381,SRX3532853,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808287,SAMN08294580,simple,4932,Saccharomyces cerevisiae,GSM2913138,GEO,SRA644031,02,2018,Cheng,yeast cells,0hr fps,yeast cells,SK1,vegetative exponential OD600=0.6,mRNA,GSM2913147
SRR6441602,11608778,580438900,50,215,SRX3532853,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808287,SAMN08294580,simple,4932,Saccharomyces cerevisiae,GSM2913138,GEO,SRA644031,02,2018,Cheng,yeast cells,0hr fps,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913148
SRR6441603,14749079,737453950,50,276,SRX3532854,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808288,SAMN08294579,simple,4932,Saccharomyces cerevisiae,GSM2913139,GEO,SRA644031,02,2018,Cheng,yeast cells,1.5hr fps,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913149
SRR6441604,21867473,1115241123,51,464,SRX3532854,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808288,SAMN08294579,simple,4932,Saccharomyces cerevisiae,GSM2913139,GEO,SRA644031,02,2018,Cheng,yeast cells,1.5hr fps,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913150
SRR6441605,22129413,1128600063,51,472,SRX3532854,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808288,SAMN08294579,simple,4932,Saccharomyces cerevisiae,GSM2913139,GEO,SRA644031,02,2018,Cheng,yeast cells,1.5hr fps,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913151
SRR6441606,24600979,1254649929,51,522,SRX3532855,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808289,SAMN08294582,simple,4932,Saccharomyces cerevisiae,GSM2913140,GEO,SRA644031,02,2018,Cheng,yeast cells,3hr fps,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913152
SRR6441607,24870155,1268377905,51,530,SRX3532855,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808289,SAMN08294582,simple,4932,Saccharomyces cerevisiae,GSM2913140,GEO,SRA644031,02,2018,Cheng,yeast cells,3hr fps,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913153
SRR6441608,16942172,847108600,50,317,SRX3532855,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808289,SAMN08294582,simple,4932,Saccharomyces cerevisiae,GSM2913140,GEO,SRA644031,02,2018,Cheng,yeast cells,3hr fps,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913154
SRR6441609,47994197,2399709850,50,944,SRX3532856,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808290,SAMN08294578,simple,4932,Saccharomyces cerevisiae,GSM2913141,GEO,SRA644031,02,2018,Cheng,yeast cells,4.5hr fps,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913155
SRR6441610,7129478,356473900,50,134,SRX3532856,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808290,SAMN08294578,simple,4932,Saccharomyces cerevisiae,GSM2913141,GEO,SRA644031,02,2018,Cheng,yeast cells,4.5hr fps,yeast cells,SK1,non-meiotic cells in sporulation medium,mRNA,GSM2913156
SRR6441611,10334739,527071689,51,220,SRX3532856,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808290,SAMN08294578,simple,4932,Saccharomyces cerevisiae,GSM2913141,GEO,SRA644031,02,2018,Cheng,yeast cells,4.5hr fps,yeast cells,SK1,vegetative exponential OD600=0.6,mRNA,GSM2913157
SRR6441612,10454677,533188527,51,224,SRX3532856,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808290,SAMN08294578,simple,4932,Saccharomyces cerevisiae,GSM2913141,GEO,SRA644031,02,2018,Cheng,yeast cells,4.5hr fps,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913158
SRR6441613,16566893,844911543,51,351,SRX3532857,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808291,SAMN08294577,simple,4932,Saccharomyces cerevisiae,GSM2913142,GEO,SRA644031,02,2018,Cheng,yeast cells,6hr fps,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913159
SRR6441614,16746560,854074560,51,357,SRX3532857,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808291,SAMN08294577,simple,4932,Saccharomyces cerevisiae,GSM2913142,GEO,SRA644031,02,2018,Cheng,yeast cells,6hr fps,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913160
SRR6441615,11395405,569770250,50,212,SRX3532857,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808291,SAMN08294577,simple,4932,Saccharomyces cerevisiae,GSM2913142,GEO,SRA644031,02,2018,Cheng,yeast cells,6hr fps,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913161
SRR6441616,19438833,991380483,51,409,SRX3532858,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808292,SAMN08294576,simple,4932,Saccharomyces cerevisiae,GSM2913143,GEO,SRA644031,02,2018,Cheng,yeast cells,8hr fps,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913162
SRR6441617,19676710,1003512210,51,416,SRX3532858,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808292,SAMN08294576,simple,4932,Saccharomyces cerevisiae,GSM2913143,GEO,SRA644031,02,2018,Cheng,yeast cells,8hr fps,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913163
SRR6441618,13331372,666568600,50,246,SRX3532858,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808292,SAMN08294576,simple,4932,Saccharomyces cerevisiae,GSM2913143,GEO,SRA644031,02,2018,Cheng,yeast cells,8hr fps,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913164
SRR6441619,16302335,831419085,51,346,SRX3532859,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808293,SAMN08294575,simple,4932,Saccharomyces cerevisiae,GSM2913144,GEO,SRA644031,02,2018,Cheng,yeast cells,10hr fps,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913165
SRR6441620,16481449,840553899,51,352,SRX3532859,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808293,SAMN08294575,simple,4932,Saccharomyces cerevisiae,GSM2913144,GEO,SRA644031,02,2018,Cheng,yeast cells,10hr fps,yeast cells,SK1,non-meiotic cells in sporulation medium,mRNA,GSM2913166
SRR6441621,11416574,570828700,50,214,SRX3532859,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808293,SAMN08294575,simple,4932,Saccharomyces cerevisiae,GSM2913144,GEO,SRA644031,02,2018,Cheng,yeast cells,10hr fps,yeast cells,SK1,vegetative exponential OD600=0.6,ribosome footprints,GSM2913167
SRR6441622,24668300,1233415000,50,514,SRX3532860,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808294,SAMN08294574,simple,4932,Saccharomyces cerevisiae,GSM2913145,GEO,SRA644031,02,2018,Cheng,yeast cells,spore fps,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913168
SRR6441623,12453693,622684650,50,251,SRX3532860,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808294,SAMN08294574,simple,4932,Saccharomyces cerevisiae,GSM2913145,GEO,SRA644031,02,2018,Cheng,yeast cells,spore fps,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913169
SRR6441624,17374283,886088433,51,386,SRX3532860,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808294,SAMN08294574,simple,4932,Saccharomyces cerevisiae,GSM2913145,GEO,SRA644031,02,2018,Cheng,yeast cells,spore fps,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913170
SRR6441625,17519170,893477670,51,391,SRX3532860,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808294,SAMN08294574,simple,4932,Saccharomyces cerevisiae,GSM2913145,GEO,SRA644031,02,2018,Cheng,yeast cells,spore fps,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913171
SRR6441626,24130613,1230661263,51,513,SRX3532861,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808295,SAMN08294573,simple,4932,Saccharomyces cerevisiae,GSM2913146,GEO,SRA644031,02,2018,Cheng,yeast cells,MATa/a 4.5hr fps,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913172
SRR6441627,24434194,1246143894,51,522,SRX3532861,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808295,SAMN08294573,simple,4932,Saccharomyces cerevisiae,GSM2913146,GEO,SRA644031,02,2018,Cheng,yeast cells,MATa/a 4.5hr fps,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913173
SRR6441628,16416233,820811650,50,308,SRX3532861,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808295,SAMN08294573,simple,4932,Saccharomyces cerevisiae,GSM2913146,GEO,SRA644031,02,2018,Cheng,yeast cells,MATa/a 4.5hr fps,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913174
SRR6441629,34952844,1782595044,51,655,SRX3532862,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808296,SAMN08294572,simple,4932,Saccharomyces cerevisiae,GSM2913147,GEO,SRA644031,02,2018,Cheng,yeast cells,vegetative exponential mrna,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913175
SRR6441630,11467371,584835921,51,301,SRX3532863,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808297,SAMN08294571,simple,4932,Saccharomyces cerevisiae,GSM2913148,GEO,SRA644031,02,2018,Cheng,yeast cells,0hr mrna,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913176
SRR6441631,11462410,584582910,51,303,SRX3532863,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808297,SAMN08294571,simple,4932,Saccharomyces cerevisiae,GSM2913148,GEO,SRA644031,02,2018,Cheng,yeast cells,0hr mrna,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913177
SRR6441632,27242771,1362138550,50,514,SRX3532863,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808297,SAMN08294571,simple,4932,Saccharomyces cerevisiae,GSM2913148,GEO,SRA644031,02,2018,Cheng,yeast cells,0hr mrna,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913178
SRR6441633,10162109,508105450,50,198,SRX3532864,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808298,SAMN08294570,simple,4932,Saccharomyces cerevisiae,GSM2913149,GEO,SRA644031,02,2018,Cheng,yeast cells,1.5hr mrna,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913179
SRR6441634,8602940,430147000,50,160,SRX3532864,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808298,SAMN08294570,simple,4932,Saccharomyces cerevisiae,GSM2913149,GEO,SRA644031,02,2018,Cheng,yeast cells,1.5hr mrna,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913180
SRR6441635,20632678,1031633900,50,387,SRX3532865,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808299,SAMN08294569,simple,4932,Saccharomyces cerevisiae,GSM2913150,GEO,SRA644031,02,2018,Cheng,yeast cells,3hr mrna,yeast cells,SK1,meiotic cells in sporulation medium,mRNA,GSM2913181
SRR6441636,14933419,746670950,50,282,SRX3532866,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808300,SAMN08294568,simple,4932,Saccharomyces cerevisiae,GSM2913151,GEO,SRA644031,02,2018,Cheng,yeast cells,4.5hr mrna,yeast cells,SK1,meiotic cells (strain brun95) without Ndt80 induction,mRNA,GSM2913182
SRR6441637,10891521,544576050,50,205,SRX3532867,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808301,SAMN08294566,simple,4932,Saccharomyces cerevisiae,GSM2913152,GEO,SRA644031,02,2018,Cheng,yeast cells,6hr mrna,yeast cells,SK1,meiotic cells (strain brun95) without Ndt80 induction,mRNA,GSM2913183
SRR6441638,15500277,775013850,50,295,SRX3532868,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808302,SAMN08294565,simple,4932,Saccharomyces cerevisiae,GSM2913153,GEO,SRA644031,02,2018,Cheng,yeast cells,8hr mrna,yeast cells,SK1,meiotic cells (strain brun95) without Ndt80 induction,mRNA,GSM2913184
SRR6441639,13521281,676064050,50,254,SRX3532869,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808303,SAMN08294564,simple,4932,Saccharomyces cerevisiae,GSM2913154,GEO,SRA644031,02,2018,Cheng,yeast cells,10hr mrna,yeast cells,SK1,meiotic cells (strain brun95) without Ndt80 induction,mRNA,GSM2913185
SRR6441640,9518133,475906650,50,182,SRX3532870,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808304,SAMN08294567,simple,4932,Saccharomyces cerevisiae,GSM2913155,GEO,SRA644031,02,2018,Cheng,yeast cells,spore mrna,yeast cells,SK1,meiotic cells (strain brun95) with Ndt80 induction,mRNA,GSM2913186
SRR6441641,7079653,353982650,50,134,SRX3532871,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808305,SAMN08294617,simple,4932,Saccharomyces cerevisiae,GSM2913156,GEO,SRA644031,02,2018,Cheng,yeast cells,MATa/a 4.5hr mrna,yeast cells,SK1,meiotic cells (strain brun95) with Ndt80 induction,mRNA,GSM2913187
SRR6441642,151590137,7731096987,51,3724,SRX3532872,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808306,SAMN08294616,simple,4932,Saccharomyces cerevisiae,GSM2913157,GEO,SRA644031,02,2018,Cheng,yeast cells,vegetative exponential mrna from totRNA-seq,yeast cells,SK1,meiotic cells (strain brun95) with Ndt80 induction,mRNA,GSM2913188
SRR6441643,30674573,1533728650,50,611,SRX3532873,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808307,SAMN08294615,simple,4932,Saccharomyces cerevisiae,GSM2913158,GEO,SRA644031,02,2018,Cheng,yeast cells,0hr mrna from totRNA-seq,yeast cells,SK1,meiotic cells (strain brun95) with Ndt80 induction,mRNA,GSM2913189
SRR6441644,36092695,1804634750,50,740,SRX3532873,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808307,SAMN08294615,simple,4932,Saccharomyces cerevisiae,GSM2913158,GEO,SRA644031,02,2018,Cheng,yeast cells,0hr mrna from totRNA-seq,yeast cells,SK1,meiotic cells (strain brun95) with Ndt80 induction,mRNA,GSM2913190
SRR6441645,36277687,1813884350,50,746,SRX3532873,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808307,SAMN08294615,simple,4932,Saccharomyces cerevisiae,GSM2913158,GEO,SRA644031,02,2018,Cheng,yeast cells,0hr mrna from totRNA-seq,yeast cells,SK1,vegetative exponential OD600=0.6,ribosome footprints,GSM2913137
SRR6441646,34965438,1748271900,50,688,SRX3532874,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808308,SAMN08294614,simple,4932,Saccharomyces cerevisiae,GSM2913159,GEO,SRA644031,02,2018,Cheng,yeast cells,1.5hr mrna from totRNA-seq,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913138
SRR6441647,40791770,2039588500,50,829,SRX3532874,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808308,SAMN08294614,simple,4932,Saccharomyces cerevisiae,GSM2913159,GEO,SRA644031,02,2018,Cheng,yeast cells,1.5hr mrna from totRNA-seq,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913139
SRR6441648,41022556,2051127800,50,836,SRX3532874,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808308,SAMN08294614,simple,4932,Saccharomyces cerevisiae,GSM2913159,GEO,SRA644031,02,2018,Cheng,yeast cells,1.5hr mrna from totRNA-seq,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913140
SRR6441649,26569659,1328482950,50,528,SRX3532875,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808309,SAMN08294613,simple,4932,Saccharomyces cerevisiae,GSM2913160,GEO,SRA644031,02,2018,Cheng,yeast cells,3hr mrna from totRNA-seq,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913141
SRR6441650,31750606,1587530300,50,649,SRX3532875,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808309,SAMN08294613,simple,4932,Saccharomyces cerevisiae,GSM2913160,GEO,SRA644031,02,2018,Cheng,yeast cells,3hr mrna from totRNA-seq,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913142
SRR6441651,31926172,1596308600,50,655,SRX3532875,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808309,SAMN08294613,simple,4932,Saccharomyces cerevisiae,GSM2913160,GEO,SRA644031,02,2018,Cheng,yeast cells,3hr mrna from totRNA-seq,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913143
