Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,cell type,sample type,GEO Accession
SRR8130802,23799768,7139930400,150,2812,SRX4951924,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993595,SAMN10343255,simple,10090,Mus musculus,GSM3450268,GEO,SRA800301,01,2019,Han,"Flt3L-DC, RIP_INPUT",WT_rip_input_1,"Flt3L-DC, RIP_INPUT",wt,Flt3L-DC,RIP_INPUT,GSM3450268
SRR8130803,31446071,9433821300,150,3739,SRX4951925,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993598,SAMN10343254,simple,10090,Mus musculus,GSM3450269,GEO,SRA800301,01,2019,Han,"Flt3L-DC, RIP_INPUT",WT_rip_input_2,"Flt3L-DC, RIP_INPUT",wt,Flt3L-DC,RIP_INPUT,GSM3450269
SRR8130804,43452948,6561395148,151,2988,SRX4951926,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993603,SAMN10343253,simple,10090,Mus musculus,GSM3450270,GEO,SRA800301,01,2019,Han,"Flt3L-DC, Ribo",WT_ribo_1,"Flt3L-DC, Ribo",wt,Flt3L-DC,Ribo,GSM3450270
SRR8130805,53195784,8032563384,151,3700,SRX4951927,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993604,SAMN10343252,simple,10090,Mus musculus,GSM3450271,GEO,SRA800301,01,2019,Han,"Flt3L-DC, Ribo",WT_ribo_2,"Flt3L-DC, Ribo",wt,Flt3L-DC,Ribo,GSM3450271
SRR8130806,56971904,8602757504,151,3973,SRX4951928,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993605,SAMN10343251,simple,10090,Mus musculus,GSM3450272,GEO,SRA800301,01,2019,Han,"Flt3L-DC, Ribo",KO_ribo_1,"Flt3L-DC, Ribo",ythdf1-/-,Flt3L-DC,Ribo,GSM3450272
SRR8130807,65434674,9880635774,151,4604,SRX4951929,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993607,SAMN10343250,simple,10090,Mus musculus,GSM3450273,GEO,SRA800301,01,2019,Han,"Flt3L-DC, Ribo",KO_ribo_2,"Flt3L-DC, Ribo",ythdf1-/-,Flt3L-DC,Ribo,GSM3450273
SRR8130808,33859861,5112839011,151,2289,SRX4951930,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993606,SAMN10343249,simple,10090,Mus musculus,GSM3450274,GEO,SRA800301,01,2019,Han,"Flt3L-DC, Ribo_INPUT",WT_ribo_input_1,"Flt3L-DC, Ribo_INPUT",wt,Flt3L-DC,Ribo_INPUT,GSM3450274
SRR8130809,39075155,5900348405,151,2664,SRX4951931,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993608,SAMN10343248,simple,10090,Mus musculus,GSM3450275,GEO,SRA800301,01,2019,Han,"Flt3L-DC, Ribo_INPUT",WT_ribo_input_2,"Flt3L-DC, Ribo_INPUT",wt,Flt3L-DC,Ribo_INPUT,GSM3450275
SRR8130810,38676759,5840190609,151,2618,SRX4951932,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993609,SAMN10343247,simple,10090,Mus musculus,GSM3450276,GEO,SRA800301,01,2019,Han,"Flt3L-DC, Ribo_INPUT",KO_ribo_input_1,"Flt3L-DC, Ribo_INPUT",ythdf1-/-,Flt3L-DC,Ribo_INPUT,GSM3450276
SRR8130811,40445483,6107267933,151,2781,SRX4951933,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993610,SAMN10343266,simple,10090,Mus musculus,GSM3450277,GEO,SRA800301,01,2019,Han,"Flt3L-DC, Ribo_INPUT",KO_ribo_input_2,"Flt3L-DC, Ribo_INPUT",ythdf1-/-,Flt3L-DC,Ribo_INPUT,GSM3450277
