Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,dev_stage,sex,tissue,BioSampleModel
SRR3031129,43033445,2194705695,51,1405,SRX1490637,pupae_ribo,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212302,SAMN04349633,simple,7227,Drosophila melanogaster,pupae_2d,Peking University,SRA320662,08,2018,Makar,"","",ISO1,2d post-white-prepupae,pooled male and female,whole organism,Model organism or animal
SRR3031130,44738296,2281653096,51,1470,SRX1490638,fem1_ribo,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212301,SAMN04349634,simple,7227,Drosophila melanogaster,fem_body_3_10d,Peking University,SRA320662,08,2018,Makar,"","",ISO1,3-10d after eclosion,female,body,Model organism or animal
SRR3031131,43027179,2194386129,51,1386,SRX1490639,fem2_ribo,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212301,SAMN04349634,simple,7227,Drosophila melanogaster,fem_body_3_10d,Peking University,SRA320662,08,2018,Makar,"","",ISO1,3-10d after eclosion,female,body,Model organism or animal
SRR3031133,45609310,2326074810,51,1507,SRX1490642,mal1_ribo,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212300,SAMN04349635,simple,7227,Drosophila melanogaster,mal_body_3_10d,Peking University,SRA320662,08,2018,Makar,"","",ISO1,3-10d after eclosion,male,body,Model organism or animal
SRR3031134,40163347,2048330697,51,1317,SRX1490643,mal2_ribo,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212300,SAMN04349635,simple,7227,Drosophila melanogaster,mal_body_3_10d,Peking University,SRA320662,08,2018,Makar,"","",ISO1,3-10d after eclosion,male,body,Model organism or animal
SRR3031135,33371505,1701946755,51,1114,SRX1490644,s2_wt_ribo,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212310,SAMN04349636,simple,7227,Drosophila melanogaster,S2_WT,Peking University,SRA320662,08,2018,Makar,"","",Oregon R,20-24h embryo,not applicable,S2 cell,Model organism or animal
SRR3031137,52638953,2684586603,51,1721,SRX1490647,s2_wt_harr30,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212310,SAMN04349636,simple,7227,Drosophila melanogaster,S2_WT,Peking University,SRA320662,08,2018,Makar,"","",Oregon R,20-24h embryo,not applicable,S2 cell,Model organism or animal
SRR5075630,62846421,3205167471,51,1546,SRX2394571,em_0_2h_mrna_new,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212306,SAMN04349628,simple,7227,Drosophila melanogaster,em_0_2h,Peking University,SRA500622,08,2018,Makar,"","",ISO1,0-2h embryo,pooled male and female,whole organism,Model organism or animal
SRR5075631,62308401,3177728451,51,1524,SRX2394572,em_12_24h_mrna_new,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212304,SAMN04349631,simple,7227,Drosophila melanogaster,em_12_24h,Peking University,SRA500622,08,2018,Makar,"","",ISO1,12-24h embryo,pooled male and female,whole organism,Model organism or animal
SRR5075632,54656330,2787472830,51,1345,SRX2394573,pupae_mrna_new,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212302,SAMN04349633,simple,7227,Drosophila melanogaster,pupae_2d,Peking University,SRA500622,08,2018,Makar,"","",ISO1,2d post-white-prepupae,pooled male and female,whole organism,Model organism or animal
SRR5075633,54903738,2800090638,51,1356,SRX2394574,em_6_12h_mrna_new,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212298,SAMN04349630,simple,7227,Drosophila melanogaster,em_6_12h,Peking University,SRA500622,08,2018,Makar,"","",ISO1,6-12h embryo,pooled male and female,whole organism,Model organism or animal
SRR5075634,59876550,3053704050,51,1462,SRX2394575,larvae_mrna_new,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212303,SAMN04349632,simple,7227,Drosophila melanogaster,larvae_3rd,Peking University,SRA500622,08,2018,Makar,"","",ISO1,Third instar larvae,pooled male and female,whole organism,Model organism or animal
SRR5075635,60319260,3076282260,51,1490,SRX2394576,em_2_6h_mrna_new,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212305,SAMN04349629,simple,7227,Drosophila melanogaster,em_2_6h,Peking University,SRA500622,08,2018,Makar,"","",ISO1,2-6h embryo,pooled male and female,whole organism,Model organism or animal
SRR7262145,21871343,1115438493,51,683,SRX4166325,head_female_fly_mrna,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS3378684,SAMN09354872,simple,7227,Drosophila melanogaster,head_female_fly,Peking University,SRA715201,08,2018,Makar,"",Head of 1-10 day female adult fly,ISO-1,1-10 day after eclosion,female,head,Model organism or animal
SRR7262144,16815646,857597946,51,436,SRX4166326,head_male_fly_mrna,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS3378685,SAMN09354873,simple,7227,Drosophila melanogaster,head_male_fly,Peking University,SRA715201,08,2018,Makar,"",Head of 1-10 day male adult fly,ISO-1,1-10 day after eclosion,male,head,Model organism or animal
SRR7262146,64557522,3292433622,51,2130,SRX4166327,head_female_fly_ribo,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS3378684,SAMN09354872,simple,7227,Drosophila melanogaster,head_female_fly,Peking University,SRA715201,08,2018,Makar,"",Head of 1-10 day female adult fly,ISO-1,1-10 day after eclosion,female,head,Model organism or animal
SRR7262143,58890769,3003429219,51,1863,SRX4166328,head_male_fly_ribo,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS3378685,SAMN09354873,simple,7227,Drosophila melanogaster,head_male_fly,Peking University,SRA715201,08,2018,Makar,"",Head of 1-10 day male adult fly,ISO-1,1-10 day after eclosion,male,head,Model organism or animal
