Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,molecule subtype,rrna removal
SRR18686291,8103826,405191300,50,179,SRX14787340,GSM6035069,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546235,SAMN27479177,simple,4932,Saccharomyces cerevisiae,GSM6035069,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,Ribo_5day_-PreTreat,transcriptomic,BY4741,wild-type,ribosome protected mRNA footprint,RiboZero
SRR18686290,83550999,6349875924,76,2614,SRX14787341,GSM6035070,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546234,SAMN27479176,simple,4932,Saccharomyces cerevisiae,GSM6035070,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,RNA_timecourse_pool_-PreTreat_Rep1,transcriptomic,BY4741,wild-type,total RNA,RiboZero
SRR18686289,80618158,6126980008,76,2293,SRX14787342,GSM6035071,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546233,SAMN27479175,simple,4932,Saccharomyces cerevisiae,GSM6035071,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,RNA_timecourse_pool_-PreTreat_Rep2,transcriptomic,BY4741,wild-type,total RNA,RiboZero
SRR18686288,19491861,818658162,42,549,SRX14787343,GSM6035072,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546237,SAMN27479174,simple,4932,Saccharomyces cerevisiae,GSM6035072,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,RNA_logphase_+PreTreat_Rep1,transcriptomic,BY4741,wild-type,total RNA,RiboZero
SRR18686287,17569655,632507580,36,382,SRX14787344,GSM6035073,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546236,SAMN27479173,simple,4932,Saccharomyces cerevisiae,GSM6035073,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,RNA_logphase_+PreTreat_Rep2,transcriptomic,BY4741,wild-type,total RNA,RiboZero
SRR18686286,16536415,694529430,42,479,SRX14787345,GSM6035074,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546238,SAMN27479172,simple,4932,Saccharomyces cerevisiae,GSM6035074,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,RNA_15min_-Glu_+PreTreat_Rep1,transcriptomic,BY4741,wild-type,total RNA,RiboZero
SRR18686285,15079613,542866068,36,348,SRX14787346,GSM6035075,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546239,SAMN27479171,simple,4932,Saccharomyces cerevisiae,GSM6035075,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,RNA_15min_-Glu_+PreTreat_Rep2,transcriptomic,BY4741,wild-type,total RNA,None
SRR18686284,18506119,777256998,42,390,SRX14787347,GSM6035076,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546240,SAMN27479170,simple,4932,Saccharomyces cerevisiae,GSM6035076,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,RNA_15min_-Glu_1min_+Glu_+PreTreat,transcriptomic,BY4741,wild-type,total RNA,RiboZero
SRR18686283,12866246,540382332,42,297,SRX14787348,GSM6035077,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546241,SAMN27479169,simple,4932,Saccharomyces cerevisiae,GSM6035077,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,RNA_15min_-Glu_5min_+Glu_+PreTreat,transcriptomic,BY4741,wild-type,total RNA,None
SRR18686282,14289209,714460450,50,311,SRX14787349,GSM6035078,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546242,SAMN27479168,simple,4932,Saccharomyces cerevisiae,GSM6035078,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,RNA_1day_-PreTreat,transcriptomic,BY4741,wild-type,total RNA,None
SRR18686281,14748526,737426300,50,323,SRX14787350,GSM6035079,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP368278,PRJNA824815,35491906,"",SRS12546243,SAMN27479167,simple,4932,Saccharomyces cerevisiae,GSM6035079,"Zid, Chemistry and Biochemistry, University of California San Diego",SRA1400919,04,2022,Guzikowski,transcriptomic,RNA_5day_-PreTreat,transcriptomic,BY4741,wild-type,total RNA,RiboZero
