Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain/background,tissue,diet,GEO Accession
SRR5640836,97877358,4893867900,50,2005,SRX2879235,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250556,SAMN07189044,simple,10090,Mus musculus,GSM2648078,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, vehicle",Ribosome_profiling_muscle_control2,"Quadriceps muscle, vehicle",C57Bl/6,Quadriceps muscle,Oral gavage vehicle,GSM2648078
SRR5640837,101459169,5072958450,50,2126,SRX2879236,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250555,SAMN07189043,simple,10090,Mus musculus,GSM2648079,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, vehicle",Ribosome_profiling_muscle_control3,"Quadriceps muscle, vehicle",C57Bl/6,Quadriceps muscle,Oral gavage vehicle,GSM2648079
SRR5640838,57848964,2892448200,50,1334,SRX2879237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250558,SAMN07189042,simple,10090,Mus musculus,GSM2648080,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, vehicle",Ribosome_profiling_muscle_control4,"Quadriceps muscle, vehicle",C57Bl/6,Quadriceps muscle,Oral gavage vehicle,GSM2648080
SRR5640839,56022467,2801123350,50,1285,SRX2879238,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250554,SAMN07189041,simple,10090,Mus musculus,GSM2648081,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, vehicle",Ribosome_profiling_muscle_control5,"Quadriceps muscle, vehicle",C57Bl/6,Quadriceps muscle,Oral gavage vehicle,GSM2648081
SRR5640840,107218164,5360908200,50,2234,SRX2879239,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250561,SAMN07189040,simple,10090,Mus musculus,GSM2648082,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, leucine",Ribosome_profiling_muscle_Leu1,"Quadriceps muscle, leucine",C57Bl/6,Quadriceps muscle,Oral gavage leucine,GSM2648082
SRR5640841,79103076,3955153800,50,1608,SRX2879240,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250559,SAMN07189299,simple,10090,Mus musculus,GSM2648083,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, leucine",Ribosome_profiling_muscle_Leu2,"Quadriceps muscle, leucine",C57Bl/6,Quadriceps muscle,Oral gavage leucine,GSM2648083
SRR5640842,109655193,5482759650,50,2244,SRX2879241,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250560,SAMN07189298,simple,10090,Mus musculus,GSM2648084,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, leucine",Ribosome_profiling_muscle_Leu3,"Quadriceps muscle, leucine",C57Bl/6,Quadriceps muscle,Oral gavage leucine,GSM2648084
SRR5640843,50941583,2547079150,50,1170,SRX2879242,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250563,SAMN07189297,simple,10090,Mus musculus,GSM2648085,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, leucine",Ribosome_profiling_muscle_Leu4,"Quadriceps muscle, leucine",C57Bl/6,Quadriceps muscle,Oral gavage leucine,GSM2648085
SRR5640844,59405061,2970253050,50,1341,SRX2879243,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250562,SAMN07189296,simple,10090,Mus musculus,GSM2648086,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, leucine",Ribosome_profiling_muscle_Leu5,"Quadriceps muscle, leucine",C57Bl/6,Quadriceps muscle,Oral gavage leucine,GSM2648086
SRR5640845,52771932,2638596600,50,1196,SRX2879244,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108547,PRJNA388919,28615380,"",SRS2250564,SAMN07189295,simple,10090,Mus musculus,GSM2648087,GEO,SRA569486,02,2018,Drummond,"Quadriceps muscle, leucine",Ribosome_profiling_muscle_Leu6,"Quadriceps muscle, leucine",C57Bl/6,Quadriceps muscle,Oral gavage leucine,GSM2648087
