Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,ip antibody,GEO Accession
SRR5453821,91804699,7895204114,86,3191,SRX2741987,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS2128588,SAMN06759986,simple,10090,Mus musculus,GSM2579681,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),RPL22-Ribo-Seq (RPL22-3xHA cells)_rep1,Embryonic stem cells (ESCs),E14 ESC,Bearing 1 allele of Rpl22-3xHA at endogeneous locus,"anti-HA antibody (Abcam , catalog # ab9110)",GSM2579681
SRR5453822,145334412,12498759432,86,5065,SRX2741988,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS2128589,SAMN06759985,simple,10090,Mus musculus,GSM2579682,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),RPL22-Ribo-Seq (RPL22-3xHA cells)_rep2,Embryonic stem cells (ESCs),E14 ESC,Bearing 1 allele of Rpl22-3xHA at endogeneous locus,"anti-HA antibody (Abcam , catalog # ab9110)",GSM2579682
SRR5453823,66481981,10030541028,75,4105,SRX2741989,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS2128590,SAMN06759984,simple,10090,Mus musculus,GSM2579683,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),Control siRNA_combined_light_RNA-seq_rep1,Embryonic stem cells (ESCs),E14 ESC,Wild type mESCs treated with control siRNA,,GSM2579683
SRR5453824,70978807,10710871484,75,4379,SRX2741990,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS2128593,SAMN06759983,simple,10090,Mus musculus,GSM2579684,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),Control siRNA_combined_light_RNA-seq_rep2,Embryonic stem cells (ESCs),E14 ESC,Wild type mESCs treated with control siRNA,,GSM2579684
SRR5453825,63622949,9603557919,75,3982,SRX2741991,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS2128592,SAMN06759982,simple,10090,Mus musculus,GSM2579685,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),Control siRNA_combined_heavy_RNA-seq_rep1,Embryonic stem cells (ESCs),E14 ESC,Wild type mESCs treated with control siRNA,,GSM2579685
SRR5453826,50348249,7604532297,75,3170,SRX2741992,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS2128591,SAMN06759981,simple,10090,Mus musculus,GSM2579686,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),Control siRNA_combined_heavy_RNA-seq_rep2,Embryonic stem cells (ESCs),E14 ESC,Wild type mESCs treated with control siRNA,,GSM2579686
SRR5453827,77622169,11710783971,75,4796,SRX2741993,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS2128594,SAMN06759980,simple,10090,Mus musculus,GSM2579687,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),Rpl10a siRNA_combined_light_RNA-seq_rep1,Embryonic stem cells (ESCs),E14 ESC,Wild type mESCs treated with Rpl10a siRNA,,GSM2579687
SRR5453828,59362045,8960766881,75,3664,SRX2741994,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS2128596,SAMN06759979,simple,10090,Mus musculus,GSM2579688,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),Rpl10a siRNA_combined_light_RNA-seq_rep2,Embryonic stem cells (ESCs),E14 ESC,Wild type mESCs treated with Rpl10a siRNA,,GSM2579688
SRR5453829,64021547,9661966208,75,3973,SRX2741995,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS2128595,SAMN06759978,simple,10090,Mus musculus,GSM2579689,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),Rpl10a siRNA_combined_heavy_RNA-seq_rep1,Embryonic stem cells (ESCs),E14 ESC,Wild type mESCs treated with Rpl10a siRNA,,GSM2579689
SRR5453830,80764376,12196568546,75,5030,SRX2741996,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP064202,PRJNA297039,28625553,"",SRS2128597,SAMN06759977,simple,10090,Mus musculus,GSM2579690,GEO,SRA301032,06,2017,Shi,Embryonic stem cells (ESCs),Rpl10a siRNA_combined_heavy_RNA-seq_rep2,Embryonic stem cells (ESCs),E14 ESC,Wild type mESCs treated with Rpl10a siRNA,,GSM2579690
