Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,agent,time,cell type,ip antibody,GEO Accession
SRR5657137,35603990,1780199500,50,1252,SRX2893687,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261262,SAMN07203299,simple,10090,Mus musculus,GSM2652254,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_T0A,bone marrow derived macrophage,C57BL/6,control,0hr,BMDM,,GSM2652254
SRR5657138,42698255,1707930200,40,1065,SRX2893688,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261263,SAMN07203297,simple,10090,Mus musculus,GSM2652255,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_T0B,bone marrow derived macrophage,C57BL/6,control,0hr,BMDM,,GSM2652255
SRR5657139,29352096,1467604800,50,1030,SRX2893689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261264,SAMN07203287,simple,10090,Mus musculus,GSM2652256,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_T1A,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),1hr,BMDM,,GSM2652256
SRR5657140,46400603,1856024120,40,1158,SRX2893690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261265,SAMN07203286,simple,10090,Mus musculus,GSM2652257,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_T1B,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),1hr,BMDM,,GSM2652257
SRR5657141,37970511,1898525550,50,1335,SRX2893691,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261266,SAMN07203285,simple,10090,Mus musculus,GSM2652258,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_T2A,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),2hrs,BMDM,,GSM2652258
SRR5657142,44681591,1787263640,40,1119,SRX2893692,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261267,SAMN07203306,simple,10090,Mus musculus,GSM2652259,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_T2B,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),2hrs,BMDM,,GSM2652259
SRR5657143,40190215,2009510750,50,1411,SRX2893693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261268,SAMN07203305,simple,10090,Mus musculus,GSM2652260,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_T4A,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),4hrs,BMDM,,GSM2652260
SRR5657144,41254790,1650191600,40,1033,SRX2893694,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261269,SAMN07203300,simple,10090,Mus musculus,GSM2652261,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_T4B,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),4hrs,BMDM,,GSM2652261
SRR5657145,37131292,1856564600,50,1296,SRX2893695,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261270,SAMN07203303,simple,10090,Mus musculus,GSM2652262,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_T6A,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),6hrs,BMDM,,GSM2652262
SRR5657146,48688738,1947549520,40,1212,SRX2893696,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261271,SAMN07203302,simple,10090,Mus musculus,GSM2652263,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,BMDM_T6B,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),6hrs,BMDM,,GSM2652263
SRR5657147,36942434,1477697360,40,407,SRX2893697,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261272,SAMN07203301,simple,10090,Mus musculus,GSM2652264,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,TTP_CLIP_A,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),4hrs,BMDM,"anti-V5 antibody (Bethyl Lab, Cat# A190-120A)",GSM2652264
SRR5657148,25721874,1028874960,40,281,SRX2893698,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261273,SAMN07203304,simple,10090,Mus musculus,GSM2652265,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,TTP_CLIP_B,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),4hrs,BMDM,"anti-V5 antibody (Bethyl Lab, Cat# A190-120A)",GSM2652265
SRR5657149,9205009,300724858,32,333,SRX2893699,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP108787,PRJNA389599,1,"",SRS2261274,SAMN07203311,simple,10090,Mus musculus,GSM2652266,GEO,SRA572084,07,2017,Makar,bone marrow derived macrophage,TTP_CLIP_INPUT,bone marrow derived macrophage,C57BL/6,LPS treatment (100ng/ml),4hrs,BMDM,none,GSM2652266
