Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,sample_id,strain,age,sex,tissue,BioSampleModel
SRR8165672,38625328,5793799200,75,3427,SRX4986314,60,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023234,SAMN10388104,simple,10029,Cricetulus griseus,Tissue5_D_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",60,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165671,70167651,10525147650,75,7230,SRX4986315,39,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023236,SAMN10388083,simple,10029,Cricetulus griseus,CellLine13_3R,UCSD,SRA804036,12,2018,Makar,"","",39,CHO,missing,female,Ovary,Model organism or animal
SRR8165670,135898190,20384728500,75,12413,SRX4986316,40,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023235,SAMN10388084,simple,10029,Cricetulus griseus,CellLine14_1,UCSD,SRA804036,12,2018,Makar,"","",40,CHO,missing,female,Ovary,Model organism or animal
SRR8165669,2502447,375367050,75,211,SRX4986317,53,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023237,SAMN10388097,simple,10029,Cricetulus griseus,Tissue3_C_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",53,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165668,92091610,13813741500,75,9485,SRX4986318,35,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023238,SAMN10388079,simple,10029,Cricetulus griseus,CellLine12_2R,UCSD,SRA804036,12,2018,Makar,"","",35,CHO,missing,female,Ovary,Model organism or animal
SRR8165667,72805728,10920859200,75,7289,SRX4986319,36,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023239,SAMN10388080,simple,10029,Cricetulus griseus,CellLine12_3R,UCSD,SRA804036,12,2018,Makar,"","",36,CHO,missing,female,Ovary,Model organism or animal
SRR8165666,73964341,11094651150,75,7390,SRX4986320,37,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023240,SAMN10388081,simple,10029,Cricetulus griseus,CellLine13_1R,UCSD,SRA804036,12,2018,Makar,"","",37,CHO,missing,female,Ovary,Model organism or animal
SRR8165665,91474408,13721161200,75,9152,SRX4986321,38,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023241,SAMN10388082,simple,10029,Cricetulus griseus,CellLine13_2R,UCSD,SRA804036,12,2018,Makar,"","",38,CHO,missing,female,Ovary,Model organism or animal
SRR8165664,77685865,11652879750,75,7987,SRX4986322,31,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023242,SAMN10388075,simple,10029,Cricetulus griseus,CellLine11_1R,UCSD,SRA804036,12,2018,Makar,"","",31,CHO,missing,female,Ovary,Model organism or animal
SRR8165663,101911289,15286693350,75,10240,SRX4986323,32,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023243,SAMN10388076,simple,10029,Cricetulus griseus,CellLine11_2R,UCSD,SRA804036,12,2018,Makar,"","",32,CHO,missing,female,Ovary,Model organism or animal
SRR8165662,77924102,11688615300,75,7800,SRX4986324,33,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023244,SAMN10388077,simple,10029,Cricetulus griseus,CellLine11_3R,UCSD,SRA804036,12,2018,Makar,"","",33,CHO,missing,female,Ovary,Model organism or animal
SRR8165661,78859504,11828925600,75,7930,SRX4986325,34,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023245,SAMN10388078,simple,10029,Cricetulus griseus,CellLine12_1R,UCSD,SRA804036,12,2018,Makar,"","",34,CHO,missing,female,Ovary,Model organism or animal
SRR8165660,136748676,20512301400,75,12705,SRX4986326,17,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023246,SAMN10388061,simple,10029,Cricetulus griseus,CellLine6_2,UCSD,SRA804036,12,2018,Makar,"","",17,CHO,missing,female,Ovary,Model organism or animal
SRR8165659,145695033,21854254950,75,13447,SRX4986327,18,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023247,SAMN10388062,simple,10029,Cricetulus griseus,CellLine6_3,UCSD,SRA804036,12,2018,Makar,"","",18,CHO,missing,female,Ovary,Model organism or animal
SRR8165658,27789931,4168489650,75,2520,SRX4986328,15,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023248,SAMN10388059,simple,10029,Cricetulus griseus,CellLine5_C,UCSD,SRA804036,12,2018,Makar,"","",15,CHO,missing,female,Ovary,Model organism or animal
SRR8165657,143033354,21455003100,75,13395,SRX4986329,16,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023256,SAMN10388060,simple,10029,Cricetulus griseus,CellLine6_1,UCSD,SRA804036,12,2018,Makar,"","",16,CHO,missing,female,Ovary,Model organism or animal
SRR8165656,33584354,5037653100,75,3036,SRX4986330,13,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023249,SAMN10388057,simple,10029,Cricetulus griseus,CellLine5_A,UCSD,SRA804036,12,2018,Makar,"","",13,CHO,missing,female,Ovary,Model organism or animal
SRR8165655,29943539,4491530850,75,2720,SRX4986331,14,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023250,SAMN10388058,simple,10029,Cricetulus griseus,CellLine5_B,UCSD,SRA804036,12,2018,Makar,"","",14,CHO,missing,female,Ovary,Model organism or animal
SRR8165654,138493204,20773980600,75,12935,SRX4986332,11,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023251,SAMN10388055,simple,10029,Cricetulus griseus,CellLine4_2,UCSD,SRA804036,12,2018,Makar,"","",11,CHO,missing,female,Ovary,Model organism or animal
SRR8165653,136406747,20461012050,75,12663,SRX4986333,12,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023257,SAMN10388056,simple,10029,Cricetulus griseus,CellLine4_3,UCSD,SRA804036,12,2018,Makar,"","",12,CHO,missing,female,Ovary,Model organism or animal
SRR8165652,37783448,5667517200,75,3430,SRX4986334,19,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023253,SAMN10388063,simple,10029,Cricetulus griseus,CellLine7_A,UCSD,SRA804036,12,2018,Makar,"","",19,CHO,missing,female,Ovary,Model organism or animal
SRR8165651,39195027,5879254050,75,3548,SRX4986335,20,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023254,SAMN10388064,simple,10029,Cricetulus griseus,CellLine7_B,UCSD,SRA804036,12,2018,Makar,"","",20,CHO,missing,female,Ovary,Model organism or animal
SRR8165650,26250066,3937509900,75,2570,SRX4986336,68,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023255,SAMN10388112,simple,10029,Cricetulus griseus,posRNActrl,UCSD,SRA804036,12,2018,Makar,"","",68,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165649,32581778,4887266700,75,2706,SRX4986337,54,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023305,SAMN10388098,simple,10029,Cricetulus griseus,Tissue3_D_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",54,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165648,169500379,25425056850,75,15436,SRX4986338,67,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023306,SAMN10388111,simple,10029,Cricetulus griseus,negctrl,UCSD,SRA804036,12,2018,Makar,"","",67,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165647,68260459,10239068850,75,6141,SRX4986339,55,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023258,SAMN10388099,simple,10029,Cricetulus griseus,Tissue4_B_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",55,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165646,65060154,9759023100,75,5866,SRX4986340,50,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023259,SAMN10388094,simple,10029,Cricetulus griseus,Tissue2_C_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",50,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165645,77379829,11606974350,75,6964,SRX4986341,49,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023260,SAMN10388093,simple,10029,Cricetulus griseus,Tissue2_B_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",49,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165644,66629371,9994405650,75,5816,SRX4986342,66,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023261,SAMN10388110,simple,10029,Cricetulus griseus,Tissue7_D_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",66,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165643,36443919,5466587850,75,3178,SRX4986343,65,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023262,SAMN10388109,simple,10029,Cricetulus griseus,Tissue7_C_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",65,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165642,59456241,8918436150,75,5191,SRX4986344,64,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023263,SAMN10388108,simple,10029,Cricetulus griseus,Tissue7_B_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",64,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165641,61829576,9274436400,75,5449,SRX4986345,63,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023264,SAMN10388107,simple,10029,Cricetulus griseus,Tissue6_D_1_of_2,UCSD,SRA804036,12,2018,Makar,"","",63,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165640,57166502,8574975300,75,5065,SRX4986346,62,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023265,SAMN10388106,simple,10029,Cricetulus griseus,Tissue6_C_1_of_2,UCSD,SRA804036,12,2018,Makar,"","",62,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165639,59488128,8923219200,75,5252,SRX4986347,61,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023266,SAMN10388105,simple,10029,Cricetulus griseus,Tissue6_B_1_of_2,UCSD,SRA804036,12,2018,Makar,"","",61,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165638,139993303,20998995450,75,12958,SRX4986348,42,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023307,SAMN10388086,simple,10029,Cricetulus griseus,CellLine14_3,UCSD,SRA804036,12,2018,Makar,"","",42,CHO,missing,female,Ovary,Model organism or animal
SRR8165637,126727382,19009107300,75,11650,SRX4986349,41,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023267,SAMN10388085,simple,10029,Cricetulus griseus,CellLine14_2,UCSD,SRA804036,12,2018,Makar,"","",41,CHO,missing,female,Ovary,Model organism or animal
SRR8165636,135094605,20264190750,75,12412,SRX4986350,44,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023268,SAMN10388088,simple,10029,Cricetulus griseus,CellLine15_3,UCSD,SRA804036,12,2018,Makar,"","",44,CHO,missing,female,Ovary,Model organism or animal
SRR8165635,141664919,21249737850,75,13057,SRX4986351,43,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023269,SAMN10388087,simple,10029,Cricetulus griseus,CellLine15_2,UCSD,SRA804036,12,2018,Makar,"","",43,CHO,missing,female,Ovary,Model organism or animal
SRR8165634,33337734,5000660100,75,2809,SRX4986352,46,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023270,SAMN10388090,simple,10029,Cricetulus griseus,Tissue1_B_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",46,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165633,109631218,16444682700,75,9974,SRX4986353,45,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023272,SAMN10388089,simple,10029,Cricetulus griseus,CellLine15_7,UCSD,SRA804036,12,2018,Makar,"","",45,CHO,missing,female,Hamster tissue,Model organism or animal
SRR8165632,37086380,5562957000,75,3093,SRX4986354,48,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023271,SAMN10388092,simple,10029,Cricetulus griseus,Tissue1_D_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",48,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165631,52432250,7864837500,75,4375,SRX4986355,47,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023273,SAMN10388091,simple,10029,Cricetulus griseus,Tissue1_C_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",47,tissue,missing,female,Hamster tissue,Model organism or animal
SRR8165630,76154793,11423218950,75,8009,SRX4986356,24,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023274,SAMN10388068,simple,10029,Cricetulus griseus,CellLine8_3R,UCSD,SRA804036,12,2018,Makar,"","",24,CHO,missing,female,Ovary,Model organism or animal
SRR8165629,75488385,11323257750,75,7938,SRX4986357,23,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023275,SAMN10388067,simple,10029,Cricetulus griseus,CellLine8_2R,UCSD,SRA804036,12,2018,Makar,"","",23,CHO,missing,female,Ovary,Model organism or animal
SRR8165628,80606542,12090981300,75,8378,SRX4986358,22,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023308,SAMN10388066,simple,10029,Cricetulus griseus,CellLine8_1R,UCSD,SRA804036,12,2018,Makar,"","",22,CHO,missing,female,Ovary,Model organism or animal
SRR8165627,28132619,4219892850,75,2555,SRX4986359,21,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023276,SAMN10388065,simple,10029,Cricetulus griseus,CellLine7_C,UCSD,SRA804036,12,2018,Makar,"","",21,CHO,missing,female,Ovary,Model organism or animal
SRR8165626,86921583,13038237450,75,9154,SRX4986360,28,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023277,SAMN10388072,simple,10029,Cricetulus griseus,CellLine10_1R,UCSD,SRA804036,12,2018,Makar,"","",28,CHO,missing,female,Ovary,Model organism or animal
SRR8165625,82183160,12327474000,75,8618,SRX4986361,27,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023278,SAMN10388071,simple,10029,Cricetulus griseus,CellLine9_3R,UCSD,SRA804036,12,2018,Makar,"","",27,CHO,missing,female,Ovary,Model organism or animal
SRR8165624,77694307,11654146050,75,8072,SRX4986362,26,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023279,SAMN10388070,simple,10029,Cricetulus griseus,CellLine9_2R,UCSD,SRA804036,12,2018,Makar,"","",26,CHO,missing,female,Ovary,Model organism or animal
SRR8165623,66863918,10029587700,75,7065,SRX4986363,25,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023280,SAMN10388069,simple,10029,Cricetulus griseus,CellLine9_1R,UCSD,SRA804036,12,2018,Makar,"","",25,CHO,missing,female,Ovary,Model organism or animal
SRR8165622,82823732,12423559800,75,8603,SRX4986364,30,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023281,SAMN10388074,simple,10029,Cricetulus griseus,CellLine10_3R,UCSD,SRA804036,12,2018,Makar,"","",30,CHO,missing,female,Ovary,Model organism or animal
SRR8165621,74775072,11216260800,75,7904,SRX4986365,29,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023282,SAMN10388073,simple,10029,Cricetulus griseus,CellLine10_2R,UCSD,SRA804036,12,2018,Makar,"","",29,CHO,missing,female,Ovary,Model organism or animal
SRR8165620,53777991,8066698650,75,4781,SRX4986366,51,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167970,PRJNA504034,1,"",SRS4023283,SAMN10388095,simple,10029,Cricetulus griseus,Tissue2_D_1_of_3,UCSD,SRA804036,12,2018,Makar,"","",51,tissue,missing,female,Hamster tissue,Model organism or animal
