Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ecotype,age,geo_loc_name,tissue,treatment,BioSampleModel,collection_date
SRR19907852,942773404,284717568008,151,93945,SRX15950624,EN2_S14,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637283,SAMN29333257,simple,3702,Arabidopsis thaliana,SHAPE-MaP-EN2_S14,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,SHAPE-MaP-elf18-NAI-replicate2,Plant,
SRR19907851,918716128,277452270656,151,90963,SRX15950625,EN3_S15,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637284,SAMN29333258,simple,3702,Arabidopsis thaliana,SHAPE-MaP-EN3_S15,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,SHAPE-MaP-elf18-NAI-replicate3,Plant,
SRR19907850,715736638,216152464676,151,70816,SRX15950626,EN4_S16,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637285,SAMN29333259,simple,3702,Arabidopsis thaliana,SHAPE-MaP-EN4_S16,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,SHAPE-MaP-elf18-NAI-replicate4,Plant,
SRR19907849,466380768,140846991936,151,46229,SRX15950627,MH1_S1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637286,SAMN29333260,simple,3702,Arabidopsis thaliana,SHAPE-MaP-MH1_S1,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,SHAPE-MaP-Mock-DMSO-replicate1,Plant,
SRR19907848,581571742,175634666084,151,57431,SRX15950628,MH2_S2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637287,SAMN29333261,simple,3702,Arabidopsis thaliana,SHAPE-MaP-MH2_S2,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,SHAPE-MaP-Mock-DMSO-replicate2,Plant,
SRR19907847,688426257,207904729614,151,68431,SRX15950629,MH3_S3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637288,SAMN29333262,simple,3702,Arabidopsis thaliana,SHAPE-MaP-MH3_S3,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,SHAPE-MaP-Mock-DMSO-replicate3,Plant,
SRR19907846,693771949,70764738798,51,19501,SRX15950630,Ribo-elf3_S6,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637289,SAMN29333251,simple,3702,Arabidopsis thaliana,Ribo-elf3_S6,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,Ribosome-sequencing-elf18-replicate3,Plant,
SRR19907845,632231334,64487596068,51,17763,SRX15950631,Ribo-elf2_S5,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637290,SAMN29333250,simple,3702,Arabidopsis thaliana,Ribo-elf2_S5,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,Ribosome-sequencing-elf18-replicate2,Plant,
SRR19907844,548557022,55952816244,51,15450,SRX15950632,Ribo-elf1_S4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637291,SAMN29333249,simple,3702,Arabidopsis thaliana,Ribo-elf1_S4,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,Ribosome-sequencing-elf18-replicate1,Plant,
SRR19907843,804291151,242895927602,151,79851,SRX15950633,MN4_S8,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637292,SAMN29333267,simple,3702,Arabidopsis thaliana,SHAPE-MaP-MN4_S8,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,SHAPE-MaP-Mock-NAI-replicate4,Plant,
SRR19907842,763522375,230583757250,151,75477,SRX15950634,MN3_S7,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637293,SAMN29333266,simple,3702,Arabidopsis thaliana,SHAPE-MaP-MN3_S7,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,SHAPE-MaP-Mock-NAI-replicate3,Plant,
SRR25248439,82027375,8366792250,51,2562,SRX20994583,RNA-mock1_S1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS18268989,SAMN36416303,simple,3702,Arabidopsis thaliana,RNA-mock1_S1,Duke University,SRA1671728,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,RNA-sequencing-mock-replicate1,Plant,2021-09-14
SRR25248438,82780478,8443608756,51,2546,SRX20994584,RNA-mock2_S2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS18268990,SAMN36416304,simple,3702,Arabidopsis thaliana,RNA-mock2_S2,Duke University,SRA1671728,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,RNA-sequencing-mock-replicate2,Plant,2021-09-14
SRR25248437,86619955,8835235410,51,2668,SRX20994585,RNA-mock3_S3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS18268992,SAMN36416305,simple,3702,Arabidopsis thaliana,RNA-mock3_S3,Duke University,SRA1671728,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,RNA-sequencing-mock-replicate3,Plant,2021-09-14
SRR25248436,84584525,8627621550,51,2628,SRX20994586,RNA-elf1_S4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS18268991,SAMN36416306,simple,3702,Arabidopsis thaliana,RNA-elf1_S4,Duke University,SRA1671728,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,RNA-sequencing-elf18-replicate1,Plant,2021-09-14
SRR25248435,66479748,6780934296,51,2066,SRX20994587,RNA-elf2_S5,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS18268993,SAMN36416307,simple,3702,Arabidopsis thaliana,RNA-elf2_S5,Duke University,SRA1671728,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,RNA-sequencing-elf18-replicate2,Plant,2021-09-14
SRR25248434,71050299,7247130498,51,2191,SRX20994588,Ribo-elf3_S6,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS18268994,SAMN36416308,simple,3702,Arabidopsis thaliana,RNA-elf3_S6,Duke University,SRA1671728,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,RNA-sequencing-elf18-replicate3,Plant,2021-09-14
SRR25251858,328123845,99093401190,151,34107,SRX20997910,In_vitro_N1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS18271232,SAMN36407752,simple,3702,Arabidopsis thaliana,In_vitro_SHAPE-MaP-N1_S1,Duke University,SRA1671924,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,In-vitro-SHAPE-MaP-NAI-replicate1,Plant,2021-09-14
SRR25251857,606779517,183247414134,151,61990,SRX20997911,In_vitro_N2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS18271231,SAMN36407753,simple,3702,Arabidopsis thaliana,In_vitro_SHAPE-MaP-N2_S2,Duke University,SRA1671924,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,In-vitro-SHAPE-MaP-NAI-replicate2,Plant,2021-09-14
SRR25251855,430392732,129978605064,151,44565,SRX20997912,In_vitro_N3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS18271233,SAMN36407754,simple,3702,Arabidopsis thaliana,In_vitro_SHAPE-MaP-N3_S3,Duke University,SRA1671924,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,In-vitro-SHAPE-MaP-NAI-replicate3,Plant,2021-09-14
SRR25251854,425609856,128534176512,151,44018,SRX20997913,In_vitro_H1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS18271234,SAMN36407755,simple,3702,Arabidopsis thaliana,In_vitro_SHAPE-MaP-H1_S4,Duke University,SRA1671924,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,In-vitro-SHAPE-MaP-DMSO-replicate1,Plant,2021-09-14
SRR25251856,341569691,103154046682,151,35384,SRX20997914,In_vitro_H2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS18271242,SAMN36407756,simple,3702,Arabidopsis thaliana,In_vitro_SHAPE-MaP-H2_S5,Duke University,SRA1671924,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,In-vitro-SHAPE-MaP-DMSO-replicate2,Plant,2021-09-14
SRR25251853,416825045,125881163590,151,42992,SRX20997915,In_vitro_H3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS18271235,SAMN36407757,simple,3702,Arabidopsis thaliana,In_vitro_SHAPE-MaP-H3_S6,Duke University,SRA1671924,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,In-vitro-SHAPE-MaP-DMSO-replicate3,Plant,2021-09-14
