Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,experimental condition,cell line,cell type,GEO Accession
SRR7420386,108938071,11002745171,101,3599,SRX4291244,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454406,SAMN09479547,simple,10090,Mus musculus,GSM3214189,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"RP_scrsh_3; RPF-seq; scramble shRNA, rep3",Fibroblasts,control,NIH3T3,Fibroblasts,GSM3214189
SRR7420387,56857698,5742627498,101,1822,SRX4291245,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454407,SAMN09479546,simple,10090,Mus musculus,GSM3214190,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"TR_denr1_1; RNA-seq; Denr shRNA1, rep1",Fibroblasts,Denr knockdown,NIH3T3,Fibroblasts,GSM3214190
SRR7420388,65036281,6568664381,101,2082,SRX4291246,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454408,SAMN09479545,simple,10090,Mus musculus,GSM3214191,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"TR_denr1_2; RNA-seq; Denr shRNA1, rep2",Fibroblasts,Denr knockdown,NIH3T3,Fibroblasts,GSM3214191
SRR7420389,50717615,5122479115,101,1661,SRX4291247,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454409,SAMN09479544,simple,10090,Mus musculus,GSM3214192,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"TR_denr1_3; RNA-seq; Denr shRNA1, rep3",Fibroblasts,Denr knockdown,NIH3T3,Fibroblasts,GSM3214192
SRR7420390,65434071,6608841171,101,2086,SRX4291248,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454410,SAMN09479543,simple,10090,Mus musculus,GSM3214193,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"TR_denr2_1; RNA-seq; Denr shRNA2, rep1",Fibroblasts,Denr knockdown,NIH3T3,Fibroblasts,GSM3214193
SRR7420391,69031958,6972227758,101,2208,SRX4291249,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454411,SAMN09479542,simple,10090,Mus musculus,GSM3214194,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"TR_denr2_2; RNA-seq; Denr shRNA2, rep2",Fibroblasts,Denr knockdown,NIH3T3,Fibroblasts,GSM3214194
SRR7420392,65250950,6590345950,101,2139,SRX4291250,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454412,SAMN09479541,simple,10090,Mus musculus,GSM3214195,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"TR_denr2_3; RNA-seq; Denr shRNA2, rep3",Fibroblasts,Denr knockdown,NIH3T3,Fibroblasts,GSM3214195
SRR7420393,64997790,6564776790,101,2086,SRX4291251,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454413,SAMN09479562,simple,10090,Mus musculus,GSM3214196,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"TR_gfpsh_1; RNA-seq; Gfp shRNA, rep1",Fibroblasts,control,NIH3T3,Fibroblasts,GSM3214196
SRR7420394,54868478,5541716278,101,1758,SRX4291252,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454414,SAMN09479561,simple,10090,Mus musculus,GSM3214197,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"TR_gfpsh_2; RNA-seq; Gfp shRNA, rep2",Fibroblasts,control,NIH3T3,Fibroblasts,GSM3214197
SRR7420395,66672480,6733920480,101,2135,SRX4291253,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454415,SAMN09479560,simple,10090,Mus musculus,GSM3214198,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"TR_scrsh_1; RNA-seq; scramble shRNA, rep1",Fibroblasts,control,NIH3T3,Fibroblasts,GSM3214198
SRR7420396,56531838,5709715638,101,1810,SRX4291254,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454416,SAMN09479559,simple,10090,Mus musculus,GSM3214199,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"TR_scrsh_2; RNA-seq; scramble shRNA, rep2",Fibroblasts,control,NIH3T3,Fibroblasts,GSM3214199
SRR7420397,48244405,4872684905,101,1571,SRX4291255,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP151259,PRJNA477799,30982898,"",SRS3454417,SAMN09479558,simple,10090,Mus musculus,GSM3214200,GEO,SRA728023,04,2019,Castelo-Szekely,Fibroblasts,"TR_scrsh_3; RNA-seq; scramble shRNA, rep3",Fibroblasts,control,NIH3T3,Fibroblasts,GSM3214200
