Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,host,isolation_source,collection_date,geo_loc_name,sample_type,BioSampleModel
SRR6826896,25357549,2535754900,50,874,SRX3783052,5'-P/TT dbr1 _2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826881,27590130,2229027464,80,828,SRX3783053,Footprint (Round I)/TT MNase DBE+_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826861,72952917,7295291700,50,2485,SRX3783054,5'-P/TT DBE+_2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826880,24182774,1975658523,81,741,SRX3783055,Footprint (Round I)/TT MNase_2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826879,26312716,2137215474,81,802,SRX3783056,Footprint (Round I)/TT MNase_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826878,34881894,3313779930,45,1664,SRX3783057,Spliceosome RNA-Seq (Round II)/TT dbr1 _1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826877,27353078,2598542410,45,1235,SRX3783058,Spliceosome RNA-Seq (Round II)/TT dbr1  DBE+_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826876,30046757,2854441915,45,1372,SRX3783059,Footprint (Round II)/TT MNase dbr1 _1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826875,32618766,3098782770,45,1500,SRX3783060,Footprint (Round II)/TT MNase dbr1  DBE+_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826874,81635982,6122698650,75,2072,SRX3783061,5'-P_cell/TT Cell_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826873,88800574,6660043050,75,2298,SRX3783062,5'-P_cell/TT Cell DBE+_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826872,49662721,3724704075,75,1306,SRX3783063,5'-P_cell/TT dbr1  Cell_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826871,76381535,5728615125,75,1995,SRX3783064,5'-P_cell/TT dbr1  Cell DBE+_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826870,43703776,4370377600,50,1793,SRX3783065,3'-OH/TT DBE+_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826869,94721434,9472143400,50,3899,SRX3783066,3'-OH/TT DBE+_2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826868,26441304,2133210156,80,784,SRX3783067,Spliceosome RNA-Seq (Round I)/TT_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826867,27576922,2221010018,80,823,SRX3783068,Spliceosome RNA-Seq (Round I)/TT_2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826866,53501572,5350157200,50,2201,SRX3783069,3'-OH/TT dbr1  DBE+_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826864,28954233,2348672751,81,863,SRX3783070,Spliceosome RNA-Seq (Round I)/TT DBE_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826888,46725779,4672577900,50,1600,SRX3783071,5'-P/TT_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826863,32972971,2668763640,80,989,SRX3783072,Spliceosome RNA-Seq (Round I)/TT DBE_2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826862,68056027,6805602700,50,2777,SRX3783073,3'-OH/TT_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826865,97057309,9705730900,50,3973,SRX3783074,3'-OH/TT_2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826860,34445468,3444546800,50,1193,SRX3783075,5'-P/TT dbr1  DBE+_1,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
SRR6826859,32128610,3212861000,50,1100,SRX3783076,5'-P/TT dbr1  DBE+_2,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP134972,PRJNA437439,1,"",SRS3036294,SAMN08662585,simple,4896,Schizosaccharomyces pombe,TT (triply-tagged),University of Massachusetts Medical School,SRA665822,03,2018,Makar,"",Triply-tagged,MJM01,not applicable,not applicable,not applicable,not collected,not applicable,cell culture,"Microbe, viral or environmental"
