Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,rna purified from,growth conditions,strain,substrain,GEO Accession
SRR9988137,11246332,562316600,50,300,SRX6727527,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279447,SAMN12588200,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037717,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_S_lysate2_read1,cell cultures,MS2 pulldown,37 C OD600 = 0.5,K-12,MG1655,GSM4037717
SRR9988138,12101660,605083000,50,329,SRX6727528,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279448,SAMN12588199,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037718,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_S_lysate2_read2,cell cultures,MS2 pulldown,37 C OD600 = 0.5,K-12,MG1655,GSM4037718
SRR9988139,10802545,540127250,50,288,SRX6727529,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279449,SAMN12588197,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037719,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_A_lysate2_read1,cell cultures,MS2 pulldown,37 C OD600 = 0.5,K-12,MG1655,GSM4037719
SRR9988140,20135410,1006770500,50,542,SRX6727530,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279450,SAMN12588195,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037720,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_A_lysate2_read2,cell cultures,MS2 pulldown,37 C OD600 = 0.5,K-12,MG1655,GSM4037720
SRR9988141,47924139,2396206950,50,1293,SRX6727531,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279451,SAMN12588194,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037721,GEO,SRA942337,02,2020,Saito,cell cultures,RNAseq_C_lysate2,cell cultures,whole cell lysate,37 C OD600 = 0.5,K-12,MG1655,GSM4037721
SRR9988142,52395835,2619791750,50,1407,SRX6727532,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279452,SAMN12588192,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037722,GEO,SRA942337,02,2020,Saito,cell cultures,RNAseq_O_lysate2,cell cultures,whole cell lysate,37 C OD600 = 0.5,K-12,MG1655,GSM4037722
SRR9988143,56390434,2819521700,50,1520,SRX6727533,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279453,SAMN12588190,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037723,GEO,SRA942337,02,2020,Saito,cell cultures,RNAseq_S_lysate2,cell cultures,whole cell lysate,37 C OD600 = 0.5,K-12,MG1655,GSM4037723
SRR9988144,49964939,2498246950,50,1348,SRX6727534,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279454,SAMN12588189,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037724,GEO,SRA942337,02,2020,Saito,cell cultures,RNAseq_A_lysate2,cell cultures,whole cell lysate,37 C OD600 = 0.5,K-12,MG1655,GSM4037724
SRR9988145,35790497,1789524850,50,990,SRX6727535,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279455,SAMN12588188,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037725,GEO,SRA942337,02,2020,Saito,cell cultures,StRP_A_lysate3,cell cultures,monosome fraction,37 C OD600 = 0.5,K-12,MG1655,GSM4037725
SRR9988146,27986158,1399307900,50,861,SRX6727536,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279456,SAMN12588187,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037726,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_A_lysate3,cell cultures,MS2 pulldown,37 C OD600 = 0.5,K-12,MG1655,GSM4037726
SRR9988147,6275923,313796150,50,165,SRX6727537,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279457,SAMN12588228,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037727,GEO,SRA942337,02,2020,Saito,cell cultures,StRP_A_cold_lysate1_read1,cell cultures,monosome fraction,10 C for 30 min,K-12,MG1655,GSM4037727
SRR9988148,22282726,1114136300,50,586,SRX6727538,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279458,SAMN12588227,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037728,GEO,SRA942337,02,2020,Saito,cell cultures,StRP_A_cold_lysate1_read2,cell cultures,monosome fraction,10 C for 30 min,K-12,MG1655,GSM4037728
SRR9988149,3826277,191313850,50,101,SRX6727539,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279459,SAMN12588226,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037729,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_A_cold_lysate1_read1,cell cultures,MS2 pulldown,10 C for 30 min,K-12,MG1655,GSM4037729
SRR9988150,30396642,1519832100,50,808,SRX6727540,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279460,SAMN12588225,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037730,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_A_cold_lysate1_read2,cell cultures,MS2 pulldown,10 C for 30 min,K-12,MG1655,GSM4037730
SRR9988151,53206500,2660325000,50,1413,SRX6727541,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279461,SAMN12588224,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037731,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_A_cold_lysate1_read3,cell cultures,MS2 pulldown,10 C for 30 min,K-12,MG1655,GSM4037731
SRR9988152,6086417,304320850,50,152,SRX6727542,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279462,SAMN12588223,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037732,GEO,SRA942337,02,2020,Saito,cell cultures,RNAseq_A_cold_lysate1,cell cultures,whole cell lysate,10 C for 30 min,K-12,MG1655,GSM4037732
SRR9988153,33281895,1664094750,50,891,SRX6727543,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279463,SAMN12588218,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037733,GEO,SRA942337,02,2020,Saito,cell cultures,StRP_A_cold_lysate2,cell cultures,monosome fraction,10 C for 30 min,K-12,MG1655,GSM4037733
SRR9988154,20760713,1038035650,50,559,SRX6727544,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279464,SAMN12588217,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037734,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_A_cold_lysate2_read1,cell cultures,MS2 pulldown,10 C for 30 min,K-12,MG1655,GSM4037734
SRR9988155,7571864,378593200,50,212,SRX6727545,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279465,SAMN12588216,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037735,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_A_cold_lysate2_read2,cell cultures,MS2 pulldown,10 C for 30 min,K-12,MG1655,GSM4037735
SRR9988156,13521943,676097150,50,365,SRX6727546,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279466,SAMN12588215,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037736,GEO,SRA942337,02,2020,Saito,cell cultures,StRP_A_stationary_lysate1_read1,cell cultures,monosome fraction,stationary phase,K-12,MG1655,GSM4037736
SRR9988157,8441661,422083050,50,228,SRX6727547,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279467,SAMN12588222,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037737,GEO,SRA942337,02,2020,Saito,cell cultures,StRP_A_stationary_lysate1_read2,cell cultures,monosome fraction,stationary phase,K-12,MG1655,GSM4037737
SRR9988158,28797688,1439884400,50,775,SRX6727548,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279468,SAMN12588221,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037738,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_A_stationary_lysate1_read1,cell cultures,MS2 pulldown,stationary phase,K-12,MG1655,GSM4037738
SRR9988159,20563354,1028167700,50,554,SRX6727549,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279469,SAMN12588220,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037739,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_A_stationary_lysate1_read2,cell cultures,MS2 pulldown,stationary phase,K-12,MG1655,GSM4037739
SRR9988160,32833367,1641668350,50,906,SRX6727550,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279470,SAMN12588219,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037740,GEO,SRA942337,02,2020,Saito,cell cultures,StRP_A_stationary_lysate2,cell cultures,monosome fraction,stationary phase,K-12,MG1655,GSM4037740
SRR9988161,37636958,1881847900,50,1045,SRX6727551,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279471,SAMN12588214,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037741,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RP_A_stationary_lysate2,cell cultures,MS2 pulldown,stationary phase,K-12,MG1655,GSM4037741
SRR9988162,39793009,1989650450,50,1103,SRX6727552,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279472,SAMN12588213,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037742,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RPRET_C,cell cultures,MS2 pulldown,"100 ug/mL retapamulin, 5 min",K-12,MG1655,GSM4037742
SRR9988163,8535461,426773050,50,224,SRX6727553,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279473,SAMN12588212,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037743,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RPRET_O_read1,cell cultures,MS2 pulldown,"100 ug/mL retapamulin, 5 min",K-12,MG1655,GSM4037743
SRR9988164,33432308,1671615400,50,884,SRX6727554,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279474,SAMN12588211,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037744,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RPRET_O_read2,cell cultures,MS2 pulldown,"100 ug/mL retapamulin, 5 min",K-12,MG1655,GSM4037744
SRR9988165,93167521,4658376050,50,2446,SRX6727555,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279475,SAMN12588210,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037745,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RPRET_O_read3,cell cultures,MS2 pulldown,"100 ug/mL retapamulin, 5 min",K-12,MG1655,GSM4037745
SRR9988166,35130954,1756547700,50,975,SRX6727556,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279476,SAMN12588230,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037746,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RPRET_S,cell cultures,MS2 pulldown,"100 ug/mL retapamulin, 5 min",K-12,MG1655,GSM4037746
SRR9988167,34794880,1739744000,50,965,SRX6727557,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218568,PRJNA560549,32065583,"",SRS5279477,SAMN12588229,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4037747,GEO,SRA942337,02,2020,Saito,cell cultures,MS2RPRET_A,cell cultures,MS2 pulldown,"100 ug/mL retapamulin, 5 min",K-12,MG1655,GSM4037747
