Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_line,cell_type,sample_type,treatment,time point,replicate,BioSampleModel
SRR7451191,74707334,3735366700,50,1321,SRX4321697,D17-4820,OTHER,RT-PCR,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484164,SAMN09516437,simple,9606,Homo sapiens,RP60-1,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",RFP_PBS_60_min_Rep_1,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,Ribosome Footprint,PBS,60 min,Rep 1,Human
SRR7451190,83653731,4182686550,50,1482,SRX4321698,D17-4819,OTHER,RT-PCR,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484165,SAMN09516436,simple,9606,Homo sapiens,RP30-1,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",RFP_PBS_30_min_Rep_1,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,Ribosome Footprint,PBS,30 min,Rep 1,Human
SRR7451189,79892629,3994631450,50,1363,SRX4321699,D17-4828,OTHER,RT-PCR,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484166,SAMN09516445,simple,9606,Homo sapiens,RE30-2,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",RFP_EGF_30_min_Rep_2,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,Ribosome Footprint,EGF,30 min,Rep 2,Human
SRR7451188,85078231,4253911550,50,1437,SRX4321700,D17-4827,OTHER,RT-PCR,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484167,SAMN09516444,simple,9606,Homo sapiens,RP90-2,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",RFP_PBS_90_min_Rep_2,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,Ribosome Footprint,PBS,90 min,Rep 2,Human
SRR7451187,32612965,2609037200,40,522,SRX4321701,D17-5052,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484168,SAMN09516449,simple,9606,Homo sapiens,MP60-1,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",mRNA_PBS_60_min_Rep_1,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,mRNA Seq,PBS,60 min,Rep 1,Human
SRR7451186,26087566,2087005280,40,426,SRX4321702,D17-5051,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484169,SAMN09516448,simple,9606,Homo sapiens,MP30-1,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",mRNA_PBS_30_min_Rep_1,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,mRNA Seq,PBS,30 min,Rep 1,Human
SRR7451185,70626776,3531338800,50,1209,SRX4321703,D17-4830,OTHER,RT-PCR,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484170,SAMN09516447,simple,9606,Homo sapiens,RE90-2,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",RFP_EGF_90_min_Rep_2,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,Ribosome Footprint,EGF,90 min,Rep 2,Human
SRR7451184,77448811,3872440550,50,1343,SRX4321704,D17-4829,OTHER,RT-PCR,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484171,SAMN09516446,simple,9606,Homo sapiens,RE60-2,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",RFP_EGF_60_min_Rep_2,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,Ribosome Footprint,EGF,60 min,Rep 2,Human
SRR7451183,33008735,2640698800,40,532,SRX4321705,D17-5056,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484172,SAMN09516453,simple,9606,Homo sapiens,ME90-1,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",mRNA_EGF_90_min_Rep_1,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,mRNA Seq,EGF,90 min,Rep 1,Human
SRR7451182,34992737,2799418960,40,560,SRX4321706,D17-5055,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484173,SAMN09516452,simple,9606,Homo sapiens,ME60-1,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",mRNA_EGF_60_min_Rep_1,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,mRNA Seq,EGF,60 min,Rep 1,Human
SRR7451181,34882763,2790621040,40,557,SRX4321707,D17-5054,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484174,SAMN09516451,simple,9606,Homo sapiens,ME30-1,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",mRNA_EGF_30_min_Rep_1,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,mRNA Seq,EGF,30 min,Rep 1,Human
SRR7451180,35262294,2820983520,40,574,SRX4321708,D17-5053,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484175,SAMN09516450,simple,9606,Homo sapiens,MP90-1,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",mRNA_PBS_90_min_Rep_1,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,mRNA Seq,PBS,90 min,Rep 1,Human
SRR7451179,31175279,2494022320,40,514,SRX4321709,D17-5058,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484176,SAMN09516455,simple,9606,Homo sapiens,MP60-2,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",mRNA_PBS_60_min_Rep_2,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,mRNA Seq,PBS,60 min,Rep 2,Human
SRR7451178,35825152,2866012160,40,579,SRX4321710,D17-5057,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP151602,PRJNA478455,1,"",SRS3484177,SAMN09516454,simple,9606,Homo sapiens,MP30-2,Massachusetts Institute of Technology,SRA730597,06,2018,Makar,"",mRNA_PBS_30_min_Rep_2,HeLa,31,Forest White,female,Cervix,Hela,Cervical Epithelial,mRNA Seq,PBS,30 min,Rep 2,Human
