Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,subject status,subject id,tissue type,molecule subtype,GEO Accession
SRR6939934,27639368,847539587,30,603,SRX3884286,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123559,SAMN08864580,simple,9606,Homo sapiens,GSM3081746,GEO,SRA681490,06,2019,Zou,tumor_RPF,LC034_tumor_RPF,tumor_RPF,HCC patient,LC034,liver tumor,ribosome-protected mRNA fragment (RPF),GSM3081746
SRR6939935,36764367,1015543949,27,791,SRX3884287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123558,SAMN08864579,simple,9606,Homo sapiens,GSM3081747,GEO,SRA681490,06,2019,Zou,tumor_totalRNA,LC034_tumor_totalRNA,tumor_totalRNA,HCC patient,LC034,liver tumor,"rRNA-depleted, fragmented total RNA",GSM3081747
SRR6939936,7565188,229112044,30,237,SRX3884288,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123561,SAMN08864578,simple,9606,Homo sapiens,GSM3081748,GEO,SRA681490,06,2019,Zou,normal_RPF,LC501_normal_RPF,normal_RPF,HCC patient,LC501,adjacent normal liver tissue,ribosome-protected mRNA fragment (RPF),GSM3081748
SRR6939937,27784070,881663442,31,572,SRX3884289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123560,SAMN08864577,simple,9606,Homo sapiens,GSM3081749,GEO,SRA681490,06,2019,Zou,normal_totalRNA,LC501_normal_totalRNA,normal_totalRNA,HCC patient,LC501,adjacent normal liver tissue,"rRNA-depleted, fragmented total RNA",GSM3081749
SRR6939938,10519096,321167012,30,262,SRX3884290,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123562,SAMN08864576,simple,9606,Homo sapiens,GSM3081750,GEO,SRA681490,06,2019,Zou,tumor_RPF,LC501_tumor_RPF,tumor_RPF,HCC patient,LC501,liver tumor,ribosome-protected mRNA fragment (RPF),GSM3081750
SRR6939939,24422990,733820953,30,519,SRX3884291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123563,SAMN08864575,simple,9606,Homo sapiens,GSM3081751,GEO,SRA681490,06,2019,Zou,tumor_totalRNA,LC501_tumor_totalRNA,tumor_totalRNA,HCC patient,LC501,liver tumor,"rRNA-depleted, fragmented total RNA",GSM3081751
SRR6939940,16373365,486794535,29,405,SRX3884292,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123564,SAMN08864574,simple,9606,Homo sapiens,GSM3081752,GEO,SRA681490,06,2019,Zou,normal_RPF,LC502_normal_RPF,normal_RPF,HCC patient,LC502,adjacent normal liver tissue,ribosome-protected mRNA fragment (RPF),GSM3081752
SRR6939941,26691229,884913983,33,616,SRX3884293,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123565,SAMN08864573,simple,9606,Homo sapiens,GSM3081753,GEO,SRA681490,06,2019,Zou,normal_totalRNA,LC502_normal_totalRNA,normal_totalRNA,HCC patient,LC502,adjacent normal liver tissue,"rRNA-depleted, fragmented total RNA",GSM3081753
SRR6939942,18867459,544283887,28,423,SRX3884294,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123566,SAMN08864572,simple,9606,Homo sapiens,GSM3081754,GEO,SRA681490,06,2019,Zou,tumor_RPF,LC502_tumor_RPF,tumor_RPF,HCC patient,LC502,liver tumor,ribosome-protected mRNA fragment (RPF),GSM3081754
SRR6939943,76495290,2329634984,30,1314,SRX3884295,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123567,SAMN08864571,simple,9606,Homo sapiens,GSM3081755,GEO,SRA681490,06,2019,Zou,tumor_totalRNA,LC502_tumor_totalRNA,tumor_totalRNA,HCC patient,LC502,liver tumor,"rRNA-depleted, fragmented total RNA",GSM3081755
SRR6939944,8641428,262682456,30,242,SRX3884296,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123568,SAMN08864570,simple,9606,Homo sapiens,GSM3081756,GEO,SRA681490,06,2019,Zou,normal_RPF,LC505_normal_RPF,normal_RPF,HCC patient,LC505,adjacent normal liver tissue,ribosome-protected mRNA fragment (RPF),GSM3081756
SRR6939945,20545457,656491986,31,460,SRX3884297,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123569,SAMN08864569,simple,9606,Homo sapiens,GSM3081757,GEO,SRA681490,06,2019,Zou,normal_totalRNA,LC505_normal_totalRNA,normal_totalRNA,HCC patient,LC505,adjacent normal liver tissue,"rRNA-depleted, fragmented total RNA",GSM3081757
SRR6939946,11583472,359168672,31,281,SRX3884298,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123570,SAMN08864568,simple,9606,Homo sapiens,GSM3081758,GEO,SRA681490,06,2019,Zou,tumor_RPF,LC505_tumor_RPF,tumor_RPF,HCC patient,LC505,liver tumor,ribosome-protected mRNA fragment (RPF),GSM3081758
SRR6939947,25512641,814817706,31,545,SRX3884299,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123571,SAMN08864567,simple,9606,Homo sapiens,GSM3081759,GEO,SRA681490,06,2019,Zou,tumor_totalRNA,LC505_tumor_totalRNA,tumor_totalRNA,HCC patient,LC505,liver tumor,"rRNA-depleted, fragmented total RNA",GSM3081759
SRR6939948,18779579,577210928,30,310,SRX3884300,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123572,SAMN08864566,simple,9606,Homo sapiens,GSM3081760,GEO,SRA681490,06,2019,Zou,normal_RPF,LC506_normal_RPF,normal_RPF,HCC patient,LC506,adjacent normal liver tissue,ribosome-protected mRNA fragment (RPF),GSM3081760
SRR6939949,42128860,1320793593,31,814,SRX3884301,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123573,SAMN08864565,simple,9606,Homo sapiens,GSM3081761,GEO,SRA681490,06,2019,Zou,normal_totalRNA,LC506_normal_totalRNA,normal_totalRNA,HCC patient,LC506,adjacent normal liver tissue,"rRNA-depleted, fragmented total RNA",GSM3081761
SRR6939950,19988597,614640525,30,388,SRX3884302,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123574,SAMN08864562,simple,9606,Homo sapiens,GSM3081762,GEO,SRA681490,06,2019,Zou,tumor_RPF,LC506_tumor_RPF,tumor_RPF,HCC patient,LC506,liver tumor,ribosome-protected mRNA fragment (RPF),GSM3081762
SRR6939951,27469332,840339578,30,603,SRX3884303,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123575,SAMN08864561,simple,9606,Homo sapiens,GSM3081763,GEO,SRA681490,06,2019,Zou,tumor_totalRNA,LC506_tumor_totalRNA,tumor_totalRNA,HCC patient,LC506,liver tumor,"rRNA-depleted, fragmented total RNA",GSM3081763
SRR6939952,8590798,263942297,30,233,SRX3884304,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123577,SAMN08864560,simple,9606,Homo sapiens,GSM3081764,GEO,SRA681490,06,2019,Zou,normal_RPF,LC507_normal_RPF,normal_RPF,HCC patient,LC507,adjacent normal liver tissue,ribosome-protected mRNA fragment (RPF),GSM3081764
SRR6939954,39196633,1182420694,30,766,SRX3884305,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123598,SAMN08864559,simple,9606,Homo sapiens,GSM3081765,GEO,SRA681490,06,2019,Zou,normal_totalRNA,LC507_normal_totalRNA,normal_totalRNA,HCC patient,LC507,adjacent normal liver tissue,"rRNA-depleted, fragmented total RNA",GSM3081765
SRR6939955,37137187,1141920987,30,546,SRX3884306,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123576,SAMN08864558,simple,9606,Homo sapiens,GSM3081766,GEO,SRA681490,06,2019,Zou,tumor_RPF,LC507_tumor_RPF,tumor_RPF,HCC patient,LC507,liver tumor,ribosome-protected mRNA fragment (RPF),GSM3081766
SRR6939956,38671169,1253476362,32,732,SRX3884307,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123578,SAMN08864557,simple,9606,Homo sapiens,GSM3081767,GEO,SRA681490,06,2019,Zou,tumor_totalRNA,LC507_tumor_totalRNA,tumor_totalRNA,HCC patient,LC507,liver tumor,"rRNA-depleted, fragmented total RNA",GSM3081767
SRR6939957,10942538,338714654,30,268,SRX3884308,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123580,SAMN08864556,simple,9606,Homo sapiens,GSM3081768,GEO,SRA681490,06,2019,Zou,normal_RPF,LC508_normal_RPF,normal_RPF,HCC patient,LC508,adjacent normal liver tissue,ribosome-protected mRNA fragment (RPF),GSM3081768
SRR6939958,34478152,1175102619,34,757,SRX3884309,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123579,SAMN08864555,simple,9606,Homo sapiens,GSM3081769,GEO,SRA681490,06,2019,Zou,normal_totalRNA,LC508_normal_totalRNA,normal_totalRNA,HCC patient,LC508,adjacent normal liver tissue,"rRNA-depleted, fragmented total RNA",GSM3081769
SRR6939959,30706122,946910735,30,634,SRX3884310,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123581,SAMN08864554,simple,9606,Homo sapiens,GSM3081770,GEO,SRA681490,06,2019,Zou,tumor_RPF,LC508_tumor_RPF,tumor_RPF,HCC patient,LC508,liver tumor,ribosome-protected mRNA fragment (RPF),GSM3081770
SRR6939960,22261212,755593138,33,600,SRX3884311,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123583,SAMN08864553,simple,9606,Homo sapiens,GSM3081771,GEO,SRA681490,06,2019,Zou,tumor_totalRNA,LC508_tumor_totalRNA,tumor_totalRNA,HCC patient,LC508,liver tumor,"rRNA-depleted, fragmented total RNA",GSM3081771
SRR6939961,7985939,244445162,30,240,SRX3884312,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123584,SAMN08864552,simple,9606,Homo sapiens,GSM3081772,GEO,SRA681490,06,2019,Zou,normal_RPF,LC509_normal_RPF,normal_RPF,HCC patient,LC509,adjacent normal liver tissue,ribosome-protected mRNA fragment (RPF),GSM3081772
SRR6939962,23765629,769062362,32,534,SRX3884313,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123585,SAMN08864551,simple,9606,Homo sapiens,GSM3081773,GEO,SRA681490,06,2019,Zou,normal_totalRNA,LC509_normal_totalRNA,normal_totalRNA,HCC patient,LC509,adjacent normal liver tissue,"rRNA-depleted, fragmented total RNA",GSM3081773
SRR6939963,10602937,323346636,30,289,SRX3884314,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123586,SAMN08864550,simple,9606,Homo sapiens,GSM3081774,GEO,SRA681490,06,2019,Zou,tumor_RPF,LC509_tumor_RPF,tumor_RPF,HCC patient,LC509,liver tumor,ribosome-protected mRNA fragment (RPF),GSM3081774
SRR6939964,22798828,762498140,33,562,SRX3884315,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137150,PRJNA448763,31281537,"",SRS3123589,SAMN08864549,simple,9606,Homo sapiens,GSM3081775,GEO,SRA681490,06,2019,Zou,tumor_totalRNA,LC509_tumor_totalRNA,tumor_totalRNA,HCC patient,LC509,liver tumor,"rRNA-depleted, fragmented total RNA",GSM3081775
