Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,status,ercc,treatment,time,GEO Accession
SRR5750333,41679832,8419326064,101,5416,SRX2950557,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308998,SAMN07271383,simple,10090,Mus musculus,GSM2680109,GEO,SRA580578,08,2021,Makar,adrenal gland,UO_AH_023,adrenal gland,C57BL/6,ZFP36L2 KO,y,,,GSM2680109
SRR5750334,28939630,5845805260,101,3508,SRX2950558,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2308999,SAMN07271382,simple,9606,Homo sapiens,GSM2680110,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_054,H295R,,,y,Ctrl,0h,GSM2680110
SRR5750335,25023492,5054745384,101,3041,SRX2950559,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309000,SAMN07271381,simple,9606,Homo sapiens,GSM2680111,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_055,H295R,,,y,Ang,0.25h,GSM2680111
SRR5750336,24328610,4914379220,101,2886,SRX2950560,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309001,SAMN07271380,simple,9606,Homo sapiens,GSM2680112,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_056,H295R,,,y,For,0.25h,GSM2680112
SRR5750337,26134063,5279080726,101,3135,SRX2950561,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309002,SAMN07271379,simple,9606,Homo sapiens,GSM2680113,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_057,H295R,,,y,Ang,0.5h,GSM2680113
SRR5750338,22126101,4469472402,101,2608,SRX2950562,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309003,SAMN07271378,simple,9606,Homo sapiens,GSM2680114,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_058,H295R,,,y,For,0.5h,GSM2680114
SRR5750339,22278469,4500250738,101,2574,SRX2950563,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309004,SAMN07271377,simple,9606,Homo sapiens,GSM2680115,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_059,H295R,,,y,Ang,1h,GSM2680115
SRR5750340,25113338,5072894276,101,2947,SRX2950564,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309005,SAMN07271270,simple,9606,Homo sapiens,GSM2680116,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_060,H295R,,,y,For,1h,GSM2680116
SRR5750341,21516538,4346340676,101,2488,SRX2950565,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309006,SAMN07271269,simple,9606,Homo sapiens,GSM2680117,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_061,H295R,,,y,Ang,2h,GSM2680117
SRR5750342,22758070,4597130140,101,2680,SRX2950566,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309007,SAMN07271322,simple,9606,Homo sapiens,GSM2680118,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_062,H295R,,,y,For,2h,GSM2680118
SRR5750343,26847872,5423270144,101,3110,SRX2950567,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309008,SAMN07271315,simple,9606,Homo sapiens,GSM2680119,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_063,H295R,,,y,Ang,4h,GSM2680119
SRR5750344,27696661,5594725522,101,3116,SRX2950568,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309009,SAMN07271321,simple,9606,Homo sapiens,GSM2680120,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_064,H295R,,,y,For,4h,GSM2680120
SRR5750345,24151510,4878605020,101,2884,SRX2950569,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309010,SAMN07271320,simple,9606,Homo sapiens,GSM2680121,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_065,H295R,,,y,Ang,8h,GSM2680121
SRR5750346,23160246,4678369692,101,2604,SRX2950570,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309011,SAMN07271319,simple,9606,Homo sapiens,GSM2680122,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_066,H295R,,,y,For,8h,GSM2680122
SRR5750347,27739057,5603289514,101,3313,SRX2950571,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309012,SAMN07271318,simple,9606,Homo sapiens,GSM2680123,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_067,H295R,,,y,Ang,24h,GSM2680123
SRR5750348,22917434,4629321668,101,2577,SRX2950572,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309013,SAMN07271317,simple,9606,Homo sapiens,GSM2680124,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_068,H295R,,,y,For,24h,GSM2680124
SRR5750349,30555280,6172166560,101,3617,SRX2950573,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309014,SAMN07271316,simple,9606,Homo sapiens,GSM2680125,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_069,H295R,,,y,Ctrl,0h,GSM2680125
SRR5750350,24851540,5020011080,101,2945,SRX2950574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309015,SAMN07271314,simple,9606,Homo sapiens,GSM2680126,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_070,H295R,,,y,Ang,0.25h,GSM2680126
SRR5750351,24693322,4988051044,101,2976,SRX2950575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309016,SAMN07271313,simple,9606,Homo sapiens,GSM2680127,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_071,H295R,,,y,For,0.25h,GSM2680127
SRR5750352,24157734,4879862268,101,2849,SRX2950576,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309018,SAMN07271312,simple,9606,Homo sapiens,GSM2680128,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_072,H295R,,,y,Ang,0.5h,GSM2680128
SRR5750353,23431869,4733237538,101,2826,SRX2950577,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309017,SAMN07271311,simple,9606,Homo sapiens,GSM2680129,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_073,H295R,,,y,For,0.5h,GSM2680129
SRR5750354,22936059,4633083918,101,2702,SRX2950578,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309019,SAMN07271310,simple,9606,Homo sapiens,GSM2680130,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_074,H295R,,,y,Ang,1h,GSM2680130
SRR5750355,27156996,5485713192,101,3288,SRX2950579,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309020,SAMN07271309,simple,9606,Homo sapiens,GSM2680131,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_075,H295R,,,y,For,1h,GSM2680131
SRR5750356,28208227,5698061854,101,3304,SRX2950580,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309021,SAMN07271308,simple,9606,Homo sapiens,GSM2680132,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_076,H295R,,,y,Ang,2h,GSM2680132
SRR5750357,26642083,5381700766,101,3086,SRX2950581,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309022,SAMN07271307,simple,9606,Homo sapiens,GSM2680133,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_077,H295R,,,y,For,2h,GSM2680133
SRR5750358,24739486,4997376172,101,2798,SRX2950582,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309023,SAMN07271306,simple,9606,Homo sapiens,GSM2680134,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_078,H295R,,,y,Ang,4h,GSM2680134
SRR5750359,25467096,5144353392,101,2939,SRX2950583,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309024,SAMN07271305,simple,9606,Homo sapiens,GSM2680135,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_079,H295R,,,y,For,4h,GSM2680135
SRR5750360,17784946,3592559092,101,2001,SRX2950584,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309025,SAMN07271304,simple,9606,Homo sapiens,GSM2680136,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_080,H295R,,,y,Ang,8h,GSM2680136
SRR5750361,19850805,4009862610,101,2290,SRX2950585,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309026,SAMN07271303,simple,9606,Homo sapiens,GSM2680137,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_081,H295R,,,y,For,8h,GSM2680137
SRR5750362,21437528,4330380656,101,2399,SRX2950586,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP110270,PRJNA391696,1,"",SRS2309027,SAMN07271302,simple,9606,Homo sapiens,GSM2680138,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_082,H295R,,,y,Ang,24h,GSM2680138
SRR5750363,23141240,4674530480,101,2765,SRX2950587,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309028,SAMN07271301,simple,9606,Homo sapiens,GSM2680139,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_083,H295R,,,y,For,24h,GSM2680139
SRR5750364,8342116,425447916,51,262,SRX2950588,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309029,SAMN07271300,simple,9606,Homo sapiens,GSM2680140,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_106,H295R,,,,Ctrl,0h,GSM2680140
SRR5750365,9413332,480079932,51,297,SRX2950589,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309030,SAMN07271299,simple,9606,Homo sapiens,GSM2680141,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_107,H295R,,,,Ctrl,0h,GSM2680141
SRR5750366,8889450,453361950,51,280,SRX2950590,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309031,SAMN07271298,simple,9606,Homo sapiens,GSM2680142,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_108,H295R,,,,Ang,.25h,GSM2680142
SRR5750367,9746198,497056098,51,310,SRX2950591,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309042,SAMN07271297,simple,9606,Homo sapiens,GSM2680143,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_109,H295R,,,,Ang,.5h,GSM2680143
SRR5750368,7412973,378061623,51,232,SRX2950592,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309032,SAMN07271296,simple,9606,Homo sapiens,GSM2680144,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_110,H295R,,,,Ang,1h,GSM2680144
SRR5750369,9895257,504658107,51,313,SRX2950593,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309033,SAMN07271295,simple,9606,Homo sapiens,GSM2680145,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_111,H295R,,,,Ctrl,0h,GSM2680145
SRR5750370,9713065,495366315,51,305,SRX2950594,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309034,SAMN07271370,simple,9606,Homo sapiens,GSM2680146,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_112,H295R,,,,Ctrl,0h,GSM2680146
SRR5750371,9877560,503755560,51,309,SRX2950595,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309035,SAMN07271369,simple,9606,Homo sapiens,GSM2680147,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_113,H295R,,,,Ang,.25h,GSM2680147
SRR5750372,9211643,469793793,51,291,SRX2950596,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309036,SAMN07271368,simple,9606,Homo sapiens,GSM2680148,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_114,H295R,,,,Ang,.5h,GSM2680148
SRR5750373,9341029,476392479,51,294,SRX2950597,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309037,SAMN07271361,simple,9606,Homo sapiens,GSM2680149,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_115,H295R,,,,Ang,1h,GSM2680149
SRR5750374,16166210,824476710,51,437,SRX2950598,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309038,SAMN07271367,simple,9606,Homo sapiens,GSM2680150,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_116,H295R,,,,Ang,2h,GSM2680150
SRR5750375,15211643,775793793,51,404,SRX2950599,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309039,SAMN07271366,simple,9606,Homo sapiens,GSM2680151,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_117,H295R,,,,Ang,4h,GSM2680151
SRR5750376,13202322,673318422,51,353,SRX2950600,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309040,SAMN07271365,simple,9606,Homo sapiens,GSM2680152,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_118,H295R,,,,Ang,8h,GSM2680152
SRR5750377,15086784,769425984,51,413,SRX2950601,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309041,SAMN07271364,simple,9606,Homo sapiens,GSM2680153,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_119,H295R,,,,Ang,24h,GSM2680153
SRR5750378,13689064,698142264,51,365,SRX2950602,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309044,SAMN07271363,simple,9606,Homo sapiens,GSM2680154,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_120,H295R,,,,Ang,2h,GSM2680154
SRR5750379,13501372,688569972,51,366,SRX2950603,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309043,SAMN07271362,simple,9606,Homo sapiens,GSM2680155,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_121,H295R,,,,Ang,4h,GSM2680155
SRR5750380,13957427,711828777,51,386,SRX2950604,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309047,SAMN07271360,simple,9606,Homo sapiens,GSM2680156,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_122,H295R,,,,Ang,8h,GSM2680156
SRR5750381,15061046,768113346,51,415,SRX2950605,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309045,SAMN07271359,simple,9606,Homo sapiens,GSM2680157,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_123,H295R,,,,Ang,24h,GSM2680157
