Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,GEO Accession
SRR13769800,44907762,2245388100,50,716,SRX10155911,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307862,SAMN18037340,simple,10090,Mus musculus,GSM5101930,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_eIF4E3 KO_Torin1 2hrs,N2a KO Torin1 RNA-seq rep2,Neuro-2a_eIF4E3 KO_Torin1 2hrs,Neuro-2a,Neuroblastoma cell line,eIF4E3 KO,Torin1 2hrs,GSM5101930
SRR13769801,35450613,1772530650,50,573,SRX10155912,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307863,SAMN18037339,simple,10090,Mus musculus,GSM5101931,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_eIF4E3 KO_Torin1 2hrs,N2a KO Torin1 RNA-seq rep3,Neuro-2a_eIF4E3 KO_Torin1 2hrs,Neuro-2a,Neuroblastoma cell line,eIF4E3 KO,Torin1 2hrs,GSM5101931
SRR13769802,84566620,8456662000,100,2689,SRX10155913,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307864,SAMN18037338,simple,10090,Mus musculus,GSM5101932,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_WT_DMSO 2hrs,N2a ctrl vehicle Ribo-seq rep1,Neuro-2a_WT_DMSO 2hrs,Neuro-2a,Neuroblastoma cell line,WT,DMSO 2hrs,GSM5101932
SRR13769803,71699287,7169928700,100,2227,SRX10155914,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307865,SAMN18037337,simple,10090,Mus musculus,GSM5101933,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_WT_DMSO 2hrs,N2a ctrl vehicle Ribo-seq rep2,Neuro-2a_WT_DMSO 2hrs,Neuro-2a,Neuroblastoma cell line,WT,DMSO 2hrs,GSM5101933
SRR13769804,53907779,5390777900,100,1668,SRX10155915,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307866,SAMN18037336,simple,10090,Mus musculus,GSM5101934,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_WT_DMSO 2hrs,N2a ctrl vehicle Ribo-seq rep3,Neuro-2a_WT_DMSO 2hrs,Neuro-2a,Neuroblastoma cell line,WT,DMSO 2hrs,GSM5101934
SRR13769805,86835713,8683571300,100,2761,SRX10155916,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307867,SAMN18037335,simple,10090,Mus musculus,GSM5101935,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_WT_Torin1 2hrs,N2a ctrl Torin1 Ribo-seq rep1,Neuro-2a_WT_Torin1 2hrs,Neuro-2a,Neuroblastoma cell line,WT,Torin1 2hrs,GSM5101935
SRR13769806,88080182,8808018200,100,2792,SRX10155917,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307868,SAMN18037334,simple,10090,Mus musculus,GSM5101936,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_WT_Torin1 2hrs,N2a ctrl Torin1 Ribo-seq rep2,Neuro-2a_WT_Torin1 2hrs,Neuro-2a,Neuroblastoma cell line,WT,Torin1 2hrs,GSM5101936
SRR13769807,72930169,7293016900,100,2309,SRX10155918,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307869,SAMN18037333,simple,10090,Mus musculus,GSM5101937,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_WT_Torin1 2hrs,N2a ctrl Torin1 Ribo-seq rep3,Neuro-2a_WT_Torin1 2hrs,Neuro-2a,Neuroblastoma cell line,WT,Torin1 2hrs,GSM5101937
SRR13769808,69594317,6959431700,100,2197,SRX10155919,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307870,SAMN18037356,simple,10090,Mus musculus,GSM5101938,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_eIF4E3 KO_DMSO 2hrs,N2a KO vehicle Ribo-seq rep1,Neuro-2a_eIF4E3 KO_DMSO 2hrs,Neuro-2a,Neuroblastoma cell line,eIF4E3 KO,DMSO 2hrs,GSM5101938
SRR13769809,78053270,7805327000,100,2470,SRX10155920,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307871,SAMN18037355,simple,10090,Mus musculus,GSM5101939,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_eIF4E3 KO_DMSO 2hrs,N2a KO vehicle Ribo-seq rep2,Neuro-2a_eIF4E3 KO_DMSO 2hrs,Neuro-2a,Neuroblastoma cell line,eIF4E3 KO,DMSO 2hrs,GSM5101939
SRR13769810,40126663,4012666300,100,1279,SRX10155921,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307872,SAMN18037353,simple,10090,Mus musculus,GSM5101940,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_eIF4E3 KO_DMSO 2hrs,N2a KO vehicle Ribo-seq rep3,Neuro-2a_eIF4E3 KO_DMSO 2hrs,Neuro-2a,Neuroblastoma cell line,eIF4E3 KO,DMSO 2hrs,GSM5101940
SRR13769811,37167468,3716746800,100,1197,SRX10155922,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307873,SAMN18037352,simple,10090,Mus musculus,GSM5101941,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_eIF4E3 KO_Torin1 2hrs,N2a KO Torin1 Ribo-seq rep1,Neuro-2a_eIF4E3 KO_Torin1 2hrs,Neuro-2a,Neuroblastoma cell line,eIF4E3 KO,Torin1 2hrs,GSM5101941
SRR13769812,48545982,4854598200,100,1548,SRX10155923,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307874,SAMN18037351,simple,10090,Mus musculus,GSM5101942,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_eIF4E3 KO_Torin1 2hrs,N2a KO Torin1 Ribo-seq rep2,Neuro-2a_eIF4E3 KO_Torin1 2hrs,Neuro-2a,Neuroblastoma cell line,eIF4E3 KO,Torin1 2hrs,GSM5101942
SRR13769813,32156056,3215605600,100,1026,SRX10155924,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP307718,PRJNA704316,33893802,"",SRS8307875,SAMN18037354,simple,10090,Mus musculus,GSM5101943,GEO,SRA1199299,02,2021,Weiss,Neuro-2a_eIF4E3 KO_Torin1 2hrs,N2a KO Torin1 Ribo-seq rep3,Neuro-2a_eIF4E3 KO_Torin1 2hrs,Neuro-2a,Neuroblastoma cell line,eIF4E3 KO,Torin1 2hrs,GSM5101943
