Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line background,microrna-inducible cell line,time,micrornainduction,libraryprepmethod,GEO Accession
SRR9730188,6454950,1936485000,50,943,SRX6487391,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136342,SAMN12337653,simple,10090,Mus musculus,GSM3962900,GEO,SRA924646,01,2020,Eisen,3T3,miR155_40minUninduced_PAL_read1,3T3,3T3,miR-155,40min,FALSE,PAL-seq,GSM3962900
SRR9730189,55346922,2213876880,40,977,SRX6487392,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136343,SAMN12337652,simple,10090,Mus musculus,GSM3962901,GEO,SRA924646,01,2020,Eisen,3T3,miR155_40minUninducedRNA,3T3,3T3,miR-155,40min,FALSE,RNAseq matched to RPF,GSM3962901
SRR9730190,7911691,316467640,40,117,SRX6487393,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136344,SAMN12337650,simple,10090,Mus musculus,GSM3962902,GEO,SRA924646,01,2020,Eisen,3T3,miR155_40minUninducedRPF,3T3,3T3,miR-155,40min,FALSE,RPF,GSM3962902
SRR9730191,7275634,2182690200,50,1014,SRX6487394,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136345,SAMN12337649,simple,10090,Mus musculus,GSM3962903,GEO,SRA924646,01,2020,Eisen,3T3,miR155_4hrInduced_PAL_read1,3T3,3T3,miR-155,4h,TRUE,PAL-seq,GSM3962903
SRR9730192,8151752,326070080,40,123,SRX6487395,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136346,SAMN12337647,simple,10090,Mus musculus,GSM3962904,GEO,SRA924646,01,2020,Eisen,3T3,miR155_4hrInducedRNA,3T3,3T3,miR-155,4h,TRUE,RNAseq matched to RPF,GSM3962904
SRR9730193,8121221,324848840,40,146,SRX6487396,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136347,SAMN12337646,simple,10090,Mus musculus,GSM3962905,GEO,SRA924646,01,2020,Eisen,3T3,miR155_4hrInducedRPF,3T3,3T3,miR-155,4h,TRUE,RPF,GSM3962905
SRR9730194,13575198,4072559400,50,1909,SRX6487397,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136349,SAMN12337696,simple,10090,Mus musculus,GSM3962906,GEO,SRA924646,01,2020,Eisen,3T3,miR155_4hrUninduced_PAL_read1,3T3,3T3,miR-155,4h,FALSE,PAL-seq,GSM3962906
SRR9730195,12809983,512399320,40,229,SRX6487398,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136348,SAMN12337695,simple,10090,Mus musculus,GSM3962907,GEO,SRA924646,01,2020,Eisen,3T3,miR155_4hrUninducedRNA,3T3,3T3,miR-155,4h,FALSE,RNAseq matched to RPF,GSM3962907
SRR9730196,14458854,578354160,40,214,SRX6487399,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136350,SAMN12337693,simple,10090,Mus musculus,GSM3962908,GEO,SRA924646,01,2020,Eisen,3T3,miR155_4hrUninducedRPF,3T3,3T3,miR-155,4h,FALSE,RPF,GSM3962908
SRR9730197,7136034,2140810200,50,1032,SRX6487400,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136351,SAMN12337708,simple,10090,Mus musculus,GSM3962909,GEO,SRA924646,01,2020,Eisen,3T3,miR155_8hrInduced_PAL_read1,3T3,3T3,miR-155,8h,TRUE,PAL-seq,GSM3962909
SRR9730198,10079745,403189800,40,149,SRX6487401,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136352,SAMN12337707,simple,10090,Mus musculus,GSM3962910,GEO,SRA924646,01,2020,Eisen,3T3,miR155_8hrInducedRNA,3T3,3T3,miR-155,8h,TRUE,RNAseq matched to RPF,GSM3962910
SRR9730199,7381724,295268960,40,132,SRX6487402,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136353,SAMN12337706,simple,10090,Mus musculus,GSM3962911,GEO,SRA924646,01,2020,Eisen,3T3,miR155_8hrInducedRPF,3T3,3T3,miR-155,8h,TRUE,RPF,GSM3962911
SRR9730200,14635725,585429000,40,217,SRX6487403,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136354,SAMN12337709,simple,10090,Mus musculus,GSM3962912,GEO,SRA924646,01,2020,Eisen,3T3,miR155_TotalUninducedRPF,3T3,3T3,miR-155,8h,FALSE,RPF,GSM3962912
SRR9730201,8911114,2673334200,50,1263,SRX6487404,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136355,SAMN12337705,simple,10090,Mus musculus,GSM3962913,GEO,SRA924646,01,2020,Eisen,3T3,miR155_8hrUninduced_PAL_read1,3T3,3T3,miR-155,8h,FALSE,PAL-seq,GSM3962913
SRR9730130,20475643,819025720,40,294,SRX6487405,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136356,SAMN12337981,simple,10090,Mus musculus,GSM3962842,GEO,SRA924646,01,2020,Eisen,3T3,actD_1hr_eluate,3T3,3T3,miR-1,1h,FALSE,RNA prepared with NEXT-flex kit,GSM3962842
SRR9730131,5161394,1548418200,50,746,SRX6487406,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136357,SAMN12337980,simple,10090,Mus musculus,GSM3962843,GEO,SRA924646,01,2020,Eisen,3T3,actD_1hr_eluate_PAL_read1,3T3,3T3,miR-1,1h,FALSE,PAL-seq,GSM3962843
SRR9730132,15000027,750001350,50,503,SRX6487407,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136358,SAMN12337979,simple,10090,Mus musculus,GSM3962844,GEO,SRA924646,01,2020,Eisen,3T3,actD_1hr_input,3T3,3T3,miR-1,1h,FALSE,RNA prepared with NEXT-flex kit,GSM3962844
SRR9730133,39951362,11985408600,50,5571,SRX6487408,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136360,SAMN12337978,simple,10090,Mus musculus,GSM3962845,GEO,SRA924646,01,2020,Eisen,3T3,actD_1hr_input_PAL_read1,3T3,3T3,miR-1,1h,FALSE,PAL-seq,GSM3962845
SRR9730134,17281054,691242160,40,249,SRX6487409,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136359,SAMN12337977,simple,10090,Mus musculus,GSM3962846,GEO,SRA924646,01,2020,Eisen,3T3,actD_3hr_eluate,3T3,3T3,miR-1,3h,FALSE,RNA prepared with NEXT-flex kit,GSM3962846
SRR9730135,5532038,1659611400,50,773,SRX6487410,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136361,SAMN12337976,simple,10090,Mus musculus,GSM3962847,GEO,SRA924646,01,2020,Eisen,3T3,actD_3hr_eluate_PAL_read1,3T3,3T3,miR-1,3h,FALSE,PAL-seq,GSM3962847
SRR9730136,16800634,840031700,50,562,SRX6487411,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136362,SAMN12337975,simple,10090,Mus musculus,GSM3962848,GEO,SRA924646,01,2020,Eisen,3T3,actD_3hr_input,3T3,3T3,miR-1,3h,FALSE,RNA prepared with NEXT-flex kit,GSM3962848
SRR9730137,4990072,1497021600,50,676,SRX6487412,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136363,SAMN12337692,simple,10090,Mus musculus,GSM3962849,GEO,SRA924646,01,2020,Eisen,3T3,actD_3hr_input_PAL_read1,3T3,3T3,miR-1,3h,FALSE,PAL-seq,GSM3962849
SRR9730202,18689352,747574080,40,334,SRX6487413,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136364,SAMN12337704,simple,10090,Mus musculus,GSM3962914,GEO,SRA924646,01,2020,Eisen,3T3,miR155_8hrUninducedRNA,3T3,3T3,miR-155,8h,FALSE,RNAseq matched to RPF,GSM3962914
SRR9730203,9203792,368151680,40,136,SRX6487414,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136365,SAMN12337703,simple,10090,Mus musculus,GSM3962915,GEO,SRA924646,01,2020,Eisen,3T3,miR155_8hrUninducedRPF,3T3,3T3,miR-155,8h,FALSE,RPF,GSM3962915
SRR9730204,9646301,385852040,40,142,SRX6487415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136366,SAMN12337702,simple,10090,Mus musculus,GSM3962916,GEO,SRA924646,01,2020,Eisen,3T3,miR155_minus5EU_InducedRNA,3T3,3T3,miR-155,Ss,TRUE,RNAseq matched to RPF,GSM3962916
SRR9730205,1119153,44766120,40,20,SRX6487416,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136367,SAMN12337701,simple,10090,Mus musculus,GSM3962917,GEO,SRA924646,01,2020,Eisen,3T3,miR155_minus5EU_InducedRPF,3T3,3T3,miR-155,Ss,TRUE,RPF,GSM3962917
SRR9730206,2595087,103803480,40,46,SRX6487417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136369,SAMN12337700,simple,10090,Mus musculus,GSM3962918,GEO,SRA924646,01,2020,Eisen,3T3,miR155_minus5EU_UninducedRNA,3T3,3T3,miR-155,Ss,FALSE,RNAseq matched to RPF,GSM3962918
SRR9730207,10862715,434508600,40,161,SRX6487418,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136368,SAMN12337699,simple,10090,Mus musculus,GSM3962919,GEO,SRA924646,01,2020,Eisen,3T3,miR155_minus5EU_UninducedRPF,3T3,3T3,miR-155,Ss,FALSE,RPF,GSM3962919
SRR9730208,11565860,3469758000,50,1611,SRX6487419,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136370,SAMN12337698,simple,10090,Mus musculus,GSM3962920,GEO,SRA924646,01,2020,Eisen,3T3,miR155_totalInduced_PAL_read1,3T3,3T3,miR-155,Ss,TRUE,PAL-seq,GSM3962920
SRR9730209,7686476,307459040,40,114,SRX6487420,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136371,SAMN12337697,simple,10090,Mus musculus,GSM3962921,GEO,SRA924646,01,2020,Eisen,3T3,miR155_TotalInducedRNA,3T3,3T3,miR-155,Ss,TRUE,RNAseq matched to RPF,GSM3962921
SRR9730138,8403743,336149720,40,119,SRX6487421,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136372,SAMN12337690,simple,10090,Mus musculus,GSM3962850,GEO,SRA924646,01,2020,Eisen,3T3,actD_5EU_eluate,3T3,3T3,miR-1,Ss,FALSE,RNA prepared with NEXT-flex kit,GSM3962850
SRR9730139,28561677,1142467080,40,408,SRX6487422,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136373,SAMN12337689,simple,10090,Mus musculus,GSM3962851,GEO,SRA924646,01,2020,Eisen,3T3,actD_7hr_eluate,3T3,3T3,miR-1,7h,FALSE,RNA prepared with NEXT-flex kit,GSM3962851
SRR9730140,6149407,1844822100,50,834,SRX6487423,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136374,SAMN12337688,simple,10090,Mus musculus,GSM3962852,GEO,SRA924646,01,2020,Eisen,3T3,actD_7hr_eluate_PAL_read1,3T3,3T3,miR-1,7h,FALSE,PAL-seq,GSM3962852
SRR9730141,20934829,1046741450,50,700,SRX6487424,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136376,SAMN12337687,simple,10090,Mus musculus,GSM3962853,GEO,SRA924646,01,2020,Eisen,3T3,actD_7hr_input,3T3,3T3,miR-1,7h,FALSE,RNA prepared with NEXT-flex kit,GSM3962853
SRR9730142,3723739,1117121700,50,505,SRX6487425,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136375,SAMN12337686,simple,10090,Mus musculus,GSM3962854,GEO,SRA924646,01,2020,Eisen,3T3,actD_7hr_input_PAL_read1,3T3,3T3,miR-1,7h,FALSE,PAL-seq,GSM3962854
SRR9730143,23272866,930914640,40,334,SRX6487426,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136377,SAMN12337685,simple,10090,Mus musculus,GSM3962855,GEO,SRA924646,01,2020,Eisen,3T3,actD_Total_eluate,3T3,3T3,miR-1,Ss,FALSE,RNA prepared with NEXT-flex kit,GSM3962855
SRR9730144,8139705,2441911500,50,1148,SRX6487427,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136378,SAMN12337684,simple,10090,Mus musculus,GSM3962856,GEO,SRA924646,01,2020,Eisen,3T3,actD_Total_eluate_read1,3T3,3T3,miR-1,Ss,FALSE,PAL-seq,GSM3962856
SRR9730145,21578921,6473676300,50,3404,SRX6487428,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136379,SAMN12337680,simple,10090,Mus musculus,GSM3962857,GEO,SRA924646,01,2020,Eisen,3T3,directLig_miR155Uninduced_R0_PAL_read1,3T3,3T3,miR-155,Ss,TRUE,PAL-seq,GSM3962857
SRR9730210,6809168,272366720,40,122,SRX6487429,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136380,SAMN12337974,simple,10090,Mus musculus,GSM3962922,GEO,SRA924646,01,2020,Eisen,3T3,miR155_TotalInducedRPF,3T3,3T3,miR-155,Ss,TRUE,RPF,GSM3962922
SRR9730211,10367832,3110349600,50,1444,SRX6487430,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136381,SAMN12337973,simple,10090,Mus musculus,GSM3962923,GEO,SRA924646,01,2020,Eisen,3T3,miR155_totalUninduced_PAL_read1,3T3,3T3,miR-155,Ss,FALSE,PAL-seq,GSM3962923
SRR9730212,17874190,714967600,40,320,SRX6487431,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136382,SAMN12337972,simple,10090,Mus musculus,GSM3962924,GEO,SRA924646,01,2020,Eisen,3T3,miR155_TotalUninducedRNA,3T3,3T3,miR-155,Ss,FALSE,RNAseq matched to RPF,GSM3962924
SRR9730213,24016359,960654360,40,614,SRX6487432,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136383,SAMN12337971,simple,10090,Mus musculus,GSM3962925,GEO,SRA924646,01,2020,Eisen,3T3,miR1_minus5EU_InducedRNA,3T3,3T3,miR-1,Ss,TRUE,RNAseq matched to RPF,GSM3962925
SRR9730214,19071632,762865280,40,490,SRX6487433,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136384,SAMN12337970,simple,10090,Mus musculus,GSM3962926,GEO,SRA924646,01,2020,Eisen,3T3,miR1_minus5EU_InducedRPF,3T3,3T3,miR-1,Ss,TRUE,RPF,GSM3962926
SRR9730215,23862501,954500040,40,532,SRX6487434,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136385,SAMN12337969,simple,10090,Mus musculus,GSM3962927,GEO,SRA924646,01,2020,Eisen,3T3,miR1_minus5EU_UninducedRNA,3T3,3T3,miR-1,Ss,FALSE,RNAseq matched to RPF,GSM3962927
SRR9730216,27786018,1111440720,40,662,SRX6487435,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136386,SAMN12337968,simple,10090,Mus musculus,GSM3962928,GEO,SRA924646,01,2020,Eisen,3T3,miR1_minus5EU_UninducedRPF,3T3,3T3,miR-1,Ss,FALSE,RPF,GSM3962928
SRR9730217,10698926,3209677800,50,1549,SRX6487436,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136387,SAMN12337967,simple,10090,Mus musculus,GSM3962929,GEO,SRA924646,01,2020,Eisen,3T3,miR1_totalInduced_PAL_read1,3T3,3T3,miR-1,Ss,TRUE,PAL-seq,GSM3962929
SRR9730146,23652324,7095697200,50,3606,SRX6487437,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136388,SAMN12337683,simple,10090,Mus musculus,GSM3962858,GEO,SRA924646,01,2020,Eisen,3T3,directLig_miR155Induced_R0_PAL_read1,3T3,3T3,miR-155,Ss,TRUE,PAL-seq,GSM3962858
SRR9730147,21183806,6355141800,50,3336,SRX6487438,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136389,SAMN12337682,simple,10090,Mus musculus,GSM3962859,GEO,SRA924646,01,2020,Eisen,3T3,directLig_miR1Uninduced_R0_PAL_read1,3T3,3T3,miR-1,Ss,TRUE,PAL-seq,GSM3962859
SRR9730148,24963862,7489158600,50,3919,SRX6487439,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136390,SAMN12337681,simple,10090,Mus musculus,GSM3962860,GEO,SRA924646,01,2020,Eisen,3T3,directLig_miR1Induced_R0_PAL_read1,3T3,3T3,miR-1,Ss,TRUE,PAL-seq,GSM3962860
SRR9730149,7629088,2288726400,50,1148,SRX6487440,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136391,SAMN12337679,simple,10090,Mus musculus,GSM3962861,GEO,SRA924646,01,2020,Eisen,3T3,miR1_1hrInduced_PAL_read1,3T3,3T3,miR-1,1h,TRUE,PAL-seq,GSM3962861
SRR9730150,42177794,1687111760,40,1057,SRX6487441,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136392,SAMN12337678,simple,10090,Mus musculus,GSM3962862,GEO,SRA924646,01,2020,Eisen,3T3,miR1_1hrInducedRNA,3T3,3T3,miR-1,1h,TRUE,RNAseq matched to RPF,GSM3962862
SRR9730151,38028625,1521145000,40,956,SRX6487442,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136393,SAMN12337677,simple,10090,Mus musculus,GSM3962863,GEO,SRA924646,01,2020,Eisen,3T3,miR1_1hrInducedRPF,3T3,3T3,miR-1,1h,TRUE,RPF,GSM3962863
SRR9730152,33446801,10034040300,50,5127,SRX6487443,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP215938,PRJNA556006,31902669,"",SRS5136394,SAMN12337676,simple,10090,Mus musculus,GSM3962864,GEO,SRA924646,01,2020,Eisen,3T3,miR1_1hrUninduced_PAL_read1,3T3,3T3,miR-1,1h,FALSE,PAL-seq,GSM3962864
