Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment,strain,GEO Accession
SRR10072565,7040462,188499795,26,119,SRX6806081,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350398,SAMN12700057,simple,9606,Homo sapiens,GSM4062082,GEO,SRA957020,07,2021,Sharma,Human embryonic kidney cells,HEK293T_5min_100ugCHX,Human embryonic kidney cells,HEK 293T,Embryonic kidney cell line,5min 100ug CHX,,GSM4062082
SRR10072566,5992012,162444962,27,102,SRX6806082,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350399,SAMN12700056,simple,9606,Homo sapiens,GSM4062083,GEO,SRA957020,07,2021,Sharma,Human embryonic kidney cells,HEK293T_1min_200ugCHX,Human embryonic kidney cells,HEK 293T,Embryonic kidney cell line,1min 200ug CHX,,GSM4062083
SRR10072567,7171207,192200510,26,120,SRX6806083,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350400,SAMN12700055,simple,9606,Homo sapiens,GSM4062084,GEO,SRA957020,07,2021,Sharma,Human embryonic kidney cells,HEK293T_2min_200ugCHX,Human embryonic kidney cells,HEK 293T,Embryonic kidney cell line,2min 200ug CHX,,GSM4062084
SRR10072568,4130083,105839855,25,80,SRX6806084,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350401,SAMN12700054,simple,9606,Homo sapiens,GSM4062085,GEO,SRA957020,07,2021,Sharma,Human embryonic kidney cells,HEK293T_300U_RNaseI,Human embryonic kidney cells,HEK 293T,Embryonic kidney cell line,300U RNaseI,,GSM4062085
SRR10072569,7736718,195726694,25,148,SRX6806085,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350402,SAMN12700052,simple,9606,Homo sapiens,GSM4062086,GEO,SRA957020,07,2021,Sharma,Human embryonic kidney cells,HEK293T_500U_RNaseI,Human embryonic kidney cells,HEK 293T,Embryonic kidney cell line,500U RNaseI,,GSM4062086
SRR10072570,4338301,109084290,25,81,SRX6806086,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350403,SAMN12700051,simple,9606,Homo sapiens,GSM4062087,GEO,SRA957020,07,2021,Sharma,Human embryonic kidney cells,HEK293T_700U_RNaseI,Human embryonic kidney cells,HEK 293T,Embryonic kidney cell line,700U RNaseI,,GSM4062087
SRR10072571,5130540,132040782,25,98,SRX6806087,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350404,SAMN12700044,simple,9606,Homo sapiens,GSM4062088,GEO,SRA957020,07,2021,Sharma,Human embryonic kidney cells,HEK293T_900U_RNaseI,Human embryonic kidney cells,HEK 293T,Embryonic kidney cell line,900U RNaseI,,GSM4062088
SRR10072572,28173303,633369472,22,282,SRX6806088,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350405,SAMN12700043,simple,4932,Saccharomyces cerevisiae,GSM4062089,GEO,SRA957020,07,2021,Sharma,Yeast,SacCer_plus_plus_1,Yeast,,,"Pre-treated with CHX, lyzed in buffer containing CHX",BY4741,GSM4062089
SRR10072573,44475983,865114223,19,456,SRX6806089,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350406,SAMN12700050,simple,4932,Saccharomyces cerevisiae,GSM4062090,GEO,SRA957020,07,2021,Sharma,Yeast,SacCer_plus_plus_2,Yeast,,,"Pre-treated with CHX, lyzed in buffer containing CHX",BY4741,GSM4062090
SRR10072574,13791884,324082494,23,229,SRX6806090,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350407,SAMN12700049,simple,4932,Saccharomyces cerevisiae,GSM4062091,GEO,SRA957020,07,2021,Sharma,Yeast,SacCer_plus_plus_3,Yeast,,,"Pre-treated with CHX, lyzed in buffer containing CHX",BY4741,GSM4062091
SRR10072575,12865314,293385509,22,144,SRX6806091,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350408,SAMN12700048,simple,4932,Saccharomyces cerevisiae,GSM4062092,GEO,SRA957020,07,2021,Sharma,Yeast,SacCer_minus_plus_1,Yeast,,,"Not pre-treated with CHX, lyzed in buffer containing CHX",BY4741,GSM4062092
SRR10072576,41608787,917180425,22,452,SRX6806092,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350409,SAMN12700046,simple,4932,Saccharomyces cerevisiae,GSM4062093,GEO,SRA957020,07,2021,Sharma,Yeast,SacCer_minus_plus_2,Yeast,,,"Not pre-treated with CHX, lyzed in buffer containing CHX",BY4741,GSM4062093
SRR10072577,24767163,598997646,24,414,SRX6806093,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350410,SAMN12700045,simple,4932,Saccharomyces cerevisiae,GSM4062094,GEO,SRA957020,07,2021,Sharma,Yeast,SacCer_minus_plus_3,Yeast,,,"Not pre-treated with CHX, lyzed in buffer containing CHX",BY4741,GSM4062094
SRR10072578,11844163,262113373,22,133,SRX6806094,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350411,SAMN12700042,simple,4932,Saccharomyces cerevisiae,GSM4062095,GEO,SRA957020,07,2021,Sharma,Yeast,SacCer_minus_minus_1,Yeast,,,"Not pre-treated with CHX, not lyzed in buffer containing CHX",BY4741,GSM4062095
SRR10072579,19240601,425683712,22,210,SRX6806095,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350412,SAMN12700041,simple,4932,Saccharomyces cerevisiae,GSM4062096,GEO,SRA957020,07,2021,Sharma,Yeast,SacCer_minus_minus_2,Yeast,,,"Not pre-treated with CHX, not lyzed in buffer containing CHX",BY4741,GSM4062096
SRR10072580,26526757,596588477,22,425,SRX6806096,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350413,SAMN12700040,simple,4932,Saccharomyces cerevisiae,GSM4062097,GEO,SRA957020,07,2021,Sharma,Yeast,SacCer_minus_minus_3,Yeast,,,"Not pre-treated with CHX, not lyzed in buffer containing CHX",BY4741,GSM4062097
SRR10072581,11296671,325911788,28,211,SRX6806097,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350414,SAMN12700039,simple,4932,Saccharomyces cerevisiae,GSM4062098,GEO,SRA957020,07,2021,Sharma,Yeast,SacCer_400U_RNaseI,Yeast,,,400U RNaseI,BY4741,GSM4062098
SRR10072582,19151767,542115650,28,348,SRX6806098,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350415,SAMN12700038,simple,4932,Saccharomyces cerevisiae,GSM4062099,GEO,SRA957020,07,2021,Sharma,Yeast,SacCer_600U_RNaseI,Yeast,,,600U RNaseI,BY4741,GSM4062099
SRR10072583,7962121,226063107,28,146,SRX6806099,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP220473,PRJNA564089,34429433,"",SRS5350416,SAMN12700037,simple,4932,Saccharomyces cerevisiae,GSM4062100,GEO,SRA957020,07,2021,Sharma,Yeast,SacCer_800U_RNaseI,Yeast,,,800U RNaseI,BY4741,GSM4062100
SRR10072584,13580330,400660549,29,269,SRX6806100,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP220473,PRJNA564089,34429433,"",SRS5350417,SAMN12700085,simple,5476,Candida albicans,GSM4062101,GEO,SRA957020,07,2021,Sharma,Yeast,CanAlb_plus_plus_1,Yeast,,,"Pre-treated with CHX, lyzed in buffer containing CHX",SN87,GSM4062101
SRR10072585,12372779,376367483,30,249,SRX6806101,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP220473,PRJNA564089,34429433,"",SRS5350418,SAMN12700084,simple,5476,Candida albicans,GSM4062102,GEO,SRA957020,07,2021,Sharma,Yeast,CanAlb_plus_plus_2,Yeast,,,"Pre-treated with CHX, lyzed in buffer containing CHX",SN87,GSM4062102
SRR10072586,16740719,493620573,29,328,SRX6806102,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP220473,PRJNA564089,34429433,"",SRS5350419,SAMN12700083,simple,4896,Schizosaccharomyces pombe,GSM4062103,GEO,SRA957020,07,2021,Sharma,Yeast,SacPom_plus_plus_1,Yeast,,,"Pre-treated with CHX, lyzed in buffer containing CHX",972(h-),GSM4062103
SRR10072587,25319192,738283867,29,490,SRX6806103,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP220473,PRJNA564089,34429433,"",SRS5350420,SAMN12700082,simple,4896,Schizosaccharomyces pombe,GSM4062104,GEO,SRA957020,07,2021,Sharma,Yeast,SacPom_plus_plus_2,Yeast,,,"Pre-treated with CHX, lyzed in buffer containing CHX",972(h-),GSM4062104
