Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,treatment,GEO Accession
SRR6181550,22832425,1712431875,75,567,SRX3292092,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601271,SAMN07795663,simple,9606,Homo sapiens,GSM2817683,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF-sc-4,ATCC Cell Lines,HeLa,DHX36 siRNA,GSM2817697
SRR6181551,24374055,1828054125,75,743,SRX3292093,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601272,SAMN07795662,simple,9606,Homo sapiens,GSM2817684,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX36_1,ATCC Cell Lines,HeLa,DHX9 siRNA,GSM2817698
SRR6181552,23080557,1731041775,75,724,SRX3292093,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601272,SAMN07795662,simple,9606,Homo sapiens,GSM2817684,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX36_1,ATCC Cell Lines,HeLa,DHX9 siRNA,GSM2817699
SRR6181553,24389745,1829230875,75,736,SRX3292093,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601272,SAMN07795662,simple,9606,Homo sapiens,GSM2817684,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX36_1,ATCC Cell Lines,HeLa,DHX9 siRNA,GSM2817700
SRR6181554,24764420,1857331500,75,735,SRX3292093,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601272,SAMN07795662,simple,9606,Homo sapiens,GSM2817684,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX36_1,ATCC Cell Lines,HeLa,none,GSM2817677
SRR6181555,17293144,1296985800,75,469,SRX3292093,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601272,SAMN07795662,simple,9606,Homo sapiens,GSM2817684,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX36_1,ATCC Cell Lines,HeLa,none,GSM2817678
SRR6181556,22708294,1703122050,75,682,SRX3292094,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601273,SAMN07795665,simple,9606,Homo sapiens,GSM2817685,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX36_2,ATCC Cell Lines,HeLa,untreated,GSM2817679
SRR6181557,21662302,1624672650,75,670,SRX3292094,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601273,SAMN07795665,simple,9606,Homo sapiens,GSM2817685,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX36_2,ATCC Cell Lines,HeLa,untreated,GSM2817680
SRR6181558,22825596,1711919700,75,678,SRX3292094,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601273,SAMN07795665,simple,9606,Homo sapiens,GSM2817685,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX36_2,ATCC Cell Lines,HeLa,scramble siRNA,GSM2817681
SRR6181559,23145935,1735945125,75,676,SRX3292094,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601273,SAMN07795665,simple,9606,Homo sapiens,GSM2817685,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX36_2,ATCC Cell Lines,HeLa,scramble siRNA,GSM2817682
SRR6181560,15424294,1156822050,75,415,SRX3292094,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601273,SAMN07795665,simple,9606,Homo sapiens,GSM2817685,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX36_2,ATCC Cell Lines,HeLa,scramble siRNA,GSM2817683
SRR6181561,12225587,916919025,75,308,SRX3292095,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601274,SAMN07795664,simple,9606,Homo sapiens,GSM2817686,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF-DHX36-3,ATCC Cell Lines,HeLa,DHX36 siRNA,GSM2817684
SRR6181562,28227629,2117072175,,707,SRX3292095,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601274,SAMN07795664,simple,9606,Homo sapiens,GSM2817686,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF-DHX36-3,ATCC Cell Lines,HeLa,DHX36 siRNA,GSM2817685
SRR6181563,25959550,1946966250,75,788,SRX3292096,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601275,SAMN07795677,simple,9606,Homo sapiens,GSM2817687,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX9_1,ATCC Cell Lines,HeLa,DHX36 siRNA,GSM2817686
SRR6181564,24556837,1841762775,75,768,SRX3292096,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601275,SAMN07795677,simple,9606,Homo sapiens,GSM2817687,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX9_1,ATCC Cell Lines,HeLa,DHX9 siRNA,GSM2817687
SRR6181565,25950459,1946284425,75,779,SRX3292096,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601275,SAMN07795677,simple,9606,Homo sapiens,GSM2817687,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX9_1,ATCC Cell Lines,HeLa,DHX9 siRNA,GSM2817688
SRR6181566,26163549,1962266175,75,772,SRX3292096,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601275,SAMN07795677,simple,9606,Homo sapiens,GSM2817687,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX9_1,ATCC Cell Lines,HeLa,DHX9 siRNA,GSM2817689
SRR6181567,24810635,1860797625,75,667,SRX3292096,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601275,SAMN07795677,simple,9606,Homo sapiens,GSM2817687,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX9_1,ATCC Cell Lines,HeLa,untreated,GSM2817690
SRR6181568,25670272,1925270400,75,774,SRX3292097,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601276,SAMN07795676,simple,9606,Homo sapiens,GSM2817688,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX9_2,ATCC Cell Lines,HeLa,untreated,GSM2817691
SRR6181569,24444609,1833345675,75,759,SRX3292097,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601276,SAMN07795676,simple,9606,Homo sapiens,GSM2817688,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX9_2,ATCC Cell Lines,HeLa,scramble siRNA,GSM2817692
SRR6181570,25705963,1927947225,75,767,SRX3292097,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601276,SAMN07795676,simple,9606,Homo sapiens,GSM2817688,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX9_2,ATCC Cell Lines,HeLa,scramble siRNA,GSM2817693
SRR6181571,26088295,1956622125,75,766,SRX3292097,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601276,SAMN07795676,simple,9606,Homo sapiens,GSM2817688,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX9_2,ATCC Cell Lines,HeLa,scramble siRNA,GSM2817694
SRR6181572,48896000,3667200000,75,1320,SRX3292097,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601276,SAMN07795676,simple,9606,Homo sapiens,GSM2817688,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF_DHX9_2,ATCC Cell Lines,HeLa,DHX36 siRNA,GSM2817695
SRR6181573,21335771,1600182825,75,525,SRX3292098,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601277,SAMN07795675,simple,9606,Homo sapiens,GSM2817689,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF-DHX9-3,ATCC Cell Lines,HeLa,DHX36 siRNA,GSM2817696
SRR6181574,29035853,2177688975,75,709,SRX3292098,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601277,SAMN07795675,simple,9606,Homo sapiens,GSM2817689,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RPF-DHX9-3,ATCC Cell Lines,HeLa,DHX36 siRNA,GSM2817697
SRR6181575,20694233,1552067475,75,506,SRX3292099,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601278,SAMN07795674,simple,9606,Homo sapiens,GSM2817690,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RNA-NT-1,ATCC Cell Lines,HeLa,DHX9 siRNA,GSM2817698
SRR6181576,9874905,740617875,,242,SRX3292099,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601278,SAMN07795674,simple,9606,Homo sapiens,GSM2817690,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RNA-NT-1,ATCC Cell Lines,HeLa,DHX9 siRNA,GSM2817699
SRR6181577,12359725,926979375,75,310,SRX3292100,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601279,SAMN07795673,simple,9606,Homo sapiens,GSM2817691,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RNA-NT-2,ATCC Cell Lines,HeLa,DHX9 siRNA,GSM2817700
SRR6181578,12319209,923940675,75,309,SRX3292100,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601279,SAMN07795673,simple,9606,Homo sapiens,GSM2817691,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RNA-NT-2,ATCC Cell Lines,HeLa,none,GSM2817677
SRR6181579,52605727,3945429525,75,1358,SRX3292101,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601280,SAMN07795679,simple,9606,Homo sapiens,GSM2817692,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RNA_sc_2,ATCC Cell Lines,HeLa,none,GSM2817678
SRR6181580,18633235,1397492625,75,462,SRX3292102,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601281,SAMN07795678,simple,9606,Homo sapiens,GSM2817693,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RNA-sc-3,ATCC Cell Lines,HeLa,untreated,GSM2817679
SRR6181581,8916782,668758650,75,220,SRX3292102,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601281,SAMN07795678,simple,9606,Homo sapiens,GSM2817693,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RNA-sc-3,ATCC Cell Lines,HeLa,untreated,GSM2817680
SRR6181582,10619312,796448400,75,261,SRX3292103,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601282,SAMN07795666,simple,9606,Homo sapiens,GSM2817694,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RNA-sc-4,ATCC Cell Lines,HeLa,scramble siRNA,GSM2817681
SRR6181583,15378293,1153371975,75,378,SRX3292103,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601282,SAMN07795666,simple,9606,Homo sapiens,GSM2817694,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RNA-sc-4,ATCC Cell Lines,HeLa,scramble siRNA,GSM2817682
SRR6181584,19051457,1428859275,75,500,SRX3292104,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601283,SAMN07795667,simple,9606,Homo sapiens,GSM2817695,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RNA_DHX36_1,ATCC Cell Lines,HeLa,scramble siRNA,GSM2817683
SRR6181585,36588699,2744152425,75,940,SRX3292105,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601284,SAMN07795668,simple,9606,Homo sapiens,GSM2817696,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RNA_DHX36_2,ATCC Cell Lines,HeLa,DHX36 siRNA,GSM2817684
SRR6181586,7826260,586969500,75,195,SRX3292106,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601285,SAMN07795672,simple,9606,Homo sapiens,GSM2817697,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RNA-DHX36-3,ATCC Cell Lines,HeLa,DHX36 siRNA,GSM2817685
SRR6181587,14193332,1064499900,75,353,SRX3292106,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601285,SAMN07795672,simple,9606,Homo sapiens,GSM2817697,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RNA-DHX36-3,ATCC Cell Lines,HeLa,DHX36 siRNA,GSM2817686
SRR6181588,100558629,7541897175,75,2576,SRX3292107,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601286,SAMN07795671,simple,9606,Homo sapiens,GSM2817698,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RNA_DHX9_1,ATCC Cell Lines,HeLa,DHX9 siRNA,GSM2817687
SRR6181589,57655288,4324146600,75,1515,SRX3292108,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601287,SAMN07795670,simple,9606,Homo sapiens,GSM2817699,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RNA_DHX9_2,ATCC Cell Lines,HeLa,DHX9 siRNA,GSM2817688
SRR6181590,21107517,1583063775,75,518,SRX3292109,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601288,SAMN07795669,simple,9606,Homo sapiens,GSM2817700,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RNA-DHX9-3,ATCC Cell Lines,HeLa,DHX9 siRNA,GSM2817689
SRR6181591,13945263,1045894725,75,342,SRX3292109,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP120157,PRJNA414611,30591072,"",SRS2601288,SAMN07795669,simple,9606,Homo sapiens,GSM2817700,GEO,SRA620345,04,2018,Murat,ATCC Cell Lines,RNA-DHX9-3,ATCC Cell Lines,HeLa,untreated,GSM2817690
