Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,genotype
SRR18113913,8441728,2532518400,150,780,SRX14264275,GSM5911778,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083235,SAMN26199045,simple,9606,Homo sapiens,GSM5911778,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,h_H1_hESC_500_RNA_rep1,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,WT
SRR18113912,8270552,2481165600,150,1059,SRX14264276,GSM5911779,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083236,SAMN26199044,simple,9606,Homo sapiens,GSM5911779,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_ICM_10_RNA_rep1,Preimplantation embryo,Preimplantation embryo,ICM,WT
SRR18113911,7192687,2157806100,150,762,SRX14264277,GSM5911780,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083237,SAMN26199043,simple,9606,Homo sapiens,GSM5911780,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_ICM_15_RNA_rep2,Preimplantation embryo,Preimplantation embryo,ICM,WT
SRR18113910,8259554,2477866200,150,1012,SRX14264278,GSM5911781,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083238,SAMN26199042,simple,9606,Homo sapiens,GSM5911781,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Oocyte,h_MI_19_RNA_rep2,Oocyte,Oocyte,MI oocyte,WT
SRR18113909,11686999,3506099700,150,1114,SRX14264279,GSM5911782,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083239,SAMN26199041,simple,9606,Homo sapiens,GSM5911782,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Oocyte,h_MI_4_RNA_rep1,Oocyte,Oocyte,MI oocyte,WT
SRR18113908,6387865,1916359500,150,594,SRX14264280,GSM5911783,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083240,SAMN26199040,simple,9606,Homo sapiens,GSM5911783,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Oocyte,h_MII_10_RNA_rep2,Oocyte,Oocyte,MII oocyte,WT
SRR18113907,7088077,2126423100,150,906,SRX14264281,GSM5911784,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083241,SAMN26199039,simple,9606,Homo sapiens,GSM5911784,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Oocyte,h_MII_9_RNA_rep1,Oocyte,Oocyte,MII oocyte,WT
SRR18113906,9542687,2862806100,150,915,SRX14264282,GSM5911785,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083242,SAMN26199038,simple,9606,Homo sapiens,GSM5911785,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_zygote_2PN_21_RNA_rep1,Preimplantation embryo,Preimplantation embryo,1-cell,WT
SRR18113903,19986726,2998008900,150,1080,SRX14264283,GSM5911787,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083243,SAMN26199036,simple,9606,Homo sapiens,GSM5911787,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_2cell_2PN_21_Ribo_rep1,Preimplantation embryo,Preimplantation embryo,2-cell,WT
SRR18113904,24537112,3680566800,150,1323,SRX14264283,GSM5911787,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083243,SAMN26199036,simple,9606,Homo sapiens,GSM5911787,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_2cell_2PN_21_Ribo_rep1,Preimplantation embryo,Preimplantation embryo,1-cell,WT
SRR18113902,10058887,3017666100,150,988,SRX14264284,GSM5911786,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083244,SAMN26199037,simple,9606,Homo sapiens,GSM5911786,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_zygote_3PN_25_RNA_rep2,Preimplantation embryo,Preimplantation embryo,2-cell,WT
SRR18113900,12679748,1901962200,150,676,SRX14264285,GSM5911788,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083245,SAMN26199035,simple,9606,Homo sapiens,GSM5911788,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_2cell_3PN_22_Ribo_rep2,Preimplantation embryo,Preimplantation embryo,4-cell,WT
SRR18113901,38395715,5759357250,150,2045,SRX14264285,GSM5911788,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083245,SAMN26199035,simple,9606,Homo sapiens,GSM5911788,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_2cell_3PN_22_Ribo_rep2,Preimplantation embryo,Preimplantation embryo,7-cell,TPRX12 KD
SRR18113897,16049001,2407350150,150,868,SRX14264286,GSM5911789,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083246,SAMN26199034,simple,9606,Homo sapiens,GSM5911789,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_4cell_2PN_22_Ribo_rep1,Preimplantation embryo,Preimplantation embryo,8-cell,TPRX12 KD
SRR18113898,71098894,10664834100,150,3756,SRX14264286,GSM5911789,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083246,SAMN26199034,simple,9606,Homo sapiens,GSM5911789,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_4cell_2PN_22_Ribo_rep1,Preimplantation embryo,Preimplantation embryo,9-cell,TPRX12 KD
SRR18113896,5501331,1650399300,150,541,SRX14264287,GSM5911853,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083247,SAMN26198970,simple,9606,Homo sapiens,GSM5911853,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12_d3_5C_smartseq,Preimplantation embryo,Preimplantation embryo,9-cell,TPRX12 KD
SRR18113895,9855207,2956562100,150,957,SRX14264288,GSM5911854,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083248,SAMN26198969,simple,9606,Homo sapiens,GSM5911854,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12_d3_7C_smartseq,Preimplantation embryo,Preimplantation embryo,9-cell,TPRX12 KD
SRR18113894,5070756,1521226800,150,491,SRX14264289,GSM5911855,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083249,SAMN26198968,simple,9606,Homo sapiens,GSM5911855,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12_d3_8C_smartseq,Preimplantation embryo,Preimplantation embryo,9-cell,TPRX12 KD
SRR18113893,9181280,2754384000,150,908,SRX14264290,GSM5911856,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083250,SAMN26198967,simple,9606,Homo sapiens,GSM5911856,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12_d3_9C_1_smartseq,Preimplantation embryo,Preimplantation embryo,10-cell,TPRXL KD
SRR18113892,5698649,1709594700,150,566,SRX14264291,GSM5911857,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083251,SAMN26198966,simple,9606,Homo sapiens,GSM5911857,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12_d3_9C_2_smartseq,Preimplantation embryo,Preimplantation embryo,3-cell,TPRXL KD
SRR18113891,4772624,1431787200,150,462,SRX14264292,GSM5911858,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083252,SAMN26198965,simple,9606,Homo sapiens,GSM5911858,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12_d3_9C_3_smartseq,Preimplantation embryo,Preimplantation embryo,3-cell,TPRXL KD
SRR18113890,5305406,1591621800,150,526,SRX14264293,GSM5911859,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083253,SAMN26198964,simple,9606,Homo sapiens,GSM5911859,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRXL_d3_10C_smartseq,Preimplantation embryo,Preimplantation embryo,6-cell,TPRXL KD
SRR18113889,4872645,1461793500,150,484,SRX14264294,GSM5911860,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083254,SAMN26198963,simple,9606,Homo sapiens,GSM5911860,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRXL_d3_3C_1_smartseq,Preimplantation embryo,Preimplantation embryo,6-cell,TPRXL KD
SRR18113888,5133773,1540131900,150,521,SRX14264295,GSM5911861,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083255,SAMN26198962,simple,9606,Homo sapiens,GSM5911861,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRXL_d3_3C_2_smartseq,Preimplantation embryo,Preimplantation embryo,7-cell,TPRXL KD
SRR18113887,9829314,2948794200,150,959,SRX14264296,GSM5911862,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083256,SAMN26198961,simple,9606,Homo sapiens,GSM5911862,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRXL_d3_6c_1_smartseq,Preimplantation embryo,Preimplantation embryo,7-cell,TPRXL KD
SRR18113886,10871394,3261418200,150,1058,SRX14264297,GSM5911863,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083257,SAMN26198960,simple,9606,Homo sapiens,GSM5911863,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRXL_d3_6c_2_smartseq,Preimplantation embryo,Preimplantation embryo,8-cell,TPRXL KD
SRR18113885,9640582,2892174600,150,938,SRX14264298,GSM5911864,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083258,SAMN26198959,simple,9606,Homo sapiens,GSM5911864,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRXL_d3_7c_1_smartseq,Preimplantation embryo,Preimplantation embryo,8-cell,TPRXL KD
SRR18113884,11444137,3433241100,150,1113,SRX14264299,GSM5911865,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083259,SAMN26198958,simple,9606,Homo sapiens,GSM5911865,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRXL_d3_7c_2_smartseq,Preimplantation embryo,Preimplantation embryo,9-cell,TPRXL KD
SRR18113883,11531111,3459333300,150,1129,SRX14264300,GSM5911866,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083260,SAMN26198957,simple,9606,Homo sapiens,GSM5911866,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRXL_d3_8c_1_smartseq,Preimplantation embryo,Preimplantation embryo,morula,TPRXL KD
SRR18113882,9354870,2806461000,150,915,SRX14264301,GSM5911867,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083261,SAMN26198956,simple,9606,Homo sapiens,GSM5911867,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRXL_d3_8c_2_smartseq,Preimplantation embryo,Preimplantation embryo,10-cell,TPRX12L KD
SRR18113881,4419336,1325800800,150,438,SRX14264302,GSM5911868,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083262,SAMN26198955,simple,9606,Homo sapiens,GSM5911868,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRXL_d3_9C_smartseq,Preimplantation embryo,Preimplantation embryo,3-cell,TPRX12L KD
SRR18113880,4387049,1316114700,150,436,SRX14264303,GSM5911869,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083263,SAMN26198954,simple,9606,Homo sapiens,GSM5911869,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRXL_d3_morula_smartseq,Preimplantation embryo,Preimplantation embryo,5-cell,TPRX12L KD
SRR18113879,5562485,1668745500,150,513,SRX14264304,GSM5911870,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083264,SAMN26198953,simple,9606,Homo sapiens,GSM5911870,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12L_d3_10C_smartseq,Preimplantation embryo,Preimplantation embryo,5-cell,TPRX12L KD
SRR18113878,4104403,1231320900,150,392,SRX14264305,GSM5911871,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083265,SAMN26198952,simple,9606,Homo sapiens,GSM5911871,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12L_d3_3C_smartseq,Preimplantation embryo,Preimplantation embryo,5-cell,TPRX12L KD
SRR18113877,5281922,1584576600,150,492,SRX14264306,GSM5911872,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083266,SAMN26198951,simple,9606,Homo sapiens,GSM5911872,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12L_d3_5C_1_smartseq,Preimplantation embryo,Preimplantation embryo,6-cell,TPRX12L KD
SRR18113876,5451509,1635452700,150,516,SRX14264307,GSM5911873,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083267,SAMN26198950,simple,9606,Homo sapiens,GSM5911873,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12L_d3_5C_2_smartseq,Preimplantation embryo,Preimplantation embryo,6-cell,TPRX12L KD
SRR18113875,5398119,1619435700,150,521,SRX14264308,GSM5911874,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083268,SAMN26198949,simple,9606,Homo sapiens,GSM5911874,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12L_d3_5C_3_smartseq,Preimplantation embryo,Preimplantation embryo,5-cell,LEUTX KD
SRR18113874,6244024,1873207200,150,582,SRX14264309,GSM5911875,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083269,SAMN26198948,simple,9606,Homo sapiens,GSM5911875,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12L_d3_6C_1_smartseq,Preimplantation embryo,Preimplantation embryo,7-cell,LEUTX KD
SRR18113730,4301092,1290327600,150,407,SRX14264310,GSM5911876,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083270,SAMN26198947,simple,9606,Homo sapiens,GSM5911876,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12L_d3_6C_2_smartseq,Preimplantation embryo,Preimplantation embryo,7-cell,LEUTX KD
SRR18113872,6075439,1822631700,150,585,SRX14264311,GSM5911925,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083271,SAMN26198898,simple,9606,Homo sapiens,GSM5911925,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLEUTX_d3_5C_2_smartseq,Preimplantation embryo,Preimplantation embryo,8-cell,LEUTX KD
SRR18113871,7864028,2359208400,150,758,SRX14264312,GSM5911926,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083272,SAMN26198897,simple,9606,Homo sapiens,GSM5911926,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLEUTX_d3_7C_1_smartseq,Preimplantation embryo,Preimplantation embryo,8-cell,LEUTX KD
SRR18113870,5430806,1629241800,150,526,SRX14264313,GSM5911927,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083273,SAMN26198896,simple,9606,Homo sapiens,GSM5911927,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLEUTX_d3_7C_2_smartseq,Preimplantation embryo,Preimplantation embryo,9-cell,LEUTX KD
SRR18113869,4495081,1348524300,150,442,SRX14264314,GSM5911928,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083274,SAMN26198895,simple,9606,Homo sapiens,GSM5911928,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLEUTX_d3_8C_1_smartseq,Preimplantation embryo,Preimplantation embryo,9-cell,LEUTX KD
SRR18113868,5227556,1568266800,150,490,SRX14264315,GSM5911929,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083275,SAMN26198894,simple,9606,Homo sapiens,GSM5911929,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLEUTX_d3_8C_2_smartseq,Preimplantation embryo,Preimplantation embryo,9-cell,LEUTX KD
