Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,common name,sample name,sex,strain,sub strain
ERR653370,79463197,3017992480,37,2154,ERX609920,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566287,SAMEA2813919,simple,10116,Rattus norvegicus,SAMEA2813919,MDC,ERA367853,05,2015,Makar,"",SHR-05_heart_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813919,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:24Z,public,SHR-05_heart_tot_trimmed,Norway rat,SHR-05_heart_tot_trimmed,male,SHR,SHR/Ola
ERR653372,61797665,1845959062,29,1377,ERX609922,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566289,SAMEA2813921,simple,10116,Rattus norvegicus,SAMEA2813921,MDC,ERA367853,05,2015,Makar,"",SHR-02_heart_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813921,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:24Z,public,SHR-02_heart_rpf_trimmed,Norway rat,SHR-02_heart_rpf_trimmed,male,SHR,SHR/Ola
ERR653373,58832230,1739378534,29,1301,ERX609923,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566290,SAMEA2813922,simple,10116,Rattus norvegicus,SAMEA2813922,MDC,ERA367853,05,2015,Makar,"",SHR-03_heart_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813922,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:24Z,public,SHR-03_heart_rpf_trimmed,Norway rat,SHR-03_heart_rpf_trimmed,male,SHR,SHR/Ola
ERR653375,67813880,2008753544,29,1490,ERX609925,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566292,SAMEA2813924,simple,10116,Rattus norvegicus,SAMEA2813924,MDC,ERA367853,05,2015,Makar,"",SHR-05_heart_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813924,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:25Z,public,SHR-05_heart_rpf_trimmed,Norway rat,SHR-05_heart_rpf_trimmed,male,SHR,SHR/Ola
ERR653348,50619835,1973400035,38,1546,ERX609898,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566265,SAMEA2813897,simple,10116,Rattus norvegicus,SAMEA2813897,MDC,ERA367853,05,2015,Makar,"",SHR-03_liver_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813897,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:16Z,public,SHR-03_liver_tot_trimmed,Norway rat,SHR-03_liver_tot_trimmed,male,SHR,SHR/Ola
ERR653336,76768575,3160389041,41,2293,ERX609886,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566253,SAMEA2813885,simple,10116,Rattus norvegicus,SAMEA2813885,MDC,ERA367853,05,2015,Makar,"",BN-01_liver_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813885,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:14Z,public,BN-01_liver_tot_trimmed,Norway rat,BN-01_liver_tot_trimmed,male,BN,BN-Lx
ERR653338,144442614,5965067388,41,4374,ERX609888,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566255,SAMEA2813887,simple,10116,Rattus norvegicus,SAMEA2813887,MDC,ERA367853,05,2015,Makar,"",BN-03_liver_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813887,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:14Z,public,BN-03_liver_tot_trimmed,Norway rat,BN-03_liver_tot_trimmed,male,BN,BN-Lx
ERR653340,31108742,1218612129,39,962,ERX609890,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566257,SAMEA2813889,simple,10116,Rattus norvegicus,SAMEA2813889,MDC,ERA367853,05,2015,Makar,"",BN-05_liver_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813889,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:15Z,public,BN-05_liver_tot_trimmed,Norway rat,BN-05_liver_tot_trimmed,male,BN,BN-Lx
ERR653341,109005852,3211028458,29,2450,ERX609891,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566258,SAMEA2813890,simple,10116,Rattus norvegicus,SAMEA2813890,MDC,ERA367853,05,2015,Makar,"",BN-01_liver_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813890,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:15Z,public,BN-01_liver_rpf_trimmed,Norway rat,BN-01_liver_rpf_trimmed,male,BN,BN-Lx
ERR653342,102415831,3006108952,29,2297,ERX609892,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566259,SAMEA2813891,simple,10116,Rattus norvegicus,SAMEA2813891,MDC,ERA367853,05,2015,Makar,"",BN-02_liver_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813891,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:15Z,public,BN-02_liver_rpf_trimmed,Norway rat,BN-02_liver_rpf_trimmed,male,BN,BN-Lx
ERR653345,47911686,1415936070,29,1144,ERX609895,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566262,SAMEA2813894,simple,10116,Rattus norvegicus,SAMEA2813894,MDC,ERA367853,05,2015,Makar,"",BN-05_liver_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813894,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:15Z,public,BN-05_liver_rpf_trimmed,Norway rat,BN-05_liver_rpf_trimmed,male,BN,BN-Lx
ERR653347,90001050,3655054244,40,2635,ERX609897,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566264,SAMEA2813896,simple,10116,Rattus norvegicus,SAMEA2813896,MDC,ERA367853,05,2015,Makar,"",SHR-02_liver_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813896,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:15Z,public,SHR-02_liver_tot_trimmed,Norway rat,SHR-02_liver_tot_trimmed,male,SHR,SHR/Ola
ERR653337,72437504,2880527678,39,2091,ERX609887,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566254,SAMEA2813886,simple,10116,Rattus norvegicus,SAMEA2813886,MDC,ERA367853,05,2015,Makar,"",BN-02_liver_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813886,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:14Z,public,BN-02_liver_tot_trimmed,Norway rat,BN-02_liver_tot_trimmed,male,BN,BN-Lx
ERR653343,84733114,2512767330,29,1919,ERX609893,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566260,SAMEA2813892,simple,10116,Rattus norvegicus,SAMEA2813892,MDC,ERA367853,05,2015,Makar,"",BN-03_liver_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813892,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:15Z,public,BN-03_liver_rpf_trimmed,Norway rat,BN-03_liver_rpf_trimmed,male,BN,BN-Lx
ERR653344,46907431,1398816075,29,1122,ERX609894,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566261,SAMEA2813893,simple,10116,Rattus norvegicus,SAMEA2813893,MDC,ERA367853,05,2015,Makar,"",BN-04_liver_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813893,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:15Z,public,BN-04_liver_rpf_trimmed,Norway rat,BN-04_liver_rpf_trimmed,male,BN,BN-Lx
ERR653349,94207675,3697901209,39,2870,ERX609899,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566266,SAMEA2813898,simple,10116,Rattus norvegicus,SAMEA2813898,MDC,ERA367853,05,2015,Makar,"",SHR-04_liver_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813898,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:16Z,public,SHR-04_liver_tot_trimmed,Norway rat,SHR-04_liver_tot_trimmed,male,SHR,SHR/Ola
ERR653351,77021967,2230628289,28,1694,ERX609901,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566268,SAMEA2813900,simple,10116,Rattus norvegicus,SAMEA2813900,MDC,ERA367853,05,2015,Makar,"",SHR-01_liver_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813900,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:16Z,public,SHR-01_liver_rpf_trimmed,Norway rat,SHR-01_liver_rpf_trimmed,male,SHR,SHR/Ola
ERR653352,71182723,2070292273,29,1584,ERX609902,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566269,SAMEA2813901,simple,10116,Rattus norvegicus,SAMEA2813901,MDC,ERA367853,05,2015,Makar,"",SHR-02_liver_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813901,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:16Z,public,SHR-02_liver_rpf_trimmed,Norway rat,SHR-02_liver_rpf_trimmed,male,SHR,SHR/Ola
ERR653354,65575581,1922254737,29,1551,ERX609904,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566271,SAMEA2813903,simple,10116,Rattus norvegicus,SAMEA2813903,MDC,ERA367853,05,2015,Makar,"",SHR-04_liver_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813903,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:19Z,public,SHR-04_liver_rpf_trimmed,Norway rat,SHR-04_liver_rpf_trimmed,male,SHR,SHR/Ola
ERR653355,67138834,1951344851,29,1579,ERX609905,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566272,SAMEA2813904,simple,10116,Rattus norvegicus,SAMEA2813904,MDC,ERA367853,05,2015,Makar,"",SHR-05_liver_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813904,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:19Z,public,SHR-05_liver_rpf_trimmed,Norway rat,SHR-05_liver_rpf_trimmed,male,SHR,SHR/Ola
ERR653361,44318979,1274928039,28,864,ERX609911,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566278,SAMEA2813910,simple,10116,Rattus norvegicus,SAMEA2813910,MDC,ERA367853,05,2015,Makar,"",BN-01_heart_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813910,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:23Z,public,BN-01_heart_rpf_trimmed,Norway rat,BN-01_heart_rpf_trimmed,male,BN,BN-Lx
ERR653364,58074250,1710687166,29,1265,ERX609914,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566281,SAMEA2813913,simple,10116,Rattus norvegicus,SAMEA2813913,MDC,ERA367853,05,2015,Makar,"",BN-04_heart_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813913,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:23Z,public,BN-04_heart_rpf_trimmed,Norway rat,BN-04_heart_rpf_trimmed,male,BN,BN-Lx
ERR653365,69169933,2021259369,29,1490,ERX609915,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566282,SAMEA2813914,simple,10116,Rattus norvegicus,SAMEA2813914,MDC,ERA367853,05,2015,Makar,"",BN-05_heart_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813914,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:24Z,public,BN-05_heart_rpf_trimmed,Norway rat,BN-05_heart_rpf_trimmed,male,BN,BN-Lx
ERR653368,62521238,2334803927,37,1693,ERX609918,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566285,SAMEA2813917,simple,10116,Rattus norvegicus,SAMEA2813917,MDC,ERA367853,05,2015,Makar,"",SHR-03_heart_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813917,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:24Z,public,SHR-03_heart_tot_trimmed,Norway rat,SHR-03_heart_tot_trimmed,male,SHR,SHR/Ola
ERR653374,49408427,1456322842,29,1078,ERX609924,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566291,SAMEA2813923,simple,10116,Rattus norvegicus,SAMEA2813923,MDC,ERA367853,05,2015,Makar,"",SHR-04_heart_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813923,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:24Z,public,SHR-04_heart_rpf_trimmed,Norway rat,SHR-04_heart_rpf_trimmed,male,SHR,SHR/Ola
ERR653339,77641709,3123932999,40,2417,ERX609889,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566256,SAMEA2813888,simple,10116,Rattus norvegicus,SAMEA2813888,MDC,ERA367853,05,2015,Makar,"",BN-04_liver_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813888,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:14Z,public,BN-04_liver_tot_trimmed,Norway rat,BN-04_liver_tot_trimmed,male,BN,BN-Lx
ERR653346,76978916,3104280756,40,2249,ERX609896,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566263,SAMEA2813895,simple,10116,Rattus norvegicus,SAMEA2813895,MDC,ERA367853,05,2015,Makar,"",SHR-01_liver_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813895,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:15Z,public,SHR-01_liver_tot_trimmed,Norway rat,SHR-01_liver_tot_trimmed,male,SHR,SHR/Ola
ERR653350,73607874,3042374182,41,2345,ERX609900,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566267,SAMEA2813899,simple,10116,Rattus norvegicus,SAMEA2813899,MDC,ERA367853,05,2015,Makar,"",SHR-05_liver_tot_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813899,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:16Z,public,SHR-05_liver_tot_trimmed,Norway rat,SHR-05_liver_tot_trimmed,male,SHR,SHR/Ola
ERR653353,47639253,1387313988,29,1126,ERX609903,unspecified,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP007231,PRJEB7498,1,"",ERS566270,SAMEA2813902,simple,10116,Rattus norvegicus,SAMEA2813902,MDC,ERA367853,05,2015,Makar,"",SHR-03_liver_rpf_trimmed.fastq.gz,2015-05-29,2014-10-09,SAMEA2813902,MDC,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",2015-05-29T16:09:48Z,2014-10-09T10:25:19Z,public,SHR-03_liver_rpf_trimmed,Norway rat,SHR-03_liver_rpf_trimmed,male,SHR,SHR/Ola
