Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype/variation,dox treatment,karyotype,GEO Accession
SRR11798828,33025137,1668107468,50,635,SRX8350270,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666839,SAMN14934056,simple,9606,Homo sapiens,GSM4556429,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 19p Rep2,RPE1 hTERT,RPE1 immortalized with hTERT,p53 knockdown shRNA TP53,n/a,Monosomy Chr 19p,GSM4556429
SRR11798829,40456640,2043127400,50,772,SRX8350271,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666840,SAMN14934055,simple,9606,Homo sapiens,GSM4556430,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 19p Rep3,RPE1 hTERT,RPE1 immortalized with hTERT,p53 knockdown shRNA TP53,n/a,Monosomy Chr 19p,GSM4556430
SRR11798830,50181732,2533753318,50,1015,SRX8350272,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666841,SAMN14934075,simple,9606,Homo sapiens,GSM4556431,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RPE1 ip53 -D Rep1,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,No doxycycline,Diploid,GSM4556431
SRR11798831,61020428,3080632425,50,1235,SRX8350273,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666842,SAMN14934074,simple,9606,Homo sapiens,GSM4556432,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RPE1 ip53 -D Rep2,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,No doxycycline,Diploid,GSM4556432
SRR11798799,54244898,2739298718,50,1091,SRX8350274,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666843,SAMN14934073,simple,9606,Homo sapiens,GSM4556433,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RPE1 ip53 -D Rep3,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,No doxycycline,Diploid,GSM4556433
SRR11798800,51493019,2598863560,50,1046,SRX8350275,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666844,SAMN14934072,simple,9606,Homo sapiens,GSM4556434,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RPE1 ip53 +D Rep1,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,with doxycycline,Diploid,GSM4556434
SRR11798801,56193190,2836807892,50,1144,SRX8350276,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666845,SAMN14934071,simple,9606,Homo sapiens,GSM4556435,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RPE1 ip53 +D Rep2,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,with doxycycline,Diploid,GSM4556435
SRR11798802,65000065,3281503202,50,1308,SRX8350277,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666846,SAMN14934054,simple,9606,Homo sapiens,GSM4556436,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RPE1 ip53 +D Rep3,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,with doxycycline,Diploid,GSM4556436
SRR11798803,37587359,1898330342,50,809,SRX8350278,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666847,SAMN14934053,simple,9606,Homo sapiens,GSM4556437,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 10 ip53 -D Rep1,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,No doxycycline,Monosomy Chr. 10 and 18,GSM4556437
SRR11798804,45722883,2309012836,50,883,SRX8350279,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666848,SAMN14934086,simple,9606,Homo sapiens,GSM4556438,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 10 ip53 -D Rep2,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,No doxycycline,Monosomy Chr. 10 and 18,GSM4556438
SRR11798805,37586760,1898638721,50,728,SRX8350280,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666849,SAMN14934085,simple,9606,Homo sapiens,GSM4556439,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 10 ip53 -D Rep3,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,No doxycycline,Monosomy Chr. 10 and 18,GSM4556439
SRR11798806,34291566,1732138973,50,662,SRX8350281,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666850,SAMN14934084,simple,9606,Homo sapiens,GSM4556440,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 10 ip53 +D Rep1,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,with doxycycline,Monosomy Chr. 10 and 18,GSM4556440
SRR11798807,31147739,1572878008,50,606,SRX8350282,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666851,SAMN14934083,simple,9606,Homo sapiens,GSM4556441,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 10 ip53 +D Rep2,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,with doxycycline,Monosomy Chr. 10 and 18,GSM4556441
SRR11798808,73034904,3687769317,50,1422,SRX8350283,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666852,SAMN14934082,simple,9606,Homo sapiens,GSM4556442,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 10 ip53 +D Rep3,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,with doxycycline,Monosomy Chr. 10 and 18,GSM4556442
SRR11798809,67956378,3430268072,50,1329,SRX8350284,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666853,SAMN14934081,simple,9606,Homo sapiens,GSM4556443,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 13 ip53 -D Rep1,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,No doxycycline,Monosomy Chr. 13,GSM4556443
SRR11798810,76119044,3842943747,50,1515,SRX8350285,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666854,SAMN14934080,simple,9606,Homo sapiens,GSM4556444,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 13 ip53 -D Rep2,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,No doxycycline,Monosomy Chr. 13,GSM4556444
SRR11798811,70195328,3543130365,50,1383,SRX8350286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666855,SAMN14934079,simple,9606,Homo sapiens,GSM4556445,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 13 ip53 -D Rep3,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,No doxycycline,Monosomy Chr. 13,GSM4556445
SRR11798812,82448298,4162016574,50,1606,SRX8350287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666856,SAMN14934078,simple,9606,Homo sapiens,GSM4556446,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 13 ip53 +D Rep1,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,with doxycycline,Monosomy Chr. 13,GSM4556446
SRR11798813,38927239,1965142117,50,759,SRX8350288,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666857,SAMN14934077,simple,9606,Homo sapiens,GSM4556447,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 13 ip53 +D Rep2,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,with doxycycline,Monosomy Chr. 13,GSM4556447
SRR11798814,47463887,2396208142,50,918,SRX8350289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666858,SAMN14934076,simple,9606,Homo sapiens,GSM4556448,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RM 13 ip53 +D Rep3,RPE1 hTERT,RPE1 immortalized with hTERT,Cells lines with inducible p53,with doxycycline,Monosomy Chr. 13,GSM4556448
SRR11798815,37945781,1916613531,50,725,SRX8350290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666859,SAMN14934070,simple,9606,Homo sapiens,GSM4556416,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RPE1 p53KO Rep1,RPE1 hTERT,RPE1 immortalized with hTERT,p53 knockout,n/a,Diploid,GSM4556416
SRR11798816,39808834,2010596262,50,765,SRX8350291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666860,SAMN14934068,simple,9606,Homo sapiens,GSM4556417,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RPE1 p53KO Rep2,RPE1 hTERT,RPE1 immortalized with hTERT,p53 knockout,n/a,Diploid,GSM4556417
SRR11798817,43228056,2182757145,50,831,SRX8350292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261893,PRJNA633154,34552071,"",SRS6666861,SAMN14934067,simple,9606,Homo sapiens,GSM4556418,GEO,SRA1076023,05,2021,Chunduri,RPE1 hTERT,RPE1 p53KO Rep3,RPE1 hTERT,RPE1 immortalized with hTERT,p53 knockout,n/a,Diploid,GSM4556418
