Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,ecotype,age,dev_stage,geo_loc_name,tissue,sample_type,temp,treatment,Replica,BioSampleModel
SRR12343690,36944312,2659990464,72,898,SRX8843329,ControlIAA24_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106388,SAMN15666637,simple,3702,Arabidopsis thaliana,ControlIAA24_FP_r1T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of control auxin seedlings at  24h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,24 hours control,1,Plant
SRR12343689,25163342,1811760624,72,668,SRX8843330,ControlIAA24_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106389,SAMN15666638,simple,3702,Arabidopsis thaliana,ControlIAA24_FP_r2T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of control auxin seedlings at  24h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,24 hours control,2,Plant
SRR12343688,31152596,2242986912,72,754,SRX8843331,ControlIAA12_FP_r3T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106390,SAMN15666621,simple,3702,Arabidopsis thaliana,ControlIAA12_FP_r3T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of control auxin seedlings at 12h  auxin-Replicate 3,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,12 hours control,3,Plant
SRR12343687,40787403,2936693016,72,994,SRX8843332,ControlIAA24_FP_r3T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106391,SAMN15666639,simple,3702,Arabidopsis thaliana,ControlIAA24_FP_r3T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of control auxin seedlings at  24h-Replicate 3,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,24 hours control,3,Plant
SRR12343686,19112797,1376121384,72,476,SRX8843333,ControlIAA24_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106392,SAMN15666640,simple,3702,Arabidopsis thaliana,ControlIAA24_TR_r1T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of control auxin seedlings at 24h-Replicate  1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,24 hours control,1,Plant
SRR12343685,10784598,776491056,72,289,SRX8843334,ControlIAA24_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106393,SAMN15666641,simple,3702,Arabidopsis thaliana,ControlIAA24_TR_r2T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of control auxin seedlings at 24h-Replicate  2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,24 hours control,2,Plant
SRR12343684,12139467,874041624,72,297,SRX8843335,ControlIAA24_TR_r3T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106394,SAMN15666642,simple,3702,Arabidopsis thaliana,ControlIAA24_TR_r3T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of control auxin seedlings at 24h-Replicate  3,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,24 hours control,3,Plant
SRR12343683,121778469,14130806818,116,4459,SRX8843336,ControlIAA30_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106395,SAMN15666643,simple,3702,Arabidopsis thaliana,ControlIAA30_FP_r1T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of control auxin seedlings at  30mins-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,30 minutes control,1,Plant
SRR12343682,21593187,1554709464,72,577,SRX8843337,ControlIAA30_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106396,SAMN15666644,simple,3702,Arabidopsis thaliana,ControlIAA30_FP_r2T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of control auxin seedlings at  30mins-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,30 minutes control,2,Plant
SRR12343681,118710559,14012170398,118,4260,SRX8843338,ControlIAA30_FP_r3T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106397,SAMN15666645,simple,3702,Arabidopsis thaliana,ControlIAA30_FP_r3T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of control auxin seedlings at  30mins-Replicate 3,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,30 minutes control,3,Plant
SRR12343680,99787560,11644816920,116,3830,SRX8843339,ControlIAA30_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106398,SAMN15666646,simple,3702,Arabidopsis thaliana,ControlIAA30_TR_r1T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of control auxin seedlings at  30mins-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,30 minutes control,1,Plant
SRR12343679,13283936,956443392,72,356,SRX8843340,ControlIAA30_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106399,SAMN15666647,simple,3702,Arabidopsis thaliana,ControlIAA30_TR_r2T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of control auxin seedlings at  30mins-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,30 minutes control,2,Plant
SRR12343678,116727509,13123004398,112,4020,SRX8843341,ControlIAA30_TR_r3T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106400,SAMN15666648,simple,3702,Arabidopsis thaliana,ControlIAA30_TR_r3T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of control auxin seedlings at  30mins-Replicate 3,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,30 minutes control,3,Plant
SRR12343677,16538393,1190764296,72,416,SRX8843342,ControlIAA12_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106401,SAMN15666622,simple,3702,Arabidopsis thaliana,ControlIAA12_TR_r1T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of control auxin seedlings at 12h  auxin-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,12 hours control,1,Plant
SRR12343676,32577272,2345563584,72,804,SRX8843343,ControlIAA4_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106402,SAMN15666649,simple,3702,Arabidopsis thaliana,ControlIAA4_FP_r1T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of control auxin seedlings at  4hs-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,4 hours control,1,Plant
SRR12343675,14106725,1015684200,72,371,SRX8843344,ControlIAA4_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106403,SAMN15666650,simple,3702,Arabidopsis thaliana,ControlIAA4_FP_r2T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of control auxin seedlings at  4hs-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,4 hours control,2,Plant
SRR12343674,9852849,709405128,72,239,SRX8843345,ControlIAA4_FP_r3T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106404,SAMN15666651,simple,3702,Arabidopsis thaliana,ControlIAA4_FP_r3T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of control auxin seedlings at  4hs-Replicate 3,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,4 hours control,3,Plant
SRR12343673,10100352,727225344,72,256,SRX8843346,ControlIAA4_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106405,SAMN15666652,simple,3702,Arabidopsis thaliana,ControlIAA4_TR_r1T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of control auxin seedlings at 4hs-Replicate  1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,4 hours control,1,Plant
SRR12343672,10480047,754563384,72,283,SRX8843347,ControlIAA4_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106406,SAMN15666653,simple,3702,Arabidopsis thaliana,ControlIAA4_TR_r2T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of control auxin seedlings at 4hs-Replicate  2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,4 hours control,2,Plant
SRR12343671,6978133,502425576,72,172,SRX8843348,ControlIAA4_TR_r3T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106407,SAMN15666654,simple,3702,Arabidopsis thaliana,ControlIAA4_TR_r3T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of control auxin seedlings at 4hs-Replicate  3,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,4 hours control,3,Plant
SRR12343670,39292224,2829040128,72,961,SRX8843349,IAA12_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106408,SAMN15666655,simple,3702,Arabidopsis thaliana,IAA12_FP_r1T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of auxin treated seedlings at  12h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,12 hours auxin treatment,1,Plant
SRR12343669,32708966,2355045552,72,875,SRX8843350,IAA12_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106409,SAMN15666656,simple,3702,Arabidopsis thaliana,IAA12_FP_r2T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of auxin treated seedlings at  12h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,12 hours auxin treatment,2,Plant
SRR12343668,36059846,2596308912,72,873,SRX8843351,IAA12_FP_r3T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106410,SAMN15666657,simple,3702,Arabidopsis thaliana,IAA12_FP_r3T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of auxin treated seedlings at  12h-Replicate 3,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,12 hours auxin treatment,3,Plant
SRR12343667,12386061,891796392,72,310,SRX8843352,IAA12_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106411,SAMN15666658,simple,3702,Arabidopsis thaliana,IAA12_TR_r1T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of auxin treated seedlings at 12h-Replicate  1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,12 hours auxin treatment,1,Plant
SRR12343666,14888429,1071966888,72,396,SRX8843353,ControlIAA12_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106412,SAMN15666623,simple,3702,Arabidopsis thaliana,ControlIAA12_TR_r2T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of control auxin seedlings at 12h  auxin-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,12 hours control,2,Plant
SRR12343665,4398716,316707552,72,118,SRX8843354,IAA12_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106413,SAMN15666659,simple,3702,Arabidopsis thaliana,IAA12_TR_r2T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of auxin treated seedlings at 12h-Replicate  2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,12 hours auxin treatment,2,Plant
SRR12343664,18154019,1307089368,72,445,SRX8843355,IAA12_TR_r3T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106414,SAMN15666660,simple,3702,Arabidopsis thaliana,IAA12_TR_r3T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of auxin treated seedlings at 12h-Replicate  3,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,12 hours auxin treatment,3,Plant
SRR12343663,89745084,10493942798,116,3299,SRX8843356,IAA15_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106415,SAMN15666661,simple,3702,Arabidopsis thaliana,IAA15_FP_r1T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples  of auxin treated seedlings at  15mins_Rep 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,15 minutes auxin treatment,1,Plant
SRR12343662,26866010,1934352720,72,714,SRX8843357,IAA15_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106416,SAMN15666662,simple,3702,Arabidopsis thaliana,IAA15_FP_r2T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples  of auxin treated seedlings at  15mins_Rep 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,15 minutes auxin treatment,2,Plant
SRR12343661,45212055,4949527610,109,1510,SRX8843358,IAA15_FP_r3T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106417,SAMN15666663,simple,3702,Arabidopsis thaliana,IAA15_FP_r3T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples  of auxin treated seedlings at  15mins_Rep 3,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,15 minutes auxin treatment,3,Plant
SRR12343660,105419167,12231407524,116,3724,SRX8843359,IAA15_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106418,SAMN15666664,simple,3702,Arabidopsis thaliana,IAA15_TR_r1T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of auxin treated seedlings at  15mins-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,15 minutes auxin treatment,1,Plant
SRR12343659,16661454,1199624688,72,445,SRX8843360,IAA15_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106419,SAMN15666665,simple,3702,Arabidopsis thaliana,IAA15_TR_r2T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of auxin treated seedlings at  15mins-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,15 minutes auxin treatment,2,Plant
SRR12343658,46181951,5633034272,121,1829,SRX8843361,IAA15_TR_r3T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106420,SAMN15666666,simple,3702,Arabidopsis thaliana,IAA15_TR_r3T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of auxin treated seedlings at  15mins-Replicate 3,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,15 minutes auxin treatment,3,Plant
SRR12343657,217186036,25358362192,116,8347,SRX8843362,IAA1_FP_r1T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106421,SAMN15666667,simple,3702,Arabidopsis thaliana,IAA1_FP_r1T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of auxin treated seedlings at  1h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,1 hour auxin treatment,1,Plant
SRR12343656,26953361,1940641992,72,718,SRX8843363,IAA1_FP_r2T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106422,SAMN15666668,simple,3702,Arabidopsis thaliana,IAA1_FP_r2T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of auxin treated seedlings at  1h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,1 hour auxin treatment,2,Plant
SRR12343655,11183725,805228200,72,273,SRX8843364,ControlIAA12_TR_r3T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106423,SAMN15666624,simple,3702,Arabidopsis thaliana,ControlIAA12_TR_r3T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of control auxin seedlings at 12h  auxin-Replicate 3,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,12 hours control,3,Plant
SRR12343654,142215977,16771880544,117,5037,SRX8843365,IAA1_FP_r3T,OTHER,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106424,SAMN15666669,simple,3702,Arabidopsis thaliana,IAA1_FP_r3T,North Carolina State University,SRA1105201,07,2020,Makar,"",Ribo footprint samples of auxin treated seedlings at  1h-Replicate 3,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Ribosome footprinting,22C,1 hour auxin treatment,3,Plant
SRR12343653,123136909,13704403798,111,6465,SRX8843366,IAA1_TR_r1T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106425,SAMN15666670,simple,3702,Arabidopsis thaliana,IAA1_TR_r1T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of auxin treated seedlings at 1h-Replicate 1,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,1 hour auxin treatment,1,Plant
SRR12343652,10512038,756866736,72,282,SRX8843367,IAA1_TR_r2T,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP274100,PRJNA649426,1,"",SRS7106426,SAMN15666671,simple,3702,Arabidopsis thaliana,IAA1_TR_r2T,North Carolina State University,SRA1105201,07,2020,Makar,"",Total RNA samples of auxin treated seedlings at 1h-Replicate 2,Col-0,Col-0,Three-day-old,Etiolated seedling,N/A,Whole seedling,Total RNA,22C,1 hour auxin treatment,2,Plant
