Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_type,sample_type,treatment,BioSampleModel
SRR1640935,161592574,8079628700,50,4917,SRX751593,GM19138_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737215,SAMN03161765,simple,9606,Homo sapiens,GM19138_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19138,Rep1,Ribosome Profiling,Human
SRR1640936,180235842,9011792100,50,5666,SRX751594,GM19200_Rep2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737216,SAMN03161769,simple,9606,Homo sapiens,GM19200_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19200,Rep2,Ribosome Profiling,Human
SRR1640937,140156299,7007814950,50,4134,SRX751595,GM18870_Rep2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737217,SAMN03161756,simple,9606,Homo sapiens,GM18870_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18870,Rep2,Ribosome Profiling,Human
SRR1640938,192043753,9602187650,50,6181,SRX751597,GM18523_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737219,SAMN03161751,simple,9606,Homo sapiens,GM18523_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18523,Rep1,Ribosome Profiling,Human
SRR1640995,10658437,532921850,50,254,SRX751598,GM18507_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP049527,PRJNA266341,1,"",SRS737220,SAMN03161746,simple,9606,Homo sapiens,GM18507_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18507,Rep1,Ribosome Profiling,Human
SRR1640943,160891291,8044564550,50,4901,SRX751599,GM19139_Rep2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737221,SAMN03161767,simple,9606,Homo sapiens,GM19139_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19139,Rep2,Ribosome Profiling,Human
SRR1640944,180147807,6485321052,36,3970,SRX751600,GM18951_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737222,SAMN03161757,simple,9606,Homo sapiens,GM18951_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18951,Rep1,Ribosome Profiling,Human
SRR1640946,181748943,9087447150,50,5551,SRX751602,GM19239_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737224,SAMN03161773,simple,9606,Homo sapiens,GM19239_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19239,Rep1,Ribosome Profiling,Human
SRR1640974,151278196,7563909800,50,4430,SRX751603,GM12878_Rep2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737225,SAMN03161730,simple,9606,Homo sapiens,GM12878_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM12878,Rep2,Ribosome Profiling,Human
SRR1640980,164922470,8246123500,50,4925,SRX751604,GM19240_Rep2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737226,SAMN03161776,simple,9606,Homo sapiens,GM19240_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19240,Rep2,Ribosome Profiling,Human
SRR1640983,155542963,7777148150,50,4628,SRX751605,GM19240_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737227,SAMN03161775,simple,9606,Homo sapiens,GM19240_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19240,Rep1,Ribosome Profiling,Human
SRR1640984,166536142,8326807100,50,4990,SRX751606,GM12892_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737228,SAMN03161735,simple,9606,Homo sapiens,GM12892_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM12892,Rep1,Ribosome Profiling,Human
SRR1640972,152967358,7648367900,50,4491,SRX751607,GM12891_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737229,SAMN03161733,simple,9606,Homo sapiens,GM12891_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM12891,Rep1,Ribosome Profiling,Human
SRR1640977,121270426,12248313026,101,6225,SRX751608,GM12891_Rep2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737230,SAMN03161734,simple,9606,Homo sapiens,GM12891_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM12891,Rep2,Ribosome Profiling,Human
SRR1640992,142686297,5136706692,36,3061,SRX751609,GM12892_Rep2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737231,SAMN03161736,simple,9606,Homo sapiens,GM12892_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM12892,Rep2,Ribosome Profiling,Human
SRR1640986,159425486,5739317496,36,3508,SRX751610,GM12878_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737232,SAMN03161729,simple,9606,Homo sapiens,GM12878_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM12878,Rep1,Ribosome Profiling,Human
SRR1640940,124064324,4466315664,36,2599,SRX751611,GM18499_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737233,SAMN03161739,simple,9606,Homo sapiens,GM18499_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18499,Rep1,Ribosome Profiling,Human
SRR1640979,138075895,4970732220,36,2808,SRX751615,GM19138_Rep2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737237,SAMN03161766,simple,9606,Homo sapiens,GM19138_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19138,Rep2,Ribosome Profiling,Human
SRR1640987,134671161,4848161796,36,2721,SRX751616,GM19137_Rep2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737239,SAMN03161764,simple,9606,Homo sapiens,GM19137_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19137,Rep2,Ribosome Profiling,Human
SRR1640989,225228521,8108226756,36,5361,SRX751617,GM18489_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737238,SAMN03161737,simple,9606,Homo sapiens,GM18489_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18489,Rep1,Ribosome Profiling,Human
SRR1640994,224349896,8076596256,36,5296,SRX751618,GM18523_Rep3,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737240,SAMN03161752,simple,9606,Homo sapiens,GM18523_Rep3,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18523,Rep3,Ribosome Profiling,Human
SRR1640976,121684635,12290148135,101,6582,SRX751619,GM19098_Rep2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737241,SAMN03161761,simple,9606,Homo sapiens,GM19098_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19098,Rep2,Ribosome Profiling,Human
SRR1640982,149423011,7471150550,50,4095,SRX751620,GM19099_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737242,SAMN03161762,simple,9606,Homo sapiens,GM19099_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19099,Rep1,Ribosome Profiling,Human
SRR1640941,169421763,8471088150,50,4706,SRX751621,GM19201_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737243,SAMN03161770,simple,9606,Homo sapiens,GM19201_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19201,Rep1,Ribosome Profiling,Human
SRR1640996,7500448,375022400,50,182,SRX751622,GM18526_Rep2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP049527,PRJNA266341,1,"",SRS737244,SAMN03161753,simple,9606,Homo sapiens,GM18526_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18526,Rep2,Ribosome Profiling,Human
SRR1640997,17660537,883026850,50,440,SRX751623,GM18526_Rep3,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP049527,PRJNA266341,1,"",SRS737245,SAMN03161754,simple,9606,Homo sapiens,GM18526_Rep3,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18526,Rep3,Ribosome Profiling,Human
SRR1640991,123051889,4429868004,36,2472,SRX751625,GM18502_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737247,SAMN03161742,simple,9606,Homo sapiens,GM18502_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18502,Rep1,Ribosome Profiling,Human
SRR1642050,72320910,2603552760,36,1410,SRX751822,GM19240_Rep3,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737323,SAMN03161777,simple,9606,Homo sapiens,GM19240_Rep3,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19240,Rep3,Ribosome Profiling,Human
SRR1642049,183726008,6614136288,36,4104,SRX751823,GM19239_Rep2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737324,SAMN03161774,simple,9606,Homo sapiens,GM19239_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19239,Rep2,Ribosome Profiling,Human
SRR1642046,71186914,2562728904,36,1377,SRX751824,GM19238_Rep3,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737325,SAMN03161772,simple,9606,Homo sapiens,GM19238_Rep3,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19238,Rep3,Ribosome Profiling,Human
SRR1642048,97598430,3513543480,36,1947,SRX751825,GM19238_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737326,SAMN03161771,simple,9606,Homo sapiens,GM19238_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM19238,Rep1,Ribosome Profiling,Human
SRR1642047,118605985,4269815460,36,2373,SRX751826,GM18951_Rep2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737327,SAMN03161758,simple,9606,Homo sapiens,GM18951_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18951,Rep2,Ribosome Profiling,Human
SRR1642045,159128523,5728626828,36,3531,SRX751827,GM18951_Rep3,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737328,SAMN03161759,simple,9606,Homo sapiens,GM18951_Rep3,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18951,Rep3,Ribosome Profiling,Human
SRR1642044,116792850,4204542600,36,2405,SRX751828,GM18526_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737329,SAMN03161755,simple,9606,Homo sapiens,GM18526_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18526,Rep1,Ribosome Profiling,Human
SRR1642043,142945077,7147253850,50,3873,SRX751829,GM18519_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737330,SAMN03161748,simple,9606,Homo sapiens,GM18519_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18519,Rep1,Ribosome Profiling,Human
SRR1642042,123597623,4449514428,36,2636,SRX751830,GM18505_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737331,SAMN03161745,simple,9606,Homo sapiens,GM18505_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18505,Rep1,Ribosome Profiling,Human
SRR1642040,120339756,12154315356,101,6526,SRX752498,GM18504_Rep3,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737995,SAMN03161744,simple,9606,Homo sapiens,GM18504_Rep3,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18504,Rep3,Ribosome Profiling,Human
SRR1642039,140170765,7008538250,50,3783,SRX752499,GM18504_Rep2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737996,SAMN03161743,simple,9606,Homo sapiens,GM18504_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM18504,Rep2,Ribosome Profiling,Human
SRR1642038,98011215,3528403740,36,1958,SRX752501,GM12890_Rep2,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737998,SAMN03161732,simple,9606,Homo sapiens,GM12890_Rep2,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM12890,Rep2,Ribosome Profiling,Human
SRR1642041,80965178,2914746408,36,1587,SRX752502,GM12890_Rep1,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049527,PRJNA266341,1,"",SRS737999,SAMN03161731,simple,9606,Homo sapiens,GM12890_Rep1,Stanford University,SRA198298,11,2015,Makar,"","",not applicable,not applicable,Coriell Cell Repository,not applicable,EBV-transformed lymphoblastoid cells,GM12890,Rep1,Ribosome Profiling,Human
