Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,genotype,batch,treatment,age,GEO Accession
SRR13186870,154178742,11717584392,76,3956,SRX9621297,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823216,SAMN16983125,simple,10090,Mus musculus,GSM4954357,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Hbs1l_MEF_3_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER; Hbs1l cKO,Batch 3,Tamoxifen,,GSM4954357
SRR13186871,130490877,9917306652,76,3352,SRX9621298,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823217,SAMN16983124,simple,10090,Mus musculus,GSM4954358,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Control_Hbs1l_batch_MEF_1_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER,Batch 3,Tamoxifen,,GSM4954358
SRR13186872,123025266,9349920216,76,3162,SRX9621299,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823218,SAMN16983123,simple,10090,Mus musculus,GSM4954359,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Control_Hbs1l_batch_MEF_2_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER,Batch 3,Tamoxifen,,GSM4954359
SRR13186873,146025863,11097965588,76,3794,SRX9621300,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823219,SAMN16983122,simple,10090,Mus musculus,GSM4954360,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Control_Hbs1l_batch_MEF_3_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER,Batch 3,Tamoxifen,,GSM4954360
SRR13186874,145074363,11025651588,76,3748,SRX9621301,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823220,SAMN16983121,simple,10090,Mus musculus,GSM4954361,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Pelo_MEF_1_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER; Pelo cKO,Batch 4,Tamoxifen,,GSM4954361
SRR13186875,119812728,9105767328,76,3118,SRX9621302,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823221,SAMN16983120,simple,10090,Mus musculus,GSM4954362,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Pelo_MEF_2_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER; Pelo cKO,Batch 4,Tamoxifen,,GSM4954362
SRR13186876,139772738,10622728088,76,3557,SRX9621303,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823222,SAMN16983119,simple,10090,Mus musculus,GSM4954363,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Pelo_MEF_3_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER; Pelo cKO,Batch 4,Tamoxifen,,GSM4954363
SRR13186877,128736254,9783955304,76,3315,SRX9621305,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823223,SAMN16983118,simple,10090,Mus musculus,GSM4954364,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Control_Pelo_batch_MEF_1_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER,Batch 4,Tamoxifen,,GSM4954364
SRR13186878,115149672,8751375072,76,2957,SRX9621306,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823224,SAMN16983117,simple,10090,Mus musculus,GSM4954365,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Control_Pelo_batch_MEF_2_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER,Batch 4,Tamoxifen,,GSM4954365
SRR13186879,146600613,11141646588,76,3816,SRX9621307,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823225,SAMN16983170,simple,10090,Mus musculus,GSM4954366,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Control_Pelo_batch_MEF_3_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER,Batch 4,Tamoxifen,,GSM4954366
SRR13186880,66429205,5048619580,76,1623,SRX9621308,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823226,SAMN16983169,simple,10090,Mus musculus,GSM4954367,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Upf2_MEF_1_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER; Upf2 cKO,Batch 5,Tamoxifen,,GSM4954367
SRR13186881,87692454,6664626504,76,2156,SRX9621309,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823227,SAMN16983168,simple,10090,Mus musculus,GSM4954368,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Upf2_MEF_2_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER; Upf2 cKO,Batch 5,Tamoxifen,,GSM4954368
SRR13186882,97947736,7444027936,76,2416,SRX9621310,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823228,SAMN16983167,simple,10090,Mus musculus,GSM4954369,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Upf2_MEF_3_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER; Upf2 cKO,Batch 5,Tamoxifen,,GSM4954369
SRR13186883,158837756,12071669456,76,3929,SRX9621311,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823229,SAMN16983166,simple,10090,Mus musculus,GSM4954370,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Control_Upf2_batch_MEF_1_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER,Batch 5,Tamoxifen,,GSM4954370
SRR13186884,139115809,10572801484,76,3407,SRX9621312,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823230,SAMN16983165,simple,10090,Mus musculus,GSM4954371,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Control_Upf2_batch_MEF_2_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER,Batch 5,Tamoxifen,,GSM4954371
SRR13186885,181227193,13773266668,76,4525,SRX9621313,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823231,SAMN16983164,simple,10090,Mus musculus,GSM4954372,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Control_Upf2_batch_MEF_3_ribo,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER,Batch 5,Tamoxifen,,GSM4954372
SRR13186886,29362215,5931167430,101,2712,SRX9621314,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823232,SAMN16983163,simple,10090,Mus musculus,GSM4954373,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Hbs1l_MEF_1_RNA,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER; Hbs1l cKO,Batch 6,Tamoxifen,,GSM4954373
SRR13186887,94340149,19056710098,101,8591,SRX9621315,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823233,SAMN16983162,simple,10090,Mus musculus,GSM4954374,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Hbs1l_MEF_2_RNA,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER; Hbs1l cKO,Batch 6,Tamoxifen,,GSM4954374
SRR13186888,50064901,10113110002,101,4662,SRX9621316,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823234,SAMN16983161,simple,10090,Mus musculus,GSM4954375,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Hbs1l_MEF_3_RNA,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER; Hbs1l cKO,Batch 6,Tamoxifen,,GSM4954375
SRR13186889,29361702,5931063804,101,2679,SRX9621317,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823235,SAMN16983160,simple,10090,Mus musculus,GSM4954376,GEO,SRA1166266,03,2021,Terrey,Mouse Embryonic Fibroblast,Pelo_MEF_1_RNA,Mouse Embryonic Fibroblast,C57BL/6,Mouse Embryonic Fibroblast,CAG-Cre ER; Pelo cKO,Batch 6,Tamoxifen,,GSM4954376
SRR13186856,196581301,14743597575,75,4735,SRX9621318,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823236,SAMN16983116,simple,10090,Mus musculus,GSM4954343,GEO,SRA1166266,03,2021,Terrey,Whole embryo,Hbs1l_embryo_1_ribo,Whole embryo,C57BL/6NJ,Whole embryo,Hbs1l -/-,Batch 1,,E8.5,GSM4954343
SRR13186857,100509560,7538217000,75,2489,SRX9621319,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP295558,PRJNA682206,33899734,"",SRS7823237,SAMN16983115,simple,10090,Mus musculus,GSM4954344,GEO,SRA1166266,03,2021,Terrey,Whole embryo,Hbs1l_embryo_2_ribo,Whole embryo,C57BL/6NJ,Whole embryo,Hbs1l -/-,Batch 1,,E8.5,GSM4954344
