Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,cell line,passages,GEO Accession
SRR7235781,80997024,8261696448,51,3081,SRX4142106,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355900,SAMN09283494,simple,10090,Mus musculus,GSM3165411,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq Control KD, Rep 3",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165419
SRR7235782,76266803,7779213906,51,3049,SRX4142106,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355900,SAMN09283494,simple,10090,Mus musculus,GSM3165411,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq Control KD, Rep 3",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165420
SRR7235783,101193616,10321748832,51,3960,SRX4142107,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355901,SAMN09283493,simple,10090,Mus musculus,GSM3165412,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq NF-YA KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165421
SRR7235784,95752475,9766752450,51,3568,SRX4142107,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355901,SAMN09283493,simple,10090,Mus musculus,GSM3165412,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq NF-YA KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165422
SRR7235785,87556461,8930759022,51,3322,SRX4142107,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355901,SAMN09283493,simple,10090,Mus musculus,GSM3165412,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq NF-YA KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165423
SRR7235786,82424813,8407330926,51,3292,SRX4142107,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355901,SAMN09283493,simple,10090,Mus musculus,GSM3165412,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq NF-YA KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165424
SRR7235787,89502108,9129215016,51,3515,SRX4142108,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355902,SAMN09283492,simple,10090,Mus musculus,GSM3165413,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq NF-YA KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165425
SRR7235788,83037179,8469792258,51,3105,SRX4142108,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355902,SAMN09283492,simple,10090,Mus musculus,GSM3165413,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq NF-YA KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165426
SRR7235789,77607587,7915973874,51,2959,SRX4142108,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355902,SAMN09283492,simple,10090,Mus musculus,GSM3165413,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq NF-YA KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165427
SRR7235790,73472466,7494191532,51,2947,SRX4142108,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355902,SAMN09283492,simple,10090,Mus musculus,GSM3165413,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq NF-YA KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165428
SRR7235791,115820571,11813698242,51,4546,SRX4142109,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355903,SAMN09283491,simple,10090,Mus musculus,GSM3165414,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq NF-YA KD, Rep 3",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165429
SRR7235792,118657859,12103101618,51,4437,SRX4142109,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355903,SAMN09283491,simple,10090,Mus musculus,GSM3165414,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq NF-YA KD, Rep 3",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165430
SRR7235793,100661390,10267461780,51,3832,SRX4142109,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355903,SAMN09283491,simple,10090,Mus musculus,GSM3165414,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq NF-YA KD, Rep 3",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165431
SRR7235794,95454153,9736323606,51,3819,SRX4142109,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355903,SAMN09283491,simple,10090,Mus musculus,GSM3165414,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq NF-YA KD, Rep 3",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165432
SRR7235795,53382745,5445039990,51,3409,SRX4142110,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355904,SAMN09283490,simple,10090,Mus musculus,GSM3165415,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"RNA-Seq Control KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165433
SRR7235796,53244102,5430898404,51,2536,SRX4142111,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355905,SAMN09283489,simple,10090,Mus musculus,GSM3165416,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"RNA-Seq Control KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165434
SRR7235797,51245515,5227042530,51,2440,SRX4142112,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355906,SAMN09283488,simple,10090,Mus musculus,GSM3165417,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"RNA-Seq Control KD, Rep 3",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165435
SRR7235798,56158906,5728208412,51,2631,SRX4142113,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355907,SAMN09283487,simple,10090,Mus musculus,GSM3165418,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"RNA-Seq NF-YA KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165436
SRR7235799,51567816,5259917232,51,2440,SRX4142114,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355909,SAMN09283486,simple,10090,Mus musculus,GSM3165419,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"RNA-Seq NF-YA KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165437
SRR7235800,57925210,5908371420,51,2766,SRX4142115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355910,SAMN09283485,simple,10090,Mus musculus,GSM3165420,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"RNA-Seq NF-YA KD, Rep 3",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165438
SRR7235801,76375460,7790296920,51,2678,SRX4142116,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355911,SAMN09283484,simple,10090,Mus musculus,GSM3165421,GEO,SRA712598,10,2018,Oldfield,"","GEO accession GSM3165421 is currently private and is scheduled to be released on Jul 01, 2019.",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165439
SRR7235802,74437253,7592599806,51,2671,SRX4142117,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355913,SAMN09283483,simple,10090,Mus musculus,GSM3165422,GEO,SRA712598,10,2018,Oldfield,"","GEO accession GSM3165422 is currently private and is scheduled to be released on Jul 01, 2019.",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165409
SRR7235803,81718660,8335303320,51,3102,SRX4142118,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355912,SAMN09283482,simple,10090,Mus musculus,GSM3165423,GEO,SRA712598,10,2018,Oldfield,"","GEO accession GSM3165423 is currently private and is scheduled to be released on Jul 01, 2019.",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165410
SRR7235804,109184105,11136778710,51,3833,SRX4142119,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355914,SAMN09283481,simple,10090,Mus musculus,GSM3165424,GEO,SRA712598,10,2018,Oldfield,"","GEO accession GSM3165424 is currently private and is scheduled to be released on Jul 01, 2019.",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165411
SRR7235805,105057752,10715890704,51,3771,SRX4142120,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355916,SAMN09283480,simple,10090,Mus musculus,GSM3165425,GEO,SRA712598,10,2018,Oldfield,"","GEO accession GSM3165425 is currently private and is scheduled to be released on Jul 01, 2019.",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165412
SRR7235806,109483176,11167283952,51,4160,SRX4142121,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355915,SAMN09283479,simple,10090,Mus musculus,GSM3165426,GEO,SRA712598,10,2018,Oldfield,"","GEO accession GSM3165426 is currently private and is scheduled to be released on Jul 01, 2019.",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165413
SRR7235807,45007007,4590714714,51,1600,SRX4142122,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355918,SAMN09283478,simple,10090,Mus musculus,GSM3165427,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"Start-Seq Control KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165414
SRR7235808,66628783,6796135866,51,2372,SRX4142123,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355921,SAMN09283477,simple,10090,Mus musculus,GSM3165428,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"Start-Seq Control KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165415
SRR7235809,60391707,6159954114,51,2145,SRX4142124,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355919,SAMN09283476,simple,10090,Mus musculus,GSM3165429,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"Start-Seq Control KD, Rep 3",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165416
SRR7235810,57811391,5896761882,51,2051,SRX4142125,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355920,SAMN09283475,simple,10090,Mus musculus,GSM3165430,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"Start-Seq NF-YA KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165417
SRR7235811,49058206,5003937012,51,1726,SRX4142125,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355920,SAMN09283475,simple,10090,Mus musculus,GSM3165430,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"Start-Seq NF-YA KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165418
SRR7235812,46564604,4749589608,51,1653,SRX4142126,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355922,SAMN09283474,simple,10090,Mus musculus,GSM3165431,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"Start-Seq NF-YA KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165419
SRR7235813,35763436,3647870472,51,1261,SRX4142126,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355922,SAMN09283474,simple,10090,Mus musculus,GSM3165431,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"Start-Seq NF-YA KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165420
SRR7235814,53704721,5477881542,51,1934,SRX4142127,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355923,SAMN09283444,simple,10090,Mus musculus,GSM3165432,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"Ribo-Seq Control KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165421
SRR7235815,43387110,4425485220,51,1513,SRX4142127,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355923,SAMN09283444,simple,10090,Mus musculus,GSM3165432,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"Ribo-Seq Control KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165422
SRR7235816,53565229,5463653358,51,2226,SRX4142128,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355926,SAMN09283443,simple,10090,Mus musculus,GSM3165433,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"Ribo-Seq Control KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165423
SRR7235817,42636081,4348880262,51,1740,SRX4142128,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355926,SAMN09283443,simple,10090,Mus musculus,GSM3165433,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"Ribo-Seq Control KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165424
SRR7235818,57027050,5816759100,51,2056,SRX4142129,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355924,SAMN09283442,simple,10090,Mus musculus,GSM3165434,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"Ribo-Seq NF-YA KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165425
SRR7235819,59600521,6079253142,51,2104,SRX4142129,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355924,SAMN09283442,simple,10090,Mus musculus,GSM3165434,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"Ribo-Seq NF-YA KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165426
SRR7235820,56649099,5778208098,51,2354,SRX4142130,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355925,SAMN09283508,simple,10090,Mus musculus,GSM3165435,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"Ribo-Seq NF-YA KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165427
SRR7235821,58834836,6001153272,51,2414,SRX4142130,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355925,SAMN09283508,simple,10090,Mus musculus,GSM3165435,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"Ribo-Seq NF-YA KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165428
SRR7235822,59458256,6064742112,51,2172,SRX4142131,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355928,SAMN09283507,simple,10090,Mus musculus,GSM3165436,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"RNA-Seq Control KD CHX-treated, Rep 1",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165429
