Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,stain,age,Sex,tissue,genotype,time,protocol,geo_loc_name,collection_date
SRR18954692,13134039,669835989,51,371,SRX15034738,GSM6070356,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781387,SAMN27921684,simple,10090,Mus musculus,GSM6070356,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A4_CT12_130516liver_8pm (CT12_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT12,RiboProf library,missing,missing
SRR18954693,13134414,669855114,51,371,SRX15034738,GSM6070356,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781387,SAMN27921684,simple,10090,Mus musculus,GSM6070356,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A4_CT12_130516liver_8pm (CT12_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954695,12877540,656754540,51,363,SRX15034738,GSM6070356,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781387,SAMN27921684,simple,10090,Mus musculus,GSM6070356,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A4_CT12_130516liver_8pm (CT12_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT20,RiboProf library,missing,missing
SRR18954676,11424567,582652917,51,330,SRX15034739,GSM6070357,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781715,SAMN27921683,simple,10090,Mus musculus,GSM6070357,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A5_CT16_130517liver_12am (CT16_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954677,11358623,579289773,51,330,SRX15034739,GSM6070357,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781715,SAMN27921683,simple,10090,Mus musculus,GSM6070357,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A5_CT16_130517liver_12am (CT16_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954678,11768906,600214206,51,342,SRX15034739,GSM6070357,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781715,SAMN27921683,simple,10090,Mus musculus,GSM6070357,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A5_CT16_130517liver_12am (CT16_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954680,11449244,583911444,51,331,SRX15034739,GSM6070357,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781715,SAMN27921683,simple,10090,Mus musculus,GSM6070357,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A5_CT16_130517liver_12am (CT16_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT04,RiboProf library,missing,missing
SRR18954681,11534790,588274290,51,334,SRX15034739,GSM6070357,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781715,SAMN27921683,simple,10090,Mus musculus,GSM6070357,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A5_CT16_130517liver_12am (CT16_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT08,RiboProf library,missing,missing
SRR18954683,11554523,589280673,51,334,SRX15034739,GSM6070357,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781715,SAMN27921683,simple,10090,Mus musculus,GSM6070357,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A5_CT16_130517liver_12am (CT16_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT12,RiboProf library,missing,missing
SRR18954684,11307786,576697086,51,327,SRX15034739,GSM6070357,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781715,SAMN27921683,simple,10090,Mus musculus,GSM6070357,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A5_CT16_130517liver_12am (CT16_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954665,12221935,623318685,51,359,SRX15034740,GSM6070358,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781388,SAMN27921682,simple,10090,Mus musculus,GSM6070358,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A6_CT20_130517liver_4am (CT20_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT20,RiboProf library,missing,missing
SRR18954667,12153770,619842270,51,358,SRX15034740,GSM6070358,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781388,SAMN27921682,simple,10090,Mus musculus,GSM6070358,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A6_CT20_130517liver_4am (CT20_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954668,12607807,642998157,51,372,SRX15034740,GSM6070358,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781388,SAMN27921682,simple,10090,Mus musculus,GSM6070358,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A6_CT20_130517liver_4am (CT20_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954670,12240642,624272742,51,360,SRX15034740,GSM6070358,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781388,SAMN27921682,simple,10090,Mus musculus,GSM6070358,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A6_CT20_130517liver_4am (CT20_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT04,RiboProf library,missing,missing
SRR18954671,12307525,627683775,51,362,SRX15034740,GSM6070358,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781388,SAMN27921682,simple,10090,Mus musculus,GSM6070358,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A6_CT20_130517liver_4am (CT20_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT08,RiboProf library,missing,missing
SRR18954673,12324604,628554804,51,362,SRX15034740,GSM6070358,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781388,SAMN27921682,simple,10090,Mus musculus,GSM6070358,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A6_CT20_130517liver_4am (CT20_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT12,RiboProf library,missing,missing
SRR18954674,12020769,613059219,51,353,SRX15034740,GSM6070358,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781388,SAMN27921682,simple,10090,Mus musculus,GSM6070358,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A6_CT20_130517liver_4am (CT20_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954654,10543001,537693051,51,307,SRX15034741,GSM6070359,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781717,SAMN27921681,simple,10090,Mus musculus,GSM6070359,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A7_CT00_130517liver_8am (CT24_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT20,RiboProf library,missing,missing
SRR18954656,10515298,536280198,51,307,SRX15034741,GSM6070359,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781717,SAMN27921681,simple,10090,Mus musculus,GSM6070359,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A7_CT00_130517liver_8am (CT24_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954657,10931796,557521596,51,320,SRX15034741,GSM6070359,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781717,SAMN27921681,simple,10090,Mus musculus,GSM6070359,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A7_CT00_130517liver_8am (CT24_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954659,10594179,540303129,51,309,SRX15034741,GSM6070359,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781717,SAMN27921681,simple,10090,Mus musculus,GSM6070359,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A7_CT00_130517liver_8am (CT24_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954660,10680121,544686171,51,311,SRX15034741,GSM6070359,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781717,SAMN27921681,simple,10090,Mus musculus,GSM6070359,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A7_CT00_130517liver_8am (CT24_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT04,RiboProf library,missing,missing
SRR18954662,10696838,545538738,51,311,SRX15034741,GSM6070359,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781717,SAMN27921681,simple,10090,Mus musculus,GSM6070359,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A7_CT00_130517liver_8am (CT24_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT08,RiboProf library,missing,missing
SRR18954664,10448580,532877580,51,304,SRX15034741,GSM6070359,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781717,SAMN27921681,simple,10090,Mus musculus,GSM6070359,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,A7_CT00_130517liver_8am (CT24_rep1),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT12,RiboProf library,missing,missing
SRR18954644,12768305,651183555,51,365,SRX15034742,GSM6070360,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781716,SAMN27921680,simple,10090,Mus musculus,GSM6070360,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B1_CT00_130516liver_8am (CT00_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954645,12741970,649840470,51,366,SRX15034742,GSM6070360,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781716,SAMN27921680,simple,10090,Mus musculus,GSM6070360,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B1_CT00_130516liver_8am (CT00_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT20,RiboProf library,missing,missing
