Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,sub_species,type-material,substrain,growth medium,GEO Accession
SRR5278501,40829081,2041454050,50,1232,SRX2582347,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996370,SAMN06392637,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2500131,GEO,SRA539512,03,2018,Lalanne,Bacteria,Escherichia_coli_WT_Rend_seq_MOPS_comp_25s_frag_pooled,Bacteria,"subspecies 168, rph::lox72",subtilis,,,,GSM2500135
SRR5278502,97986292,4899314600,50,2843,SRX2582347,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996370,SAMN06392637,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2500131,GEO,SRA539512,03,2018,Lalanne,Bacteria,Escherichia_coli_WT_Rend_seq_MOPS_comp_25s_frag_pooled,Bacteria,"subspecies 168, rnr::lox72",subtilis,,,,GSM2500136
SRR5278503,31480959,1574047950,50,944,SRX2582348,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996371,SAMN06392636,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2500132,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_rho_Rend_seq_LB_25s_frag_pooled,Bacteria,"subspecies 168, yhaM::lox72",subtilis,,,,GSM2500137
SRR5278504,29627110,1481355500,50,889,SRX2582348,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996371,SAMN06392636,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2500132,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_rho_Rend_seq_LB_25s_frag_pooled,Bacteria,"subspecies 168, Delta sU ylqD/ylqD (disrupted terminator between ylqC and ylqD), spec resistant",subtilis,,,LB,GSM2971248
SRR5278505,28269978,1413498900,50,859,SRX2582349,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996372,SAMN06392639,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2500133,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_pnpA_Rend_seq_LB_105s_frag_1,Bacteria,NBRC 15636,,type strain of Beneckea natriegens,,"MOPS complete (Teknova) with full supplement (Neidhart et al., 1974), with added 3% NaCl",GSM2971249
SRR5278506,15761875,788093750,50,484,SRX2582350,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996373,SAMN06392638,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2500134,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_pnpA_Rend_seq_LB_105s_frag_2,Bacteria,subspecies 168,subtilis,,,LB,GSM2971250
SRR5278507,15880819,794040950,50,488,SRX2582351,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996374,SAMN06392648,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2500135,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_rph_Rend_seq_LB_105s_frag,Bacteria,ML76,,,,PYE,GSM2971251
SRR5278508,17082082,854104100,50,522,SRX2582352,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996375,SAMN06392647,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2500136,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_rnr_Rend_seq_LB_105s_frag,Bacteria,K-12 MG1655,,,MG1655,"MOPS complete (Teknova) with full supplement (Neidhart et al., 1974).",GSM2971252
SRR5278509,15740167,787008350,50,482,SRX2582353,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996376,SAMN06392646,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2500137,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_yhaM_Rend_seq_LB_105s_frag,Bacteria,"K-12 MG1655, pnp::kan",,,MG1655,"MOPS complete (Teknova) with full supplement (Neidhart et al., 1974).",GSM2971253
SRR6652803,8229993,411499650,50,154,SRX3630285,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP100536,PRJNA376419,29606352,"",SRS2896998,SAMN08437329,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2971248,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_Delta_sU_ylqC_yqlD_ribosome_profiling_LB,Bacteria,"K-12 MG1655, rnb::kan",,,MG1655,"MOPS complete (Teknova) with full supplement (Neidhart et al., 1974).",GSM2971254
SRR6652804,27394408,1369720400,50,539,SRX3630286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP100536,PRJNA376419,29606352,"",SRS2897077,SAMN08437343,simple,1219067,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,GSM2971249,GEO,SRA539512,03,2018,Lalanne,Bacteria,Vibrio_natriegens_Rend_seq_MOPS_comp_3NaCl_25s_frag,Bacteria,"subspecies 168, pnpA::lox72",subtilis,,,LB,GSM2971255
SRR6652805,59487558,2974377900,50,1115,SRX3630286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP100536,PRJNA376419,29606352,"",SRS2897077,SAMN08437343,simple,1219067,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,GSM2971249,GEO,SRA539512,03,2018,Lalanne,Bacteria,Vibrio_natriegens_Rend_seq_MOPS_comp_3NaCl_25s_frag,Bacteria,subspecies 168,subtilis,,,,GSM2500125
SRR6652806,29426439,1471321950,50,883,SRX3630287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS2897000,SAMN08437342,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2971250,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_WT_Rend_seq_5_exo_LB_25s_frag_pooled,Bacteria,NBRC 15636,,type strain of Beneckea natriegens,,,GSM2500126
SRR6652807,45492966,2274648300,50,856,SRX3630287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS2897000,SAMN08437342,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2971250,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_WT_Rend_seq_5_exo_LB_25s_frag_pooled,Bacteria,subspecies 168,subtilis,,,,GSM2500127
SRR6652808,37038178,1851908900,50,681,SRX3630288,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP100536,PRJNA376419,29606352,"",SRS2897001,SAMN08437341,simple,155892,Caulobacter vibrioides,GSM2971251,GEO,SRA539512,03,2018,Lalanne,Bacteria,Caulobacter_crescentus_Rend_seq_PYE_25s_frag,Bacteria,subspecies 168,subtilis,,,,GSM2500128
SRR6652809,217082515,10854125750,50,4056,SRX3630288,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP100536,PRJNA376419,29606352,"",SRS2897001,SAMN08437341,simple,155892,Caulobacter vibrioides,GSM2971251,GEO,SRA539512,03,2018,Lalanne,Bacteria,Caulobacter_crescentus_Rend_seq_PYE_25s_frag,Bacteria,subspecies 168,subtilis,,,,GSM2500129
SRR6652810,22144099,1107204950,50,664,SRX3630289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS2897002,SAMN08437340,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2971252,GEO,SRA539512,03,2018,Lalanne,Bacteria,Escherichia_coli_WT_Rend_seq_5_exo_MOPS_comp_25s_frag,Bacteria,subspecies 168,subtilis,,,,GSM2500130
SRR6652811,75939969,3796998450,50,1409,SRX3630289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS2897002,SAMN08437340,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2971252,GEO,SRA539512,03,2018,Lalanne,Bacteria,Escherichia_coli_WT_Rend_seq_5_exo_MOPS_comp_25s_frag,Bacteria,K-12 MG1655,,,MG1655,,GSM2500131
SRR6652812,28017717,1400885850,50,524,SRX3630290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP100536,PRJNA376419,29606352,"",SRS2897003,SAMN08437339,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2971253,GEO,SRA539512,03,2018,Lalanne,Bacteria,Escherichia_coli_pnp_Rend_seq_MOPS_comp_25s_frag,Bacteria,"subspecies 168, rho::lox72",subtilis,,,,GSM2500132
SRR6652813,53116582,2655829100,50,981,SRX3630291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP100536,PRJNA376419,29606352,"",SRS2897004,SAMN08437338,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2971254,GEO,SRA539512,03,2018,Lalanne,Bacteria,Escherichia_coli_rnb_Rend_seq_MOPS_comp_25s_frag,Bacteria,"subspecies 168, pnpA::kan",subtilis,,,,GSM2500133
SRR6652814,20388839,1019441950,50,605,SRX3630292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS2897005,SAMN08437337,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2971255,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_pnpA_Rend_seq_LB_25s_frag,Bacteria,"subspecies 168, pnpA::lox72",subtilis,,,,GSM2500134
