Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,biomaterial_provider,gender,cell line,cell type,enrichment type,molecule subtype,GEO Accession
SRR1585496,18050055,521893274,28,375,SRX709839,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708855,SAMN03079258,simple,9606,Homo sapiens,GSM1513197,GEO,SRA185822,12,2014,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18511,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18511,female,GM18511,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513197
SRR1585497,18009184,511186000,28,405,SRX709840,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708858,SAMN03079259,simple,9606,Homo sapiens,GSM1513198,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18516,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18516,male,GM18516,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513198
SRR1585498,29827680,836256217,28,594,SRX709841,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708857,SAMN03079260,simple,9606,Homo sapiens,GSM1513199,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18517,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18517,female,GM18517,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513199
SRR1585499,13893422,397393990,28,306,SRX709842,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708859,SAMN03079261,simple,9606,Homo sapiens,GSM1513200,GEO,SRA185822,12,2014,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18519,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18519,male,GM18519,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513200
SRR1585500,9465605,266174501,28,193,SRX709843,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708860,SAMN03079262,simple,9606,Homo sapiens,GSM1513201,GEO,SRA185822,12,2014,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18520,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18520,female,GM18520,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513201
SRR1585501,30844021,852494517,27,677,SRX709844,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708861,SAMN03079263,simple,9606,Homo sapiens,GSM1513202,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18522,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18522,male,GM18522,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513202
SRR1585502,27498391,788208085,28,561,SRX709845,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708862,SAMN03079264,simple,9606,Homo sapiens,GSM1513203,GEO,SRA185822,12,2014,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18523,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18523,female,GM18523,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513203
SRR1585503,32064755,898387832,28,641,SRX709846,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708863,SAMN03079265,simple,9606,Homo sapiens,GSM1513204,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18852,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18852,female,GM18852,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513204
SRR1585504,24822786,710579905,28,508,SRX709847,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708864,SAMN03079266,simple,9606,Homo sapiens,GSM1513205,GEO,SRA185822,12,2014,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18853,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18853,male,GM18853,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513205
SRR1585505,16905207,478234645,28,343,SRX709848,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708865,SAMN03079267,simple,9606,Homo sapiens,GSM1513206,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18855,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18855,female,GM18855,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513206
SRR1585506,13791684,395402923,28,282,SRX709849,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708866,SAMN03079268,simple,9606,Homo sapiens,GSM1513207,GEO,SRA185822,12,2014,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18856,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18856,male,GM18856,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513207
SRR1585507,33759368,946509855,28,667,SRX709850,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708868,SAMN03079269,simple,9606,Homo sapiens,GSM1513208,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18858,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18858,female,GM18858,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513208
SRR1585508,24627148,692871732,28,490,SRX709851,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708867,SAMN03079270,simple,9606,Homo sapiens,GSM1513209,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18861,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18861,female,GM18861,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513209
SRR1585509,28610611,799209351,27,570,SRX709852,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708869,SAMN03079271,simple,9606,Homo sapiens,GSM1513210,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18862,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18862,male,GM18862,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513210
SRR1585510,28544291,828035885,29,586,SRX709853,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708870,SAMN03079272,simple,9606,Homo sapiens,GSM1513211,GEO,SRA185822,12,2014,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18870,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18870,female,GM18870,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513211
SRR1585511,19751646,568014041,28,405,SRX709854,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708871,SAMN03079273,simple,9606,Homo sapiens,GSM1513212,GEO,SRA185822,12,2014,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18907,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18907,female,GM18907,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513212
SRR1585512,23613093,670684940,28,473,SRX709855,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708872,SAMN03079274,simple,9606,Homo sapiens,GSM1513213,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18909,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18909,female,GM18909,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513213
SRR1585513,20772012,599282325,28,426,SRX709856,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708873,SAMN03079275,simple,9606,Homo sapiens,GSM1513214,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18912,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18912,female,GM18912,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513214
SRR1585514,28003170,789399255,28,553,SRX709857,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708876,SAMN03079276,simple,9606,Homo sapiens,GSM1513215,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18913,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18913,male,GM18913,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513215
SRR1585515,27691077,767320465,27,548,SRX709858,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708875,SAMN03079277,simple,9606,Homo sapiens,GSM1513216,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM18916,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM18916,female,GM18916,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513216
SRR1585516,27236837,790457240,29,560,SRX709859,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708874,SAMN03079278,simple,9606,Homo sapiens,GSM1513217,GEO,SRA185822,12,2014,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM19092,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM19092,male,GM19092,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513217
SRR1585517,18794776,532515649,28,381,SRX709860,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708878,SAMN03079279,simple,9606,Homo sapiens,GSM1513218,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM19093,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM19093,female,GM19093,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513218
SRR1585518,27182328,761438958,28,544,SRX709861,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708877,SAMN03079280,simple,9606,Homo sapiens,GSM1513219,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM19098,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM19098,male,GM19098,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513219
SRR1585519,25721545,727343316,28,513,SRX709862,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708879,SAMN03079281,simple,9606,Homo sapiens,GSM1513220,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM19099,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM19099,female,GM19099,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513220
SRR1585520,13411518,385259834,28,275,SRX709863,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708880,SAMN03079282,simple,9606,Homo sapiens,GSM1513221,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM19101,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM19101,male,GM19101,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513221
SRR1585521,13545825,385327327,28,279,SRX709864,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708882,SAMN03079283,simple,9606,Homo sapiens,GSM1513222,GEO,SRA185822,12,2014,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM19102,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM19102,female,GM19102,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513222
SRR1585522,19451846,543234709,27,391,SRX709865,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708881,SAMN03079284,simple,9606,Homo sapiens,GSM1513223,GEO,SRA185822,12,2014,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM19108,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM19108,female,GM19108,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513223
SRR1585523,21306606,606656778,28,429,SRX709866,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708884,SAMN03079285,simple,9606,Homo sapiens,GSM1513224,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM19114,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM19114,female,GM19114,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513224
SRR1585524,21221810,601958839,28,427,SRX709867,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708883,SAMN03079286,simple,9606,Homo sapiens,GSM1513225,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM19116,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM19116,female,GM19116,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513225
SRR1585525,18831560,523644222,27,406,SRX709868,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708885,SAMN03079287,simple,9606,Homo sapiens,GSM1513226,GEO,SRA185822,12,2014,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM19119,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM19119,male,GM19119,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513226
SRR1585526,11841515,337140990,28,251,SRX709869,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708886,SAMN03079288,simple,9606,Homo sapiens,GSM1513227,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM19127,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM19127,female,GM19127,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513227
SRR1585527,12147124,354775745,29,277,SRX709870,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708887,SAMN03079289,simple,9606,Homo sapiens,GSM1513228,GEO,SRA185822,12,2014,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM19128,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM19128,male,GM19128,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513228
SRR1585528,17998482,510538789,28,363,SRX709871,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708888,SAMN03079290,simple,9606,Homo sapiens,GSM1513229,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM19130,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM19130,male,GM19130,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513229
SRR1585529,18638983,525804628,28,376,SRX709872,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP047476,PRJNA262009,25657249,"",SRS708889,SAMN03079291,simple,9606,Homo sapiens,GSM1513230,GEO,SRA185822,07,2015,Battle,lymphoblastoid cell lines derived fromHapMap Yoruba individual,GM19131,lymphoblastoid cell lines derived fromHapMap Yoruba individual,http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM19131,female,GM19131,Lymphoblastoid Cell Line,ribosome protected fragments,cytoplasmic RNA,GSM1513230
