Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_line,sample_type,treatment,BioSampleModel
SRR13016600,31070692,9321207600,150,4055,SRX9467535,cBZ056_WT_SMG1i_1_mono,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679642,SAMN16722271,simple,9606,Homo sapiens,cBZ056_WT_SMG1i_1_mono,Johns Hopkins,SRA1156804,09,2021,Makar,"","",WT_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,ribosome profiling,SMG1i,Human
SRR13016599,37236172,11170851600,150,4792,SRX9467536,cBZ090_eIF4E2-4_SMG1i_1_mono,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679643,SAMN16722272,simple,9606,Homo sapiens,cBZ090_eIF4E2-4_SMG1i_1_mono,Johns Hopkins,SRA1156804,09,2021,Makar,"","",EIF4E2_ko_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,ribosome profiling,SMG1i,Human
SRR13016598,30064926,9019477800,150,3385,SRX9467537,cBZ094_GIGYF2-4_DMSO_1_RNA,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679645,SAMN16722255,simple,9606,Homo sapiens,cBZ094_GIGYF2-4_DMSO_1_RNA,Johns Hopkins,SRA1156804,09,2021,Makar,"","",GIGYF2_ko_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,RNA-seq,DMSO,Human
SRR13016597,28788841,8636652300,150,3713,SRX9467538,cBZ094_GIGYF2-4_SMG1i_1_mono,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679646,SAMN16722273,simple,9606,Homo sapiens,cBZ094_GIGYF2-4_SMG1i_1_mono,Johns Hopkins,SRA1156804,09,2021,Makar,"","",GIGYF2_ko_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,ribosome profiling,SMG1i,Human
SRR13016596,22142296,6642688800,150,2898,SRX9467539,cBZ056_WT_SMG1i_2_mono,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679647,SAMN16722274,simple,9606,Homo sapiens,cBZ056_WT_SMG1i_2_mono,Johns Hopkins,SRA1156804,09,2021,Makar,"","",WT_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,ribosome profiling,SMG1i,Human
SRR13016595,27393713,8218113900,150,3547,SRX9467540,cBZ090_eIF4E2-4_SMG1i_2_mono,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679648,SAMN16722275,simple,9606,Homo sapiens,cBZ090_eIF4E2-4_SMG1i_2_mono,Johns Hopkins,SRA1156804,09,2021,Makar,"","",EIF4E2_ko_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,ribosome profiling,SMG1i,Human
SRR13016594,38319353,11495805900,150,4929,SRX9467541,cBZ094_GIGYF2-4_SMG1i_2_mono,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679649,SAMN16722276,simple,9606,Homo sapiens,cBZ094_GIGYF2-4_SMG1i_2_mono,Johns Hopkins,SRA1156804,09,2021,Makar,"","",GIGYF2_ko_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,ribosome profiling,SMG1i,Human
SRR13016593,39765685,11929705500,150,4774,SRX9467542,cBZ056_WT_DMSO_1_di,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679650,SAMN16722277,simple,9606,Homo sapiens,cBZ056_WT_DMSO_1_di,Johns Hopkins,SRA1156804,09,2021,Makar,"","",WT_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,disome profiling,DMSO,Human
SRR13016592,35419815,10625944500,150,4273,SRX9467543,cBZ090_eIF4E2-4_DMSO_1_di,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679651,SAMN16722278,simple,9606,Homo sapiens,cBZ090_eIF4E2-4_DMSO_1_di,Johns Hopkins,SRA1156804,09,2021,Makar,"","",EIF4E2_ko_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,disome profiling,DMSO,Human
SRR13016591,34842166,10452649800,150,4209,SRX9467544,cBZ094_GIGYF2-4_DMSO_1_di,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679652,SAMN16722279,simple,9606,Homo sapiens,cBZ094_GIGYF2-4_DMSO_1_di,Johns Hopkins,SRA1156804,09,2021,Makar,"","",GIGYF2_ko_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,disome profiling,DMSO,Human
SRR13016590,34023866,10207159800,150,4104,SRX9467545,cBZ056_WT_DMSO_2_di,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679653,SAMN16722280,simple,9606,Homo sapiens,cBZ056_WT_DMSO_2_di,Johns Hopkins,SRA1156804,09,2021,Makar,"","",WT_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,disome profiling,DMSO,Human
SRR13016589,32254987,9676496100,150,3898,SRX9467546,cBZ090_eIF4E2-4_DMSO_2_di,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679654,SAMN16722281,simple,9606,Homo sapiens,cBZ090_eIF4E2-4_DMSO_2_di,Johns Hopkins,SRA1156804,09,2021,Makar,"","",EIF4E2_ko_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,disome profiling,DMSO,Human
SRR13016588,31527151,9458145300,150,3806,SRX9467547,cBZ094_GIGYF2-4_DMSO_2_di,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679655,SAMN16722282,simple,9606,Homo sapiens,cBZ094_GIGYF2-4_DMSO_2_di,Johns Hopkins,SRA1156804,09,2021,Makar,"","",GIGYF2_ko_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,disome profiling,DMSO,Human
SRR13016587,34619067,10385720100,150,3852,SRX9467548,cBZ056_WT_DMSO_2_RNA,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679657,SAMN16722256,simple,9606,Homo sapiens,cBZ056_WT_DMSO_2_RNA,Johns Hopkins,SRA1156804,09,2021,Makar,"","",WT_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,RNA-seq,DMSO,Human
SRR13016586,29416575,8824972500,150,3576,SRX9467549,cBZ056_WT_SMG1i_1_di,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679656,SAMN16722283,simple,9606,Homo sapiens,cBZ056_WT_SMG1i_1_di,Johns Hopkins,SRA1156804,09,2021,Makar,"","",WT_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,disome profiling,SMG1i,Human
SRR13016585,26003201,7800960300,150,3134,SRX9467550,cBZ090_eIF4E2-4_SMG1i_1_di,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679658,SAMN16722284,simple,9606,Homo sapiens,cBZ090_eIF4E2-4_SMG1i_1_di,Johns Hopkins,SRA1156804,09,2021,Makar,"","",EIF4E2_ko_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,disome profiling,SMG1i,Human
SRR13016584,68004877,20401463100,150,8194,SRX9467551,cBZ094_GIGYF2-4_SMG1i_1_di,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679661,SAMN16722285,simple,9606,Homo sapiens,cBZ094_GIGYF2-4_SMG1i_1_di,Johns Hopkins,SRA1156804,09,2021,Makar,"","",GIGYF2_ko_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,disome profiling,SMG1i,Human
SRR13016583,27269217,8180765100,150,3306,SRX9467552,cBZ056_WT_SMG1i_2_di,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679659,SAMN16722286,simple,9606,Homo sapiens,cBZ056_WT_SMG1i_2_di,Johns Hopkins,SRA1156804,09,2021,Makar,"","",WT_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,disome profiling,SMG1i,Human
SRR13016582,33600399,10080119700,150,4032,SRX9467553,cBZ090_eIF4E2-4_SMG1i_2_di,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679660,SAMN16722287,simple,9606,Homo sapiens,cBZ090_eIF4E2-4_SMG1i_2_di,Johns Hopkins,SRA1156804,09,2021,Makar,"","",EIF4E2_ko_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,disome profiling,SMG1i,Human
SRR13016581,32705381,9811614300,150,3939,SRX9467554,cBZ094_GIGYF2-4_SMG1i_2_di,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679662,SAMN16722288,simple,9606,Homo sapiens,cBZ094_GIGYF2-4_SMG1i_2_di,Johns Hopkins,SRA1156804,09,2021,Makar,"","",GIGYF2_ko_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,disome profiling,SMG1i,Human
SRR13016580,31065441,9319632300,150,3476,SRX9467555,cBZ090_eIF4E2-4_DMSO_2_RNA,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679665,SAMN16722257,simple,9606,Homo sapiens,cBZ090_eIF4E2-4_DMSO_2_RNA,Johns Hopkins,SRA1156804,09,2021,Makar,"","",EIF4E2_ko_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,RNA-seq,DMSO,Human
SRR13016579,38779092,11633727600,150,4347,SRX9467556,cBZ094_GIGYF2-4_DMSO_2_RNA,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679663,SAMN16722258,simple,9606,Homo sapiens,cBZ094_GIGYF2-4_DMSO_2_RNA,Johns Hopkins,SRA1156804,09,2021,Makar,"","",GIGYF2_ko_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,RNA-seq,DMSO,Human
SRR13016578,35015575,10504672500,150,3944,SRX9467557,cBZ056_WT_SMG1i_1_RNA,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679664,SAMN16722259,simple,9606,Homo sapiens,cBZ056_WT_SMG1i_1_RNA,Johns Hopkins,SRA1156804,09,2021,Makar,"","",WT_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,RNA-seq,SMG1i,Human
SRR13016577,27396210,8218863000,150,3077,SRX9467558,cBZ090_eIF4E2-4_SMG1i_1_RNA,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679666,SAMN16722260,simple,9606,Homo sapiens,cBZ090_eIF4E2-4_SMG1i_1_RNA,Johns Hopkins,SRA1156804,09,2021,Makar,"","",EIF4E2_ko_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,RNA-seq,SMG1i,Human
SRR13016576,32110005,9633001500,150,3609,SRX9467559,cBZ094_GIGYF2-4_SMG1i_1_RNA,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679667,SAMN16722261,simple,9606,Homo sapiens,cBZ094_GIGYF2-4_SMG1i_1_RNA,Johns Hopkins,SRA1156804,09,2021,Makar,"","",GIGYF2_ko_1,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,RNA-seq,SMG1i,Human
SRR13016575,29530062,8859018600,150,3306,SRX9467560,cBZ056_WT_SMG1i_2_RNA,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291975,PRJNA675773,1,"",SRS7679668,SAMN16722262,simple,9606,Homo sapiens,cBZ056_WT_SMG1i_2_RNA,Johns Hopkins,SRA1156804,09,2021,Makar,"","",WT_2,N/A,"Green Lab, JHMI",female,K562 Cells,K562 Cells,RNA-seq,SMG1i,Human
