Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,developmental stage,GEO Accession
SRR2188096,92938992,3345803712,36,2123,SRX1166338,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046658,SAMN04014727,simple,5691,Trypanosoma brucei,GSM1862960,GEO,SRA291745,12,2015,Parsons,Tb927 PCF in SDM79 medium,PCF mRNA replicate_2 reanalysis,Tb927 PCF in SDM79 medium,927,Procyclic Form,GSM1862960
SRR2188097,62687865,2256763140,36,1393,SRX1166339,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046657,SAMN04014728,simple,5691,Trypanosoma brucei,GSM1862961,GEO,SRA291745,12,2015,Parsons,Tb927 PCF in SDM79 medium,PCF mRNA replicate_3 reanalysis,Tb927 PCF in SDM79 medium,927,Procyclic Form,GSM1862961
SRR2188098,59694251,2148993036,36,1278,SRX1166340,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046656,SAMN04014729,simple,5691,Trypanosoma brucei,GSM1862962,GEO,SRA291745,12,2015,Parsons,Tb927 BF grown in irradiated Wistar rat,slBF mRNA replicate_1 reanalysis,Tb927 BF grown in irradiated Wistar rat,927,Slender bloodstream Form,GSM1862962
SRR2188099,56468981,2032883316,36,1158,SRX1166341,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046655,SAMN04014730,simple,5691,Trypanosoma brucei,GSM1862963,GEO,SRA291745,12,2015,Parsons,Tb927 BF grown in irradiated Wistar rat,slBF mRNA replicate_2 reanalysis,Tb927 BF grown in irradiated Wistar rat,927,Slender bloodstream Form,GSM1862963
SRR2188100,61128710,2200633560,36,1273,SRX1166342,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046654,SAMN04014731,simple,5691,Trypanosoma brucei,GSM1862964,GEO,SRA291745,12,2015,Parsons,Tb927 BF grown in irradiated Wistar rat,slBF mRNA replicate_3 reanalysis,Tb927 BF grown in irradiated Wistar rat,927,Slender bloodstream Form,GSM1862964
SRR2188101,79920340,2877132240,36,1779,SRX1166343,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046653,SAMN04014732,simple,5691,Trypanosoma brucei,GSM1862965,GEO,SRA291745,12,2015,Parsons,Tb427 grown in vitro in HMI-9 medium,cBF mRNA replicate_1 reanalysis,Tb427 grown in vitro in HMI-9 medium,427,cultrured bloodstream Form,GSM1862965
SRR2188102,42244569,1520804484,36,1001,SRX1166344,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046652,SAMN04014733,simple,5691,Trypanosoma brucei,GSM1862966,GEO,SRA291745,12,2015,Parsons,Tb427 grown in vitro in HMI-9 medium,cBF mRNA replicate_2 reanalysis,Tb427 grown in vitro in HMI-9 medium,427,cultrured bloodstream Form,GSM1862966
SRR2188103,101716337,3661788132,36,2254,SRX1166345,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046651,SAMN04014734,simple,5691,Trypanosoma brucei,GSM1862967,GEO,SRA291745,12,2015,Parsons,Tb427 grown in vitro in HMI-9 medium,cBF mRNA replicate_3 reanalysis,Tb427 grown in vitro in HMI-9 medium,427,cultrured bloodstream Form,GSM1862967
SRR2188104,16766464,603592704,36,355,SRX1166346,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046650,SAMN04014735,simple,5691,Trypanosoma brucei,GSM1862968,GEO,SRA291745,12,2015,Parsons,Tb927 PCF in SDM79 medium,PCF SpliceLeader replicate_1 reanalysis,Tb927 PCF in SDM79 medium,927,Procyclic Form,GSM1862968
SRR2188105,16409384,590737824,36,347,SRX1166347,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046649,SAMN04014736,simple,5691,Trypanosoma brucei,GSM1862969,GEO,SRA291745,12,2015,Parsons,Tb927 PCF in SDM79 medium,PCF SpliceLeader replicate_2 reanalysis,Tb927 PCF in SDM79 medium,927,Procyclic Form,GSM1862969
SRR2188106,15671042,564157512,36,329,SRX1166348,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046647,SAMN04014737,simple,5691,Trypanosoma brucei,GSM1862970,GEO,SRA291745,12,2015,Parsons,Tb927 BF grown in irradiated Wistar rat,slBF SpliceLeader replicate_1 reanalysis,Tb927 BF grown in irradiated Wistar rat,927,Slender bloodstream Form,GSM1862970
SRR2188107,14316743,515402748,36,298,SRX1166349,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062914,PRJNA294100,26393539,"",SRS1046648,SAMN04014738,simple,5691,Trypanosoma brucei,GSM1862971,GEO,SRA291745,12,2015,Parsons,Tb427 grown in vitro in HMI-9 medium,cBF SpliceLeader replicate_1 reanalysis,Tb427 grown in vitro in HMI-9 medium,427,cultrured bloodstream Form,GSM1862971
