Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_type,disease,BioSampleModel
SRR8535414,27941497,1397074850,50,661,SRX5337881,HealthyHumanPlateletTotal_1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4331068,SAMN10879402,simple,9606,Homo sapiens,11950X8,University of Utah,SRA844991,09,2019,Makar,"",HealthyHumanPlateletTotal_1,Healthy Control Patient 1,45,Rondina,male,Blood,Platelet,Healthy,Human
SRR8535413,31513690,1575684500,50,743,SRX5337882,HealthyHumanPlateletTotal_0,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4331069,SAMN10879401,simple,9606,Homo sapiens,11950X4,University of Utah,SRA844991,09,2019,Makar,"",HealthyHumanPlateletTotal_0,Healthy Control Patient 0,53,Rondina,female,Blood,Platelet,Healthy,Human
SRR8535412,40561915,2028095750,50,946,SRX5337883,SepticHumanPlateletRPF_1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4331070,SAMN10879414,simple,9606,Homo sapiens,11950X5,University of Utah,SRA844991,09,2019,Makar,"",SepticHumanPlateletRPF_1,Septic Patient 1 RPF,63,Rondina,male,Blood,Platelet,Septic,Human
SRR8535411,29266871,1463343550,50,641,SRX5337884,HealthyHumanPlateletRPF_3,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4331071,SAMN10879413,simple,9606,Homo sapiens,13596X21,University of Utah,SRA844991,09,2019,Makar,"",HealthyHumanPlateletRPF_3,Healthy Control Patient 3 RPF,58,Rondina,male,Blood,Platelet,Healthy,Human
SRR8535410,56873900,2843695000,50,1249,SRX5337885,HealthyHumanPlateletRPF_2,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4331072,SAMN10879412,simple,9606,Homo sapiens,13596X17,University of Utah,SRA844991,09,2019,Makar,"",HealthyHumanPlateletRPF_2,Healthy Control Patient 2 RPF,34,Rondina,female,Blood,Platelet,Healthy,Human
SRR8535409,27088203,1354410150,50,635,SRX5337886,HealthyHumanPlateletRPF_1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4331073,SAMN10879411,simple,9606,Homo sapiens,11950X7,University of Utah,SRA844991,09,2019,Makar,"",HealthyHumanPlateletRPF_1,Healthy Control Patient 1 RPF,45,Rondina,male,Blood,Platelet,Healthy,Human
SRR8543480,46138646,2306932300,50,1093,SRX5345597,ClpMousePlateletTotal_0,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4337365,SAMN10882462,simple,10090,Mus musculus,12014X2,University of Utah,SRA845744,09,2019,Makar,"",ClpMousePlateletTotal_0,CLP Mouse 0,14 Weeks,Rondina,male,Blood,Platelet,Septic,Model organism or animal
SRR8543479,28102140,1405107000,50,641,SRX5345598,ClpMousePlateletTotal_1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4337366,SAMN10882463,simple,10090,Mus musculus,13596X4,University of Utah,SRA845744,09,2019,Makar,"",ClpMousePlateletTotal_1,CLP Mouse 1,14 Weeks,Rondina,male,Blood,Platelet,Septic,Model organism or animal
SRR8543478,31907607,1595380350,50,728,SRX5345599,ClpMousePlateletTotal_2,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4337367,SAMN10882464,simple,10090,Mus musculus,13596X8,University of Utah,SRA845744,09,2019,Makar,"",ClpMousePlateletTotal_2,CLP Mouse 2,14 Weeks,Rondina,male,Blood,Platelet,Septic,Model organism or animal
SRR8543477,26887138,1344356900,50,619,SRX5345600,UntreatedMousePlateletRPF_1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4337368,SAMN10882465,simple,10090,Mus musculus,13596X1,University of Utah,SRA845744,09,2019,Makar,"",UntreatedMousePlateletRPF_1,Untreated Mouse 1 RPF,14 Weeks,Rondina,male,Blood,Platelet,Healthy,Model organism or animal
SRR8543476,32481458,1624072900,50,735,SRX5345601,ClpMousePlateletRPF_2,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4337369,SAMN10882470,simple,10090,Mus musculus,13596X7,University of Utah,SRA845744,09,2019,Makar,"",ClpMousePlateletRPF_2,CLP Mouse 2 RPF,14 Weeks,Rondina,male,Blood,Platelet,Septic,Model organism or animal
SRR8543475,27940443,1397022150,50,638,SRX5345602,UntreatedMousePlateletTotal_1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4337370,SAMN10882459,simple,10090,Mus musculus,13596X2,University of Utah,SRA845744,09,2019,Makar,"",UntreatedMousePlateletTotal_1,Untreated Mouse 1,14 Weeks,Rondina,male,Blood,Platelet,Healthy,Model organism or animal
SRR8543474,35385290,1769264500,50,805,SRX5345603,UntreatedMousePlateletTotal_2,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4337371,SAMN10882460,simple,10090,Mus musculus,13596X6,University of Utah,SRA845744,09,2019,Makar,"",UntreatedMousePlateletTotal_2,Untreated Mouse 2,14 Weeks,Rondina,male,Blood,Platelet,Healthy,Model organism or animal
SRR8543473,27837164,1391858200,50,635,SRX5345604,ClpMousePlateletRPF_1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4337372,SAMN10882469,simple,10090,Mus musculus,13596X3,University of Utah,SRA845744,09,2019,Makar,"",ClpMousePlateletRPF_1,CLP Mouse 1 RPF,14 Weeks,Rondina,male,Blood,Platelet,Septic,Model organism or animal
SRR8543472,29956331,1497816550,50,676,SRX5345605,UntreatedMousePlateletTotal_3,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4337373,SAMN10882461,simple,10090,Mus musculus,13596X10,University of Utah,SRA845744,09,2019,Makar,"",UntreatedMousePlateletTotal_3,Untreated Mouse 3,14 Weeks,Rondina,male,Blood,Platelet,Healthy,Model organism or animal
SRR8543471,27577648,1378882400,50,630,SRX5345606,UntreatedMousePlateletRPF_2,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4337391,SAMN10882466,simple,10090,Mus musculus,13596X5,University of Utah,SRA845744,09,2019,Makar,"",UntreatedMousePlateletRPF_2,Untreated Mouse 2 RPF,14 Weeks,Rondina,male,Blood,Platelet,Healthy,Model organism or animal
SRR8543470,29764486,1488224300,50,668,SRX5345607,UntreatedMousePlateletRPF_3,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4337392,SAMN10882467,simple,10090,Mus musculus,13596X9,University of Utah,SRA845744,09,2019,Makar,"",UntreatedMousePlateletRPF_3,Untreated Mouse 3 RPF,14 Weeks,Rondina,male,Blood,Platelet,Healthy,Model organism or animal
SRR8543469,47779609,2388980450,50,1129,SRX5345608,ClpMousePlateletRPF_0,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4337393,SAMN10882468,simple,10090,Mus musculus,12014X1,University of Utah,SRA845744,09,2019,Makar,"",ClpMousePlateletRPF_0,CLP Mouse 0 RPF,14 Weeks,Rondina,male,Blood,Platelet,Septic,Model organism or animal
SRR8543468,57964602,2898230100,50,1426,SRX5345609,UntreatedMousePlateletTotal_0,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP183819,PRJNA521077,1,"",SRS4337394,SAMN10882458,simple,10090,Mus musculus,11755X10,University of Utah,SRA845744,09,2019,Makar,"",UntreatedMousePlateletTotal_0,Untreated Mouse 0,14 Weeks,Rondina,male,Blood,Platelet,Healthy,Model organism or animal
