Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,Sex,cell type,genotype,treatment
SRR20693998,44025795,6404885660,72,2595,SRX16715783,GSM6411867,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345921,SAMN30024394,simple,10090,Mus musculus,GSM6411867,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 male water biol rep 5,nucleus accumbens,nucleus accumbens,male,Drd1 neurons,Drd1Cre x Rpl22HA,water abstinence
SRR20693997,42937984,6256943811,72,2532,SRX16715784,GSM6411868,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345922,SAMN30024393,simple,10090,Mus musculus,GSM6411868,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 male water biol rep 6,nucleus accumbens,nucleus accumbens,male,Drd1 neurons,Drd1Cre x Rpl22HA,water abstinence
SRR20693996,43811547,6355100173,72,2559,SRX16715785,GSM6411869,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345923,SAMN30024392,simple,10090,Mus musculus,GSM6411869,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 female fentanyl biol rep 1,nucleus accumbens,nucleus accumbens,female,Drd1 neurons,Drd1Cre x Rpl22HA,fentanyl abstinence
SRR20693995,39911955,5792244479,72,2328,SRX16715786,GSM6411870,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345924,SAMN30024391,simple,10090,Mus musculus,GSM6411870,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 female fentanyl biol rep 2,nucleus accumbens,nucleus accumbens,female,Drd1 neurons,Drd1Cre x Rpl22HA,fentanyl abstinence
SRR20693994,41669083,6036331558,72,2426,SRX16715787,GSM6411871,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345925,SAMN30024390,simple,10090,Mus musculus,GSM6411871,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 female fentanyl biol rep 3,nucleus accumbens,nucleus accumbens,female,Drd1 neurons,Drd1Cre x Rpl22HA,fentanyl abstinence
SRR20693993,35508152,5161868395,72,2096,SRX16715788,GSM6411872,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345926,SAMN30024389,simple,10090,Mus musculus,GSM6411872,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 female fentanyl biol rep 4,nucleus accumbens,nucleus accumbens,female,Drd1 neurons,Drd1Cre x Rpl22HA,fentanyl abstinence
SRR20693992,48502622,7092511932,73,2852,SRX16715789,GSM6411873,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345927,SAMN30024388,simple,10090,Mus musculus,GSM6411873,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 female fentanyl biol rep 5,nucleus accumbens,nucleus accumbens,female,Drd1 neurons,Drd1Cre x Rpl22HA,fentanyl abstinence
SRR20693991,39740469,5801542554,73,2336,SRX16715790,GSM6411874,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345928,SAMN30024387,simple,10090,Mus musculus,GSM6411874,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 female fentanyl biol rep 6,nucleus accumbens,nucleus accumbens,female,Drd1 neurons,Drd1Cre x Rpl22HA,fentanyl abstinence
SRR20693990,43099823,6287597729,72,2530,SRX16715791,GSM6411875,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345929,SAMN30024386,simple,10090,Mus musculus,GSM6411875,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 female water biol rep 1,nucleus accumbens,nucleus accumbens,female,Drd1 neurons,Drd1Cre x Rpl22HA,water abstinence
SRR20693989,42164008,6142102298,72,2463,SRX16715792,GSM6411876,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345930,SAMN30024385,simple,10090,Mus musculus,GSM6411876,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 female water biol rep 2,nucleus accumbens,nucleus accumbens,female,Drd1 neurons,Drd1Cre x Rpl22HA,water abstinence
SRR20693988,43034918,6253654489,72,2496,SRX16715793,GSM6411877,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345931,SAMN30024384,simple,10090,Mus musculus,GSM6411877,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 female water biol rep 3,nucleus accumbens,nucleus accumbens,female,Drd1 neurons,Drd1Cre x Rpl22HA,water abstinence
SRR20693987,39147383,5700253976,72,2281,SRX16715794,GSM6411878,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345932,SAMN30024383,simple,10090,Mus musculus,GSM6411878,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 female water biol rep 4,nucleus accumbens,nucleus accumbens,female,Drd1 neurons,Drd1Cre x Rpl22HA,water abstinence
SRR20693986,45139153,6579994201,72,2627,SRX16715795,GSM6411879,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345933,SAMN30024382,simple,10090,Mus musculus,GSM6411879,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 female water biol rep 5,nucleus accumbens,nucleus accumbens,female,Drd1 neurons,Drd1Cre x Rpl22HA,water abstinence
SRR20693985,34225211,4973489698,72,2012,SRX16715796,GSM6411880,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345934,SAMN30024381,simple,10090,Mus musculus,GSM6411880,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 female water biol rep 6,nucleus accumbens,nucleus accumbens,female,Drd1 neurons,Drd1Cre x Rpl22HA,water abstinence
SRR20693984,44026071,6448799044,73,2482,SRX16715797,GSM6411881,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345935,SAMN30024380,simple,10090,Mus musculus,GSM6411881,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 male fentanyl biol rep 1,nucleus accumbens,nucleus accumbens,male,Drd2 neurons,A2ACre x Rpl22HA,fentanyl abstinence
SRR20693983,44088298,6471941556,73,2495,SRX16715798,GSM6411882,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345936,SAMN30024379,simple,10090,Mus musculus,GSM6411882,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 male fentanyl biol rep 2,nucleus accumbens,nucleus accumbens,male,Drd2 neurons,A2ACre x Rpl22HA,fentanyl abstinence
SRR20693982,48130278,7050829339,73,2716,SRX16715799,GSM6411883,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345937,SAMN30024378,simple,10090,Mus musculus,GSM6411883,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 male fentanyl biol rep 3,nucleus accumbens,nucleus accumbens,male,Drd2 neurons,A2ACre x Rpl22HA,fentanyl abstinence
SRR20693981,39593061,5794271124,73,2243,SRX16715800,GSM6411884,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345938,SAMN30024377,simple,10090,Mus musculus,GSM6411884,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 male fentanyl biol rep 4,nucleus accumbens,nucleus accumbens,male,Drd2 neurons,A2ACre x Rpl22HA,fentanyl abstinence
SRR20693980,40834021,5998170015,73,2301,SRX16715801,GSM6411885,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345939,SAMN30024376,simple,10090,Mus musculus,GSM6411885,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 male fentanyl biol rep 5,nucleus accumbens,nucleus accumbens,male,Drd2 neurons,A2ACre x Rpl22HA,fentanyl abstinence
SRR20693979,42563100,6256278658,73,2408,SRX16715802,GSM6411886,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345940,SAMN30024375,simple,10090,Mus musculus,GSM6411886,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 male fentanyl biol rep 6,nucleus accumbens,nucleus accumbens,male,Drd2 neurons,A2ACre x Rpl22HA,fentanyl abstinence
SRR20693978,36715949,5374170383,73,2068,SRX16715803,GSM6411887,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345941,SAMN30024374,simple,10090,Mus musculus,GSM6411887,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 male water biol rep 1,nucleus accumbens,nucleus accumbens,male,Drd2 neurons,A2ACre x Rpl22HA,water abstinence
SRR20693977,39010415,5694279210,73,2193,SRX16715804,GSM6411888,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345942,SAMN30024373,simple,10090,Mus musculus,GSM6411888,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 male water biol rep 2,nucleus accumbens,nucleus accumbens,male,Drd2 neurons,A2ACre x Rpl22HA,water abstinence
SRR20693976,47727092,6982649163,73,2699,SRX16715805,GSM6411889,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345943,SAMN30024372,simple,10090,Mus musculus,GSM6411889,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 male water biol rep 3,nucleus accumbens,nucleus accumbens,male,Drd2 neurons,A2ACre x Rpl22HA,water abstinence
SRR20693975,50450222,7448375775,73,2916,SRX16715806,GSM6411890,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345944,SAMN30024371,simple,10090,Mus musculus,GSM6411890,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 male water biol rep 4,nucleus accumbens,nucleus accumbens,male,Drd2 neurons,A2ACre x Rpl22HA,water abstinence
SRR20693974,36896265,5398319557,73,2211,SRX16715807,GSM6411891,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345945,SAMN30024370,simple,10090,Mus musculus,GSM6411891,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 male water biol rep 5,nucleus accumbens,nucleus accumbens,male,Drd2 neurons,A2ACre x Rpl22HA,water abstinence
SRR20693973,38274035,5644948719,73,2215,SRX16715808,GSM6411892,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345946,SAMN30024369,simple,10090,Mus musculus,GSM6411892,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 male water biol rep 6,nucleus accumbens,nucleus accumbens,male,Drd2 neurons,A2ACre x Rpl22HA,water abstinence
SRR20693972,41678570,6162449679,73,2397,SRX16715809,GSM6411893,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345947,SAMN30024368,simple,10090,Mus musculus,GSM6411893,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 female fentanyl biol rep 1,nucleus accumbens,nucleus accumbens,female,Drd2 neurons,A2ACre x Rpl22HA,fentanyl abstinence
SRR20693971,47652297,7034762572,73,2731,SRX16715810,GSM6411894,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345948,SAMN30024367,simple,10090,Mus musculus,GSM6411894,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 female fentanyl biol rep 2,nucleus accumbens,nucleus accumbens,female,Drd2 neurons,A2ACre x Rpl22HA,fentanyl abstinence
SRR20693970,41553420,6126152334,73,2387,SRX16715811,GSM6411895,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345949,SAMN30024366,simple,10090,Mus musculus,GSM6411895,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 female fentanyl biol rep 3,nucleus accumbens,nucleus accumbens,female,Drd2 neurons,A2ACre x Rpl22HA,fentanyl abstinence
SRR20693969,44965038,6610038864,73,2563,SRX16715812,GSM6411896,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345950,SAMN30024365,simple,10090,Mus musculus,GSM6411896,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 female fentanyl biol rep 4,nucleus accumbens,nucleus accumbens,female,Drd2 neurons,A2ACre x Rpl22HA,fentanyl abstinence
SRR20693968,47852741,7014840324,73,2729,SRX16715813,GSM6411897,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345951,SAMN30024364,simple,10090,Mus musculus,GSM6411897,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 female fentanyl biol rep 5,nucleus accumbens,nucleus accumbens,female,Drd2 neurons,A2ACre x Rpl22HA,fentanyl abstinence
SRR20693967,42585436,6264600653,73,2445,SRX16715814,GSM6411898,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345952,SAMN30024363,simple,10090,Mus musculus,GSM6411898,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 female fentanyl biol rep 6,nucleus accumbens,nucleus accumbens,female,Drd2 neurons,A2ACre x Rpl22HA,fentanyl abstinence
SRR20693966,45439818,6679448356,73,2595,SRX16715815,GSM6411899,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345953,SAMN30024362,simple,10090,Mus musculus,GSM6411899,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 female water biol rep 1,nucleus accumbens,nucleus accumbens,female,Drd2 neurons,A2ACre x Rpl22HA,water abstinence
SRR20693965,39224372,5774687418,73,2270,SRX16715816,GSM6411900,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345954,SAMN30024361,simple,10090,Mus musculus,GSM6411900,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 female water biol rep 2,nucleus accumbens,nucleus accumbens,female,Drd2 neurons,A2ACre x Rpl22HA,water abstinence
SRR20693964,42501667,6269939194,73,2430,SRX16715817,GSM6411901,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345955,SAMN30024360,simple,10090,Mus musculus,GSM6411901,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 female water biol rep 3,nucleus accumbens,nucleus accumbens,female,Drd2 neurons,A2ACre x Rpl22HA,water abstinence
SRR20693963,39732499,5864262365,73,2274,SRX16715818,GSM6411902,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345956,SAMN30024359,simple,10090,Mus musculus,GSM6411902,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 female water biol rep 4,nucleus accumbens,nucleus accumbens,female,Drd2 neurons,A2ACre x Rpl22HA,water abstinence
SRR20693962,38110768,5606340493,73,2190,SRX16715819,GSM6411903,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345957,SAMN30024358,simple,10090,Mus musculus,GSM6411903,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 female water biol rep 5,nucleus accumbens,nucleus accumbens,female,Drd2 neurons,A2ACre x Rpl22HA,water abstinence
SRR20693961,38449742,5657270898,73,2203,SRX16715820,GSM6411904,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345958,SAMN30024357,simple,10090,Mus musculus,GSM6411904,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D2 female water biol rep 6,nucleus accumbens,nucleus accumbens,female,Drd2 neurons,A2ACre x Rpl22HA,water abstinence
