Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,biological repeat,broker name,cell line,common name,compound,infect,sample name,sequencing protocol,time point,Experimental Factor: MHV-A59,Experimental Factor: cycloheximide,Experimental Factor: 1,Experimental Factor: harringtonine + cycloheximide,Experimental Factor: 8,Experimental Factor: mock,Experimental Factor: 2.5,Experimental Factor: 5
ERR1191005,47426381,1463185679,30,1021,ERX1264380,Sample 24,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016072,SAMEA3708923,simple,10090,Mus musculus,SAMEA3708923,ERA542783,02,2016,Makar,"",Sample 24,2016-02-08,2015-12-14,SAMEA3708923,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 24,2,ArrayExpress,17-Cl1,house mouse,cycloheximide,mock,E-MTAB-4111:Sample 24,RiboSeq,8,,compound,,,time point,infect,,
ERR1191006,53368431,1671809961,31,1185,ERX1264381,Sample 25,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016073,SAMEA3708924,simple,10090,Mus musculus,SAMEA3708924,ERA542783,02,2016,Makar,"",Sample 25,2016-02-08,2015-12-14,SAMEA3708924,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 25,2,ArrayExpress,17-Cl1,house mouse,harringtonine + cycloheximide,MHV-A59,E-MTAB-4111:Sample 25,RiboSeq,1,infect,,time point,compound,,,,
ERR1191007,63008359,1879252598,29,1339,ERX1264382,Sample 26,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016074,SAMEA3708925,simple,10090,Mus musculus,SAMEA3708925,ERA542783,02,2016,Makar,"",Sample 26,2016-02-08,2015-12-14,SAMEA3708925,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 26,2,ArrayExpress,17-Cl1,house mouse,harringtonine + cycloheximide,MHV-A59,E-MTAB-4111:Sample 26,RiboSeq,2.5,infect,,,compound,,,time point,
ERR1191008,54398154,1665685103,30,1145,ERX1264383,Sample 27,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016075,SAMEA3708926,simple,10090,Mus musculus,SAMEA3708926,ERA542783,02,2016,Makar,"",Sample 27,2016-02-08,2015-12-14,SAMEA3708926,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 27,2,ArrayExpress,17-Cl1,house mouse,harringtonine + cycloheximide,MHV-A59,E-MTAB-4111:Sample 27,RiboSeq,5,infect,,,compound,,,,time point
ERR1191009,60588893,1898719877,31,1326,ERX1264384,Sample 28,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016076,SAMEA3708927,simple,10090,Mus musculus,SAMEA3708927,ERA542783,02,2016,Makar,"",Sample 28,2016-02-08,2015-12-14,SAMEA3708927,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 28,2,ArrayExpress,17-Cl1,house mouse,harringtonine + cycloheximide,MHV-A59,E-MTAB-4111:Sample 28,RiboSeq,8,infect,,,compound,time point,,,
ERR1191010,51322850,1636915300,31,1111,ERX1264385,Sample 29,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016077,SAMEA3708928,simple,10090,Mus musculus,SAMEA3708928,ERA542783,02,2016,Makar,"",Sample 29,2016-02-08,2015-12-14,SAMEA3708928,University of Cambridge,University of Cambridge,2016-02-08T17:02:26Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 29,2,ArrayExpress,17-Cl1,house mouse,harringtonine + cycloheximide,mock,E-MTAB-4111:Sample 29,RiboSeq,1,,,time point,compound,,infect,,
ERR1191011,51075405,1550469279,30,1122,ERX1264386,Sample 3,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016078,SAMEA3708929,simple,10090,Mus musculus,SAMEA3708929,ERA542783,02,2016,Makar,"",Sample 3,2016-02-08,2015-12-14,SAMEA3708929,University of Cambridge,University of Cambridge,2016-02-08T17:02:26Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 3,1,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 3,RiboSeq,5,infect,compound,,,,,,time point
ERR1191012,68573681,2176015649,31,1517,ERX1264387,Sample 30,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016079,SAMEA3708930,simple,10090,Mus musculus,SAMEA3708930,ERA542783,02,2016,Makar,"",Sample 30,2016-02-08,2015-12-14,SAMEA3708930,University of Cambridge,University of Cambridge,2016-02-08T17:02:26Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 30,2,ArrayExpress,17-Cl1,house mouse,harringtonine + cycloheximide,mock,E-MTAB-4111:Sample 30,RiboSeq,8,,,,compound,time point,infect,,
ERR1191013,67660607,2053109515,30,1476,ERX1264388,Sample 31,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016080,SAMEA3708931,simple,10090,Mus musculus,SAMEA3708931,ERA542783,02,2016,Makar,"",Sample 31,2016-02-08,2015-12-14,SAMEA3708931,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 31,2,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 31,RNASeq,1,infect,compound,time point,,,,,
ERR1191014,79400383,2502665973,31,1736,ERX1264389,Sample 32,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016081,SAMEA3708932,simple,10090,Mus musculus,SAMEA3708932,ERA542783,02,2016,Makar,"",Sample 32,2016-02-08,2015-12-14,SAMEA3708932,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 32,2,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 32,RNASeq,2.5,infect,compound,,,,,time point,
ERR1191015,65832767,2077595830,31,1399,ERX1264390,Sample 33,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016082,SAMEA3708933,simple,10090,Mus musculus,SAMEA3708933,ERA542783,02,2016,Makar,"",Sample 33,2016-02-08,2015-12-14,SAMEA3708933,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 33,2,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 33,RNASeq,5,infect,compound,,,,,,time point
ERR1191016,65880576,2068785301,31,1434,ERX1264391,Sample 34,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016083,SAMEA3708934,simple,10090,Mus musculus,SAMEA3708934,ERA542783,02,2016,Makar,"",Sample 34,2016-02-08,2015-12-14,SAMEA3708934,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 34,2,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 34,RNASeq,8,infect,compound,,,time point,,,
ERR1191017,45934156,1461586536,31,985,ERX1264392,Sample 35,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016084,SAMEA3708935,simple,10090,Mus musculus,SAMEA3708935,ERA542783,02,2016,Makar,"",Sample 35,2016-02-08,2015-12-14,SAMEA3708935,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 35,2,ArrayExpress,17-Cl1,house mouse,cycloheximide,mock,E-MTAB-4111:Sample 35,RNASeq,1,,compound,time point,,,infect,,
ERR1191018,62115857,1934185771,31,1332,ERX1264393,Sample 36,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016085,SAMEA3708936,simple,10090,Mus musculus,SAMEA3708936,ERA542783,02,2016,Makar,"",Sample 36,2016-02-08,2015-12-14,SAMEA3708936,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 36,2,ArrayExpress,17-Cl1,house mouse,cycloheximide,mock,E-MTAB-4111:Sample 36,RNASeq,8,,compound,,,time point,infect,,
ERR1191019,56038006,1696854260,30,1195,ERX1264394,Sample 37,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016086,SAMEA3708937,simple,10090,Mus musculus,SAMEA3708937,ERA542783,02,2016,Makar,"",Sample 37,2016-02-08,2015-12-14,SAMEA3708937,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 37,high MOI infection,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 37,RiboSeq,1,infect,compound,time point,,,,,
ERR1191020,50038369,1585387757,31,1118,ERX1264395,Sample 38,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016087,SAMEA3708938,simple,10090,Mus musculus,SAMEA3708938,ERA542783,02,2016,Makar,"",Sample 38,2016-02-08,2015-12-14,SAMEA3708938,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 38,high MOI infection,ArrayExpress,17-Cl1,house mouse,harringtonine + cycloheximide,MHV-A59,E-MTAB-4111:Sample 38,RiboSeq,1,infect,,time point,compound,,,,
ERR1191021,82282313,2638880669,32,1826,ERX1264396,Sample 39,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016088,SAMEA3708939,simple,10090,Mus musculus,SAMEA3708939,ERA542783,02,2016,Makar,"",Sample 39,2016-02-08,2015-12-14,SAMEA3708939,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:36Z,public,E-MTAB-4111:Sample 39,high MOI infection,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 39,RNASeq,1,infect,compound,time point,,,,,
ERR1191022,63170089,2044068461,32,1455,ERX1264397,Sample 4,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016089,SAMEA3708940,simple,10090,Mus musculus,SAMEA3708940,ERA542783,02,2016,Makar,"",Sample 4,2016-02-08,2015-12-14,SAMEA3708940,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:37Z,public,E-MTAB-4111:Sample 4,1,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 4,RiboSeq,8,infect,compound,,,time point,,,
ERR1191023,76077975,3120456466,41,2192,ERX1264398,Sample 40,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016090,SAMEA3708941,simple,10090,Mus musculus,SAMEA3708941,ERA542783,02,2016,Makar,"",Sample 40,2016-02-08,2015-12-14,SAMEA3708941,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:37Z,public,E-MTAB-4111:Sample 40,long read sequencing,ArrayExpress,17-Cl1,house mouse,cycloheximide,MHV-A59,E-MTAB-4111:Sample 40,RiboSeq,5,infect,compound,,,,,,time point
ERR1191024,38540171,1192143682,30,840,ERX1264399,Sample 5,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016091,SAMEA3708942,simple,10090,Mus musculus,SAMEA3708942,ERA542783,02,2016,Makar,"",Sample 5,2016-02-08,2015-12-14,SAMEA3708942,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:37Z,public,E-MTAB-4111:Sample 5,1,ArrayExpress,17-Cl1,house mouse,cycloheximide,mock,E-MTAB-4111:Sample 5,RiboSeq,1,,compound,time point,,,infect,,
ERR1191025,27122370,839903135,30,594,ERX1264400,Sample 6,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016092,SAMEA3708943,simple,10090,Mus musculus,SAMEA3708943,ERA542783,02,2016,Makar,"",Sample 6,2016-02-08,2015-12-14,SAMEA3708943,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:37Z,public,E-MTAB-4111:Sample 6,1,ArrayExpress,17-Cl1,house mouse,cycloheximide,mock,E-MTAB-4111:Sample 6,RiboSeq,8,,compound,,,time point,infect,,
ERR1191026,52888637,1629947931,30,1167,ERX1264401,Sample 7,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016093,SAMEA3708944,simple,10090,Mus musculus,SAMEA3708944,ERA542783,02,2016,Makar,"",Sample 7,2016-02-08,2015-12-14,SAMEA3708944,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:37Z,public,E-MTAB-4111:Sample 7,1,ArrayExpress,17-Cl1,house mouse,harringtonine + cycloheximide,MHV-A59,E-MTAB-4111:Sample 7,RiboSeq,1,infect,,time point,compound,,,,
ERR1191027,47240129,1457468497,30,1038,ERX1264402,Sample 8,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016094,SAMEA3708945,simple,10090,Mus musculus,SAMEA3708945,ERA542783,02,2016,Makar,"",Sample 8,2016-02-08,2015-12-14,SAMEA3708945,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:37Z,public,E-MTAB-4111:Sample 8,1,ArrayExpress,17-Cl1,house mouse,harringtonine + cycloheximide,MHV-A59,E-MTAB-4111:Sample 8,RiboSeq,2.5,infect,,,compound,,,time point,
ERR1191028,58914298,1823035475,30,1308,ERX1264403,Sample 9,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP013565,PRJEB12126,1,"",ERS1016095,SAMEA3708946,simple,10090,Mus musculus,SAMEA3708946,ERA542783,02,2016,Makar,"",Sample 9,2016-02-08,2015-12-14,SAMEA3708946,University of Cambridge,University of Cambridge,2016-02-08T17:02:25Z,2015-12-14T11:50:37Z,public,E-MTAB-4111:Sample 9,1,ArrayExpress,17-Cl1,house mouse,harringtonine + cycloheximide,MHV-A59,E-MTAB-4111:Sample 9,RiboSeq,5,infect,,,compound,,,,time point
